,Country,Population,Total_index,Home,Other,School,Work,Population_Density,Reproduction
0,Albania,2880913,38380684.36,10683262.94,14303256.63,5625935.925,7768228.856,105,0.95
1,Algeria,43053054,637359581.2,175955254.1,286382094.5,114798686.6,60223546,18.41,0.93
2,Antigua and Barbuda,97115,1584368.103,416127.414,546484.3639,224288.4596,397467.8657,222.6,1.4
3,Argentina,44780675,673122110.3,202079006.3,237314456.2,96132506.69,137596141.1,16.52,0.94
4,Armenia,2957728,41850799.83,11644229.54,14558147.05,6163886.456,9484536.783,104.1,1.1
5,Australia,25203200,328571812.6,86553377.92,110384964.1,46245259.47,85388211.17,3.319,0.88
6,Austria,8955108,109163543.5,26627470.13,36886887.42,15399779.63,30249406.34,109.3,1.2
7,Azerbaijan,10047719,160563625.9,42553826.98,59288242.88,22223374.94,36498181.13,122.7,1.1
8,Bahamas,389486,6297752.151,1619593.486,2219233.831,1088083.318,1370841.515,39.29,0.96
9,Bahrain,1641164,30242410.42,6789988.877,13344126.44,2972322.886,7135972.214,2239,0.91
10,Bangladesh,163046173,2884869204,750816637.6,1171192543,525689053.9,437170969.8,1265,1
11,Belarus,9452409,117303405.6,29933987.65,41967854.26,14155415.71,31246148.03,46.57,0.98
12,Belgium,11539326,131085457,32435802.08,53916352.81,14555581.59,30177720.5,382.7,1.2
13,Belize,390350,7650542.021,1973199.002,3130541.513,1190590.771,1356210.736,17.43,0.93
14,Benin,11801150,285655821.9,72333368.52,116957417.1,52277167.22,44087869.02,107.5,1.7
15,Bhutan,763093,14283510.27,3663976.476,5559574.213,2054420.515,3005539.061,20.24,0.73
16,Bolivia (Plurinational State of,11513101,206812979.1,42037061.62,85413829.51,34223459.35,45138628.65,10.78,0.71
17,Bosnia and Herzegovina,3300996,36431158.82,11465398.89,15010604.22,6220107.867,3735047.84,64.33,1.1
18,Botswana,2303702,44396569.33,12093552.3,18715092.34,7219979.981,6367944.711,4.149,1
19,Brazil,211049519,3368415059,900395171.6,1220064376,526221174.5,721734336.9,25.43,0.99
20,Brunei Darussalam,433296,6915087.84,1798919.034,2821749.743,943471.2524,1350947.81,83.01,0.82
21,Bulgaria,7000116,85360141.72,25365032.58,29597518.22,9518685.072,20878905.85,64.01,1.1
22,Burkina Faso,20321382,498834653.8,139430453,209566074.5,89132833.34,60705292.97,76.4,0.73
23,Cabo Verde,549936,10121685.41,2770154.084,4465212.625,1632625.451,1253693.251,138,0.89
24,Cambodia,16486542,325113530.9,69178061.09,124154817.7,56154034.87,75626617.21,94.71,4.8
25,Cameroon,25876387,622683534.7,162234818,252428446.4,107063822.8,100956447.6,56.16,1.1
26,Canada,37411037,465343078.6,112737751.5,159816571.9,59112754.03,133676001.2,4.15,0.96
27,Chile,18952035,269336763,74856682.22,96497989.47,34985773.41,62996317.94,25.71,1
28,China,1433783692,20424443136,5496533111,7207535874,2792312741,4928061410,153.3,1.3
29,Colombia,50339443,809816859.2,209861397.1,298942245.4,116425066.6,184588150.2,45.86,0.96
30,Congo,5380503,112318788.6,34795899.78,46757564.32,18693200.4,12072124.15,16.16,1.1
31,Costa Rica,5047561,76712222.33,20574843.05,28768800.17,11883405.39,15485173.72,99.77,0.95
32,Croatia,4130299,46721952.8,12969237.32,17079268.17,6095587.449,10577859.86,73.36,0.96
33,Cyprus,1198573,16567281.76,4268544.808,5845852.505,1998314.87,4454569.581,130.7,0.98
34,Czech Republic,10689213,136665101.9,34657973.85,46273472.26,17670978.32,38062677.44,139,1.1
35,Denmark,5771877,70456990.52,17171694.46,23719244.79,9464814.503,20101236.76,136.5,1.2
36,Dominican Republic,10738957,180826155.4,48776411.68,69484114.4,27462261.16,35103368.2,224.5,0.85
37,Ecuador,17373657,292606439.8,75626031.26,112042514.9,49672659.29,55265234.33,71.04,0.96
38,Egypt,100388075,1678493681,453306644.1,749267548.5,294521712.8,181397776,102.8,
39,El Salvador,6453550,110332714,28709288.67,44074670.44,17530662.2,20018092.68,313,0.99
40,Estonia,1325649,16327373.74,4346903.987,5428701.531,1883500.637,4668267.581,31.29,1.1
41,Ethiopia,112078726,2841626802,761198230.3,1060891071,545738852.5,473798648.2,115,1.1
42,Fiji,889955,14497954.96,4122012.141,5772966.299,2649464.297,1953512.223,49.07,
43,Finland,5532159,61702251.69,15650644.71,22797647.2,7045351.893,16208607.88,18.23,1.1
44,France,65129729,752305214,194346089.2,255510636,104042174.9,198406314,119.2,1
45,Georgia,3996761,55372422.4,15835445.37,17627873.73,7920997.155,13988106.13,57.41,0.89
46,Germany,83517045,560933266.1,148092373.8,200199800,53460730.82,159180361.5,240.4,1.1
47,Ghana,30417858,629772135.1,146495278.9,253420586.7,100680114.8,129176154.6,136.6,0.87
48,Greece,10473452,118301063.1,30146131.02,42010032.63,17283683.06,28861216.4,80.86,1
49,Guatemala,17581476,357565221.4,91418189.65,153000528.1,67940448.01,45206055.68,167.2,0.97
50,Guinea,12771245,312930592.9,90730270.18,122103781.7,58315014.69,41781526.37,53.45,1.1
51,Guyana,782775,12602590.9,3636999.002,5040520.563,2271413.559,1653657.772,3.996,0.8
52,Haiti,11263079,218137234.6,61987778.5,89437569.37,26424579.01,40287307.71,413.7,0.84
53,Honduras,9746114,192464395,52958399.32,79659299.89,31064751.92,28781943.87,88.52,0.92
54,Hungary,9684680,115485592.4,31998472.96,41673293.9,13808001.76,28005823.77,106.7,1.3
55,Iceland,339037,4818328.394,1214589.568,1527745.8,624265.6183,1451727.407,3.404,0.82
56,India,1366417755,22959681135,6390441738,9193240329,3950033613,3425965455,464.1,1.1
