Date,Mobility
15-02-2020,24549836.68563408
16-02-2020,23787196.6171598
17-02-2020,24567226.39494784
18-02-2020,24402816.84731941
19-02-2020,24389520.10782826
20-02-2020,24484922.756138075
21-02-2020,25117380.757675007
22-02-2020,24620808.81289462
23-02-2020,23539500.816750634
24-02-2020,24471626.01664693
25-02-2020,24665187.461172875
26-02-2020,24206738.2369151
27-02-2020,24274169.33228946
28-02-2020,24523045.476660684
29-02-2020,24294902.343498312
01-03-2020,24446997.76560656
02-03-2020,24529301.404416326
03-03-2020,24510731.351140503
04-03-2020,24548854.07166311
05-03-2020,24435863.984048437
06-03-2020,24779160.162758514
07-03-2020,25154323.134235565
08-03-2020,23915844.132189747
09-03-2020,24536539.94614293
10-03-2020,24238407.299690973
11-03-2020,24453253.693362202
12-03-2020,24434683.64008638
13-03-2020,24524225.82062275
14-03-2020,24353362.61524757
15-03-2020,23995589.35308429
16-03-2020,24446800.035615463
17-03-2020,24022380.56205768
18-03-2020,23741637.62491948
19-03-2020,23779364.885459896
20-03-2020,23920128.796018925
21-03-2020,23940861.807227775
22-03-2020,16520056.458466297
23-03-2020,24020839.974165745
24-03-2020,22587067.245695483
25-03-2020,16496050.577467017
26-03-2020,16532597.494045366
27-03-2020,16679617.332360037
28-03-2020,16391833.583486337
29-03-2020,17303231.80815832
30-03-2020,16704245.583400402
31-03-2020,16909138.539475575
01-04-2020,16717937.78287375
02-04-2020,16901702.26775787
03-04-2020,17118711.619362127
04-04-2020,16919289.707062732
05-04-2020,17651603.570661977
06-04-2020,16997302.646058783
07-04-2020,17616463.908104576
08-04-2020,17571102.645855356
09-04-2020,17443240.014805272
10-04-2020,17195544.214396108
11-04-2020,17199637.184218727
12-04-2020,18613665.551435642
13-04-2020,17862583.904569473
14-04-2020,17348819.98046642
15-04-2020,17665522.68019421
16-04-2020,17557410.446382012
17-04-2020,17983992.877872813
18-04-2020,17503828.02843523
19-04-2020,18542693.4241751
20-04-2020,17594352.822942566
21-04-2020,17978132.410099376
22-04-2020,17576178.229648937
23-04-2020,17849287.16507833
24-04-2020,18365411.777105507
25-04-2020,17395913.524614133
26-04-2020,18726655.63905032
27-04-2020,17606666.948462747
28-04-2020,18060238.318918046
29-04-2020,17658284.138467606
30-04-2020,17931590.803888097
01-05-2020,18091907.38169391
02-05-2020,17795902.47712265
03-05-2020,19012474.159982096
04-05-2020,18401371.539695095
05-05-2020,18492094.064193532
06-05-2020,18726493.125111546
07-05-2020,19280542.727670237
08-05-2020,19859220.581269294
09-05-2020,19239274.43524364
10-05-2020,20480474.369143452
11-05-2020,20321960.505340785
12-05-2020,20514341.60590467
13-05-2020,20475434.0014022
14-05-2020,20824590.647885717
15-05-2020,21199753.619362764
16-05-2020,21127996.60812236
17-05-2020,21606161.013565693
18-05-2020,21358302.69921776
19-05-2020,21391349.835946787
20-05-2020,21333872.178168487
21-05-2020,21606981.11359788
22-05-2020,21778629.202952918
23-05-2020,21852711.686065122
24-05-2020,22363923.22823749
25-05-2020,20858818.128576808
26-05-2020,21722529.619127784
27-05-2020,21944614.554525618
28-05-2020,21969045.075574886
29-05-2020,22503542.010886785
30-05-2020,22837634.419928335
31-05-2020,22960188.52114141
01-06-2020,22968444.892891303
02-06-2020,23065225.615154278
03-06-2020,22810489.00300961
04-06-2020,22942636.297888875
05-06-2020,23248007.486067437
06-06-2020,23372329.085231338
07-06-2020,23424893.673154827
08-06-2020,23253083.069861017
09-06-2020,23146348.910001982
10-06-2020,23057004.459456712
11-06-2020,22992875.413940568
12-06-2020,23349666.062132888
13-06-2020,23194425.068120655
14-06-2020,23200645.77982397
15-06-2020,22794633.845603243
16-06-2020,22751633.271278147
17-06-2020,22470890.334139954
18-06-2020,22215758.26201309
19-06-2020,22119960.15372107
20-06-2020,21315069.178849235
21-06-2020,20635284.687121157
22-06-2020,22343027.703089867
23-06-2020,20854689.942701865
24-06-2020,21855270.103980348
25-06-2020,20681663.77939366
26-06-2020,22120942.767692037
27-06-2020,20729937.66750344
28-06-2020,20973703.012028757
29-06-2020,22107646.028200887
30-06-2020,20797014.554932464
01-07-2020,22140890.89492102
02-07-2020,20752833.636645313
03-07-2020,22228857.271513127
04-07-2020,21264632.33280644
05-07-2020,18550483.903838135
06-07-2020,22661893.360750675
07-07-2020,21784100.246728703
08-07-2020,21382146.066278264
09-07-2020,22043912.442666944
10-07-2020,22171379.61373483
11-07-2020,22061499.881971814
12-07-2020,18418138.878967773
13-07-2020,22388586.695330188
14-07-2020,22115082.299918596
15-07-2020,22025737.849373322
16-07-2020,21878322.55107645
17-07-2020,22279294.117555927
18-07-2020,22335004.277383402
19-07-2020,18144634.483556177
20-07-2020,22330911.307560787
21-07-2020,21892014.750549797
22-07-2020,21993871.056606356
23-07-2020,22063465.109913737
24-07-2020,22107646.028200887
25-07-2020,21940090.90866847
26-07-2020,18234176.664092552
27-07-2020,22362778.100327753
28-07-2020,21911567.41779659
29-07-2020,21598957.687891416
30-07-2020,22216740.87598405
31-07-2020,22401883.434821334
01-08-2020,21893195.094511863
02-08-2020,18311404.719108738
03-08-2020,22764930.010769296
04-08-2020,22236491.273221936
05-08-2020,21623981.398913983
06-08-2020,21655650.46168986
07-08-2020,21891229.866569933
08-08-2020,22100018.062476624
09-08-2020,17800751.150857344
10-08-2020,22528763.451900452
11-08-2020,21785478.320681863
12-08-2020,21077170.3380819
13-08-2020,21878915.74104975
14-08-2020,22171972.803708132
15-08-2020,21456659.225424994
16-08-2020,17896351.529158257
17-08-2020,22324265.95580748
18-08-2020,22032389.237111166
19-08-2020,21967475.30761516
20-08-2020,22217334.065957345
21-08-2020,22874420.31853465
22-08-2020,21359878.503162023
23-08-2020,18247083.979586035
24-08-2020,22344998.967016336
25-08-2020,22255456.786479965
26-08-2020,22108436.948165294
27-08-2020,22249200.85872432
28-08-2020,22364551.63426312
29-08-2020,22711940.78279581
30-08-2020,18470349.25894593
31-08-2020,22249398.58871542
01-09-2020,22396418.42703009
02-09-2020,21866997.07551177
03-09-2020,21701209.453930173
04-09-2020,22434343.4175616
05-09-2020,22756121.701082967
06-09-2020,22465192.380305286
07-09-2020,21885369.398796495
08-09-2020,22390360.22926555
09-09-2020,21382739.256251562
10-09-2020,22332684.841496147
11-09-2020,22408732.55255028
12-09-2020,22318207.758042943
13-09-2020,22313096.958197035
14-09-2020,22625741.904154528
15-09-2020,22523885.598097973
16-09-2020,22498274.733086642
17-09-2020,22211078.13820171
18-09-2020,22903728.6933864
19-09-2020,22379580.65565276
20-09-2020,22890396.73784293
21-09-2020,23013021.27116066
22-09-2020,22790936.335762825
23-09-2020,22713708.280746635
24-09-2020,22566292.982449766
25-09-2020,23011247.737225294
26-09-2020,23118377.35706653
27-09-2020,23571715.781478394
28-09-2020,22915845.088915482
29-09-2020,22350661.704798676
30-09-2020,21937969.202772312
01-10-2020,21570242.50301297
02-10-2020,21329820.460382745
03-10-2020,21773955.11512608
04-10-2020,22169618.15176855
05-10-2020,21710221.52959214
06-10-2020,21641412.36026462
07-10-2020,21945603.20448112
08-10-2020,22498077.003095545
09-10-2020,23012823.541169558
10-10-2020,23101383.107734967
11-10-2020,23414940.235558767
12-10-2020,23044888.06392763
13-10-2020,23103546.06566799
14-10-2020,23096307.523941386
15-10-2020,23114482.117235012
16-10-2020,23547122.74649036
17-10-2020,23704491.48238329
18-10-2020,24000856.630884428
19-10-2020,23056806.729465615
20-10-2020,22834919.524058882
21-10-2020,22605991.506916642
22-10-2020,22288503.923208997
23-10-2020,22599933.309152104
24-10-2020,23382323.774864264
25-10-2020,24197528.431262035
26-10-2020,22187276.02317807
27-10-2020,22526444.016013198
28-10-2020,22614805.85258751
29-10-2020,22456454.50272362
30-10-2020,22756354.6471264
31-10-2020,23082225.90047038
01-11-2020,23352584.72397799
02-11-2020,22715284.0846909
03-11-2020,22704150.303132776
04-11-2020,22417546.89822114
05-11-2020,22435721.491514765
06-11-2020,22798570.337471627
07-11-2020,23285740.782592386
08-11-2020,23626089.119389582
09-11-2020,22982730.282337952
10-11-2020,23105121.869612254
11-11-2020,23067196.87908074
12-11-2020,23959467.076555923
13-11-2020,23282863.37278416
14-11-2020,21255737.977270536
15-11-2020,22192118.66092822
16-11-2020,22366714.592196144
17-11-2020,23277752.572938252
18-11-2020,22888310.247999102
19-11-2020,23194466.320157524
20-11-2020,23423789.797281962
21-11-2020,23642531.430784713
22-11-2020,23722869.841652557
