Date,Mobility
15-02-2020,6100873.430911762
16-02-2020,5869217.790565985
17-02-2020,6027891.071914367
18-02-2020,6155819.518219672
19-02-2020,6123952.574031766
20-02-2020,6173830.69365447
21-02-2020,5996986.881239347
22-02-2020,5877242.687832687
23-02-2020,5926350.204741662
24-02-2020,6167463.863850331
25-02-2020,6072658.7302550245
26-02-2020,6170906.559240188
27-02-2020,6193843.744070405
28-02-2020,6126884.407358576
29-02-2020,6057554.2918923525
01-03-2020,5917428.144296501
02-03-2020,6151077.960710884
03-03-2020,6234799.803247947
04-03-2020,6386896.7066508755
05-03-2020,6392191.619819553
06-03-2020,6265360.186404394
07-03-2020,6258088.494509266
08-03-2020,5972927.587264299
09-03-2020,5940205.973494772
10-03-2020,6089605.687966889
11-03-2020,6292829.380602086
12-03-2020,6149260.537616377
13-03-2020,6146545.951343409
14-03-2020,5917637.692437814
15-03-2020,5892137.578054045
16-03-2020,6132346.375071726
17-03-2020,6000421.877716676
18-03-2020,6247164.559082967
19-03-2020,6376207.415620577
20-03-2020,6232269.668861609
21-03-2020,6266297.843662597
22-03-2020,
23-03-2020,6126917.20252579
24-03-2020,5719674.118286981
25-03-2020,5274950.4654277
26-03-2020,5199437.972043967
27-03-2020,5158674.063665582
28-03-2020,5143938.529076168
29-03-2020,5176660.142845695
30-03-2020,5259125.616860667
31-03-2020,5279507.571049861
01-04-2020,5381215.492767037
02-04-2020,5365575.096086634
03-04-2020,5156480.037885288
04-04-2020,5195593.577713639
05-04-2020,5274179.86271397
06-04-2020,5277129.093382938
07-04-2020,5311718.322756341
08-04-2020,5434720.759666229
09-04-2020,5466931.51137271
10-04-2020,5333917.7000400415
11-04-2020,5358111.253392348
12-04-2020,5354618.3654931225
13-04-2020,5378869.810267326
14-04-2020,5325197.488823664
15-04-2020,5491845.474929378
16-04-2020,5328071.430728576
17-04-2020,
18-04-2020,5304605.986493157
19-04-2020,5217416.352311552
20-04-2020,5269136.991283449
21-04-2020,5361755.798010991
22-04-2020,5439798.425781063
23-04-2020,5263106.270085355
24-04-2020,5126624.667108145
25-04-2020,5295140.268817735
26-04-2020,5298934.470638693
27-04-2020,5373928.403046852
28-04-2020,5509320.692046445
29-04-2020,5625948.600239664
30-04-2020,5629593.144858306
01-05-2020,5431245.269109159
02-05-2020,5523864.0758367
03-05-2020,5536764.789989451
04-05-2020,5653066.2880062545
05-05-2020,5569905.500041605
06-05-2020,5597726.200670399
07-05-2020,5675819.0209498415
08-05-2020,5537871.501309225
09-05-2020,5563538.670237468
10-05-2020,5599167.021079119
11-05-2020,5774435.753708264
12-05-2020,5782084.048289179
13-05-2020,5865219.739999142
14-05-2020,5821197.588117529
15-05-2020,5723837.223881198
16-05-2020,5756583.93390541
17-05-2020,5731460.422207428
18-05-2020,5819011.261249764
19-05-2020,5847041.510019871
20-05-2020,5962026.748575585
21-05-2020,5822822.860412879
22-05-2020,5862681.906700275
23-05-2020,5853784.9425097965
24-05-2020,6002606.205067341
