Date,Mobility
15-02-2020,59907542.366617605
16-02-2020,59171007.39238007
17-02-2020,59610128.946329445
18-02-2020,59952253.49612587
19-02-2020,59431780.01062157
20-02-2020,58568766.9793239
21-02-2020,52016287.89555888
22-02-2020,58836457.587720014
23-02-2020,53742463.0664553
24-02-2020,32621557.334384188
25-02-2020,32211985.35531485
26-02-2020,26872287.119753126
27-02-2020,24537114.718302492
28-02-2020,29980877.05647285
29-02-2020,56092784.958178714
01-03-2020,56115440.67161506
02-03-2020,57409170.51973189
03-03-2020,58197415.1999606
04-03-2020,57587934.451436654
05-03-2020,59000728.78413378
06-03-2020,53326988.39059268
07-03-2020,59981895.721689664
08-03-2020,61439735.59356367
09-03-2020,51695654.65753636
10-03-2020,42852956.06081383
11-03-2020,50729222.214256346
12-03-2020,57445811.321778566
13-03-2020,57758708.64200813
14-03-2020,56114864.502961576
15-03-2020,57654713.06137231
16-03-2020,58457531.06322031
17-03-2020,57914494.51496342
18-03-2020,58041053.15835182
19-03-2020,57669286.3829916
20-03-2020,56553905.47058266
21-03-2020,54947278.30223626
22-03-2020,36742652.61127761
23-03-2020,40408115.07656346
24-03-2020,38481926.421173215
25-03-2020,36645079.43847121
26-03-2020,36905356.474387504
27-03-2020,37225332.95742828
28-03-2020,37448393.02264441
29-03-2020,39249094.78562492
30-03-2020,37753300.60174069
31-03-2020,38608485.06456163
01-04-2020,37559963.34841661
02-04-2020,37217838.79862017
03-04-2020,38772260.6786502
04-04-2020,38556694.772242166
05-04-2020,40506103.24536677
06-04-2020,38772180.09232191
07-04-2020,42155378.62759236
08-04-2020,41344905.29427969
09-04-2020,41121845.22906355
10-04-2020,41054986.03279961
11-04-2020,39865251.76531861
12-04-2020,41955872.78977921
13-04-2020,40735343.95942747
14-04-2020,40809362.904830895
15-04-2020,40839500.71271986
16-04-2020,36482294.98903302
17-04-2020,37218749.37694227
18-04-2020,36809765.63088188
19-04-2020,38372338.42470178
20-04-2020,36921335.956654094
21-04-2020,37344893.024333775
22-04-2020,36571636.66172127
23-04-2020,36341082.43769703
24-04-2020,37746717.02125468
25-04-2020,36512271.624265425
26-04-2020,38193908.90266562
27-04-2020,36854396.174061865
28-04-2020,37627652.53667437
29-04-2020,36735412.27580984
30-04-2020,36653564.7619297
01-05-2020,37531231.70117494
02-05-2020,37583436.9894913
03-05-2020,39034439.457538985
04-05-2020,38855018.77085245
05-05-2020,39888552.16938125
06-05-2020,39561496.5235293
07-05-2020,38787825.16491988
08-05-2020,40929994.722715065
09-05-2020,39873898.261433676
10-05-2020,41622394.73609782
11-05-2020,40372304.26651059
12-05-2020,41517327.40448332
13-05-2020,38884741.58274451
14-05-2020,39115376.39309703
15-05-2020,40372304.26651059
16-05-2020,40231091.7151746
17-05-2020,41525893.314270094
18-05-2020,40528505.13546278
19-05-2020,41718239.402943775
