Date,Mobility
15-02-2020,41023557.19069211
16-02-2020,41294855.30971381
17-02-2020,40689506.46345666
18-02-2020,41047694.15890155
19-02-2020,41078539.60173246
20-02-2020,41610560.537457794
21-02-2020,37149768.45597791
22-02-2020,41147137.76609825
23-02-2020,41801623.46724371
24-02-2020,41439623.03153632
25-02-2020,41999593.67573359
26-02-2020,41366349.208438575
27-02-2020,41517825.404882565
28-02-2020,42141465.66319711
29-02-2020,41206994.63995301
01-03-2020,40805262.7542553
02-03-2020,40942459.08298689
03-03-2020,41027369.93095462
04-03-2020,40999420.22248268
05-03-2020,41022441.38070611
06-03-2020,41261977.05099336
07-03-2020,40522580.50188017
08-03-2020,41706191.404391974
09-03-2020,40233763.260056235
10-03-2020,31201297.26911225
11-03-2020,40056117.279513285
12-03-2020,42251629.28936028
13-03-2020,40504953.20420976
14-03-2020,39895845.705124184
15-03-2020,40859328.159392126
16-03-2020,40675890.71013121
17-03-2020,40911414.8360735
18-03-2020,40945156.01326339
19-03-2020,41493489.63259066
20-03-2020,40976001.4560943
21-03-2020,39830861.47693843
22-03-2020,29971856.468941513
23-03-2020,38103447.89718292
24-03-2020,37685403.32788327
25-03-2020,29588470.08273529
26-03-2020,29929229.284592222
27-03-2020,30467958.694939036
28-03-2020,30232434.568996757
29-03-2020,31593836.168699898
30-03-2020,30147523.721029025
31-03-2020,30842657.878068328
01-04-2020,30488282.92288596
02-04-2020,30985446.87143539
03-04-2020,31646839.851284806
04-04-2020,31868030.022080585
05-04-2020,32513973.23679749
06-04-2020,31490435.10459231
07-04-2020,33581683.13186227
08-04-2020,33240923.93000534
09-04-2020,33236912.38566036
10-04-2020,34096275.57399965
11-04-2020,33114447.62024023
12-04-2020,34250846.308885075
13-04-2020,33301697.80976364
14-04-2020,33496772.28389454
15-04-2020,33700533.961102374
16-04-2020,30278874.493608557
17-04-2020,30790571.20138696
18-04-2020,30272166.018987074
19-04-2020,30795445.66420138
20-04-2020,29938115.291751623
21-04-2020,30831219.657280806
22-04-2020,31049315.289635137
23-04-2020,31007749.827837754
24-04-2020,31359229.048661157
25-04-2020,30691127.59419026
26-04-2020,30941130.39192741
27-04-2020,30199755.11435877
28-04-2020,30851345.081145257
29-04-2020,31083056.466825023
30-04-2020,31061815.232974567
01-05-2020,31484788.35252273
02-05-2020,31351603.568136133
03-05-2020,32048716.453630887
04-05-2020,32289169.129821673
05-05-2020,31695457.308434516
06-05-2020,32858025.781178344
