Date,Mobility
15-02-2020,20838423.87985418
16-02-2020,20900766.802759018
17-02-2020,20722415.353080854
18-02-2020,20922322.446599223
19-02-2020,21107830.896213327
20-02-2020,21137323.438202683
21-02-2020,19771485.630724818
22-02-2020,20854173.554794095
23-02-2020,21196964.299036216
24-02-2020,21104557.701319575
25-02-2020,21153768.36732342
26-02-2020,20942735.824794542
27-02-2020,21457902.761749767
28-02-2020,21181214.624096297
29-02-2020,20930830.477570817
01-03-2020,20642445.758084387
02-03-2020,20811548.755903743
03-03-2020,20670587.269038085
04-03-2020,20710594.649889518
05-03-2020,21195613.268000558
06-03-2020,20832493.789595507
07-03-2020,21240199.708075
08-03-2020,21978960.31163767
09-03-2020,20866208.712756597
10-03-2020,17333390.09400737
11-03-2020,20233766.862024773
12-03-2020,21940388.605854277
13-03-2020,22110718.513350908
14-03-2020,21457292.15160133
15-03-2020,21533864.430345666
16-03-2020,21328722.500749454
17-03-2020,21253987.74183083
18-03-2020,21555504.718218256
19-03-2020,21391636.556476742
20-03-2020,21039642.5270822
21-03-2020,20861375.721436426
22-03-2020,16722210.477692598
23-03-2020,20065721.48581792
24-03-2020,18937706.700786985
25-03-2020,16479152.619167829
26-03-2020,16926170.66431793
27-03-2020,16871725.162236243
28-03-2020,17053304.640101768
29-03-2020,18221242.161951743
30-03-2020,17408571.864390053
31-03-2020,17417079.895361647
01-04-2020,17319438.461567167
02-04-2020,17572440.026131567
03-04-2020,17657604.97987988
04-04-2020,17900747.48243704
05-04-2020,18460416.215434324
06-04-2020,17622221.82495786
07-04-2020,18029317.133288912
08-04-2020,18071941.932179265
09-04-2020,17994589.75522172
10-04-2020,18073864.096037358
11-04-2020,17949347.538292445
12-04-2020,18472282.08533205
13-04-2020,18082372.127008952
14-04-2020,18148598.854955982
15-04-2020,18813235.30974846
16-04-2020,17930324.668458775
17-04-2020,17881114.002454933
18-04-2020,17740847.7697701
19-04-2020,18208765.681905575
20-04-2020,17937481.66839472
21-04-2020,17831332.203628644
22-04-2020,17995856.142224982
23-04-2020,17989965.52929231
24-04-2020,18048255.359090194
25-04-2020,17949262.89426006
26-04-2020,17960303.699238192
27-04-2020,18142623.59799093
28-04-2020,18086255.932051145
29-04-2020,18301256.9236546
30-04-2020,18214740.93887063
01-05-2020,18157022.241895195
02-05-2020,18377258.06957649
03-05-2020,18856301.43072248
04-05-2020,18621751.603169303
05-05-2020,18756127.22292146
06-05-2020,19453529.414597046
07-05-2020,19132378.95822751
08-05-2020,19514436.662433848
09-05-2020,19166411.08211388
10-05-2020,19600212.2263306
11-05-2020,19869048.109867305
12-05-2020,20011931.760591064
13-05-2020,20423566.650819134
14-05-2020,20548083.208564047
15-05-2020,20782717.68014961
16-05-2020,20543458.982634645
17-05-2020,20868493.244046368
18-05-2020,20615576.323514346
19-05-2020,20660818.54044362
20-05-2020,21034452.85771075
21-05-2020,20759811.005273756
22-05-2020,21095360.10554755
23-05-2020,20731584.850287672
24-05-2020,20895368.367996797
25-05-2020,19849414.629885197
26-05-2020,20462833.61078335
27-05-2020,20812210.222138967
28-05-2020,21151727.771487337
29-05-2020,20479849.672726534
30-05-2020,20365107.53295648
31-05-2020,20807501.352177177
01-06-2020,20729578.04239719
02-06-2020,21517464.667931307
03-06-2020,21214681.30454062
04-06-2020,21533214.342871226
05-06-2020,21535831.76091015
06-06-2020,21619074.550800372
07-06-2020,21456472.77606212
08-06-2020,21627582.581771966
09-06-2020,21573832.333871096
10-06-2020,21726575.046602096
11-06-2020,22022201.410056848
12-06-2020,21761958.201524124
13-06-2020,21594901.488921247
14-06-2020,21748825.944623128
15-06-2020,21757418.619627103
16-06-2020,21885903.62644659
17-06-2020,21674175.829736885
18-06-2020,21912083.4962162
19-06-2020,21554198.85388899
20-06-2020,21747559.55761986
21-06-2020,21297144.196217626
22-06-2020,21834075.54240383
23-06-2020,21726575.046602096
24-06-2020,21628933.612807617
25-06-2020,21767277.68163435
26-06-2020,21316291.187409677
27-06-2020,21662394.603871547
28-06-2020,21267775.775586654
29-06-2020,21227853.038767613
30-06-2020,21621120.836016845
01-07-2020,21134751.18687015
02-07-2020,21569292.751974076
03-07-2020,21368690.40427489
04-07-2020,21630199.999810882
05-07-2020,21527934.340086993
06-07-2020,21013423.179986596
07-07-2020,21147798.799738754
08-07-2020,21166165.892717596
09-07-2020,20861336.244110428
10-07-2020,20962290.350124653
11-07-2020,17812880.466617417
12-07-2020,18577691.12921091
13-07-2020,20875079.111159865
14-07-2020,21158924.24874927
15-07-2020,21514191.473037563
16-07-2020,21137939.737731513
17-07-2020,21181830.92362513
18-07-2020,17969506.984390605
19-07-2020,18785450.476846043
20-07-2020,21480074.705118805
21-07-2020,20883587.14213146
22-07-2020,21286714.00138794
23-07-2020,21227073.1405544
24-07-2020,21688489.829608764
25-07-2020,17991147.272263195
26-07-2020,18639949.408083368
27-07-2020,21369956.791278157
28-07-2020,20717101.56235102
29-07-2020,20068214.78249846
30-07-2020,21962560.549223315
31-07-2020,22132319.3238975
01-08-2020,18237687.091072485
02-08-2020,20129901.928548474
03-08-2020,20415962.639419135
04-08-2020,21454635.256236415
05-08-2020,20909891.133259445
06-08-2020,21150416.217777677
07-08-2020,21377809.04539492
08-08-2020,18314954.623997644
09-08-2020,18990631.883768253
10-08-2020,21584302.006026782
11-08-2020,20919665.5512343
