Date,Mobility
15-02-2020,38093951.24036534
16-02-2020,37820870.7317027
17-02-2020,37513238.3396755
18-02-2020,37415533.014468156
19-02-2020,38230612.855558
20-02-2020,37744301.97510994
21-02-2020,35106456.12066761
22-02-2020,37231119.838327006
23-02-2020,38380460.606056266
24-02-2020,38117276.470011994
25-02-2020,35219806.04849195
26-02-2020,37607640.35991729
27-02-2020,38181760.192954324
28-02-2020,39185644.07452774
29-02-2020,38708128.46504287
01-03-2020,38705926.26173249
02-03-2020,39105772.01296942
03-03-2020,37193507.37171956
04-03-2020,38637051.67444774
05-03-2020,38475963.72795324
06-03-2020,38840142.95189211
07-03-2020,38738046.76234233
08-03-2020,41657741.311853826
09-03-2020,37492933.06643676
10-03-2020,28327639.77845684
11-03-2020,36136110.15692071
12-03-2020,38482799.51732871
13-03-2020,35375145.764987834
14-03-2020,37235510.702669434
15-03-2020,38087358.172712535
16-03-2020,38696888.26904664
17-03-2020,37453145.4810756
18-03-2020,38034959.48342063
19-03-2020,37795100.57702301
20-03-2020,38063776.67906489
21-03-2020,36880971.587347955
22-03-2020,26685767.99911393
23-03-2020,34256568.13221222
24-03-2020,31733416.028972074
25-03-2020,26103697.732767906
26-03-2020,26485710.2203558
27-03-2020,26599046.605901804
28-03-2020,26630066.004856452
29-03-2020,28634800.269317046
30-03-2020,27532954.79853528
31-03-2020,27383107.048037015
01-04-2020,26999993.458793923
02-04-2020,27184406.634935066
03-04-2020,28111721.759915728
04-04-2020,27640799.21808367
05-04-2020,29095839.980809063
06-04-2020,27425366.64298788
07-04-2020,28970148.755333308
08-04-2020,29126589.573484376
09-04-2020,29143321.73547822
10-04-2020,29549760.554367956
11-04-2020,29108756.30983535
12-04-2020,30844814.472254053
13-04-2020,29886223.684317745
14-04-2020,29048919.715236437
15-04-2020,30096164.293415915
16-04-2020,28040644.9693206
17-04-2020,28321662.3690139
18-04-2020,28358173.73396616
19-04-2020,29573355.590293933
20-04-2020,29308814.08859348
21-04-2020,28346088.700315744
22-04-2020,29374398.913190994
23-04-2020,28374905.895960007
24-04-2020,28357072.63231097
25-04-2020,27802732.002232358
26-04-2020,29343136.79251369
27-04-2020,28664462.3026155
28-04-2020,28848875.478756644
29-04-2020,29058816.087854814
30-04-2020,29290980.824944444
01-05-2020,27683903.650688734
02-05-2020,29262163.62930018
03-05-2020,30752614.65532264
04-05-2020,29900767.18527954
05-05-2020,28849131.742757633
06-05-2020,29728695.30678982
07-05-2020,30067347.097771656
08-05-2020,31466685.866239566
09-05-2020,30791314.681306954
10-05-2020,31177987.839516602
11-05-2020,31717784.968633424
12-05-2020,31997701.26667154
13-05-2020,33057030.878501434
14-05-2020,33814462.78602442
15-05-2020,34309811.65915833
16-05-2020,34562856.70086156
17-05-2020,33860025.68594087
18-05-2020,35242618.75013661
19-05-2020,34531837.30190691
20-05-2020,35369141.270988226
21-05-2020,35767885.920569964
22-05-2020,35450357.155924395
23-05-2020,35630123.20372211
24-05-2020,35377091.704297215
25-05-2020,31048148.471421078
26-05-2020,34558708.5582418
27-05-2020,35540368.31182375
28-05-2020,35844710.941163704
29-05-2020,36650995.51129037
30-05-2020,36593104.856000856
31-05-2020,36129031.645822585
01-06-2020,36443257.10550258
02-06-2020,36298901.32100193
03-06-2020,37111778.95878141
04-06-2020,37462772.047414646
05-06-2020,36616430.08564749
06-06-2020,37607127.831915304
07-06-2020,36050260.685919456
08-06-2020,38222406.158248015
09-06-2020,36794250.19413583
10-06-2020,37942489.8602099
11-06-2020,37528356.87201217
12-06-2020,38005872.48149704
13-06-2020,37251730.336661294
14-06-2020,36449005.335501194
15-06-2020,37456178.97976185
16-06-2020,37299738.161610775
17-06-2020,35899055.569764994
18-06-2020,37211929.20902179
19-06-2020,37330757.56056541
20-06-2020,37451788.11541942
21-06-2020,34653124.120761916
22-06-2020,37696037.886159465
23-06-2020,37497337.47305753
24-06-2020,37140852.418426655
25-06-2020,36434461.83453939
26-06-2020,37340896.65490645
27-06-2020,35847155.866196744
28-06-2020,34929993.37783545
29-06-2020,36917725.674022876
30-06-2020,36630115.20667677
01-07-2020,36655642.6396338
02-07-2020,37307432.33091877
03-07-2020,38471303.05733149
04-07-2020,38169162.63130191
05-07-2020,36252507.12570962
06-07-2020,38359067.77344067
07-07-2020,31859938.549823694
08-07-2020,37578310.63627104
09-07-2020,37779455.97440603
10-07-2020,38447977.82768484
11-07-2020,27298844.122136265
12-07-2020,28977011.629265442
13-07-2020,37936997.89421228
14-07-2020,37953730.05620613
15-07-2020,37740499.68442072
