Date,Mobility
15-02-2020,51875996.97510548
16-02-2020,51820868.71581251
17-02-2020,52149344.149094716
18-02-2020,51588165.14234157
19-02-2020,51362513.412278086
20-02-2020,51132696.661886066
21-02-2020,48637778.58889569
22-02-2020,50914223.765883304
23-02-2020,52509294.75104544
24-02-2020,51705219.52302847
25-02-2020,50979290.691662654
26-02-2020,49982901.50938654
27-02-2020,52554103.37189228
28-02-2020,52489036.44611293
29-02-2020,52489036.44611293
01-03-2020,53875700.19241196
02-03-2020,53577802.70250841
03-03-2020,53468054.146535456
04-03-2020,53509848.95365011
05-03-2020,54040577.00767786
06-03-2020,55036839.199300736
07-03-2020,55882709.234432384
08-03-2020,58758733.43959591
09-03-2020,58415188.93765286
10-03-2020,40382794.8803249
11-03-2020,50981339.123548925
12-03-2020,55023632.73777569
13-03-2020,52247291.431445464
14-03-2020,50922553.806540385
15-03-2020,53677612.591994956
16-03-2020,53020915.70673704
17-03-2020,53023929.52046921
18-03-2020,52144594.71888
19-03-2020,52517751.782355785
20-03-2020,52507559.134562895
21-03-2020,51265259.91729078
22-03-2020,38886636.55935941
23-03-2020,50407334.62723045
24-03-2020,48079155.97664178
25-03-2020,37299768.624201104
26-03-2020,37734978.79972408
27-03-2020,38186282.25985104
28-03-2020,38213719.39884427
29-03-2020,40208360.37053231
30-03-2020,39107411.86855493
31-03-2020,39202929.74705969
01-04-2020,38278786.32462363
02-04-2020,38333787.59326336
03-04-2020,38952854.69173514
04-04-2020,39548649.67154224
05-04-2020,41395785.30981796
06-04-2020,39833340.69992073
07-04-2020,41342959.46371776
08-04-2020,40551963.70657259
09-04-2020,40864218.86459757
10-04-2020,40959736.743102334
11-04-2020,40994352.71615628
12-04-2020,43242082.55690104
13-04-2020,41692844.40852885
14-04-2020,41778169.639240734
15-04-2020,41853429.212812975
16-04-2020,39120618.33007997
17-04-2020,38860350.62696255
18-04-2020,38524823.35027288
19-04-2020,39430571.0749122
20-04-2020,38980291.83072838
21-04-2020,38555274.30299828
22-04-2020,38887787.76595578
23-04-2020,39398257.515051
24-04-2020,39459159.42050181
25-04-2020,39298574.61621769
26-04-2020,40173871.3881316
27-04-2020,40161816.13320293
28-04-2020,39641280.72696808
29-04-2020,39754043.09667319
30-04-2020,40219704.22492158
01-05-2020,38900994.22748083
02-05-2020,40273427.29631167
03-05-2020,41576755.409687854
04-05-2020,41519891.533912346
05-05-2020,40506257.860435866
06-05-2020,43065988.87789911
07-05-2020,43080346.54602054
08-05-2020,44397905.3368649
09-05-2020,41998632.13303254
10-05-2020,43112787.096534975
11-05-2020,44237320.532580785
12-05-2020,45253968.01978943
13-05-2020,45055753.428719185
14-05-2020,45856941.833657235
15-05-2020,46468830.09806831
16-05-2020,45787709.88754933
17-05-2020,46334658.2168343
18-05-2020,46342861.26683815
19-05-2020,47096227.23719719
20-05-2020,47093213.42346502
21-05-2020,47486628.79187334
22-05-2020,47452012.81881939
23-05-2020,47674650.73515069
24-05-2020,46612170.41115208
25-05-2020,44925492.58650723
26-05-2020,47612597.62310351
27-05-2020,47143922.68112296
28-05-2020,48208392.60291061
29-05-2020,48793994.93492482
30-05-2020,48040628.96456578
31-05-2020,46042661.363741845
01-06-2020,49420113.87680408
02-06-2020,50053538.643397294
03-06-2020,49221899.28573384
04-06-2020,50283355.39378932
05-06-2020,44094107.21015025
06-06-2020,49350881.93069618
07-06-2020,46312994.72399892
08-06-2020,50196751.96582783
09-06-2020,48967659.21008075
10-06-2020,49652944.440928265
11-06-2020,51159676.381646365
12-06-2020,51515461.963268556
13-06-2020,50909474.335668586
14-06-2020,47586896.10059282
15-06-2020,52378576.489600554
16-06-2020,50406310.411287315
17-06-2020,50821135.291224524
18-06-2020,49146766.70281485
19-06-2020,48283525.1858296
20-06-2020,48248909.21277565
21-06-2020,45605588.58108308
22-06-2020,52474094.36810532
23-06-2020,51200192.99151142
24-06-2020,51450268.04683597
25-06-2020,50591318.54083251
26-06-2020,51127947.23167134
27-06-2020,50754790.16819555
28-06-2020,46309853.9196135
29-06-2020,50331050.83771508
30-06-2020,50679657.58527656
01-07-2020,49830773.736412756
02-07-2020,50464198.50300596
03-07-2020,47879917.16962841
04-07-2020,48047680.80797324
05-07-2020,45300512.25711881
06-07-2020,48537765.26148269
07-07-2020,45778668.44635283
08-07-2020,46718778.16273962
09-07-2020,45904637.277582996
10-07-2020,47321751.976607434
11-07-2020,39277038.11403555
12-07-2020,41241228.13299818
13-07-2020,48445261.1967101
14-07-2020,47178538.654176906
15-07-2020,48503149.288428746
16-07-2020,49236256.95385527
17-07-2020,49461908.683918744
18-07-2020,40821399.84153976
19-07-2020,41351103.67962438
20-07-2020,48192172.327653386
21-07-2020,47318865.15352851
22-07-2020,48192172.327653386
23-07-2020,48493083.6312891
24-07-2020,47579132.856645934
25-07-2020,41772980.402969055
26-07-2020,42781424.840173855
27-07-2020,49917377.16437425
28-07-2020,44837280.53271642
29-07-2020,49119202.57316837
30-07-2020,48698477.05642005
31-07-2020,48581422.67573315
01-08-2020,41741251.25299403
02-08-2020,45468275.895463645
03-08-2020,45832010.54578321
04-08-2020,50028988.32748298
05-08-2020,48324168.78634789
06-08-2020,48001847.97118327
07-08-2020,50684660.99679776
08-08-2020,42191530.49717786
09-08-2020,44100846.23815401
10-08-2020,52743530.5030725
11-08-2020,51288786.01726195
12-08-2020,47913508.92673922
13-08-2020,51429112.51661354
14-08-2020,51945482.90251985
15-08-2020,42814762.61597819
16-08-2020,44789145.28273371
17-08-2020,
18-08-2020,
19-08-2020,
20-08-2020,
21-08-2020,
22-08-2020,43469723.884753555
23-08-2020,45395132.91033369
24-08-2020,
25-08-2020,
26-08-2020,
27-08-2020,
28-08-2020,
29-08-2020,44116228.12221857
30-08-2020,45029154.680918604
31-08-2020,
01-09-2020,
02-09-2020,
03-09-2020,
04-09-2020,
05-09-2020,
06-09-2020,44958060.12767492
07-09-2020,
08-09-2020,
09-09-2020,
10-09-2020,
11-09-2020,50772415.631355636
12-09-2020,52617688.662495576
13-09-2020,50956399.54495768
14-09-2020,53658759.47496529
15-09-2020,52128755.41558249
16-09-2020,53252137.64503193
17-09-2020,49284206.379087515
18-09-2020,51913296.3333119
19-09-2020,54922722.185072795
20-09-2020,54011785.224161796
21-09-2020,54423469.299713604
22-09-2020,51270957.11617542
23-09-2020,50501370.87055915
24-09-2020,47738109.03510074
25-09-2020,48305188.67866499
26-09-2020,52798074.35247929
27-09-2020,52965837.99082412
28-09-2020,52353822.735759795
29-09-2020,50531821.82328456
30-09-2020,49188434.51927627
01-10-2020,46211322.227376565
02-10-2020,45622452.10032371
03-10-2020,50336951.474526174
04-10-2020,48614633.460884236
05-10-2020,48131600.85078226
06-10-2020,44418494.07037712
07-10-2020,49003756.81831077
08-10-2020,49995523.56102541
09-10-2020,50505993.31012063
10-10-2020,51181212.88382851
11-10-2020,50646319.80947222
12-10-2020,52122473.806811675
13-10-2020,51609117.23463753
14-10-2020,52677625.18610048
15-10-2020,53263354.50876794
16-10-2020,54759893.80169316
17-10-2020,54434813.15410285
18-10-2020,53804402.2012418
19-10-2020,55185038.32007649
20-10-2020,53828698.53584963
21-10-2020,55685061.44007234
22-10-2020,55303574.33593947
23-10-2020,56070019.777170315
24-10-2020,56649594.4817202
25-10-2020,59849929.09983737
26-10-2020,57347959.18343952
27-10-2020,57008393.877074555
28-10-2020,55410309.07818024
29-10-2020,55800837.62350962
30-10-2020,54147751.555975586
31-10-2020,57485652.84101868
01-11-2020,56311307.37260485
02-11-2020,57269939.7774416
03-11-2020,58793916.209360056
04-11-2020,57842335.64793076
05-11-2020,56123158.43867424
06-11-2020,56105913.94747389
07-11-2020,58814428.49559906
08-11-2020,57502770.3415658
09-11-2020,56150595.57766748
10-11-2020,58300817.942118436
11-11-2020,57999906.63848272
12-11-2020,61694490.73043789
13-11-2020,62742613.38631508
14-11-2020,57446930.681733415
15-11-2020,56976080.31721336
16-11-2020,57024799.97708225
17-11-2020,61327234.303773195
18-11-2020,61163635.685756914
19-11-2020,64717893.27836048
20-11-2020,56274320.82980213
21-11-2020,58795397.84453613
22-11-2020,63179559.1783206
23-11-2020,62580750.38478133
24-11-2020,63436813.06770586
25-11-2020,62560365.089195564
26-11-2020,61066839.61000252
27-11-2020,62183296.98669772
28-11-2020,65436770.26631882
29-11-2020,65727361.93150841
30-11-2020,60441490.90275992
01-12-2020,63254437.77993311
02-12-2020,62248236.921823844
03-12-2020,64457752.5658963
04-12-2020,64885783.90735857
05-12-2020,67364481.7050917
06-12-2020,65754799.070501655
07-12-2020,63840294.093253806
08-12-2020,62861276.39283129
09-12-2020,60711054.028380334
10-12-2020,63420846.77375512
11-12-2020,63195195.04369166
12-12-2020,62585296.37706961
13-12-2020,63931443.51350359
14-12-2020,64096193.33811624
15-12-2020,63250323.30298462
16-12-2020,62185980.37185021
17-12-2020,61600505.030489236
18-12-2020,61973662.09396502
19-12-2020,62394641.592019804
20-12-2020,60141595.52435013
21-12-2020,61682943.438122176
22-12-2020,61600505.030489236
23-12-2020,60984451.74574961
24-12-2020,61172600.67968021
25-12-2020,58570820.873795815
26-12-2020,61418637.70532945
27-12-2020,60702774.531103276
28-12-2020,61843528.24240631
29-12-2020,60531997.07902628
30-12-2020,59943380.933279894
31-12-2020,61843528.24240631
