Date,Mobility
15-02-2020,33244806.86030432
16-02-2020,
17-02-2020,33116099.119598877
18-02-2020,35311081.03473778
19-02-2020,34759808.692517474
20-02-2020,33901160.526201695
21-02-2020,31630507.764160577
22-02-2020,32485455.95791912
23-02-2020,
24-02-2020,32589884.5585295
25-02-2020,32564826.77737857
26-02-2020,33194023.924121693
27-02-2020,34066331.62252675
28-02-2020,35045804.73179816
29-02-2020,33946144.75182377
01-03-2020,
02-03-2020,32597760.030872297
03-03-2020,33144694.32828273
04-03-2020,32957350.15527295
05-03-2020,32015000.450094882
06-03-2020,33261188.551835507
07-03-2020,32485448.632512093
08-03-2020,33980524.02025411
09-03-2020,33466530.30174444
10-03-2020,
11-03-2020,29652770.67684868
12-03-2020,32446893.864296187
13-03-2020,32750732.260858737
14-03-2020,28394369.057955395
15-03-2020,32367515.719429713
16-03-2020,32702848.6799564
17-03-2020,33016001.238391332
18-03-2020,32822227.607975397
19-03-2020,32310325.302062005
20-03-2020,32551982.51338029
21-03-2020,31045501.551169585
22-03-2020,
23-03-2020,28626726.758215338
24-03-2020,27536388.265520357
25-03-2020,
26-03-2020,
27-03-2020,
28-03-2020,
29-03-2020,
30-03-2020,
31-03-2020,
01-04-2020,
02-04-2020,
03-04-2020,
04-04-2020,
05-04-2020,
06-04-2020,
07-04-2020,
08-04-2020,
09-04-2020,
10-04-2020,
11-04-2020,
12-04-2020,
13-04-2020,
14-04-2020,
15-04-2020,
16-04-2020,
17-04-2020,
18-04-2020,
19-04-2020,
20-04-2020,
21-04-2020,28335747.27646511
22-04-2020,27649345.061540227
23-04-2020,27901762.44966752
24-04-2020,29146511.861878544
25-04-2020,
26-04-2020,
27-04-2020,28741129.56917183
28-04-2020,29418210.296817303
29-04-2020,28716064.462613866
30-04-2020,29931573.26848137
01-05-2020,29680594.56988367
02-05-2020,29343815.594420366
03-05-2020,
04-05-2020,28962052.393334996
05-05-2020,28583819.29437551
06-05-2020,29165778.257875957
07-05-2020,29608446.49970032
08-05-2020,31573169.452582598
09-05-2020,
10-05-2020,
11-05-2020,30241173.74856934
12-05-2020,30061697.722495336
13-05-2020,30203249.727199055
14-05-2020,31118457.564036917
15-05-2020,32172318.05029823
16-05-2020,
17-05-2020,
18-05-2020,31041971.449043695
19-05-2020,30962593.30417722
20-05-2020,31485915.835373346
21-05-2020,31838438.430115193
22-05-2020,32685673.696555268
23-05-2020,28443713.304608412
24-05-2020,
25-05-2020,29431862.50349956
26-05-2020,31358661.43501155
27-05-2020,30106689.273524426
28-05-2020,31001170.048614208
29-05-2020,31986412.56681805
30-05-2020,28718934.51626604
31-05-2020,
01-06-2020,29998063.196907412
02-06-2020,30285505.25112472
03-06-2020,31485908.509966318
04-06-2020,31147052.772720776
05-06-2020,32391149.4618651
06-06-2020,32337481.82121626
07-06-2020,
08-06-2020,32726475.09698476
09-06-2020,31761944.989714947
10-06-2020,31461644.02068531
11-06-2020,32592798.56462382
12-06-2020,33646659.05088513
13-06-2020,30054615.542022478
14-06-2020,
15-06-2020,31194283.63055642
16-06-2020,32608534.858495355
17-06-2020,28855517.729314264
18-06-2020,31157820.27493681
19-06-2020,32807291.93138083
20-06-2020,29352477.03322607
21-06-2020,
22-06-2020,31187854.173150264
23-06-2020,32322531.49380764
24-06-2020,31633244.574416533
25-06-2020,31688358.230001997
26-06-2020,31796976.98121199
27-06-2020,30467865.981664952
28-06-2020,
29-06-2020,31345149.79713253
30-06-2020,31809175.8475506
01-07-2020,30969008.11076934
