Date,Mobility
15-02-2020,28258704.378909577
16-02-2020,27845169.666529942
17-02-2020,27823288.07899577
18-02-2020,28629873.711667355
19-02-2020,27692903.298118077
20-02-2020,27865164.321777772
21-02-2020,27375005.331212703
22-02-2020,27296507.680392753
23-02-2020,27612481.950335607
24-02-2020,28008877.568060923
25-02-2020,28149725.60837803
26-02-2020,27312682.061019197
27-02-2020,27508268.87770827
28-02-2020,28789770.98394948
29-02-2020,28152590.81434407
01-03-2020,27125201.725388404
02-03-2020,27630566.468272742
03-03-2020,28279164.96597291
04-03-2020,27691002.80617991
05-03-2020,28239198.8605016
06-03-2020,28418601.6511917
07-03-2020,28526615.70769537
08-03-2020,27443076.48726942
09-03-2020,26332387.28491341
10-03-2020,21551382.21554922
11-03-2020,21864980.41636588
12-03-2020,26842051.79388646
13-03-2020,27333152.293455057
14-03-2020,27157546.572361995
15-03-2020,27425947.037987635
16-03-2020,27473054.91048934
17-03-2020,27436410.297427043
18-03-2020,27330296.732861537
19-03-2020,27452594.323426012
20-03-2020,28182569.237563998
21-03-2020,27368362.34639468
22-03-2020,20396962.688521754
23-03-2020,25798963.901492376
24-03-2020,26715939.659793835
25-03-2020,20043864.31404928
26-03-2020,20303688.452521853
27-03-2020,20419799.344711274
28-03-2020,20520681.27955707
29-03-2020,21097914.248095162
30-03-2020,21101711.317692194
31-03-2020,21003684.943439912
01-04-2020,20261812.20973985
02-04-2020,20693897.37187212
03-04-2020,21141211.49134801
04-04-2020,20724355.286559362
05-04-2020,20705329.259618707
06-04-2020,20470717.846461847
07-04-2020,21452420.06338665
08-04-2020,20654397.198216304
09-04-2020,20818571.031562783
10-04-2020,21063166.21269173
11-04-2020,20544473.00440194
12-04-2020,21324424.911286972
13-04-2020,20896136.81875174
14-04-2020,21021289.969909724
15-04-2020,21259698.452663623
16-04-2020,20668205.155089084
17-04-2020,21483833.04672924
18-04-2020,20974182.09740802
19-04-2020,21277317.03878526
20-04-2020,21320614.28203811
21-04-2020,21680365.286701128
22-04-2020,21260653.52131897
23-04-2020,21376764.413508385
24-04-2020,21815036.274015713
25-04-2020,21102666.386347547
26-04-2020,21512869.960945643
27-04-2020,21049371.81547078
28-04-2020,22044402.497801036
29-04-2020,21382951.111883447
30-04-2020,21473369.787289828
01-05-2020,21803617.945920948
02-05-2020,21839307.490327902
03-05-2020,21831699.791482005
04-05-2020,21732238.857107047
05-05-2020,22148139.993240353
06-05-2020,21918773.769455027
07-05-2020,21736515.41817141
08-05-2020,23152212.93453918
09-05-2020,22266626.95455596
10-05-2020,22120071.707331125
11-05-2020,22567851.758622512
12-05-2020,23309245.000855256
13-05-2020,23003268.05853632
14-05-2020,23607614.24432829
15-05-2020,24182457.58408836
16-05-2020,24167228.626744743
17-05-2020,24704961.421627022
18-05-2020,24244794.413933698
19-05-2020,25003317.105448227
20-05-2020,25131801.39438775
21-05-2020,25340707.031109754
22-05-2020,25492507.46770612
23-05-2020,24804408.796350144
24-05-2020,25443978.594733566
25-05-2020,24022080.820338916
26-05-2020,24351863.047154546
27-05-2020,25751376.53752334
28-05-2020,25430170.63786079
29-05-2020,26528938.81563036
30-05-2020,25871298.058961626
31-05-2020,26292919.961654488
01-06-2020,26019287.866309136
02-06-2020,25365923.67070476
03-06-2020,26813500.10223062
04-06-2020,25532007.641361937
05-06-2020,27124242.74245376
06-06-2020,26817310.731479477
07-06-2020,26581291.877503604
08-06-2020,26836816.249887455
09-06-2020,25228397.122796666
10-06-2020,27128519.30351812
11-06-2020,27199898.39233202
12-06-2020,28676022.601234425
13-06-2020,27102337.949895233
14-06-2020,27915123.8405937
15-06-2020,26927700.85710934
16-06-2020,25700448.390400242
17-06-2020,27743328.748749506
18-06-2020,27172296.03823829
19-06-2020,28401924.574073583
20-06-2020,27416891.219367236
21-06-2020,27826615.302498017
22-06-2020,27535378.18068285
23-06-2020,25527232.298085194
24-06-2020,27927963.169159308
25-06-2020,27636260.11552865
26-06-2020,27738097.11902979
27-06-2020,26962435.332860947
28-06-2020,26794940.007105455
29-06-2020,25868432.852995586
30-06-2020,25443479.812521186
01-07-2020,27207030.513989896
02-07-2020,27196567.25455048
03-07-2020,27986502.929407608
04-07-2020,26854900.767824598
05-07-2020,27602960.19989972
06-07-2020,26369041.54334824
07-07-2020,25135602.37826409
08-07-2020,27167064.408518583
09-07-2020,27090453.68998498
10-07-2020,28943933.930020217
11-07-2020,21145488.05241237
12-07-2020,22181453.468521107
