Date,Mobility
15-02-2020,71610413.77668032
16-02-2020,71200415.51863928
17-02-2020,72030288.60956621
18-02-2020,71973128.36910962
19-02-2020,73280036.53337902
20-02-2020,72986184.856704
21-02-2020,64672845.14381215
22-02-2020,70763123.2268867
23-02-2020,71799821.54728697
24-02-2020,72095499.32441483
25-02-2020,71620290.35152516
26-02-2020,72771309.15283865
27-02-2020,72030288.60956621
28-02-2020,72753891.69397195
29-02-2020,70562012.78098242
01-03-2020,72286733.1954743
02-03-2020,72820928.5092734
03-03-2020,71107910.77007914
04-03-2020,73733429.77391562
05-03-2020,73660678.17504515
06-03-2020,65766940.18687963
07-03-2020,75986630.71863756
08-03-2020,77528167.73646198
09-03-2020,65461932.051226065
10-03-2020,49978754.763916776
11-03-2020,64956074.1730616
12-03-2020,70723380.44529681
13-03-2020,71273676.70787992
14-03-2020,69497783.94466004
15-03-2020,68594886.14670306
16-03-2020,71092319.41166528
17-03-2020,69923373.56111494
18-03-2020,71601046.79220566
19-03-2020,70079262.9240709
20-03-2020,70400918.22482759
21-03-2020,66596576.795595974
22-03-2020,44686620.8386223
23-03-2020,49204961.8855744
24-03-2020,46685712.888259105
25-03-2020,44937860.2313315
26-03-2020,46914863.44045568
27-03-2020,46280112.90370444
28-03-2020,46503039.08196181
29-03-2020,47659263.07647418
30-03-2020,46741556.618633054
31-03-2020,45852187.59642655
01-04-2020,45917398.31127517
02-04-2020,46790666.384697646
03-04-2020,47358380.10614745
04-04-2020,47052825.75417478
05-04-2020,48571764.34111642
06-04-2020,48034699.524941415
07-04-2020,50319083.18649109
08-04-2020,52485494.166221924
09-04-2020,50861838.565052345
10-04-2020,50351285.08405914
11-04-2020,49840731.603065945
12-04-2020,52290098.50388667
13-04-2020,51372392.04604555
14-04-2020,49858149.06193264
15-04-2020,53051381.78721891
16-04-2020,50942131.04794468
17-04-2020,50224752.33747814
18-04-2020,49211695.84988376
19-04-2020,50582795.54826147
20-04-2020,50792466.058927946
21-04-2020,50447168.92536535
22-04-2020,51253400.1834864
23-04-2020,51986879.84273697
24-04-2020,51722894.372807026
25-04-2020,50051445.51565552
26-04-2020,50326860.55272354
27-04-2020,51220391.36620584
28-04-2020,49483731.79420571
29-04-2020,51919843.02743554
30-04-2020,52052090.55758558
01-05-2020,51508018.66894167
02-05-2020,50816107.891733825
03-05-2020,51899580.28737572
04-05-2020,52233447.85380022
05-05-2020,51468275.88735175
06-05-2020,53443452.99602313
07-05-2020,52473791.490924284
08-05-2020,54464559.958009526
09-05-2020,52316076.02751554
10-05-2020,53060475.66353403
11-05-2020,54044685.12512364
12-05-2020,53608709.343453735
13-05-2020,55402529.15591046
14-05-2020,56037279.6926617
15-05-2020,55921133.11129568
16-05-2020,54900026.149309285
17-05-2020,55423835.29789338
18-05-2020,56045330.16705371
19-05-2020,55650923.267426535
20-05-2020,59800052.239850596
21-05-2020,61209341.72752499
22-05-2020,60072088.184172556
23-05-2020,59398104.45620156
24-05-2020,57877873.58036005
25-05-2020,54541473.34815578
26-05-2020,59604420.09530475
27-05-2020,62090150.68496932
28-05-2020,62691382.81406984
29-05-2020,61554129.27071741
30-05-2020,62098201.159361325
31-05-2020,59030718.48212634
01-06-2020,62338544.79648539
02-06-2020,64356607.297282144
03-06-2020,63992066.60440005
04-06-2020,67386409.77559063
05-06-2020,64989531.73358057
06-06-2020,65772121.15889572
07-06-2020,61543743.10550243
08-06-2020,65385764.733660564
09-06-2020,64208768.40871822
10-06-2020,67057213.59081207
11-06-2020,65056568.548882
12-06-2020,66761535.81368422
13-06-2020,64029746.80332655
14-06-2020,64748678.50608635
15-06-2020,65263393.77835535
16-06-2020,64324914.990084246
17-06-2020,66489499.86936226
18-06-2020,64273979.123566836
