Date,Mobility
15-02-2020,59718813.059448645
16-02-2020,59203901.42830061
17-02-2020,61023711.05188197
18-02-2020,61918438.13861054
19-02-2020,59905302.19347126
20-02-2020,59800386.15278632
21-02-2020,49015748.01065733
22-02-2020,59562015.35817532
23-02-2020,58168043.06749409
24-02-2020,60263591.43858763
25-02-2020,60650419.39694514
26-02-2020,59375876.85463602
27-02-2020,59905302.19347126
28-02-2020,58816584.767809846
29-02-2020,56535211.28006859
01-03-2020,58645273.35884933
02-03-2020,59279126.03623623
03-03-2020,59667106.714101925
04-03-2020,59548340.983104706
05-03-2020,59510973.030203514
06-03-2020,52962789.49020629
07-03-2020,60748147.61961144
08-03-2020,62835844.15531145
09-03-2020,58955511.43092966
10-03-2020,46485357.75176194
11-03-2020,58695651.66944622
12-03-2020,60695777.2568898
13-03-2020,58809396.949791215
14-03-2020,58130011.09721798
15-03-2020,60054912.07672594
16-03-2020,60114294.94222454
17-03-2020,59793373.65000935
18-03-2020,59555178.170640014
19-03-2020,59331321.08371622
20-03-2020,59323644.56356434
21-03-2020,58428253.45946084
22-03-2020,41804684.377898805
23-03-2020,56324189.23559883
24-03-2020,54287710.3431123
25-03-2020,43242861.809016556
26-03-2020,43928909.53388343
27-03-2020,43287555.6515863
28-03-2020,43705227.76220129
29-03-2020,45429301.21524109
30-03-2020,45174424.66081816
31-03-2020,44965431.912064865
01-04-2020,44048514.59749722
02-04-2020,44853992.070736215
03-04-2020,45159910.95313096
04-04-2020,45286841.90641332
05-04-2020,46436620.862806484
06-04-2020,46949365.126588106
07-04-2020,50870896.29142342
08-04-2020,50602834.06406312
09-04-2020,50580468.52098239
10-04-2020,49976482.59158645
11-04-2020,49454383.142419785
12-04-2020,50305919.7365701
13-04-2020,50960947.99393784
14-04-2020,50811338.110683165
15-04-2020,52049840.734840915
16-04-2020,51818482.44300689
17-04-2020,51296558.30908189
18-04-2020,50289902.67889141
19-04-2020,50768461.00499649
20-04-2020,51594800.67132475
21-04-2020,51564620.53644218
22-04-2020,51251864.466512136
23-04-2020,51714230.419696875
24-04-2020,51490548.64801474
25-04-2020,49954292.363747366
26-04-2020,49538123.60312387
27-04-2020,51311560.71890234
28-04-2020,51893043.0335676
29-04-2020,52072519.66481325
30-04-2020,51140424.625183485
01-05-2020,50744942.74240759
02-05-2020,50946434.28625065
03-05-2020,50627016.344026946
04-05-2020,51871028.12097019
05-05-2020,52452510.435635455
06-05-2020,53161412.40571632
07-05-2020,52586942.59382803
08-05-2020,53504523.925770596
09-05-2020,52221640.845934674
10-05-2020,52253010.94391713
11-05-2020,54138376.6031575
12-05-2020,54123198.87809539
13-05-2020,54675653.77738626
14-05-2020,55220081.52604195
15-05-2020,55212580.32113171
16-05-2020,55115829.50273193
17-05-2020,55437765.44280535
18-05-2020,56868091.038529545
19-05-2020,57673255.12487695
20-05-2020,58606014.18188163
21-05-2020,59098071.56781567
22-05-2020,58896580.02397261
23-05-2020,58039045.574903555
24-05-2020,57697437.404840775
25-05-2020,55249108.94141633
26-05-2020,60559278.559389055
27-05-2020,62058830.90813015
28-05-2020,61999272.72738989
29-05-2020,61812958.90860892
30-05-2020,62014450.45245199
31-05-2020,59674044.729695454
01-06-2020,64773367.618440084
02-06-2020,64691305.82296915
03-06-2020,64371048.54812887
04-06-2020,64311490.36738861
05-06-2020,64184559.41410626
06-06-2020,64796046.54841242
07-06-2020,60628329.99716429
08-06-2020,66675414.35273405
09-06-2020,66756987.44607174
10-06-2020,66339979.35283166
11-06-2020,67495580.84890191
12-06-2020,66034060.47043692
13-06-2020,65996028.50016083
14-06-2020,61873845.124099016
15-06-2020,66756987.44607174
16-06-2020,67905263.05247341
17-06-2020,66183356.966800004
18-06-2020,67122777.89609833
19-06-2020,65116654.45373602
20-06-2020,66138312.49374694
21-06-2020,59099750.23304882
22-06-2020,67219528.71449813
23-06-2020,67987324.84794435
24-06-2020,66377347.30573284
25-06-2020,67354136.18793237
26-06-2020,65519812.8566638
27-06-2020,65817391.201531745
28-06-2020,60195655.47672886
29-06-2020,66287120.28797677
30-06-2020,67644388.64313175
01-07-2020,65863099.69195973
02-07-2020,65191879.06167164
03-07-2020,65191879.06167164
04-07-2020,65721304.40050688
05-07-2020,59726101.705525495
06-07-2020,65929983.76236857
07-07-2020,64975209.79276647
08-07-2020,65252101.259786814
09-07-2020,65706790.69281967
10-07-2020,65796040.306309246
11-07-2020,51536570.52533432
12-07-2020,52358240.37149367
13-07-2020,65960163.89725113
14-07-2020,66034235.78567858
15-07-2020,66124638.11867632
16-07-2020,67026866.41031511
