Date,Mobility
15-02-2020,31361403.290883828
16-02-2020,30884716.668915015
17-02-2020,31118440.821090925
18-02-2020,30799872.40731041
19-02-2020,30768795.65170619
20-02-2020,30368955.643858396
21-02-2020,28392043.92225236
22-02-2020,29844794.538554944
23-02-2020,30703682.770507727
24-02-2020,30697389.747841988
25-02-2020,30376100.97893306
26-02-2020,30963895.28043996
27-02-2020,30837869.558166455
28-02-2020,31364123.64601223
29-02-2020,31386814.39640839
01-03-2020,30838721.87057538
02-03-2020,31327606.180151194
03-03-2020,30945404.57016722
04-03-2020,31330326.535279598
05-03-2020,31572436.692663573
06-03-2020,32663794.331620093
07-03-2020,33245295.610461254
08-03-2020,34145126.28822133
09-03-2020,32380100.280803967
10-03-2020,23832562.83984672
11-03-2020,28844396.690928362
12-03-2020,31710421.087682474
13-03-2020,30557523.23506482
14-03-2020,30515953.416671447
15-03-2020,31179742.019890446
16-03-2020,31434049.864881426
17-03-2020,30678271.664983157
18-03-2020,30890157.37917183
19-03-2020,30609586.11624736
20-03-2020,30595520.38592087
21-03-2020,29181394.29306042
22-03-2020,22687601.112791453
23-03-2020,26701307.59172924
24-03-2020,23603202.14569586
25-03-2020,21598561.396200094
26-03-2020,21730416.186454892
27-03-2020,21885814.039514776
28-03-2020,22180451.03276573
29-03-2020,23191791.822827153
30-03-2020,22649364.947073795
31-03-2020,22554027.622680034
01-04-2020,22130256.19430268
02-04-2020,21966233.321173124
03-04-2020,22511605.491877727
04-04-2020,22851384.971059397
05-04-2020,23556982.40753339
06-04-2020,22896527.456990108
07-04-2020,23264663.336647585
08-04-2020,23126903.881451525
09-04-2020,23205843.478114866
10-04-2020,23372586.706372827
11-04-2020,23605683.48596265
12-04-2020,24568309.122556034
13-04-2020,23909333.85700776
14-04-2020,23655878.324425712
15-04-2020,23696207.472685684
16-04-2020,22525671.22220422
17-04-2020,22869023.36892322
18-04-2020,22859157.67872015
19-04-2020,23396532.201941166
20-04-2020,23289222.129763234
21-04-2020,22859157.67872015
22-04-2020,22933283.937712755
23-04-2020,23330791.948156614
24-04-2020,23285649.462225903
25-04-2020,23169101.072430987
26-04-2020,23828076.33797926
27-04-2020,23225588.93355978
28-04-2020,23091402.145901047
29-04-2020,22950922.33557658
30-04-2020,23659226.052140202
01-05-2020,23984939.80099538
02-05-2020,24225809.288245954
03-05-2020,24852228.113194995
04-05-2020,24827669.32007935
05-05-2020,24983067.173139233
06-05-2020,26552591.119059574
07-05-2020,26159044.133877516
08-05-2020,27000293.967966482
09-05-2020,26364636.825400457
10-05-2020,27345753.172266573
11-05-2020,25013142.27347167
12-05-2020,25843046.732362553
13-05-2020,26491289.920260053
14-05-2020,26690977.94684172
15-05-2020,27655921.50580026
16-05-2020,28662434.883152172
17-05-2020,28395316.053006876
18-05-2020,27807746.691322807
19-05-2020,27730047.764792867
20-05-2020,27786535.625921655
21-05-2020,27622512.7527921
22-05-2020,28213879.72183634
23-05-2020,27935640.456315804
24-05-2020,28678607.67105975
25-05-2020,25970701.48249393
26-05-2020,27523214.40313653
27-05-2020,27767656.557924442
28-05-2020,27970917.25204344
29-05-2020,28681552.966011
30-05-2020,28414659.075688545
31-05-2020,28680939.66846369
01-06-2020,28390727.655158985
02-06-2020,28411938.720560137
03-06-2020,28928327.11820284
04-06-2020,29131587.812321838
05-06-2020,28421804.410763208
06-06-2020,29367016.589315604
07-06-2020,29027864.482720017
08-06-2020,28918461.42799977
09-06-2020,28734079.801877987
10-06-2020,29239122.824322604
11-06-2020,29047595.86312616
12-06-2020,30033750.48748585
13-06-2020,29398093.344919823
14-06-2020,29826064.81342059
15-06-2020,29003305.68960438
16-06-2020,29681384.962972697
17-06-2020,29553491.197979707
18-06-2020,28622344.749753803
19-06-2020,29270199.57992683
20-06-2020,28854200.85921023
21-06-2020,28291817.663227893
22-06-2020,29173621.585399665
23-06-2020,29639815.14457932
24-06-2020,29657453.54244314
25-06-2020,29359243.881654855
26-06-2020,29278824.5999965
27-06-2020,29577034.26078479
28-06-2020,28904395.697673284
29-06-2020,29011930.709674045
30-06-2020,29872911.92416915
01-07-2020,30296683.3525465
02-07-2020,29546345.862905044
03-07-2020,30687898.34032461
04-07-2020,30331960.148274135
05-07-2020,26575520.884317346
06-07-2020,29227777.449124526
07-07-2020,29369109.571857918
08-07-2020,29338032.8162537
09-07-2020,28622344.749753803
10-07-2020,28580774.93136042
11-07-2020,23246411.641236458
12-07-2020,24302894.91722859
13-07-2020,29272919.935055237
14-07-2020,26561216.139129244
15-07-2020,28135792.43758192
16-07-2020,27667266.88099834
17-07-2020,27586847.59933999
18-07-2020,24066450.409924265
19-07-2020,24668937.814343747
20-07-2020,28016912.050383076
