Date,Mobility
15-02-2020,14975132.12092433
16-02-2020,15114854.378733957
17-02-2020,14408458.900065297
18-02-2020,15152003.076467456
19-02-2020,14869875.25508936
20-02-2020,14739607.255156778
21-02-2020,13570083.113036199
22-02-2020,14501343.21175921
23-02-2020,14786358.592250483
24-02-2020,14861744.331221323
25-02-2020,15290871.98127841
26-02-2020,14593695.769981628
27-02-2020,14839620.756236892
28-02-2020,15211275.349185385
29-02-2020,14544971.999234572
01-03-2020,14598234.163220977
02-03-2020,14348333.274348699
03-03-2020,14296956.934993634
04-03-2020,14273095.91686102
05-03-2020,14977401.317544008
06-03-2020,14988889.781535558
07-03-2020,15276025.977163346
08-03-2020,15235519.73930633
09-03-2020,13945095.246108208
10-03-2020,10674174.103081064
11-03-2020,11358006.762905793
12-03-2020,14836084.097479371
13-03-2020,14804741.255123068
14-03-2020,14245549.858487725
15-03-2020,14744380.638901299
16-03-2020,14895121.379692135
17-03-2020,14683605.913540354
18-03-2020,14588984.15869826
19-03-2020,14597115.082566295
20-03-2020,14735983.987377249
21-03-2020,13982806.434464045
22-03-2020,10748149.899020884
23-03-2020,13182846.80730629
24-03-2020,12934182.64342101
25-03-2020,10653732.397533117
26-03-2020,11003263.415497182
27-03-2020,10723491.399760768
28-03-2020,10860888.58907955
29-03-2020,11058442.141265776
30-03-2020,10991774.95150563
31-03-2020,10877385.42732079
01-04-2020,10826627.450459225
02-04-2020,10910144.113298101
03-04-2020,11123780.394586394
04-04-2020,11074289.879862674
05-04-2020,11071198.067395173
06-04-2020,10888020.53831367
07-04-2020,10944640.242423596
08-04-2020,10779876.113365522
09-04-2020,11175540.10592979
10-04-2020,11135033.868072774
11-04-2020,11053403.029865243
12-04-2020,11388972.133863756
13-04-2020,11140042.242322464
14-04-2020,11045272.10599721
15-04-2020,11421935.073195392
16-04-2020,10984293.127281938
17-04-2020,10848163.400100999
18-04-2020,10691146.82292263
19-04-2020,10934833.349709062
20-04-2020,11105811.840852985
21-04-2020,11175805.8335858
22-04-2020,11257201.68128816
23-04-2020,11582104.93714295
24-04-2020,11350970.083131587
25-04-2020,11294585.36952683
26-04-2020,11443501.75998801
27-04-2020,11141575.43211632
28-04-2020,11510725.837939968
29-04-2020,11812003.066167314
30-04-2020,12150663.982633328
01-05-2020,11843760.017662795
02-05-2020,12043168.657329522
03-05-2020,11844409.117307138
04-05-2020,12208551.148881096
05-05-2020,
06-05-2020,12053655.386839243
07-05-2020,12407545.679408653
08-05-2020,12451823.566528354
09-05-2020,12170784.088654095
10-05-2020,12206077.698907094
11-05-2020,
12-05-2020,
13-05-2020,12136287.9595286
14-05-2020,12753719.157249201
15-05-2020,12525706.852856182
16-05-2020,12343444.151075033
17-05-2020,12693624.268683443
18-05-2020,12568952.26834321
19-05-2020,12620328.607698273
20-05-2020,12927232.57266881
21-05-2020,13155244.877061829
22-05-2020,12961493.711289134
23-05-2020,12782971.921619833
24-05-2020,12864633.496978207
25-05-2020,12432791.804011429
26-05-2020,12885724.600329963
27-05-2020,12991364.83815327
28-05-2020,12888612.15944314
29-05-2020,13055497.103637729
30-05-2020,13087637.427121537
31-05-2020,13077416.42526783
01-06-2020,13288517.782280436
02-06-2020,13399636.375363769
03-06-2020,13891542.219745465
04-06-2020,13146495.590700293
05-06-2020,13799659.642533386
06-06-2020,14937866.07701798
07-06-2020,14417739.939898323
08-06-2020,14818233.188078279
09-06-2020,14607336.084420001
10-06-2020,15057498.965957679
11-06-2020,15019496.915225511
12-06-2020,15252134.221879888
13-06-2020,14762701.827472195
14-06-2020,15033520.303492747
15-06-2020,14496069.109853506
16-06-2020,15105369.383706069
17-06-2020,14949354.54100953
18-06-2020,14864366.162678486
19-06-2020,15072994.069717087
20-06-2020,14791101.238844162
21-06-2020,14222721.311987786
22-06-2020,14683340.185884342
23-06-2020,14971094.74400563
24-06-2020,14946850.353884688
25-06-2020,14984852.404616857
26-06-2020,14819086.54107695
27-06-2020,14696949.465012405
28-06-2020,14248437.417600904
29-06-2020,13504244.1415544
30-06-2020,14596935.96393229
01-07-2020,14062168.076051898
02-07-2020,14328182.431177087
03-07-2020,14899480.65429748
04-07-2020,14627604.571923928
05-07-2020,14707615.313156128
06-07-2020,13814919.755787622
07-07-2020,14633466.299172292
08-07-2020,14701722.848756924
09-07-2020,14376201.230408635
10-07-2020,14858356.053946963
11-07-2020,11386319.56525575
12-07-2020,11971406.18613821
13-07-2020,14283081.928209558
14-07-2020,14525086.883718973
15-07-2020,14739106.536995595
16-07-2020,15075263.266336763
17-07-2020,15161519.106805654
18-07-2020,12001246.575851502
19-07-2020,12416560.6934262
20-07-2020,14655354.883651553
21-07-2020,14673737.546524135
22-07-2020,14543852.918579886
23-07-2020,15142283.090934401
24-07-2020,15318535.683984023
25-07-2020,11890362.973273339
26-07-2020,12424691.617294235
27-07-2020,14768742.673354559
28-07-2020,14559731.394327626
29-07-2020,14405602.376262432
30-07-2020,15145405.640552744
31-07-2020,15307900.572991142
01-08-2020,11714580.361234054
02-08-2020,12915212.355205767
03-08-2020,12877884.538838262
04-08-2020,13826024.847790845
05-08-2020,14028321.046570746
06-08-2020,14458246.177755341
07-08-2020,15225033.00979661
08-08-2020,12446666.810795503
09-08-2020,12437713.27107964
10-08-2020,15021648.467512865
11-08-2020,14515719.234863935
12-08-2020,13127729.555839377
13-08-2020,14826778.221085487
14-08-2020,14983646.416780695
15-08-2020,12348539.134346733
16-08-2020,12730859.575438952
17-08-2020,
18-08-2020,
19-08-2020,
20-08-2020,
21-08-2020,
22-08-2020,
23-08-2020,
24-08-2020,
25-08-2020,
26-08-2020,
27-08-2020,
28-08-2020,
29-08-2020,
30-08-2020,
31-08-2020,
01-09-2020,
02-09-2020,
03-09-2020,
04-09-2020,
05-09-2020,
06-09-2020,
07-09-2020,
08-09-2020,
09-09-2020,
10-09-2020,
11-09-2020,14230468.863867493
12-09-2020,13489633.127944505
13-09-2020,13265157.482309002
14-09-2020,13781307.716811642
15-09-2020,14179092.524512427
16-09-2020,14508120.064467393
17-09-2020,14698130.318128243
18-09-2020,15020529.386858182
19-09-2020,14713390.43138248
20-09-2020,14266115.108957978
21-09-2020,14911766.599416532
22-09-2020,14409343.288374279
23-09-2020,13787670.460380651
24-09-2020,14575492.523902513
25-09-2020,15239291.686728487
26-09-2020,14412230.847487455
27-09-2020,14360854.508132389
28-09-2020,15079770.92242527
29-09-2020,14811487.370680409
30-09-2020,14412700.828497794
01-10-2020,13622875.296012267
02-10-2020,13604931.876999183
03-10-2020,14637058.829800975
04-10-2020,14412787.437519804
05-10-2020,14860062.759944305
06-10-2020,14045757.846832667
07-10-2020,15301624.736603608
08-10-2020,15058117.32845118
09-10-2020,15602901.964830952
10-10-2020,14432555.206862547
11-10-2020,14379942.14252048
12-10-2020,15222881.457509255
13-10-2020,15421257.625543308
14-10-2020,15776415.380250564
15-10-2020,15673662.701540435
16-10-2020,16471087.4044225
17-10-2020,15679289.438283624
18-10-2020,15255640.143486567
19-10-2020,16328063.478360526
20-10-2020,15635895.641313434
21-10-2020,15752640.971139956
22-10-2020,15640755.634079961
23-10-2020,15442231.084562745
24-10-2020,14707022.08538295
25-10-2020,14152869.800148144
26-10-2020,14468758.041985383
27-10-2020,15088075.064337324
28-10-2020,15671010.13293243
29-10-2020,15543629.692113023
30-10-2020,15182814.463511733
31-10-2020,15500384.276625993
01-11-2020,15265477.773351941
02-11-2020,15818393.333599748
03-11-2020,16415172.671828084
04-11-2020,16128036.476200294
05-11-2020,15310992.385458646
06-11-2020,15318739.93733835
07-11-2020,15185732.759775756
08-11-2020,14956452.993244892
09-11-2020,14955834.63075139
10-11-2020,15330228.4013299
11-11-2020,15782895.469992423
12-11-2020,16569685.06188161
13-11-2020,16251261.89576868
14-11-2020,15143130.84150255
15-11-2020,11937170.18223821
16-11-2020,13973433.183178486
17-11-2020,15471218.121277366
18-11-2020,15228094.085113272
19-11-2020,15126225.496552654
20-11-2020,16043283.088374421
21-11-2020,15454251.302025788
22-11-2020,15194717.03664246
23-11-2020,15059205.671955021
24-11-2020,15609617.045077981
25-11-2020,15702117.984783564
26-11-2020,
27-11-2020,15612121.23220283
28-11-2020,15343602.689952793
29-11-2020,15569345.79772614
30-11-2020,15201252.998255486
01-12-2020,15832707.584243322
02-12-2020,15839515.174102347
03-12-2020,15540890.514483009
04-12-2020,16256684.379157545
05-12-2020,16159175.065202273
06-12-2020,15739971.654032571
07-12-2020,15135061.3919362
08-12-2020,16170898.519698996
09-12-2020,16342526.11048726
10-12-2020,16285906.406377334
11-12-2020,16535658.913766455
12-12-2020,15003439.320843766
13-12-2020,15788905.578723945
14-12-2020,16336577.77421689
15-12-2020,16608218.866085272
16-12-2020,16029822.190729517
17-12-2020,16146332.530050874
18-12-2020,16300844.9201044
19-12-2020,15590912.782678222
20-12-2020,15702414.747749887
21-12-2020,16067824.241461687
22-12-2020,16214205.707647176
23-12-2020,16162594.377786942
24-12-2020,15985958.41274899
25-12-2020,15347226.255891785
26-12-2020,15286896.376820862
27-12-2020,15527429.616838107
28-12-2020,16051945.765713949
29-12-2020,16225459.181133557
30-12-2020,16092835.375559295
31-12-2020,16319610.954965316
