Date,Mobility
15-02-2020,49402693.09594879
16-02-2020,50031380.171072245
17-02-2020,49459837.33937325
18-02-2020,49852753.742244504
19-02-2020,49902600.13446727
20-02-2020,49513487.00857138
21-02-2020,46500272.90825333
22-02-2020,49311632.59442175
23-02-2020,50627383.1447591
24-02-2020,50259544.28937375
25-02-2020,46398009.003498405
26-02-2020,47717562.83081111
27-02-2020,49459837.33937325
28-02-2020,50413093.1707156
29-02-2020,49507936.44448286
01-03-2020,50752359.904388726
02-03-2020,49388510.248941764
03-03-2020,49459837.33937325
04-03-2020,51078984.6504698
05-03-2020,50732626.49329317
06-03-2020,51503967.74927961
07-03-2020,50507750.521519825
08-03-2020,54155304.53610069
09-03-2020,51417121.50252778
10-03-2020,36956611.5890563
11-03-2020,49344418.97090919
12-03-2020,51645183.34577844
13-03-2020,47824347.038760155
14-03-2020,49292207.88607521
15-03-2020,50480925.686920755
16-03-2020,50373935.05127352
17-03-2020,49874028.012755044
18-03-2020,50700559.7973546
19-03-2020,50298804.68386667
20-03-2020,50889772.2239122
21-03-2020,48793841.706971735
22-03-2020,35848674.34042688
23-03-2020,47378191.94449065
24-03-2020,45921534.50040348
25-03-2020,34511751.79462982
26-03-2020,35020497.543764986
27-03-2020,35416908.520862564
28-03-2020,35090077.34708331
29-03-2020,37171516.31426774
30-03-2020,35870257.31368643
31-03-2020,36266668.290784016
01-04-2020,35932745.69350124
02-04-2020,35814860.35737514
03-04-2020,36748589.20532011
04-04-2020,37200190.71103081
05-04-2020,38719234.25988194
06-04-2020,36921665.07005934
07-04-2020,37543260.72167928
08-04-2020,37800305.66444203
09-04-2020,37869885.467760354
10-04-2020,38364448.36988849
11-04-2020,37723428.00992202
12-04-2020,39590577.00306294
13-04-2020,37948303.98169537
14-04-2020,37487863.765367985
15-04-2020,38067936.60493463
16-04-2020,34684725.3843182
17-04-2020,35213204.54454892
18-04-2020,34816793.567451335
19-04-2020,35644970.36411323
20-04-2020,34540015.213593036
21-04-2020,34741869.62774267
22-04-2020,35695125.45908502
23-04-2020,35570148.6994554
24-04-2020,36071803.02508704
25-04-2020,35771796.68590686
26-04-2020,36885590.54704373
27-04-2020,36239534.75343593
28-04-2020,35737880.427804284
29-04-2020,36177046.37362112
30-04-2020,36643037.15403702
01-05-2020,35327286.60369967
02-05-2020,36685792.12275629
03-05-2020,38424469.78204126
04-05-2020,39915352.18698002
05-05-2020,39719048.336918905
06-05-2020,40383090.25450909
07-05-2020,40004665.4013939
08-05-2020,42366479.57171381
09-05-2020,40618654.49906313
10-05-2020,38849452.880851075
11-05-2020,42971629.958766356
12-05-2020,41920222.20239346
13-05-2020,42186105.85577288
14-05-2020,42846653.199136734
15-05-2020,44503417.770260364
16-05-2020,43230422.18864227
17-05-2020,41118459.262530774
18-05-2020,45260369.75154161
19-05-2020,44458915.51442794
20-05-2020,38321075.9956712
21-05-2020,39233324.145407446
22-05-2020,40352770.84568369
23-05-2020,39697567.63871019
24-05-2020,41368412.78179001
25-05-2020,38610496.33712154
26-05-2020,43243064.17623432
27-05-2020,44223144.84217572
