Date,Mobility
15-02-2020,27035405.472167592
16-02-2020,26764702.059751358
17-02-2020,26846292.5001081
18-02-2020,26622281.950491153
19-02-2020,26671804.612320833
20-02-2020,26313338.505223416
21-02-2020,24816109.503642596
22-02-2020,26884532.5329596
23-02-2020,26864260.03967438
24-02-2020,27431086.299589206
25-02-2020,27206050.43744496
26-02-2020,26531188.989563722
27-02-2020,27235300.60598942
28-02-2020,27026940.453172006
29-02-2020,27006667.95988678
01-03-2020,26733647.404703803
02-03-2020,27396701.378295403
03-03-2020,27774414.66615074
04-03-2020,27684347.017750617
05-03-2020,27347178.716465723
06-03-2020,26281016.39803202
07-03-2020,28949124.828814507
08-03-2020,29923952.046704236
09-03-2020,28088016.77504757
10-03-2020,21473943.177050278
11-03-2020,23837451.552290767
12-03-2020,28264272.58219453
13-03-2020,28245538.057700258
14-03-2020,26948179.811845664
15-03-2020,27151905.679129582
16-03-2020,28295060.71952994
17-03-2020,27582484.084108658
18-03-2020,27931972.51594683
19-03-2020,27210930.86152996
20-03-2020,27406203.898866102
21-03-2020,27493453.93728363
22-03-2020,18704718.41839319
23-03-2020,25478909.148569867
24-03-2020,24538479.041021727
25-03-2020,18189219.30681114
26-03-2020,18909748.30496436
27-03-2020,19152239.050411236
28-03-2020,19762427.906879112
29-03-2020,20422639.892392512
30-03-2020,19475294.923687547
31-03-2020,19869938.249534063
01-04-2020,19352121.995185263
02-04-2020,19133758.854581308
03-04-2020,19681337.933738217
04-04-2020,19899188.418078523
05-04-2020,20629195.558706835
06-04-2020,20219426.681372236
07-04-2020,21408249.272044577
08-04-2020,20806525.434572294
09-04-2020,20707480.11091293
10-04-2020,20972548.303363968
11-04-2020,20867855.570691608
12-04-2020,21597862.711319923
13-04-2020,21322036.73520215
14-04-2020,21440329.239619438
15-04-2020,20800878.025559302
16-04-2020,18183047.052486695
17-04-2020,18413730.323643934
18-04-2020,18253354.863865253
19-04-2020,18637728.68421308
20-04-2020,18189719.774026986
21-04-2020,17951084.14013781
22-04-2020,18218969.94257145
23-04-2020,18267979.94813748
24-04-2020,18771683.7744777
25-04-2020,18876376.50715006
26-04-2020,19479113.468101844
27-04-2020,19080114.563481785
28-04-2020,19094226.99149036
29-04-2020,19123477.160034824
30-04-2020,18852248.902307138
01-05-2020,19263067.470264636
02-05-2020,19524793.20742163
03-05-2020,19859644.365939777
04-05-2020,20106244.551608693
05-05-2020,19972301.650391873
06-05-2020,20274572.37411931
07-05-2020,20341037.26298797
08-05-2020,21255034.811974235
09-05-2020,20664605.792527936
10-05-2020,21080534.735139173
11-05-2020,20830103.81600816
12-05-2020,20948908.9766891
13-05-2020,21446452.737752676
14-05-2020,21376144.926374115
15-05-2020,22144916.94516538
16-05-2020,22153894.620424617
17-05-2020,22616528.614882946
18-05-2020,22496710.330722503
19-05-2020,21958621.58308848
20-05-2020,23974203.873377353
21-05-2020,23953418.72382848
22-05-2020,24492020.127726153
23-05-2020,23924681.21154767
24-05-2020,24949006.713171482
25-05-2020,22499540.129752904
26-05-2020,23052241.77261135
27-05-2020,24194871.967700254
28-05-2020,24130724.22159834
29-05-2020,24248249.74108763
30-05-2020,23515400.612381123
31-05-2020,25118359.848209403
01-06-2020,24375519.92076416
02-06-2020,23662430.629079223
03-06-2020,24846118.46700222
04-06-2020,24819173.252176706
05-06-2020,25736000.600193363
06-06-2020,25608730.420516837
07-06-2020,26051091.92168994
08-06-2020,26225079.34226135
09-06-2020,24288269.882346626
10-06-2020,25910488.487980627
11-06-2020,25889703.338431753
12-06-2020,26666427.719954953
13-06-2020,26067533.681513067
14-06-2020,26992813.859477516
15-06-2020,26509394.715470318
16-06-2020,24371664.809206463
17-06-2020,25474274.86303637
18-06-2020,24831493.382729992
19-06-2020,25585127.66098537
20-06-2020,25384719.870899893
21-06-2020,25243325.07416699
22-06-2020,25573320.18669574
23-06-2020,24523062.59372591
24-06-2020,25110674.003189612
25-06-2020,25447329.64821085
26-06-2020,25720862.85965748
27-06-2020,25523284.8686024
28-06-2020,26172214.225137625
29-06-2020,26011338.298143093
30-06-2020,24894103.160040952
01-07-2020,25205351.559027627
02-07-2020,25490692.244763896
03-07-2020,26212759.21170807
04-07-2020,26177861.634150613
05-07-2020,26239179.58122213
06-07-2020,25890215.994695406
07-07-2020,24889481.06355526
08-07-2020,24918731.23209972
09-07-2020,24819685.908440355
10-07-2020,26008508.49911269
11-07-2020,19153239.984842934
12-07-2020,20296883.303411335
13-07-2020,26059056.47346968
14-07-2020,24680095.598210543
15-07-2020,26346702.112924885
16-07-2020,25933578.591248445
17-07-2020,26710302.972771645
18-07-2020,19905836.761523217
19-07-2020,20592993.961862136
20-07-2020,27408254.5239207
21-07-2020,26065729.19500997
22-07-2020,25793988.281018633
23-07-2020,25410114.927886657
24-07-2020,26466019.929869477
25-07-2020,19801144.028850857
26-07-2020,20642003.967428166
27-07-2020,27114448.81918885
28-07-2020,26556087.578269605
29-07-2020,24791461.052423194
30-07-2020,26645642.57040608
31-07-2020,27372331.633835945
01-08-2020,19701073.392664187
02-08-2020,21928846.56923257
03-08-2020,22537009.17874144
04-08-2020,25490179.588500243
05-08-2020,25612315.015427426
06-08-2020,25467077.296184625
07-08-2020,26400834.68219246
08-08-2020,20206044.671148248
09-08-2020,20773884.05454258
10-08-2020,27194501.29075463
11-08-2020,26644605.06883098
12-08-2020,24147141.603325862
13-08-2020,23406340.111887418
14-08-2020,26554537.42043085
15-08-2020,20156522.009318564
16-08-2020,21195472.59521461
17-08-2020,
18-08-2020,
19-08-2020,
20-08-2020,
21-08-2020,
22-08-2020,
23-08-2020,
24-08-2020,
25-08-2020,
26-08-2020,
27-08-2020,
28-08-2020,
29-08-2020,
30-08-2020,
31-08-2020,
01-09-2020,
02-09-2020,
03-09-2020,
04-09-2020,
05-09-2020,
06-09-2020,
07-09-2020,
08-09-2020,
09-09-2020,
10-09-2020,
11-09-2020,25518150.11585306
12-09-2020,24855108.331309263
13-09-2020,24797621.11769984
14-09-2020,26309499.581648488
15-09-2020,24907448.603121538
16-09-2020,26190181.7647039
17-09-2020,25546899.817181673
18-09-2020,26842465.765580975
19-09-2020,27025418.672363825
20-09-2020,26720830.805869635
21-09-2020,27313064.31181903
22-09-2020,26001593.63795586
23-09-2020,26868898.324142836
24-09-2020,26249731.792415727
25-09-2020,26753948.275019597
26-09-2020,26773708.112041168
27-09-2020,26728028.372721385
28-09-2020,27204274.327972434
29-09-2020,25886130.93256897
30-09-2020,26128863.817632385
01-10-2020,24611079.617071427
02-10-2020,23908017.691268634
03-10-2020,25196386.07281619
04-10-2020,24699354.968016267
05-10-2020,25387803.998594627
06-10-2020,24331386.340348158
07-10-2020,25647224.78203268
08-10-2020,25601557.231760696
09-10-2020,26288726.621147417
10-10-2020,25890753.02905466
11-10-2020,26070876.136807118
12-10-2020,27132428.54780293
13-10-2020,25727035.11398193
14-10-2020,26840927.796790022
15-10-2020,27181438.55336896
16-10-2020,27845005.183224212
17-10-2020,27453179.467360295
18-10-2020,26999510.959113408
19-10-2020,27586097.056049813
20-10-2020,26599987.2091819
21-10-2020,27608161.846790332
22-10-2020,26839389.827999067
23-10-2020,26888912.48982875
24-10-2020,26208428.011030123
25-10-2020,26677222.07076509
26-10-2020,27755191.863488425
27-10-2020,26734184.439063054
28-10-2020,27392103.65990532
29-10-2020,27118570.44845869
30-10-2020,26744724.46120885
31-10-2020,27052630.404901486
01-11-2020,27472426.64811822
02-11-2020,28262750.801386345
03-11-2020,28666383.9915399
04-11-2020,27701571.950484503
05-11-2020,26548926.578561258
06-11-2020,27075720.508169297
07-11-2020,27663331.91763301
08-11-2020,27137563.300552268
09-11-2020,27585071.74352251
10-11-2020,27619456.664816312
11-11-2020,28299440.67639909
12-11-2020,29098754.693974257
13-11-2020,30029706.659047298
14-11-2020,28418294.593271226
15-11-2020,24609323.88675954
16-11-2020,24445872.489398953
17-11-2020,27395712.63291151
18-11-2020,27946621.978314668
19-11-2020,28205017.449225415
20-11-2020,28421075.636110425
21-11-2020,28848824.242059097
22-11-2020,28645086.185727373
23-11-2020,28191417.67748049
24-11-2020,28210664.858238406
25-11-2020,28428002.68631506
26-11-2020,26793976.60639142
27-11-2020,27809336.621803798
28-11-2020,27638703.845574237
29-11-2020,28310735.494425077
30-11-2020,26974636.748503134
01-12-2020,26832216.639242925
02-12-2020,29578330.915471554
03-12-2020,29506230.806637708
04-12-2020,29911401.965582207
05-12-2020,30547510.724348295
06-12-2020,30384317.654587016
07-12-2020,30281417.219369955
08-12-2020,27755204.052536227
09-12-2020,29982476.76188876
10-12-2020,30335307.649020985
11-12-2020,30292457.708731595
12-12-2020,29123907.61134448
13-12-2020,29776692.079437397
14-12-2020,31131537.538901415
15-12-2020,29552168.873556804
16-12-2020,29700736.859045852
17-12-2020,29154183.092416238
18-12-2020,29608876.913190432
19-12-2020,29375888.688314248
20-12-2020,29265548.546628896
21-12-2020,30099747.952713713
22-12-2020,29006127.763190843
23-12-2020,29640432.035453834
24-12-2020,29505976.477973364
25-12-2020,28095985.325762283
26-12-2020,28721299.73371823
27-12-2020,29076435.574569408
28-12-2020,29911147.636917867
29-12-2020,29119285.51485879
30-12-2020,28729764.752713814
31-12-2020,29538056.44554822
