Date,Mobility
15-02-2020,24249346.022236653
16-02-2020,24476855.907941356
17-02-2020,24062487.795445353
18-02-2020,24305903.71458875
19-02-2020,24064377.914380267
20-02-2020,24568394.902402088
21-02-2020,22097495.71192309
22-02-2020,23735456.88534045
23-02-2020,24193093.831203863
24-02-2020,24155916.908841
25-02-2020,24820708.440021724
26-02-2020,24540421.09983477
27-02-2020,24675170.90122267
28-02-2020,24151773.143211614
29-02-2020,23700839.110991355
01-03-2020,23572123.194167767
02-03-2020,24011963.98765756
03-03-2020,23881663.453218352
04-03-2020,23769159.07115276
05-03-2020,24508667.974818755
06-03-2020,23047140.818541087
07-03-2020,24490871.822445136
08-03-2020,24796573.81718564
09-03-2020,22766736.51005251
10-03-2020,17964500.72519065
11-03-2020,21385901.66896303
12-03-2020,24404392.182150558
13-03-2020,24052615.646570954
14-03-2020,23750999.3910196
15-03-2020,24415544.36274241
16-03-2020,23908968.226706818
17-03-2020,23511727.237505585
18-03-2020,23965525.91905892
19-03-2020,23921035.99583544
20-03-2020,23262888.436436478
21-03-2020,23183417.211104363
22-03-2020,17319148.905860543
23-03-2020,21495906.760297373
24-03-2020,21312523.27005661
25-03-2020,16756262.55235192
26-03-2020,17048006.659028888
27-03-2020,16929468.39239899
28-03-2020,17463043.800603744
29-03-2020,18771472.94234266
30-03-2020,17531058.25944585
31-03-2020,17493881.33708299
01-04-2020,17450976.031475127
02-04-2020,17544405.14487078
03-04-2020,17809455.480697885
04-04-2020,17914646.861902848
05-04-2020,19079428.583777636
06-04-2020,17542820.527255163
07-04-2020,17943230.751687635
08-04-2020,17943536.25300694
09-04-2020,17807201.834003422
10-04-2020,17657520.529574975
11-04-2020,17669282.79738429
12-04-2020,18983745.823687516
13-04-2020,17791964.82964357
14-04-2020,17974679.29080549
15-04-2020,18401173.198870353
16-04-2020,16291065.13074882
17-04-2020,16371147.358719543
18-04-2020,16408324.281082401
19-04-2020,17382104.010536496
20-04-2020,16289480.513133204
21-04-2020,16259922.092950268
22-04-2020,16433433.434316644
23-04-2020,16283446.628568895
24-04-2020,16468720.237744585
25-04-2020,16357800.473294614
26-04-2020,16971516.13591033
27-04-2020,16443305.583191037
28-04-2020,16482067.123169513
29-04-2020,16817022.036773644
30-04-2020,16667035.231025897
01-05-2020,16604749.155428793
02-05-2020,16852308.840201583
03-05-2020,17459990.61825299
04-05-2020,17231448.175709896
05-05-2020,17344258.059094783
06-05-2020,17908976.50509809
07-05-2020,17749117.550475944
08-05-2020,17969372.461760268
09-05-2020,17883867.351863846
10-05-2020,18552250.587896734
11-05-2020,18985693.969062675
12-05-2020,19112156.2391918
13-05-2020,19446805.651476633
14-05-2020,19297124.347048186
