Date,Mobility
15-02-2020,42502535.247837365
16-02-2020,43573234.941898555
17-02-2020,42696717.6257858
18-02-2020,42967867.09980056
19-02-2020,42565152.23139508
20-02-2020,42410766.12875168
21-02-2020,40126214.32975115
22-02-2020,42527077.589612275
23-02-2020,42434856.56001584
24-02-2020,42608288.57744169
25-02-2020,43034727.975121364
26-02-2020,43037702.143872984
27-02-2020,42760152.42184424
28-02-2020,43246600.53631997
29-02-2020,43197515.852770135
01-03-2020,42262694.26560146
02-03-2020,42855347.62019228
03-03-2020,42520311.439608335
04-03-2020,42516067.54784525
05-03-2020,43521541.991587065
06-03-2020,44554532.94585542
07-03-2020,43497451.5603229
08-03-2020,43785559.413607925
09-03-2020,42614391.74420444
10-03-2020,33664474.832118444
11-03-2020,36084904.738011494
12-03-2020,42857503.976443194
13-03-2020,43435721.21000461
14-03-2020,41502191.32909806
15-03-2020,42758882.69883276
16-03-2020,42085470.266923286
17-03-2020,41429382.11627402
18-03-2020,41629878.733715646
19-03-2020,41334186.91792597
20-03-2020,42924278.8432432
21-03-2020,41523307.5916106
22-03-2020,32114007.165064648
23-03-2020,39584716.00644026
24-03-2020,37800075.80118465
25-03-2020,31331936.05553795
26-03-2020,32073027.17526895
27-03-2020,32200348.677896574
28-03-2020,32446955.810136423
29-03-2020,33521744.566701185
30-03-2020,32545942.989736807
31-03-2020,32673264.49236443
01-04-2020,32499832.474938583
02-04-2020,33188046.92986742
03-04-2020,33872469.40354393
04-04-2020,33477790.40815387
05-04-2020,34110971.84202964
06-04-2020,33657170.763082944
07-04-2020,34471071.09563798
08-04-2020,35041704.366694756
09-04-2020,35334422.01373281
10-04-2020,35486285.85813536
11-04-2020,35175792.01932632
12-04-2020,36123259.273263454
13-04-2020,35761227.313402444
14-04-2020,34900850.564059235
15-04-2020,36551403.11668328
16-04-2020,36386006.97227285
17-04-2020,36703266.961085826
18-04-2020,36262477.450897545
19-04-2020,36550064.57293309
20-04-2020,36572971.28970658
21-04-2020,36248945.15088966
22-04-2020,36685490.769314855
23-04-2020,37320828.55944153
24-04-2020,37849595.20746316
25-04-2020,36530652.75616069
26-04-2020,36716278.52984423
27-04-2020,36990036.27062066
28-04-2020,37049679.08542676
29-04-2020,37193507.056813896
30-04-2020,37850413.01996387
01-05-2020,38262868.20712491
02-05-2020,38400747.841008805
03-05-2020,38695101.11304829
04-05-2020,38742550.1715967
05-05-2020,37628348.22949895
06-05-2020,39028501.668630816
07-05-2020,39370303.999218725
08-05-2020,41356710.544927426
09-05-2020,39215465.98606456
10-05-2020,39859205.5511966
11-05-2020,40489567.64558027
12-05-2020,40366038.12420497
13-05-2020,40703596.56302979
14-05-2020,41913811.51597631
15-05-2020,43229779.798527166
16-05-2020,42926052.10972207
17-05-2020,43220405.38176156
18-05-2020,42975136.79327191
19-05-2020,43080890.12287623
20-05-2020,43457792.92649532
21-05-2020,43959043.063990414
22-05-2020,44399832.574178696
23-05-2020,43212003.60675618
24-05-2020,44370977.51990197
25-05-2020,41874101.249192074
26-05-2020,43251347.971550465
27-05-2020,42432837.84524239
28-05-2020,43988647.11002912
29-05-2020,45635407.68140085
30-05-2020,43252165.78405117
