Date,Mobility
15-02-2020,41633802.544657856
16-02-2020,41548542.25814683
17-02-2020,41476912.83652572
18-02-2020,41207024.17554346
19-02-2020,40706296.57222336
20-02-2020,40630027.52543304
21-02-2020,38361004.04448635
22-02-2020,40386335.15090908
23-02-2020,41089673.60814184
24-02-2020,41006733.13421542
25-02-2020,41413209.211303785
26-02-2020,40387877.53078988
27-02-2020,41021618.36836841
28-02-2020,40806442.09288738
29-02-2020,39837854.59984158
01-03-2020,40521668.197752126
02-03-2020,40532201.81735363
03-03-2020,40188363.922165655
04-03-2020,40064341.927627936
05-03-2020,39918475.26118339
06-03-2020,39507359.55892579
07-03-2020,41736267.877906494
08-03-2020,43674220.29670191
09-03-2020,39867250.4583804
10-03-2020,32289650.35038739
11-03-2020,35692652.85014664
12-03-2020,40546511.03027114
13-03-2020,39992136.484771356
14-03-2020,38261146.53444008
15-03-2020,39591842.41273301
16-03-2020,39519924.98049417
17-03-2020,39086475.18424368
18-03-2020,39036402.423911676
19-03-2020,38993001.09071576
20-03-2020,39180438.69985768
21-03-2020,38450903.95616661
22-03-2020,27096980.99553813
23-03-2020,36922438.26059857
24-03-2020,34546885.84246951
25-03-2020,27292344.401079208
26-03-2020,27895537.337647945
27-03-2020,27608443.629928075
28-03-2020,27978477.81157436
29-03-2020,28867020.66451384
30-03-2020,28605547.222016796
31-03-2020,28324635.519346952
01-04-2020,27791040.20243244
02-04-2020,27645173.53598789
03-04-2020,28433772.27973168
04-04-2020,28253006.097725853
05-04-2020,28941257.909337293
06-04-2020,28124344.47801891
07-04-2020,30998016.676265717
08-04-2020,29750549.282516938
09-04-2020,28964759.773443837
10-04-2020,28570849.117923845
11-04-2020,29343785.194810834
12-04-2020,29335369.976325613
13-04-2020,29790088.423247445
14-04-2020,29260844.72088442
15-04-2020,29929283.662555896
16-04-2020,26657061.183619875
17-04-2020,26986013.84465486
18-04-2020,26535359.001666766
19-04-2020,27034342.813637745
20-04-2020,26119603.67423995
21-04-2020,26959817.55819655
22-04-2020,26439565.09555423
23-04-2020,26339419.574890207
24-04-2020,26949283.93859504
25-04-2020,26648847.376602978
26-04-2020,26797321.866249885
27-04-2020,26222069.007488586
28-04-2020,26999356.698927056
29-04-2020,27095150.605039593
30-04-2020,26535359.001666766
01-05-2020,26944932.32404356
02-05-2020,26870983.089837853
03-05-2020,27563586.51600077
04-05-2020,27241017.27148414
05-05-2020,27885291.728664175
06-05-2020,28011633.53578651
07-05-2020,28116130.671002015
08-05-2020,28847985.2272777
09-05-2020,28044501.249380924
10-05-2020,28839570.008792475
11-05-2020,28647694.18594966
12-05-2020,29215699.596339375
13-05-2020,29078334.74752946
14-05-2020,29285297.215993598
15-05-2020,30367661.094593357
16-05-2020,29873604.918409348
17-05-2020,30335369.402234435
18-05-2020,30091101.00647499
19-05-2020,30587476.995243613
20-05-2020,30380514.526779477
21-05-2020,30260844.146793243
22-05-2020,31240742.69214436
23-05-2020,30036676.631591495
24-05-2020,30958087.198125385
25-05-2020,29218019.408923987
26-05-2020,31360413.072130598
27-05-2020,30977036.03621212
28-05-2020,29879786.923459373
29-05-2020,30589796.807828225
30-05-2020,29204964.565269537
31-05-2020,31003808.34390591
01-06-2020,31425659.077233337
02-06-2020,32135179.53951612
03-06-2020,32185252.29984813
04-06-2020,33062685.511950623
05-06-2020,33842293.0159737
06-06-2020,33744467.3078943
07-06-2020,34620156.72864765
08-06-2020,34741570.899983026
09-06-2020,33768343.78176799
10-06-2020,34682506.8999303
11-06-2020,35533743.82557448
12-06-2020,35559940.112032786
13-06-2020,34837076.795477815
14-06-2020,35808560.12234371
15-06-2020,35056892.69612807
16-06-2020,34253408.71823129
17-06-2020,34630114.32701367
18-06-2020,33382646.933264904
19-06-2020,34269071.38508809
20-06-2020,34184099.1091948
21-06-2020,35177628.51943586
22-06-2020,35710158.393028826
23-06-2020,34003044.91657124
24-06-2020,35052541.081576586
25-06-2020,35870910.29362635
26-06-2020,35696815.538756624
27-06-2020,34749784.70699991
28-06-2020,36045581.06973157
29-06-2020,35731225.63223183
30-06-2020,34927741.65433505
01-07-2020,35232817.84149634
02-07-2020,36016776.96007091
03-07-2020,35999571.913333304
04-07-2020,36104357.05916654
05-07-2020,36541957.05850019
06-07-2020,36147758.39236246
07-07-2020,35274676.79481146
08-07-2020,35150654.80027373
09-07-2020,35357617.26873788
10-07-2020,36574536.76147686
11-07-2020,28162139.827400282
12-07-2020,29660547.044044603
13-07-2020,36006531.35108714
14-07-2020,36777147.61538951
15-07-2020,36102325.257199675
16-07-2020,36252543.538195714
17-07-2020,36899137.80796037
18-07-2020,29751413.31437017
19-07-2020,30827393.77645157
20-07-2020,37106100.2764245
21-07-2020,36831860.000890754
22-07-2020,36646454.1937157
23-07-2020,36428958.10565005
24-07-2020,37482805.88520689
25-07-2020,29727536.84049647
26-07-2020,30677175.49545554
27-07-2020,36929685.70897016
28-07-2020,37056027.516092494
29-07-2020,35762838.976563185
30-07-2020,37397545.59869585
31-07-2020,39045595.07510072
01-08-2020,29890320.543060876
02-08-2020,32929960.288309935
03-08-2020,32934500.82880291
04-08-2020,35454665.544113465
05-08-2020,36003722.116416454
06-08-2020,35912567.83547315
07-08-2020,37314893.135387175
08-08-2020,30467115.781702965
09-08-2020,31425745.67638275
10-08-2020,36511409.157490395
11-08-2020,37212427.80213854
12-08-2020,34504060.53050909
13-08-2020,35174819.28476518
14-08-2020,37791744.264833584
15-08-2020,30497663.682712764
16-08-2020,31669438.050906703
17-08-2020,
18-08-2020,
19-08-2020,
20-08-2020,
21-08-2020,
22-08-2020,
23-08-2020,
24-08-2020,
25-08-2020,
26-08-2020,
27-08-2020,
28-08-2020,
29-08-2020,
30-08-2020,
31-08-2020,
01-09-2020,
02-09-2020,
03-09-2020,
04-09-2020,
05-09-2020,
06-09-2020,
07-09-2020,
08-09-2020,
09-09-2020,
10-09-2020,
11-09-2020,36366031.91313192
12-09-2020,35865304.30981182
13-09-2020,36175020.12214234
14-09-2020,36268206.20505252
15-09-2020,36618715.52737659
16-09-2020,36342155.43925823
17-09-2020,36143896.19989705
18-09-2020,36932494.94364085
19-09-2020,37633801.59890673
20-09-2020,38115292.35352236
21-09-2020,37152310.8442911
22-09-2020,36679811.32939618
23-09-2020,36409922.668413915
24-09-2020,36492863.142340325
25-09-2020,37028778.271839455
26-09-2020,37457876.45353846
27-09-2020,38032841.301682025
28-09-2020,37220078.07344679
29-09-2020,36943517.98532842
30-09-2020,35886860.971100904
01-10-2020,34610388.056223124
02-10-2020,34518657.75404433
03-10-2020,36028376.02299397
04-10-2020,36121850.116521895
05-10-2020,35078247.945948824
06-10-2020,35411552.221535295
07-10-2020,35633687.93477017
08-10-2020,36287443.05375699
09-10-2020,37099918.27137447
10-10-2020,36832349.42297683
11-10-2020,37426839.13044259
12-10-2020,36640272.18866567
13-10-2020,36864439.70386741
14-10-2020,37310742.93230402
15-10-2020,37948835.384434044
16-10-2020,38652173.8416668
17-10-2020,38615731.94622473
18-10-2020,39288522.502447695
19-10-2020,38425686.51388045
20-10-2020,37975031.67089235
21-10-2020,37428093.49970565
22-10-2020,37118665.697992876
23-10-2020,37715187.20742552
24-10-2020,36679033.896692365
25-10-2020,37526207.218402795
26-10-2020,37336161.78605852
27-10-2020,37388554.35897514
28-10-2020,36143406.77781098
29-10-2020,36724755.0424729
30-10-2020,36380629.13666716
31-10-2020,36914800.474817164
01-11-2020,38204126.82188106
02-11-2020,37007986.557727344
03-11-2020,36755014.93286494
04-11-2020,37188752.73973318
05-11-2020,36548340.475018546
06-11-2020,36677002.0947255
07-11-2020,37343898.65651617
08-11-2020,37470240.46363851
09-11-2020,36400442.00660712
10-11-2020,37304071.50516793
11-11-2020,37721858.63456161
12-11-2020,38564104.320485085
13-11-2020,40249085.11441809
14-11-2020,38376292.101576
15-11-2020,34255152.50958042
16-11-2020,34265875.05512342
17-11-2020,36653314.54679328
18-11-2020,37579566.149964735
19-11-2020,37782177.003877394
20-11-2020,38692477.92957429
21-11-2020,38645012.99244463
22-11-2020,38647332.80502924
23-11-2020,37734424.05612999
24-11-2020,39103593.63183188
25-11-2020,38377921.080606215
26-11-2020,37241910.25982677
27-11-2020,37913158.43616895
28-11-2020,38074687.769470304
29-11-2020,39148060.40834934
30-11-2020,36394736.93811634
01-12-2020,37723113.00382467
02-12-2020,41139659.769324444
03-12-2020,40893647.582215875
04-12-2020,41538699.47209974
05-12-2020,41956774.61211116
06-12-2020,42748947.53770262
07-12-2020,41903316.595872976
08-12-2020,40667160.25442952
09-12-2020,41413900.04485819
10-12-2020,42019124.7833938
11-12-2020,43088635.229807444
12-12-2020,40750878.16105975
13-12-2020,41968575.08650255
14-12-2020,41282153.66538965
15-12-2020,41759004.79483606
16-12-2020,40727001.68718606
17-12-2020,40914439.29632798
18-12-2020,41783658.70141357
19-12-2020,41328652.243874
20-12-2020,41422126.33740193
21-12-2020,41367413.95190069
22-12-2020,40666395.30725254
23-12-2020,40938603.780819416
24-12-2020,41543828.51935503
25-12-2020,40794480.905724004
26-12-2020,41254703.00966829
27-12-2020,42001442.80009697
28-12-2020,40792737.114374876
29-12-2020,40890562.82245428
30-12-2020,40616322.54692054
31-12-2020,41014584.816992
