Date,Mobility
15-02-2020,60571697.90030632
16-02-2020,60080900.739375554
17-02-2020,60564239.587860644
18-02-2020,60022117.05188261
19-02-2020,60183631.43476593
20-02-2020,58937149.05844584
21-02-2020,55288607.54914709
22-02-2020,58681205.132042296
23-02-2020,60630481.58779924
24-02-2020,60828444.693486415
25-02-2020,58996334.17932705
26-02-2020,59751256.50058773
27-02-2020,60058605.747334406
28-02-2020,60579156.21275198
29-02-2020,61356052.037961386
01-03-2020,61363470.37775913
02-03-2020,61201955.99487581
03-03-2020,60644996.779302314
04-03-2020,61634732.362442285
05-03-2020,62059648.9841748
06-03-2020,62719338.8951387
07-03-2020,63694157.85338733
08-03-2020,65358058.56634634
09-03-2020,62149310.33102352
10-03-2020,47243699.060994215
11-03-2020,59210298.292126596
12-03-2020,62228541.734207936
13-03-2020,59040642.64796486
14-03-2020,57919587.39246458
15-03-2020,60535249.17750246
16-03-2020,60821387.814429015
17-03-2020,59817137.039785974
18-03-2020,60418444.69664522
19-03-2020,60220521.563605994
20-03-2020,60689706.681328386
21-03-2020,58952868.55011374
22-03-2020,46956917.44788282
23-03-2020,56909122.57818863
24-03-2020,54696002.477546275
25-03-2020,44590945.57696765
26-03-2020,45426263.62892964
27-03-2020,45081702.76525049
28-03-2020,45909963.938155085
29-03-2020,48356693.00051192
30-03-2020,46510870.161626056
31-03-2020,46935746.810710646
01-04-2020,46855391.05265727
02-04-2020,46247066.48938856
03-04-2020,47096859.76020568
04-04-2020,47624467.104680665
05-04-2020,50899457.33994208
06-04-2020,47910605.74160722
07-04-2020,49603898.29831269
08-04-2020,49479635.505009785
09-04-2020,49428310.12996252
10-04-2020,49985309.318183966
11-04-2020,50351803.7131639
12-04-2020,53135635.326754205
13-04-2020,50073123.38868301
14-04-2020,50344345.40071824
15-04-2020,51392101.77722252
16-04-2020,46283515.21219242
17-04-2020,46474020.005433924
18-04-2020,46356814.09118841
19-04-2020,48283394.12151593
20-04-2020,46261581.680891626
21-04-2020,45762964.74677484
22-04-2020,47250915.830643326
23-04-2020,46671983.11112109
24-04-2020,47551168.22568467
25-04-2020,47272889.33459206
26-04-2020,49836824.31119439
27-04-2020,47170198.611849606
28-04-2020,46488535.19693698
29-04-2020,48152074.449155636
30-04-2020,47800095.24567876
01-05-2020,47484926.225746065
02-05-2020,48906635.30967597
03-05-2020,50906514.218999475
04-05-2020,49045774.755222276
05-05-2020,46766412.65464132
06-05-2020,49529033.658411525
07-05-2020,50768097.69493386
08-05-2020,51441901.36401254
09-05-2020,51456817.98890387
10-05-2020,54013294.65306055
11-05-2020,50635212.2616684
12-05-2020,51698246.72380436
13-05-2020,51852302.794242
14-05-2020,53207769.8782333
15-05-2020,54050506.26999302
16-05-2020,54849375.59915116
17-05-2020,57289047.78245059
18-05-2020,54057964.5824387
19-05-2020,54123805.14898901
20-05-2020,55267596.80256663
21-05-2020,55391859.59586953
22-05-2020,56381193.74562124
23-05-2020,55750895.67840382
24-05-2020,58454371.53394073
25-05-2020,53120317.2684746
26-05-2020,55135072.83004151
27-05-2020,53405251.60523633
28-05-2020,55735577.6201242
29-05-2020,56915817.99650568
30-05-2020,55633288.33077002
31-05-2020,57134550.30597674
01-06-2020,56270603.30439691
02-06-2020,56600247.54318472
03-06-2020,58550326.865718216
04-06-2020,57941600.86906124
05-06-2020,52548039.99462148
06-06-2020,58454693.022033155
07-06-2020,59963814.74307383
08-06-2020,57963534.40036204
09-06-2020,57069432.66090712
10-06-2020,58469569.67427656
11-06-2020,58747888.5380171
12-06-2020,59576109.73827377
13-06-2020,58667492.80731579
14-06-2020,61114623.30306091
15-06-2020,57831813.29461346
16-06-2020,56878927.86766562
17-06-2020,58198709.12298168
18-06-2020,52767936.63160944
19-06-2020,55845686.682664394
20-06-2020,56014257.94460509
21-06-2020,57164343.58311149
22-06-2020,57032983.93810326
23-06-2020,56608067.31637073
24-06-2020,57743999.22411442
25-06-2020,55142089.73645098
26-06-2020,56094975.16339882
27-06-2020,57670700.345118426
28-06-2020,57538216.34524123
29-06-2020,56937310.12177027
30-06-2020,57120758.03595438
01-07-2020,57633850.188926294
02-07-2020,57597040.0053821
03-07-2020,56856994.33636482
04-07-2020,57743637.76337407
05-07-2020,59311543.17190767
06-07-2020,56080098.51115541
07-07-2020,55002950.29090466
08-07-2020,57538617.77862951
09-07-2020,54511831.64188147
10-07-2020,55742995.95992193
11-07-2020,47975643.441380985
12-07-2020,51214184.95383856
13-07-2020,57970992.71280769
14-07-2020,56373294.027139366
15-07-2020,59876763.566703394
16-07-2020,59202197.003496096
17-07-2020,59517326.05078085
18-07-2020,49536491.97085719
19-07-2020,49498878.92053643
20-07-2020,56864452.64881049
21-07-2020,55786902.99517146
22-07-2020,57670740.31776636
23-07-2020,56959725.03175521
24-07-2020,58234796.385045186
25-07-2020,49712481.57259563
26-07-2020,52166668.947398126
27-07-2020,58366878.9515341
28-07-2020,51837386.16935067
29-07-2020,58139925.43548876
30-07-2020,58755346.85046278
31-07-2020,57443385.36833273
01-08-2020,50174208.37787236
02-08-2020,54944166.60341174
03-08-2020,54065624.46503298
04-08-2020,57567608.188987695
05-08-2020,56394866.09769982
06-08-2020,56306690.566460416
07-08-2020,58775714.6208584
08-08-2020,50546595.32439279
09-08-2020,53674987.801662244
10-08-2020,60967262.65094031
11-08-2020,58072519.108033255
12-08-2020,54562795.55618839
13-08-2020,58555857.95651837
14-08-2020,59677274.67275898
15-08-2020,51264707.46210927
16-08-2020,53682044.68071964
17-08-2020,
18-08-2020,
19-08-2020,
20-08-2020,
21-08-2020,
22-08-2020,
23-08-2020,
24-08-2020,
25-08-2020,
26-08-2020,
27-08-2020,
28-08-2020,
29-08-2020,
30-08-2020,
31-08-2020,
01-09-2020,
02-09-2020,
03-09-2020,
04-09-2020,
05-09-2020,
06-09-2020,
07-09-2020,
08-09-2020,
09-09-2020,
10-09-2020,
11-09-2020,57464595.97815283
12-09-2020,58578995.78798399
13-09-2020,58988634.32408483
14-09-2020,58146259.39306545
15-09-2020,57706466.11908953
16-09-2020,59414313.83994599
17-09-2020,54981096.70489973
18-09-2020,59025885.913665235
19-09-2020,62770864.133425616
20-09-2020,61334278.397252314
21-09-2020,59502529.3438333
22-09-2020,57443505.28627651
23-09-2020,56674469.20690105
24-09-2020,52988354.61992946
25-09-2020,55333115.88102454
26-09-2020,59481438.65195699
27-09-2020,58044451.48239541
28-09-2020,56894365.84388903
29-09-2020,56139403.54998041
30-09-2020,54651412.49346399
01-10-2020,50920508.05917046
02-10-2020,49462711.71317706
03-10-2020,54562755.58354046
04-10-2020,53184953.53486009
05-10-2020,51587214.87654382
06-10-2020,46756465.79657013
07-10-2020,53191569.00788128
08-10-2020,54248027.96964398
09-10-2020,55603896.487023555
10-10-2020,56417642.4684251
11-10-2020,56446271.418042935
12-10-2020,56109530.32754981
13-10-2020,56556781.9139714
14-10-2020,57670780.29041429
15-10-2020,57685696.91530562
16-10-2020,59525225.769262716
17-10-2020,60609872.27460707
18-10-2020,59502930.777221575
19-10-2020,58081583.15403203
20-10-2020,56923276.30895135
21-10-2020,56762163.35945631
22-10-2020,55361986.37343894
23-10-2020,56270563.331748985
24-10-2020,57062737.24259006
25-10-2020,58454653.04938522
26-10-2020,56791475.257906914
27-10-2020,57157608.19214651
28-10-2020,56549685.06226608
29-10-2020,55853546.428498335
30-10-2020,54380873.43026152
31-10-2020,58235237.79108139
01-11-2020,57693115.25510336
02-11-2020,56366638.58147025
03-11-2020,57949822.07563553
04-11-2020,57693476.71584371
05-11-2020,55494470.37331614
06-11-2020,55560350.91251438
07-11-2020,59408019.85501721
08-11-2020,57715048.786404155
09-11-2020,56689225.94120067
10-11-2020,58052512.79837798
11-11-2020,58529156.228546046
12-11-2020,60691272.442233555
13-11-2020,59812047.35502205
14-11-2020,56214509.73267813
15-11-2020,55715129.904432714
16-11-2020,54323174.12498964
17-11-2020,58543591.474753246
18-11-2020,58448359.06445646
19-11-2020,59841037.76538023
20-11-2020,56521739.061481
21-11-2020,60104400.03158151
22-11-2020,60324336.6412174
23-11-2020,59247188.42096666
24-11-2020,60229465.69166097
25-11-2020,60889155.602624856
26-11-2020,59408662.83120204
27-11-2020,60353728.48496387
28-11-2020,64099068.165464595
29-11-2020,64326383.14225029
30-11-2020,58764572.49396225
01-12-2020,59950665.44923628
02-12-2020,62662442.45664335
03-12-2020,63212424.73845534
04-12-2020,64033227.59891427
05-12-2020,68731051.27297457
06-12-2020,66422658.789387494
07-12-2020,62721226.144136295
08-12-2020,61687984.95913508
09-12-2020,62662843.89003164
10-12-2020,63645201.10602181
11-12-2020,64056003.96963955
12-12-2020,65902629.67530197
13-12-2020,67009209.71194711
14-12-2020,65301763.42447893
15-12-2020,64128981.36054312
16-12-2020,63645321.023965605
17-12-2020,63769985.250656776
18-12-2020,64121602.99339332
19-12-2020,65213667.838535406
20-12-2020,63608912.27380968
21-12-2020,63674752.84035999
22-12-2020,63630444.3717222
23-12-2020,64686060.49406042
24-12-2020,63755108.59841337
25-12-2020,60765855.56669024
26-12-2020,65198791.186292
27-12-2020,64546519.61512585
28-12-2020,63418006.0471799
29-12-2020,61571018.88077713
30-12-2020,62706990.76116875
31-12-2020,63359222.35968696
