Date,Mobility
15-02-2020,56252322.13559517
16-02-2020,55509030.03921299
17-02-2020,55354313.879606515
18-02-2020,55133814.79985098
19-02-2020,55201803.44972484
20-02-2020,55555045.97580619
21-02-2020,49771678.879207365
22-02-2020,55125127.10064465
23-02-2020,56455259.96151966
24-02-2020,56177851.516239785
25-02-2020,53954828.907411516
26-02-2020,54093533.130051464
27-02-2020,55811323.976084106
28-02-2020,57847420.69595442
29-02-2020,57230575.93183493
01-03-2020,57107883.64616155
02-03-2020,57226820.88524565
03-03-2020,56081408.18360376
04-03-2020,55977119.42004011
05-03-2020,55594579.94291788
06-03-2020,57983919.18886954
07-03-2020,55967589.45255507
08-03-2020,58174414.26899842
09-03-2020,54850394.94253156
10-03-2020,41020447.76053363
11-03-2020,53293988.08100529
12-03-2020,56264579.025972426
13-03-2020,54197300.70044771
14-03-2020,54846169.3385003
15-03-2020,56414362.53296187
16-03-2020,56910720.741132796
17-03-2020,55176917.95813359
18-03-2020,54919276.49640956
19-03-2020,55127332.830369465
20-03-2020,56318761.46860454
21-03-2020,53627128.285781756
22-03-2020,38685476.81263244
23-03-2020,48812485.01793766
24-03-2020,42978690.525296
25-03-2020,38213111.192048624
26-03-2020,38390507.113521546
27-03-2020,38986221.43263908
28-03-2020,38813944.01920158
29-03-2020,41057440.66017145
30-03-2020,39976917.97467447
31-03-2020,39651287.86307659
01-04-2020,39797316.32347675
02-04-2020,39345424.73503455
03-04-2020,40293018.118787326
04-04-2020,40896056.67566508
05-04-2020,42988406.348199405
06-04-2020,40467501.26194965
07-04-2020,40966772.24843116
08-04-2020,41196801.295671724
09-04-2020,40739791.199194126
10-04-2020,42352451.01338441
11-04-2020,41502664.42371377
12-04-2020,43538104.730723746
13-04-2020,41869191.96386946
14-04-2020,41404857.62963162
15-04-2020,42226189.5365401
16-04-2020,38184000.09642611
17-04-2020,39131593.48017889
18-04-2020,38545409.128546394
19-04-2020,39654386.49680554
20-04-2020,38684113.35118633
21-04-2020,38217573.28722369
22-04-2020,39215594.0670193
23-04-2020,38722805.05001931
24-04-2020,39739750.54509206
25-04-2020,39222918.30477952
26-04-2020,40580849.43555637
27-04-2020,39333167.84465729
28-04-2020,38945509.85949965
29-04-2020,39546342.686652586
30-04-2020,39787972.21141007
01-05-2020,38493618.27105745
02-05-2020,41156796.77111807
03-05-2020,42308877.297659814
04-05-2020,41634937.31259762
05-05-2020,41156796.77111807
06-05-2020,43473214.71457883
07-05-2020,42048844.25079261
08-05-2020,45044977.10021134
09-05-2020,43635255.11194554
10-05-2020,44306989.36728293
11-05-2020,44164530.098053694
12-05-2020,43979809.93882056
13-05-2020,45150108.13205369
14-05-2020,45073431.7829735
15-05-2020,46927721.12192127
16-05-2020,46693415.834924005
17-05-2020,47797274.69514775
18-05-2020,46494047.20017044
19-05-2020,46494047.20017044
20-05-2020,47317584.83680371
21-05-2020,48281190.15752305
22-05-2020,48666642.41295587
23-05-2020,47608799.48932532
24-05-2020,48691527.90454712
25-05-2020,43681085.193120375
26-05-2020,47802207.3477648
27-05-2020,48065809.58580293
28-05-2020,48520613.952555716
29-05-2020,50195301.64030576
30-05-2020,49193004.62075344
31-05-2020,50453128.95744814
01-06-2020,49733173.03579274
02-06-2020,49871877.25843267
03-06-2020,49802525.14711271
04-06-2020,50190183.13227034
05-06-2020,50631181.291781396
06-06-2020,51324702.40498108
07-06-2020,50069040.16346144
08-06-2020,51299816.91338983
09-06-2020,50252211.005830094
10-06-2020,51340714.34194763
11-06-2020,51721048.089345045
12-06-2020,53708923.142897345
13-06-2020,51793969.39183595
14-06-2020,51007759.99258952
15-06-2020,50849288.78639375
16-06-2020,51832661.09066892
17-06-2020,50046360.40159501
18-06-2020,50876380.00770981
19-06-2020,52309438.17070236
20-06-2020,48334530.33187647
21-06-2020,48186296.1417515
22-06-2020,49728054.52775734
23-06-2020,51439884.59747588
24-06-2020,50787260.912833996
25-06-2020,49990814.49751677
26-06-2020,52385272.25150385
27-06-2020,50767493.92927816
28-06-2020,45792359.580931835
29-06-2020,49380451.7028788
30-06-2020,50282029.150038384
01-07-2020,49787876.67159227
02-07-2020,50563192.64190754
03-07-2020,51754621.28014262
04-07-2020,52032029.725422494
05-07-2020,48567993.35059503
06-07-2020,49933905.13199243
07-07-2020,44833165.71966213
08-07-2020,50874174.27798499
09-07-2020,50742794.293105274
10-07-2020,51857546.58226016
11-07-2020,39116945.00465846
12-07-2020,41396220.566150725
13-07-2020,51256713.755107224
14-07-2020,50452943.10202978
15-07-2020,51630565.53302312
16-07-2020,52080251.3917405
17-07-2020,53616234.8568506
18-07-2020,40713592.8818822
19-07-2020,41832100.21762637
20-07-2020,53472412.12617527
21-07-2020,51386730.27854083
22-07-2020,51948871.40686079
23-07-2020,51358275.59577866
24-07-2020,54355771.90664349
25-07-2020,39595085.54613801
26-07-2020,42274461.838583544
27-07-2020,51769269.75566306
28-07-2020,50499801.306901686
29-07-2020,49469049.604587205
30-07-2020,52059120.94673855
31-07-2020,54725868.6379701
01-08-2020,40432429.390013024
02-08-2020,44802505.30717514
03-08-2020,45767288.23392222
04-08-2020,50273341.450832054
05-08-2020,50215068.62386159
06-08-2020,49720073.87713678
07-08-2020,53989951.41507357
08-08-2020,41976444.14146911
09-08-2020,44337514.56007698
10-08-2020,54451372.97100081
11-08-2020,52394145.80612854
12-08-2020,50673442.18178531
13-08-2020,52177401.7729623
14-08-2020,55832640.27650443
15-08-2020,42995595.36626669
16-08-2020,45528943.19831205
17-08-2020,
18-08-2020,
19-08-2020,
20-08-2020,
21-08-2020,
22-08-2020,
23-08-2020,
24-08-2020,
25-08-2020,
26-08-2020,
27-08-2020,
28-08-2020,
29-08-2020,
30-08-2020,
31-08-2020,
01-09-2020,
02-09-2020,
03-09-2020,
04-09-2020,
05-09-2020,
06-09-2020,
07-09-2020,
08-09-2020,
09-09-2020,
10-09-2020,
11-09-2020,54173443.33255353
12-09-2020,53420100.07551891
13-09-2020,51826364.976605766
14-09-2020,54065399.52240059
15-09-2020,53215612.93272994
16-09-2020,53671259.56776144
17-09-2020,51761424.32473543
18-09-2020,55537991.652504824
19-09-2020,57549388.73620226
20-09-2020,54549500.84019425
21-09-2020,54447938.99952282
22-09-2020,54069810.981850214
23-09-2020,51001599.098219305
24-09-2020,45616127.00284891
25-09-2020,54564149.315714695
26-09-2020,55060693.37930397
27-09-2020,53341353.21640685
28-09-2020,52823678.70781561
29-09-2020,52533827.51674011
30-09-2020,50447303.400826976
01-10-2020,48287672.127004564
02-10-2020,47975141.17406264
03-10-2020,51495616.356972486
04-10-2020,48911841.12888428
05-10-2020,49203055.78140589
06-10-2020,48904516.891124055
07-10-2020,49609117.28867325
08-10-2020,50941455.87927308
09-10-2020,55781641.051568754
10-10-2020,54958945.68321418
11-10-2020,54462401.6196249
12-10-2020,55115025.30426678
13-10-2020,54275475.73066694
14-10-2020,55170571.20834501
15-10-2020,56404260.73658399
16-10-2020,59636904.60272479
17-10-2020,59361887.7425881
18-10-2020,57519855.29401759
19-10-2020,57174458.19886387
20-10-2020,56884607.007788375
21-10-2020,56664107.92803284
22-10-2020,56096006.02339877
23-10-2020,57921840.67958437
24-10-2020,55306883.84584177
25-10-2020,54447567.2886861
26-10-2020,55565888.76901191
27-10-2020,56977816.48700251
28-10-2020,56624573.96092115
29-10-2020,56817981.81936063
30-10-2020,55692992.51413494
31-10-2020,59256570.855327375
01-11-2020,56847278.7704015
02-11-2020,59092795.285677835
03-11-2020,59162147.396997795
04-11-2020,57777310.90032326
05-11-2020,56485869.73828122
06-11-2020,58221221.83814489
07-11-2020,59325922.96664735
08-11-2020,56978658.75528122
09-11-2020,56901982.40620103
10-11-2020,57310770.836360626
11-11-2020,58632215.9980293
12-11-2020,60077531.05139912
13-11-2020,61105369.97540301
14-11-2020,57909347.298063315
15-11-2020,46181986.8046705
16-11-2020,50137969.92821925
17-11-2020,57541321.07676859
18-11-2020,56715056.51724308
19-11-2020,57429708.07544472
20-11-2020,59604509.01795496
21-11-2020,60429595.97145272
22-11-2020,57082947.51884487
23-11-2020,58816750.301844075
24-11-2020,58678046.07920414
25-11-2020,57453044.25017149
26-11-2020,57744258.90269308
27-11-2020,59554081.62191214
28-11-2020,60730340.59145937
29-11-2020,59261317.65252605
30-11-2020,54906411.40405178
01-12-2020,58300439.25469895
02-12-2020,58156802.37944197
03-12-2020,59702315.8120371
04-12-2020,62664875.47065824
05-12-2020,63811837.4891646
06-12-2020,61215619.51528078
07-12-2020,61033812.134358235
08-12-2020,59220420.22396826
09-12-2020,58783177.11104649
10-12-2020,59606714.74767978
11-12-2020,61886646.7220324
12-12-2020,60020100.492707364
13-12-2020,60973468.79735589
14-12-2020,61407142.719106734
15-12-2020,60623139.04958513
16-12-2020,60234117.60298137
17-12-2020,59279199.98146837
18-12-2020,61589135.95544764
19-12-2020,59253136.88384939
20-12-2020,57997288.786911376
21-12-2020,60552423.476819046
22-12-2020,59430346.949903935
23-12-2020,59601260.90189533
24-12-2020,58701046.91618186
25-12-2020,58452749.566524506
26-12-2020,60413905.109597474
27-12-2020,58777723.26526205
28-12-2020,60886741.287623264
29-12-2020,58217787.866666906
30-12-2020,59388086.059900016
31-12-2020,59035364.72698608
