Date,Mobility
15-02-2020,70910449.4904854
16-02-2020,69782846.41310172
17-02-2020,69976282.4901672
18-02-2020,69780827.3263887
19-02-2020,69780827.3263887
20-02-2020,70460054.02023943
21-02-2020,62638339.445249595
22-02-2020,69348510.94028887
23-02-2020,70468084.018956
24-02-2020,69894233.39483458
25-02-2020,66311930.825478934
26-02-2020,68627878.1878953
27-02-2020,71065261.61747412
28-02-2020,70550133.11428861
29-02-2020,71088588.5918708
01-03-2020,71368874.95944795
02-03-2020,70189816.73809186
03-03-2020,70426677.96041319
04-03-2020,71549033.14754635
05-03-2020,71425577.9936709
06-03-2020,72196902.86828384
07-03-2020,70511509.16421184
08-03-2020,74292049.00581199
09-03-2020,67118967.17331268
10-03-2020,47026713.96345466
11-03-2020,61185815.13820837
12-03-2020,69826271.55835754
13-03-2020,65060872.59421978
14-03-2020,67945422.69050704
15-03-2020,69461917.00873475
16-03-2020,68972897.58841197
17-03-2020,67925324.51964788
18-03-2020,68597284.23653507
19-03-2020,68473829.08265963
20-03-2020,67402929.03949887
21-03-2020,62861113.40871532
22-03-2020,45083551.49631368
23-03-2020,47657221.27366355
24-03-2020,46177331.81879964
25-03-2020,44386562.04499834
26-03-2020,43665929.292604774
27-03-2020,44164997.798357114
28-03-2020,44229730.83129662
29-03-2020,46800302.17349893
30-03-2020,44883611.464037664
31-03-2020,45259224.815914564
01-04-2020,43869414.45509985
02-04-2020,44384542.95828533
03-04-2020,44777472.372555345
04-04-2020,45496086.038235895
05-04-2020,47837826.15683344
06-04-2020,45390709.96850658
07-04-2020,47593251.26247707
08-04-2020,47078885.78104462
09-04-2020,47357153.06190877
10-04-2020,47070855.78232804
11-04-2020,46906757.591662794
12-04-2020,49755596.21472925
13-04-2020,47748826.41121879
14-04-2020,47405826.09741514
15-04-2020,48296567.952477515
16-04-2020,46708520.31941826
17-04-2020,46283470.91028196
18-04-2020,46412936.97616098
19-04-2020,47446915.829276435
20-04-2020,46788550.32803787
21-04-2020,47369667.92912285
22-04-2020,47320994.893616475
23-04-2020,48106360.67894955
24-04-2020,47729984.30531964
25-04-2020,46829956.3865807
26-04-2020,48697974.060535595
27-04-2020,47810777.33569227
28-04-2020,48129687.65334623
29-04-2020,47712668.24292651
30-04-2020,48129687.65334623
01-05-2020,45660947.250654176
02-05-2020,48677429.19460495
03-05-2020,49941002.293078184
04-05-2020,49634923.16931983
05-05-2020,49568171.04966732
06-05-2020,51016703.53141799
07-05-2020,50290822.88877389
08-05-2020,52513909.04867503
09-05-2020,51647257.189762354
10-05-2020,53898918.214310706
11-05-2020,53454086.96099679
12-05-2020,54246719.72329341
13-05-2020,53626215.150378615
14-05-2020,55147510.66378536
15-05-2020,55720598.26615377
16-05-2020,55016025.51119334
17-05-2020,56606538.9260371
18-05-2020,56153677.67400661
19-05-2020,56570697.084426336
20-05-2020,56375241.92064783
21-05-2020,56825637.39089381
22-05-2020,57218566.80516383
23-05-2020,55901519.476005174
24-05-2020,57123686.51593559
25-05-2020,53188650.87402825
26-05-2020,57610240.154473856
27-05-2020,58109308.6602262
28-05-2020,58886644.4468427
29-05-2020,59918157.51817365
30-05-2020,58304763.82400471
31-05-2020,58080417.468897454
01-06-2020,60113612.68195215
02-06-2020,60203691.77600135
03-06-2020,60237067.83582761
04-06-2020,60834245.43434572
05-06-2020,56341102.839068554
06-06-2020,59712653.26896557
07-06-2020,60200909.66753531
08-06-2020,61775679.41162747
09-06-2020,61153155.751999676
10-06-2020,61580224.247848965
11-06-2020,62120698.812144145
12-06-2020,63594577.355004504
13-06-2020,60519373.29011778
14-06-2020,60341680.88380389
15-06-2020,62701816.413229115
16-06-2020,60270443.895653866
17-06-2020,61343363.02552765
18-06-2020,61253283.93147844
19-06-2020,61867777.59238968
20-06-2020,57995902.59178033
21-06-2020,57624774.10840095
22-06-2020,61523521.213626035
23-06-2020,62022589.719378375
