Date,Mobility
15-02-2020,20358529.436352786
16-02-2020,20522179.313457135
17-02-2020,20477807.088820808
18-02-2020,20517667.04788545
19-02-2020,20442912.790654723
20-02-2020,20509695.056072526
21-02-2020,19255846.819553345
22-02-2020,20418996.81521593
23-02-2020,21209875.92098191
24-02-2020,20467578.964222036
25-02-2020,20437795.959155202
26-02-2020,20238647.217956938
27-02-2020,20236391.0851711
28-02-2020,20208114.014761582
29-02-2020,19754465.985001422
01-03-2020,20481417.985663008
02-03-2020,21003354.215498284
03-03-2020,20266174.090237927
04-03-2020,20070636.245881863
05-03-2020,20110647.375547465
06-03-2020,19016989.1734154
07-03-2020,21099320.458455347
08-03-2020,21741138.906686477
09-03-2020,20712158.124263316
10-03-2020,15176916.945907459
11-03-2020,20119974.247892737
12-03-2020,20237897.01982841
13-03-2020,19742132.898217764
14-03-2020,19671890.906558715
15-03-2020,20116514.40517551
16-03-2020,20008366.246035744
17-03-2020,19549601.384776067
18-03-2020,19527191.34399459
19-03-2020,19428369.940724116
20-03-2020,19148599.912667073
21-03-2020,19195228.270089246
22-03-2020,13584331.46577318
23-03-2020,17341828.84779038
24-03-2020,14267963.781128872
25-03-2020,13198372.725036552
26-03-2020,13337205.25797263
27-03-2020,13002834.880680485
28-03-2020,13395265.333448978
29-03-2020,14095289.37288116
30-03-2020,13550193.020611867
31-03-2020,13433770.528457262
01-04-2020,13332844.163001902
02-04-2020,13518153.882759195
03-04-2020,13638786.299283573
04-04-2020,13845907.032294767
05-04-2020,14423042.522416733
06-04-2020,13821991.056855982
07-04-2020,14299555.062054927
08-04-2020,14578877.233185353
09-04-2020,14558572.154588766
10-04-2020,14117408.38221322
11-04-2020,14185696.582288336
12-04-2020,15105174.441515375
13-04-2020,14415378.526681961
14-04-2020,14264811.934489798
15-04-2020,14655137.425073402
16-04-2020,14051073.973722033
17-04-2020,13821392.029328408
18-04-2020,14002340.654114977
19-04-2020,14780881.018221047
20-04-2020,14032873.857310332
21-04-2020,13948490.503008401
22-04-2020,14006701.749085702
23-04-2020,14091085.103387635
24-04-2020,14080856.978788864
25-04-2020,13984140.537703276
26-04-2020,14883313.318333726
27-04-2020,14157268.341277866
28-04-2020,13960224.562264485
29-04-2020,14091085.103387635
30-04-2020,13994368.662302045
01-05-2020,13976168.545890346
02-05-2020,14159222.132861799
03-05-2020,14945734.488780802
04-05-2020,14242099.552506415
05-05-2020,14322720.839365192
06-05-2020,14493592.510153942
07-05-2020,14493592.510153942
08-05-2020,14569852.70204199
09-05-2020,14636035.93993222
10-05-2020,15623801.999234376
11-05-2020,14731095.27575954
12-05-2020,14843755.700470986
13-05-2020,15149849.007353613
14-05-2020,15079304.674492655
15-05-2020,15069076.549893884
16-05-2020,15362685.599391896
17-05-2020,16469130.2836345
18-05-2020,15610567.660197223
19-05-2020,15604700.630569179
20-05-2020,15872288.742443519
21-05-2020,15966749.050743265
22-05-2020,15652683.75204771
23-05-2020,15861909.447243795
24-05-2020,16942182.023261763
25-05-2020,15333053.764926022
26-05-2020,16202745.881691549
27-05-2020,16516811.180387106
28-05-2020,16538622.193641009
29-05-2020,16282768.141022753
30-05-2020,16580587.114890542
31-05-2020,16408662.904771356
01-06-2020,17239250.91547701
02-06-2020,16675797.621318817
03-06-2020,16665720.667321
04-06-2020,16542832.118010784
05-06-2020,16532603.99341201
06-06-2020,16286826.894791575
07-06-2020,16600438.681684265
08-06-2020,16848774.254292455
09-06-2020,16555014.034193482
10-06-2020,16866974.370704155
11-06-2020,16782591.016402222
12-06-2020,16848774.254292455
13-06-2020,16448220.639110079
14-06-2020,16785748.40144156
15-06-2020,16643758.483466143
16-06-2020,16323826.155142546
17-06-2020,16583442.275203953
18-06-2020,16379932.439034961
19-06-2020,16387904.43084789
20-06-2020,16494546.655330341
21-06-2020,16485673.294787928
22-06-2020,17070484.206873145
23-06-2020,16672035.55387566
24-06-2020,16794924.103185877
25-06-2020,16724379.770324918
26-06-2020,16651730.475279074
27-06-2020,16515002.90452788
28-06-2020,16810414.575008873
29-06-2020,16956317.84750439
30-06-2020,17236087.875561424
01-07-2020,17137266.472290948
02-07-2020,17020244.952608775
03-07-2020,17245565.802031673
04-07-2020,17054237.882045377
05-07-2020,17392067.985578764
06-07-2020,17205554.672366068
07-07-2020,16909689.49008221
08-07-2020,17127038.34769218
09-07-2020,16905328.395111486
10-07-2020,16919766.44408003
11-07-2020,13981884.404917434
12-07-2020,15197227.446428327
13-07-2020,17273842.872441188
14-07-2020,17102971.201652437
15-07-2020,17370559.313526776
16-07-2020,17098610.10668171
17-07-2020,17066570.968829036
18-07-2020,14600083.564035438
19-07-2020,15489330.561269026
20-07-2020,18248525.763307143
21-07-2020,17336264.04288826
22-07-2020,17346492.167487033
23-07-2020,17304224.905035593
24-07-2020,17298357.875407547
25-07-2020,14948292.962768553
26-07-2020,15726984.497475581
27-07-2020,17940327.494239632
28-07-2020,17948299.48605256
29-07-2020,18272592.909346886
30-07-2020,18324937.125796147
31-07-2020,18731956.798134133
01-08-2020,15077798.73983534
02-08-2020,16760628.832547365
03-08-2020,16928488.75049747
04-08-2020,17832627.19202648
05-08-2020,17336863.070415832
06-08-2020,17695149.42314677
07-08-2020,17844058.91008066
08-08-2020,15109983.393412719
09-08-2020,15948991.136381935
10-08-2020,18720071.568277095
11-08-2020,18029519.800438907
12-08-2020,17641002.585714526
13-08-2020,17286024.78862389
14-08-2020,18079607.884102326
15-08-2020,14575260.681466904
16-08-2020,16108128.747914603
17-08-2020,
18-08-2020,
19-08-2020,
20-08-2020,
21-08-2020,
22-08-2020,
23-08-2020,
24-08-2020,
25-08-2020,
26-08-2020,
27-08-2020,
28-08-2020,
29-08-2020,
30-08-2020,
31-08-2020,
01-09-2020,
02-09-2020,
03-09-2020,
04-09-2020,
05-09-2020,
06-09-2020,
07-09-2020,
08-09-2020,
09-09-2020,
10-09-2020,
11-09-2020,17873993.085748445
12-09-2020,18036892.764724266
13-09-2020,18078857.6859738
14-09-2020,18785504.608038798
15-09-2020,18646672.07510272
16-09-2020,18968860.53621216
17-09-2020,20754430.925115023
18-09-2020,18555973.83424613
19-09-2020,19048731.62494241
20-09-2020,19372873.877635784
21-09-2020,19620907.109042063
22-09-2020,19246525.602084316
23-09-2020,19606620.230674475
24-09-2020,19243821.61237186
25-09-2020,18964051.58431482
26-09-2020,19579697.924321316
27-09-2020,20193838.3296705
28-09-2020,19874057.171947856
29-09-2020,19421159.340316225
30-09-2020,19486586.841677666
01-10-2020,20038905.104107346
02-10-2020,18306585.955259476
03-10-2020,18882971.24725291
04-10-2020,19263818.811366275
05-10-2020,19255846.819553345
06-10-2020,18889437.30440853
07-10-2020,19314058.065630645
08-10-2020,19245019.667427
09-10-2020,19222609.62664553
10-10-2020,19532313.830370355
11-10-2020,19920982.21569569
12-10-2020,20287542.90144146
13-10-2020,20025821.819195166
14-10-2020,20350115.24248949
15-10-2020,20720135.65447651
16-10-2020,21934280.757408243
17-10-2020,19900078.10957153
18-10-2020,20375385.981984638
19-10-2020,20498425.701895814
20-10-2020,19838255.96665203
21-10-2020,19756128.745135937
22-10-2020,19385957.16254797
23-10-2020,19335869.07888455
24-10-2020,19480719.812049624
25-10-2020,20394935.32405244
26-10-2020,20445174.578316808
27-10-2020,19885332.181000814
28-10-2020,19665878.361205965
29-10-2020,19220952.521387257
30-10-2020,19855252.48960832
31-10-2020,20905445.374233805
01-11-2020,20400052.155551955
02-11-2020,20386364.304711938
03-11-2020,20184959.43072783
04-11-2020,19311354.075918186
05-11-2020,19252991.659239933
06-11-2020,19015337.72303338
07-11-2020,19646928.046665736
08-11-2020,19846076.787864003
09-11-2020,20088242.98964224
10-11-2020,19603306.020157933
11-11-2020,20144948.301062226
12-11-2020,20539634.886616554
13-11-2020,21393539.84523343
14-11-2020,19832092.36717431
15-11-2020,18873347.805057965
16-11-2020,18694201.917730357
17-11-2020,19972721.866217118
18-11-2020,20278064.97497122
19-11-2020,20181348.533885628
20-11-2020,19961894.714090776
21-11-2020,20003859.635340307
22-11-2020,21000504.71006112
23-11-2020,20555730.04084337
24-11-2020,20463374.69472851
25-11-2020,20194431.818797812
26-11-2020,19622256.334698163
27-11-2020,19916016.554797128
28-11-2020,21399104.533659562
29-11-2020,23492722.021028977
30-11-2020,21225075.47783147
01-12-2020,20006865.966254678
02-12-2020,20890100.418135513
03-12-2020,20833395.106715526
04-12-2020,20299875.988225117
05-12-2020,20509101.683421202
06-12-2020,21528307.96952444
07-12-2020,21372025.51830519
08-12-2020,19464775.82842376
09-12-2020,21436103.794010535
10-12-2020,21274710.04969203
11-12-2020,20890251.588736467
