Date,Mobility
15-02-2020,26395393.54663607
16-02-2020,26005688.723972954
17-02-2020,25629083.980970807
18-02-2020,25780511.486368183
19-02-2020,25766779.444849513
20-02-2020,25847104.82690838
21-02-2020,24100648.990832675
22-02-2020,25865396.87126733
23-02-2020,25832364.961884122
24-02-2020,26321216.732738823
25-02-2020,26302446.386648055
26-02-2020,26369518.028920066
27-02-2020,25959403.074802894
28-02-2020,26215494.13469577
29-02-2020,26083844.798894748
01-03-2020,25706334.67247094
02-03-2020,26235853.046107866
03-03-2020,25469492.260400638
04-03-2020,26088934.32350881
05-03-2020,26836473.54308331
06-03-2020,26333889.73070994
07-03-2020,27286725.578208927
08-03-2020,27034716.219424523
09-03-2020,25532737.48881813
10-03-2020,18902221.506951775
11-03-2020,21099510.119968828
12-03-2020,25747582.0170689
13-03-2020,26261779.78386583
14-03-2020,25871015.917655163
15-03-2020,25626538.812185854
16-03-2020,25606231.12081572
17-03-2020,25283017.198608875
18-03-2020,26015816.553159114
19-03-2020,25633165.682079278
20-03-2020,25942647.562767457
21-03-2020,26252658.96522941
22-03-2020,17868479.53557819
23-03-2020,24406526.659188353
24-03-2020,24334416.712344244
25-03-2020,17656128.95607042
26-03-2020,17775532.37559018
27-03-2020,17596162.485423654
28-03-2020,18290310.88420285
29-03-2020,19044852.835318662
30-03-2020,18633302.97600605
31-03-2020,18865534.1651941
01-04-2020,18547939.28937509
02-04-2020,18284213.5360832
03-04-2020,18601278.89012843
04-04-2020,18786746.12841461
05-04-2020,19289757.022477828
06-04-2020,18640408.14763129
07-04-2020,18852809.947181024
08-04-2020,18733406.527661268
09-04-2020,18363479.874594506
10-04-2020,18514907.37999188
11-04-2020,18785260.003177203
12-04-2020,19335513.149874114
13-04-2020,18692739.92487904
14-04-2020,19123162.57036634
15-04-2020,19420928.056547035
16-04-2020,18384265.867696453
17-04-2020,18554993.24095837
18-04-2020,18859385.597032487
19-04-2020,19355291.319470473
20-04-2020,18614430.18983136
21-04-2020,19196280.340716038
22-04-2020,18990983.712791547
23-04-2020,19142940.7399627
24-04-2020,19082974.269315932
25-04-2020,19202907.210609466
26-04-2020,17926379.13917182
27-04-2020,17622038.003139663
28-04-2020,18375145.04906003
29-04-2020,18289251.8406553
30-04-2020,18659708.015495833
01-05-2020,18441687.169558264
02-05-2020,19188167.34558521
03-05-2020,19268919.80933392
04-05-2020,18865482.94515214
05-05-2020,19829983.96711665
06-05-2020,19870121.0481251
07-05-2020,19578982.431837834
08-05-2020,20590196.18466226
09-05-2020,20622749.792313658
10-05-2020,19935655.345117744
11-05-2020,19551518.348800503
12-05-2020,20846867.986370876
13-05-2020,20926134.324882183
14-05-2020,20847346.288102694
15-05-2020,21270134.240190975
16-05-2020,21925153.38146731
17-05-2020,22005376.32344225
18-05-2020,21488633.38786036
19-05-2020,21786398.87404105
20-05-2020,22011524.89160386
21-05-2020,22356054.328686427
22-05-2020,22183789.610145144
23-05-2020,22329119.76742287
24-05-2020,22693905.675833605
25-05-2020,20755355.731578305
26-05-2020,22296566.159771476
27-05-2020,22244234.382523723
28-05-2020,22251339.554148965
29-05-2020,22654298.11659893
30-05-2020,22760499.0163738
31-05-2020,23830620.19629744
01-06-2020,23394202.642774414
02-06-2020,23388105.29465476
03-06-2020,24082783.21520773
04-06-2020,23930826.18803658
05-06-2020,24234210.720605105
06-06-2020,24551805.596424114
07-06-2020,24320531.010699697
08-06-2020,24195081.46310225
09-06-2020,23130476.889482517
10-06-2020,23923721.016411338
11-06-2020,23600028.792472683
12-06-2020,23989784.835177757
13-06-2020,23692548.87077084
14-06-2020,23951133.87940671
15-06-2020,23375432.296683647
16-06-2020,23058315.72259645
17-06-2020,24102612.60484605
18-06-2020,23673197.782864336
19-06-2020,23289539.08827891
20-06-2020,24538603.076679226
21-06-2020,23374851.55486791
22-06-2020,24003516.87669642
23-06-2020,23111177.021617975
24-06-2020,24096515.256726395
25-06-2020,24222545.54613958
26-06-2020,23488738.368083753
27-06-2020,23310905.823196594
28-06-2020,23238693.436268564
29-06-2020,23310905.823196594
30-06-2020,23376969.64196301
01-07-2020,23562436.880249187
02-07-2020,23304278.953303166
03-07-2020,23455706.45870054
04-07-2020,24348046.313778985
05-07-2020,24308865.836234167
06-07-2020,23308838.956143454
07-07-2020,23812430.592022408
08-07-2020,23739739.90336257
09-07-2020,23693505.474234473
10-07-2020,24295185.01475746
11-07-2020,19354864.237780616
12-07-2020,19851777.783724185
13-07-2020,23950604.35763293
14-07-2020,24730645.96481686
15-07-2020,25272359.034693092
16-07-2020,24843473.734485153
17-07-2020,25153963.438678924
18-07-2020,20234479.87484598
19-07-2020,20684151.168155864
20-07-2020,24841936.38920579
21-07-2020,25331795.983566083
22-07-2020,25338422.85345951
23-07-2020,25041665.190784406
24-07-2020,25437518.581609134
25-07-2020,20459605.892408792
26-07-2020,21147076.2012526
27-07-2020,25127028.877415366
28-07-2020,25258626.993174423
29-07-2020,24874968.298588995
30-07-2020,25762269.849095345
31-07-2020,26026525.124161016
01-08-2020,20043974.33198771
02-08-2020,21492186.380150903
03-08-2020,21963378.068504352
04-08-2020,24117881.991644077
05-08-2020,23812908.893754225
06-08-2020,23773779.636251368
07-08-2020,24739766.783453282
08-08-2020,19457461.738178827
09-08-2020,20284164.856180705
10-08-2020,25491866.005868066
11-08-2020,25128515.002652775
12-08-2020,24261145.281868666
13-08-2020,23555229.26854002
14-08-2020,25452736.7483652
15-08-2020,20019482.499425188
16-08-2020,20251132.946797494
17-08-2020,
18-08-2020,
19-08-2020,
20-08-2020,
21-08-2020,
22-08-2020,
23-08-2020,
24-08-2020,
25-08-2020,
26-08-2020,
27-08-2020,
28-08-2020,
29-08-2020,
30-08-2020,
31-08-2020,
01-09-2020,
02-09-2020,
03-09-2020,
04-09-2020,
05-09-2020,
06-09-2020,
07-09-2020,
08-09-2020,
09-09-2020,
10-09-2020,
11-09-2020,25279942.508050147
12-09-2020,26560501.060554303
13-09-2020,25134082.82899864
14-09-2020,25926319.132421874
15-09-2020,24294604.272941727
16-09-2020,26752116.867002092
17-09-2020,25754054.41388059
18-09-2020,25476067.097296257
19-09-2020,27299773.624872085
20-09-2020,26137183.586692244
21-09-2020,25879555.181520004
22-09-2020,24345928.22668389
23-09-2020,24078119.959327675
24-09-2020,26075730.990808073
25-09-2020,26041691.257919274
26-09-2020,27052853.790701743
27-09-2020,26048796.429544516
28-09-2020,25692072.296222642
29-09-2020,24080186.826380815
30-09-2020,25404008.37049411
01-10-2020,24791671.47901118
02-10-2020,23951765.841264404
03-10-2020,26363898.169576377
04-10-2020,25108309.751366563
05-10-2020,24699732.142528757
06-10-2020,23080690.281019725
07-10-2020,26396981.299001552
08-10-2020,25985858.52137879
09-10-2020,25926370.352463838
10-10-2020,26202290.801995028
11-10-2020,26005158.38924333
12-10-2020,25853201.36207218
13-10-2020,24565008.116169006
14-10-2020,27154648.347762205
15-10-2020,27128721.610004235
16-10-2020,27590160.517863568
17-10-2020,28626720.266630225
18-10-2020,27510364.65757848
19-10-2020,26962075.93785079
20-10-2020,25462967.01763529
21-10-2020,27538887.78416336
22-10-2020,26674490.31385407
23-10-2020,26893518.98329723
24-10-2020,27090702.61609089
25-10-2020,26470252.72947713
26-10-2020,25729818.68152787
27-10-2020,24606733.762498785
28-10-2020,27004279.88591238
29-10-2020,26475769.33578104
30-10-2020,25615026.484890364
31-10-2020,28033204.941280022
01-11-2020,27425052.190989483
02-11-2020,26983442.67276847
03-11-2020,26904176.334257163
04-11-2020,28159388.89081909
05-11-2020,26284204.74937522
06-11-2020,26138345.070323717
07-11-2020,27934638.73490417
08-11-2020,27478443.01178479
09-11-2020,27188260.998961147
10-11-2020,26877771.29476738
11-11-2020,28813929.730363607
12-11-2020,31034702.3524376
13-11-2020,29619522.213657618
14-11-2020,28230217.592593636
15-11-2020,18484574.29951951
16-11-2020,22074822.15301916
17-11-2020,25631354.915235944
18-11-2020,28571092.41025758
19-11-2020,28082189.419360925
20-11-2020,27810828.97267001
21-11-2020,29495302.691087767
22-11-2020,29125478.47810493
23-11-2020,27691903.85488207
24-11-2020,26714200.313172664
25-11-2020,28836355.50882884
26-11-2020,27580613.430493146
27-11-2020,27322455.503547125
28-11-2020,29601025.289130818
29-11-2020,28828720.81542983
30-11-2020,26529843.338476
01-12-2020,25797471.065615617
02-12-2020,28650307.52872693
03-12-2020,28544584.93068388
04-12-2020,28629948.617314838
05-12-2020,30110663.05308746
06-12-2020,29463432.265336026
07-12-2020,28017133.424100094
08-12-2020,25545359.266747285
09-12-2020,29648369.981848426
10-12-2020,29561468.949938107
11-12-2020,29025853.228181526
12-12-2020,29526318.953459796
13-12-2020,29142181.957142554
14-12-2020,28944468.802575115
15-12-2020,28032829.07963213
16-12-2020,29769737.015381556
17-12-2020,28877875.462034922
18-12-2020,28864143.420516264
19-12-2020,30131977.75500734
20-12-2020,29028824.665700488
21-12-2020,29055229.705190267
22-12-2020,27773612.109138563
23-12-2020,29352995.191370964
24-12-2020,29128876.997313738
25-12-2020,27978003.353641387
26-12-2020,29550076.384080697
27-12-2020,28427623.426909305
28-12-2020,28975433.844905186
29-12-2020,27641484.47160573
30-12-2020,29048602.83529684
31-12-2020,29557283.995789863
