Date,Mobility
15-02-2020,31218173.05422694
16-02-2020,31071241.89914574
17-02-2020,30829146.23303969
18-02-2020,31092910.06121726
19-02-2020,30792579.7313659
20-02-2020,31322574.663028207
21-02-2020,28531693.437067084
22-02-2020,30424999.35612149
23-02-2020,31056343.559543468
24-02-2020,31089857.724175654
25-02-2020,31310285.22821018
26-02-2020,30488753.632215574
27-02-2020,30608497.012876477
28-02-2020,30571930.51120269
29-02-2020,30749686.839480218
01-03-2020,31077790.005486306
02-03-2020,31025296.670218453
03-03-2020,30712898.621677753
04-03-2020,30798906.12157779
05-03-2020,31264561.715411577
06-03-2020,31089857.724175654
07-03-2020,31402255.772716355
08-03-2020,31806987.71136899
09-03-2020,30134331.01247779
10-03-2020,22207797.239884224
11-03-2020,24743849.932663918
12-03-2020,29787107.046358954
13-03-2020,30329976.474573717
14-03-2020,29609935.779815856
15-03-2020,30489560.410078697
16-03-2020,30633580.857595358
17-03-2020,30361023.36389873
18-03-2020,30428636.75489753
19-03-2020,30606393.083175063
20-03-2020,30076398.151512757
21-03-2020,28957951.908314154
22-03-2020,19754638.167137474
23-03-2020,25885577.89366026
24-03-2020,23125016.86581264
25-03-2020,19516321.529284548
26-03-2020,19825667.240783643
27-03-2020,19773758.967250224
28-03-2020,20031196.405215904
29-03-2020,20842622.5827455
30-03-2020,20558138.99983661
31-03-2020,20867484.711335704
01-04-2020,20089431.068961214
02-04-2020,19831993.630995534
03-04-2020,20279255.115928087
04-04-2020,20429238.608050887
05-04-2020,21102749.012147028
06-04-2020,20478457.890148457
07-04-2020,21106528.040400147
08-04-2020,20665592.945679486
09-04-2020,20723827.609424792
10-04-2020,20831281.555267673
11-04-2020,20751600.445579525
12-04-2020,21661101.841698498
13-04-2020,21343104.094157424
14-04-2020,21162073.71270961
15-04-2020,21554374.58706714
16-04-2020,21195809.59347047
17-04-2020,21361498.203058656
18-04-2020,21333725.366903927
19-04-2020,21795965.278090347
20-04-2020,22182666.453447506
21-04-2020,22602155.102225333
22-04-2020,21839221.51558179
23-04-2020,22029045.562548667
24-04-2020,22133447.171349935
25-04-2020,21995531.39791648
26-04-2020,22307787.8169801
27-04-2020,22081538.897816516
28-04-2020,21514755.74835174
29-04-2020,21383166.365130175
30-04-2020,21480656.52198512
01-05-2020,21646345.131573305
02-05-2020,21814722.73259734
03-05-2020,22169872.043546643
04-05-2020,22402952.32800496
05-05-2020,22745812.20413624
06-05-2020,22396625.93779307
07-05-2020,22323049.502188135
08-05-2020,23009576.03231381
09-05-2020,22359837.7199906
10-05-2020,23331211.17863093
11-05-2020,23392861.525023602
12-05-2020,23530777.29845706
13-05-2020,23248619.361378256
14-05-2020,23478283.963189207
15-05-2020,23901410.01074307
16-05-2020,24051393.502865873
17-05-2020,24240854.20422699
18-05-2020,24302504.550619658
19-05-2020,24881940.48050822
20-05-2020,24645949.48848538
21-05-2020,25543524.79539209
22-05-2020,25641600.013981473
23-05-2020,25221526.303469215
24-05-2020,23686138.773451556
25-05-2020,24342486.734940816
26-05-2020,26557569.42978942
27-05-2020,26012232.726267487
28-05-2020,26036368.163646173
29-05-2020,26202056.773234356
30-05-2020,26827074.586444445
31-05-2020,24482586.52472728
01-06-2020,28034358.95045602
02-06-2020,28435453.490332607
03-06-2020,27969797.896498818
04-06-2020,26900429.305920705
05-06-2020,28496740.491119523
06-06-2020,28331051.881531335
07-06-2020,24672188.85556548
08-06-2020,29406746.86232134
09-06-2020,28845926.75746269
10-06-2020,28561079.82894804
11-06-2020,28591541.65653862
12-06-2020,28971553.096078128
13-06-2020,28324867.120796528
14-06-2020,24907958.131459642
15-06-2020,29431245.645305786
16-06-2020,29477049.244755995
17-06-2020,28622366.829734955
18-06-2020,28275869.554827634
19-06-2020,28401717.609571744
20-06-2020,28738251.095491134
21-06-2020,24298867.15184362
22-06-2020,30019475.240713403
23-06-2020,29406746.86232134
24-06-2020,28906992.04212093
25-06-2020,28569873.494467102
26-06-2020,28508586.493680187
27-06-2020,27509661.91501381
28-06-2020,24527724.975791454
29-06-2020,29200995.981760398
30-06-2020,28860825.09706496
01-07-2020,28113233.282281052
02-07-2020,28447299.492893275
03-07-2020,28625055.821170807
04-07-2020,28526980.602581427
05-07-2020,24494210.81115927
06-07-2020,28858357.821757793
07-07-2020,28239303.053153843
08-07-2020,26131169.329065274
09-07-2020,26069882.32827836
10-07-2020,26385332.71386067
11-07-2020,21048515.092783518
12-07-2020,21618208.94981282
13-07-2020,26971095.033961114
14-07-2020,27172986.799617335
15-07-2020,26594135.93146321
16-07-2020,26685884.75984071
17-07-2020,26943322.19780639
18-07-2020,21921591.616705786
19-07-2020,21847873.55162377
20-07-2020,26931254.47911704
21-07-2020,27635953.402015276
22-07-2020,26811732.814584818
23-07-2020,26777633.588218197
24-07-2020,27255720.24634709
25-07-2020,21529290.742348257
26-07-2020,21909160.552410685
27-07-2020,27951403.787597585
28-07-2020,28205788.888521656
29-07-2020,26937580.869328927
30-07-2020,27825555.73285347
31-07-2020,28511638.83072179
01-08-2020,21455714.30674332
02-08-2020,23940080.442118276
03-08-2020,24292017.24272278
04-08-2020,27503557.240930595
05-08-2020,26097070.102698654
06-08-2020,26550657.9778431
07-08-2020,27981280.55345373
08-08-2020,21948194.329391647
09-08-2020,22300291.30329934
10-08-2020,29151998.4157915
11-08-2020,28260386.153490923
12-08-2020,25411128.634307414
13-08-2020,26890465.516932774
14-08-2020,27910614.825413316
15-08-2020,21727323.393099755
16-08-2020,22511561.79620906
17-08-2020,
18-08-2020,28128433.4246636
19-08-2020,27717738.441404834
20-08-2020,27377567.556709398
21-08-2020,28594230.64797447
22-08-2020,22754020.807920866
23-08-2020,22934687.843762923
24-08-2020,
25-08-2020,29222522.514354836
26-08-2020,28119418.04301586
27-08-2020,27938609.377696723
28-08-2020,28312294.427024342
29-08-2020,23054572.853900906
30-08-2020,23014368.95345107
31-08-2020,
01-09-2020,29642374.508738417
02-09-2020,28300226.708334997
03-09-2020,27999896.37848364
04-09-2020,28683512.201044787
05-09-2020,28873336.248011664
06-09-2020,22738537.40658416
07-09-2020,
08-09-2020,
09-09-2020,28456536.590669688
10-09-2020,28079577.488171786
11-09-2020,28300226.708334997
12-09-2020,28432179.437162325
13-09-2020,28272675.588308945
14-09-2020,28481035.37365414
15-09-2020,28131849.107310962
16-09-2020,28947276.029222358
17-09-2020,28266712.54370281
18-09-2020,29026957.13891051
19-09-2020,29597014.341545567
20-09-2020,29532675.003717046
21-09-2020,28931934.257362735
22-09-2020,28628914.936075523
23-09-2020,28608275.267995797
24-09-2020,29171784.36429029
25-09-2020,29319078.86497724
26-09-2020,30382342.78147214
27-09-2020,30336397.552544855
28-09-2020,29692763.914304856
29-09-2020,29039973.264940042
30-09-2020,29011615.367050882
01-10-2020,28376633.764852863
02-10-2020,26186049.8529887
03-10-2020,29565745.736091875
04-10-2020,29200854.352283314
05-10-2020,28734977.04232085
06-10-2020,28444025.439722985
07-10-2020,29387989.40781434
08-10-2020,29477270.960884668
09-10-2020,29961684.009225443
10-10-2020,30170265.51069931
11-10-2020,30942214.478990592
12-10-2020,30124098.565643348
13-10-2020,29774912.299300175
14-10-2020,30258962.002035197
15-10-2020,30179280.89234705
16-10-2020,31163227.04475956
17-10-2020,31193910.58847882
18-10-2020,31469742.135345735
19-10-2020,30841228.552836686
20-10-2020,30384588.340650633
21-10-2020,30157612.730275534
22-10-2020,29957824.894320726
23-10-2020,29982323.677305173
24-10-2020,29280677.091448545
25-10-2020,29247021.297339283
26-10-2020,28520795.841846615
27-10-2020,29433934.636741627
28-10-2020,30402397.38781743
29-10-2020,29942704.838589776
30-10-2020,29192565.661847096
31-10-2020,31021895.58867874
01-11-2020,30703171.14992615
02-11-2020,30509851.333660312
03-11-2020,30574412.387617514
04-11-2020,29891381.62679079
05-11-2020,29590466.235205002
06-11-2020,29976804.064956397
07-11-2020,31135090.86299907
08-11-2020,30764458.150713064
09-11-2020,30338421.395594668
10-11-2020,30675539.943248495
11-11-2020,31165694.320066735
12-11-2020,31640506.92502534
13-11-2020,30935949.631604183
14-11-2020,28092655.157026805
15-11-2020,22974811.65756116
16-11-2020,24889403.849255215
17-11-2020,28624612.38891345
18-11-2020,29905694.90465863
19-11-2020,30218314.66932801
20-11-2020,30512903.670701917
21-11-2020,31429094.802638542
22-11-2020,31251338.47436101
23-11-2020,30448342.61674472
24-11-2020,29712818.52065015
25-11-2020,30202972.897468384
26-11-2020,29835029.176618222
27-11-2020,30377676.88870431
28-11-2020,31294231.36624669
29-11-2020,31677153.513350725
30-11-2020,28845403.238553744
01-12-2020,29868684.97072749
02-12-2020,31113200.98479888
03-12-2020,31254390.811402615
04-12-2020,31640728.641154014
05-12-2020,32535251.611019123
06-12-2020,32234699.56503909
07-12-2020,30668406.775173496
08-12-2020,30528023.726432867
09-12-2020,31033519.87511073
10-12-2020,30892551.764635667
11-12-2020,31101133.266109534
12-12-2020,31285215.984598957
13-12-2020,32042629.95889372
14-12-2020,31135454.20860483
15-12-2020,31347309.763248984
16-12-2020,31678323.636819597
17-12-2020,31258471.642436016
18-12-2020,31758004.746507745
19-12-2020,32015442.184473425
20-12-2020,32367902.50398688
21-12-2020,31699770.082762435
22-12-2020,31344257.426207375
23-12-2020,31834633.519154288
24-12-2020,31668944.9095661
25-12-2020,30311738.596257214
26-12-2020,32061609.12952939
27-12-2020,32325009.612101197
28-12-2020,31372030.262362108
29-12-2020,31096198.715495195
30-12-2020,31651135.862399302
31-12-2020,31947828.793474622
