Date,Mobility
15-02-2020,
16-02-2020,
17-02-2020,
18-02-2020,
19-02-2020,
20-02-2020,
21-02-2020,
22-02-2020,
23-02-2020,
24-02-2020,
25-02-2020,
26-02-2020,
27-02-2020,
28-02-2020,
29-02-2020,
01-03-2020,
02-03-2020,
03-03-2020,
04-03-2020,
05-03-2020,
06-03-2020,
07-03-2020,
08-03-2020,
09-03-2020,
10-03-2020,
11-03-2020,
12-03-2020,
13-03-2020,
14-03-2020,
15-03-2020,
16-03-2020,
17-03-2020,
18-03-2020,
19-03-2020,
20-03-2020,
21-03-2020,
22-03-2020,19187984.99277717
23-03-2020,
24-03-2020,
25-03-2020,
26-03-2020,
27-03-2020,
28-03-2020,
29-03-2020,
30-03-2020,
31-03-2020,
01-04-2020,
02-04-2020,
03-04-2020,
04-04-2020,
05-04-2020,
06-04-2020,
07-04-2020,
08-04-2020,
09-04-2020,
10-04-2020,
11-04-2020,
12-04-2020,
13-04-2020,
14-04-2020,
15-04-2020,
16-04-2020,18485602.94747223
17-04-2020,18718157.962284017
18-04-2020,18722874.96315359
19-04-2020,19071178.565068312
20-04-2020,18692745.84099011
21-04-2020,
22-04-2020,18730199.431013126
23-04-2020,19516549.513510652
24-04-2020,19747724.443805337
25-04-2020,19402605.05619883
26-04-2020,19528913.22615094
27-04-2020,18892360.663922798
28-04-2020,19609697.0490353
29-04-2020,19446104.83092711
30-04-2020,19923358.13064263
01-05-2020,19728205.805172443
02-05-2020,20355629.769749936
03-05-2020,20457905.90292524
04-05-2020,
05-05-2020,19765761.19655829
06-05-2020,20313357.377494518
07-05-2020,20590995.85427735
08-05-2020,21129785.681474105
09-05-2020,21452405.81886515
10-05-2020,20924446.91774734
11-05-2020,
12-05-2020,21749308.4308738
13-05-2020,21641359.25758583
14-05-2020,22162163.232711047
15-05-2020,22513328.805022813
16-05-2020,23155605.308045033
17-05-2020,22980344.76580034
18-05-2020,22357264.65749982
19-05-2020,
20-05-2020,22798393.55102801
21-05-2020,22331801.635524496
22-05-2020,22967930.15247863
23-05-2020,22243269.29950659
24-05-2020,22978913.780601814
25-05-2020,
26-05-2020,22664879.55440189
27-05-2020,21910038.678584952
28-05-2020,22235792.129602805
29-05-2020,22940934.34394196
30-05-2020,22914142.138130948
31-05-2020,23319417.96870158
01-06-2020,
02-06-2020,
03-06-2020,23370021.76874104
04-06-2020,
05-06-2020,23437655.38160895
06-06-2020,24627578.966248818
07-06-2020,24050125.006378878
08-06-2020,
09-06-2020,
10-06-2020,
11-06-2020,
12-06-2020,24324477.467490662
13-06-2020,24553950.06935706
14-06-2020,24656175.301850952
15-06-2020,
16-06-2020,
17-06-2020,23182346.61317464
18-06-2020,23236507.77211492
19-06-2020,24187779.25655632
20-06-2020,24286972.976786233
21-06-2020,23325464.15340684
22-06-2020,
23-06-2020,23508049.163511075
24-06-2020,
25-06-2020,23458452.30339612
26-06-2020,23621942.720141478
27-06-2020,23516855.51725055
28-06-2020,22964915.480037346
29-06-2020,
30-06-2020,
