Date,Mobility
15-02-2020,64983603.131996766
16-02-2020,64783381.00341067
17-02-2020,64426627.2151816
18-02-2020,62980487.23983904
19-02-2020,62559926.16822222
20-02-2020,65863118.28196296
21-02-2020,64922531.07706234
22-02-2020,61968562.701632954
23-02-2020,65185365.86950564
24-02-2020,65185365.86950564
25-02-2020,65834720.173183784
26-02-2020,67396436.5676795
27-02-2020,65525113.693951845
28-02-2020,67317982.9267538
29-02-2020,66496631.60857262
01-03-2020,65500172.42522662
02-03-2020,64745882.60297479
03-03-2020,66141418.42926632
04-03-2020,67771939.55612649
05-03-2020,66496631.60857262
06-03-2020,69489638.99336064
07-03-2020,68034774.34856978
08-03-2020,67211679.79395348
09-03-2020,59859316.67137098
10-03-2020,57967703.98850263
11-03-2020,67653079.2916155
12-03-2020,67066164.65709843
13-03-2020,67460416.84576336
14-03-2020,62955921.59332224
15-03-2020,65409161.652590275
16-03-2020,62708552.15573904
17-03-2020,63517346.342209585
18-03-2020,65942736.90960297
19-03-2020,64853726.344697885
20-03-2020,65798386.75946226
21-03-2020,62119894.284786865
22-03-2020,49612584.372276045
23-03-2020,52281068.53987655
24-03-2020,54970661.513939895
25-03-2020,44730842.89495285
26-03-2020,44912315.82332103
27-03-2020,46135652.007597186
28-03-2020,44563294.71252201
29-03-2020,50382339.54938797
30-03-2020,45547369.75885344
31-03-2020,46170242.18488363
01-04-2020,45450542.539918244
02-04-2020,45802471.87386669
03-04-2020,47354539.359801166
04-04-2020,46165417.730603024
05-04-2020,51566636.724305496
06-04-2020,46744224.065481625
07-04-2020,49188363.83309296
08-04-2020,50191563.70185075
09-04-2020,49304315.87445452
10-04-2020,49753448.049546584
11-04-2020,48622114.629925005
12-04-2020,54921597.973811604
13-04-2020,47602081.79208045
14-04-2020,47736783.03365996
15-04-2020,48724141.925349236
16-04-2020,47669721.53773059
17-04-2020,49578167.189685695
18-04-2020,47897590.530678995
19-04-2020,51878159.43466864
20-04-2020,47867824.80767317
21-04-2020,49546860.857757114
22-04-2020,49554969.15739557
23-04-2020,49237254.37852515
24-04-2020,50967510.94746995
25-04-2020,48806871.40365103
26-04-2020,53669863.680756286
27-04-2020,49284026.065313816
28-04-2020,50746999.00974315
29-04-2020,52458882.000678435
30-04-2020,51776680.75614892
01-05-2020,51053697.265825674
02-05-2020,52008209.21666362
03-05-2020,55796288.669497184
04-05-2020,53588674.81137726
05-05-2020,55164315.951810285
06-05-2020,56616647.99566014
07-05-2020,55660595.43589945
08-05-2020,57696009.65200401
09-05-2020,54548011.21649581
10-05-2020,56860560.5931894
11-05-2020,56721207.89202538
12-05-2020,56890123.68868289
13-05-2020,57811961.693365574
14-05-2020,57819694.370795615
15-05-2020,60006815.79226251
16-05-2020,58240428.43710852
17-05-2020,58431377.279341824
18-05-2020,57738332.506720506
19-05-2020,57977593.644665234
20-05-2020,59925829.55039583
21-05-2020,57271818.74563717
22-05-2020,60191572.56598854
