Date,Mobility
15-02-2020,17830788.972802423
16-02-2020,17895449.372285966
17-02-2020,17611776.366937924
18-02-2020,18120877.823193766
19-02-2020,17996336.40208195
20-02-2020,18186467.336719748
21-02-2020,16796448.125896867
22-02-2020,17474516.326318886
23-02-2020,18038271.524292115
24-02-2020,17860562.06787844
25-02-2020,18014244.611306936
26-02-2020,18191916.377527487
27-02-2020,17807394.032576576
28-02-2020,17902200.048805494
29-02-2020,17837204.81784572
01-03-2020,17937125.043406148
02-03-2020,17943503.19825632
03-03-2020,17908281.062372565
04-03-2020,17979060.165616304
05-03-2020,18050433.551426254
06-03-2020,18145536.708938275
07-03-2020,18068341.760651235
08-03-2020,18535805.235980023
09-03-2020,16926773.419292644
10-03-2020,13289634.968035681
11-03-2020,14992727.75761327
12-03-2020,18297582.78517875
13-03-2020,18072861.687416535
14-03-2020,17520339.402535014
15-03-2020,18072899.377609663
16-03-2020,17811989.33972813
17-03-2020,17865751.657596197
18-03-2020,18037677.241725907
19-03-2020,17759118.445709366
20-03-2020,17912838.67933099
21-03-2020,17716626.731126122
22-03-2020,12982755.473427417
23-03-2020,16666273.593273588
24-03-2020,13991135.798876671
25-03-2020,12548655.905897507
26-03-2020,12465714.775519628
27-03-2020,12489147.405938597
28-03-2020,12465752.465712754
29-03-2020,13369136.046463199
30-03-2020,12637975.191125564
31-03-2020,12993356.413759787
01-04-2020,13028578.54964354
02-04-2020,12904334.269814834
03-04-2020,13343585.736869372
04-04-2020,13343585.736869372
05-04-2020,14098735.81499906
06-04-2020,13141589.916380543
07-04-2020,13776086.527404387
08-04-2020,13579577.437916417
09-04-2020,13336278.467976764
10-04-2020,13472684.774939608
11-04-2020,13371835.435336746
12-04-2020,14382149.369257126
13-04-2020,13728145.772013407
14-04-2020,13757584.035613196
15-04-2020,14516956.899225079
16-04-2020,13965660.869669095
17-04-2020,13853281.475691423
18-04-2020,13912530.524560358
19-04-2020,14537058.168011162
20-04-2020,13859659.6305416
21-04-2020,14173737.703724995
22-04-2020,14031288.073388202
23-04-2020,13954427.956577394
24-04-2020,14161910.508067083
25-04-2020,14072926.054315258
26-04-2020,14739091.678693116
27-04-2020,13859994.462017827
28-04-2020,14168288.662917258
29-04-2020,14340214.247046966
30-04-2020,14186531.703618469
01-05-2020,14263688.961712385
02-05-2020,14151309.567734713
03-05-2020,14870605.53722131
04-05-2020,14009416.529771006
05-05-2020,14561344.53208632
06-05-2020,14946498.84979656
07-05-2020,14424009.111081036
08-05-2020,15095067.183893546
09-05-2020,14198358.899276381
10-05-2020,14395240.510433702
11-05-2020,14175001.649243662
12-05-2020,14346630.092090264
13-05-2020,14536761.026728058
14-05-2020,14567425.545653392
15-05-2020,14845984.341669926
16-05-2020,15041899.148591686
17-05-2020,15672210.664326455
18-05-2020,15006639.322514806
19-05-2020,15279414.246247375
20-05-2020,15664271.42267451
21-05-2020,15587411.3058637
22-05-2020,15724114.754109649
23-05-2020,15302474.354996989
24-05-2020,15933120.702207988
25-05-2020,14916093.781961208
26-05-2020,15665162.846523823
27-05-2020,15712547.009541718
28-05-2020,15522713.216187028
29-05-2020,15884807.425147654
30-05-2020,15968045.696808642
31-05-2020,16147278.549830958
01-06-2020,15896931.762088673
02-06-2020,16110457.636952307
03-06-2020,16293913.275456822
04-06-2020,15374814.545042498
05-06-2020,16566985.340472497
06-06-2020,16424535.710135704
07-06-2020,16307004.416633401
08-06-2020,16371367.674833842
09-06-2020,16270518.33523098
10-06-2020,16744359.96540994
11-06-2020,17561717.93237209
12-06-2020,17644659.062749967
13-06-2020,17062325.9925993
14-06-2020,17562647.046414524
15-06-2020,17022546.239757124
16-06-2020,17152871.5331529
17-06-2020,17419268.302035294
18-06-2020,16038711.729473006
19-06-2020,16044198.460473867
20-06-2020,16405957.837958265
21-06-2020,15813990.63171079
22-06-2020,16418417.006375508
23-06-2020,15961889.30285532
24-06-2020,16619780.854105005
25-06-2020,16115534.156090694
26-06-2020,16068781.96583213
27-06-2020,15616811.879270365
28-06-2020,16045387.025606284
29-06-2020,15861299.414342437
30-06-2020,16560531.805236073
01-07-2020,16572396.69108711
02-07-2020,16607953.658447094
03-07-2020,16732495.079558903
04-07-2020,16809355.196369715
05-07-2020,16193361.077137064
06-07-2020,16501358.136753388
07-07-2020,17058735.179876443
08-07-2020,16738278.95184287
09-07-2020,16323054.39777351
10-07-2020,15990770.974082027
11-07-2020,13082972.840270946
12-07-2020,14294985.45339705
13-07-2020,16299697.147740789
14-07-2020,16637764.443716235
15-07-2020,16465541.718303427
16-07-2020,16109863.3543861
17-07-2020,14863595.409611803
18-07-2020,13581732.807284398
19-07-2020,14472657.219617598
20-07-2020,16175155.726628978
21-07-2020,16341297.438474717
22-07-2020,16584002.125848167
23-07-2020,16352827.492849527
24-07-2020,16317605.356965771
25-07-2020,13457191.386172587
26-07-2020,14366358.839207
27-07-2020,16264177.870573929
28-07-2020,16044868.123426326
29-07-2020,16109566.213102994
30-07-2020,16317605.356965771
31-07-2020,16572434.381280232
01-08-2020,13273103.77490874
02-08-2020,14674615.349913301
03-08-2020,13735302.28013352
04-08-2020,15314895.83322111
05-08-2020,15392685.06407436
06-08-2020,15547296.72154529
07-08-2020,16235890.481913432
08-08-2020,13428903.997512091
09-08-2020,14433136.917865397
10-08-2020,16223728.454779292
11-08-2020,15897526.04465488
12-08-2020,15124467.757300213
13-08-2020,15939423.476671916
14-08-2020,15951288.362522952
15-08-2020,13548255.828906145
16-08-2020,14184351.21692488
17-08-2020,
18-08-2020,
19-08-2020,
20-08-2020,
21-08-2020,
22-08-2020,
23-08-2020,
24-08-2020,
25-08-2020,
26-08-2020,
27-08-2020,
28-08-2020,
29-08-2020,
30-08-2020,
31-08-2020,
01-09-2020,
02-09-2020,
03-09-2020,
04-09-2020,
05-09-2020,
06-09-2020,
07-09-2020,
08-09-2020,
09-09-2020,
10-09-2020,
11-09-2020,15896931.762088673
12-09-2020,15332209.759879882
13-09-2020,14918211.461136065
14-09-2020,16199144.94942103
15-09-2020,16187317.75376312
16-09-2020,16092252.286444223
17-09-2020,16127474.422327977
18-09-2020,16406665.191103844
19-09-2020,16288204.783559106
20-09-2020,15605951.487848016
21-09-2020,16347713.283518018
22-09-2020,16382973.109594898
23-09-2020,16091436.242981158
24-09-2020,16121171.647864051
25-09-2020,16607175.305177154
26-09-2020,16518190.851425327
27-09-2020,15681920.180809509
28-09-2020,16518785.133991538
29-09-2020,16494758.221006358
30-09-2020,15997149.1289322
01-10-2020,15238629.99897651
02-10-2020,14572761.515881753
