Date,Mobility
15-02-2020,74229919.19894522
16-02-2020,72408830.00365572
17-02-2020,72831651.88958356
18-02-2020,73729708.83637045
19-02-2020,73364974.78264555
20-02-2020,73839764.72993872
21-02-2020,65844558.36853865
22-02-2020,72230531.59117903
23-02-2020,73119442.58022743
24-02-2020,72339578.75578034
25-02-2020,73111305.3514559
26-02-2020,72391546.81714566
27-02-2020,73043062.83254747
28-02-2020,74220773.2412067
29-02-2020,74407208.88245493
01-03-2020,73958402.96584442
02-03-2020,73484176.63395233
03-03-2020,74009362.29824278
04-03-2020,73364974.78264555
05-03-2020,75033749.59614106
06-03-2020,73059337.29009056
07-03-2020,76459009.66515233
08-03-2020,75255315.22581044
09-03-2020,66490399.72666874
10-03-2020,44732513.55695339
11-03-2020,57636724.225312136
12-03-2020,67402505.56316926
13-03-2020,68468142.6203263
14-03-2020,68986644.89837807
15-03-2020,69383037.64005736
16-03-2020,70095104.05916193
17-03-2020,68214918.30270252
18-03-2020,67816062.98952341
19-03-2020,67671885.83650093
20-03-2020,64969014.15196762
21-03-2020,50574445.58442524
22-03-2020,38008658.32737802
23-03-2020,42279276.38774189
24-03-2020,40161695.6576359
25-03-2020,37593291.552985474
26-03-2020,38347734.962150976
27-03-2020,38347734.962150976
28-03-2020,38551008.67634335
29-03-2020,40685545.98122868
30-03-2020,39219807.87825522
31-03-2020,39169412.16125792
01-04-2020,38694622.21396476
02-04-2020,38694622.21396476
03-04-2020,39702735.054319926
04-04-2020,39719573.12726408
05-04-2020,40939215.41241834
06-04-2020,39321162.92765087
07-04-2020,40202945.41689468
08-04-2020,42338818.06247769
09-04-2020,38372146.6484656
10-04-2020,38355308.57552145
11-04-2020,38982412.90460863
12-04-2020,41015595.1600983
13-04-2020,39981824.90079119
14-04-2020,38856082.55349728
15-04-2020,40270179.20683613
16-04-2020,37990693.02363172
17-04-2020,38278483.7142756
18-04-2020,38143007.40542574
19-04-2020,39396770.95003421
20-04-2020,38473056.58429537
21-04-2020,38126169.33248158
22-04-2020,38227524.38187724
23-04-2020,38227524.38187724
24-04-2020,38320742.20250135
25-04-2020,37795556.53821089
26-04-2020,38600069.052642964
27-04-2020,38947282.91618746
28-04-2020,38320742.20250135
29-04-2020,38473056.58429537
30-04-2020,38862765.939735964
01-05-2020,38990105.019814275
02-05-2020,39532128.75704889
03-05-2020,40404883.79038938
04-05-2020,40955371.36812626
05-05-2020,40201491.57436183
06-05-2020,41675693.51783755
07-05-2020,40210637.532100335
08-05-2020,42497370.71694449
09-05-2020,41091411.29237719
10-05-2020,41658528.83316267
11-05-2020,43395427.6637314
12-05-2020,42531491.9763987
13-05-2020,42887080.072385095
14-05-2020,43751015.75971779
15-05-2020,44174846.3746126
16-05-2020,44233942.9357825
17-05-2020,44666029.28128402
18-05-2020,45140137.111340955
19-05-2020,45038782.06194529
20-05-2020,45563967.726235755
21-05-2020,46758516.207839146
22-05-2020,47038169.66971148
23-05-2020,46072878.93298312
24-05-2020,47334779.706363134
