Date,Mobility
15-02-2020,12758409.056662004
16-02-2020,12787472.334770823
17-02-2020,12339664.808443945
18-02-2020,12673819.09798003
19-02-2020,12418718.461377658
20-02-2020,12860972.685685921
21-02-2020,12017886.23803313
22-02-2020,12321635.158057049
23-02-2020,12523387.69570921
24-02-2020,12585792.773433976
25-02-2020,12429106.200708661
26-02-2020,12838085.936292829
27-02-2020,12738964.338556446
28-02-2020,12725140.23336137
29-02-2020,12780593.937619217
01-03-2020,12400677.48014386
02-03-2020,12744511.975151613
03-03-2020,12547672.516550602
04-03-2020,12540024.940071253
05-03-2020,12919239.52911073
06-03-2020,13042651.613111958
07-03-2020,12834643.905005302
08-03-2020,12728576.599225447
09-03-2020,11803640.355742335
10-03-2020,10219463.842808513
11-03-2020,10039896.186113562
12-03-2020,12411699.777018877
13-03-2020,12167059.856062822
14-03-2020,12246034.867257768
15-03-2020,12664840.76094424
16-03-2020,12011075.151773384
17-03-2020,12263441.290947555
18-03-2020,12594080.572880793
19-03-2020,12764596.916224642
20-03-2020,12354915.31220459
21-03-2020,12564949.983880114
22-03-2020,9361301.171142973
23-03-2020,11579787.244295185
24-03-2020,10998820.117603548
25-03-2020,9020841.396530889
26-03-2020,8915470.29376346
27-03-2020,8961238.127126181
28-03-2020,9240629.249993395
29-03-2020,9357157.271419564
30-03-2020,9140805.783821134
31-03-2020,
01-04-2020,8944600.882764138
02-04-2020,9083246.474255653
03-04-2020,9191419.385343142
04-04-2020,9342558.321473293
05-04-2020,9420264.217580209
06-04-2020,9397315.822718712
07-04-2020,9942200.986942748
08-04-2020,9795907.818971884
09-04-2020,9929005.773868235
10-04-2020,9872148.332738632
11-04-2020,9951190.654825443
12-04-2020,10125277.985817092
13-04-2020,9884641.677377269
14-04-2020,10213944.533330614
15-04-2020,10236831.2827237
16-04-2020,9599068.360370873
17-04-2020,9650383.83032876
18-04-2020,9777232.280194066
19-04-2020,9660137.012115745
20-04-2020,9578989.084721299
21-04-2020,10002567.77025174
22-04-2020,9679514.419329438
23-04-2020,9891654.696312599
24-04-2020,9966558.784099454
25-04-2020,9908993.809110522
26-04-2020,9925698.364364427
27-04-2020,9821663.687576894
28-04-2020,10006077.112431133
29-04-2020,10009519.143718662
30-04-2020,9833455.16377965
01-05-2020,9520789.55218835
02-05-2020,9221257.508203154
03-05-2020,9481973.09229255
04-05-2020,9110338.768840559
05-05-2020,9540868.827837924
06-05-2020,9802920.837907214
07-05-2020,9801517.101035457
08-05-2020,10087157.728933716
09-05-2020,10209862.279075613
10-05-2020,10082379.27166629
11-05-2020,10279213.06484385
12-05-2020,10463632.15512154
13-05-2020,10759660.522350797
14-05-2020,10836597.239129972
15-05-2020,11033504.008622847
16-05-2020,11273371.137734927
17-05-2020,11018270.501132557
18-05-2020,11294854.15025626
19-05-2020,11597833.89095244
20-05-2020,11635252.279399937
21-05-2020,11698359.225560581
22-05-2020,11697657.357124701
23-05-2020,11742723.322051544
24-05-2020,11102860.459814534
25-05-2020,11101389.412050918
26-05-2020,11929242.352213418
27-05-2020,11687263.95237025
28-05-2020,11767008.142892938
29-05-2020,11066132.608956011
30-05-2020,11707404.87348823
31-05-2020,10886570.617684515
01-06-2020,11728887.886009563
02-06-2020,12008279.008876776
03-06-2020,12039447.89229323
04-06-2020,11773257.64792398
05-06-2020,11996487.53267402
06-06-2020,12347969.604161121
07-06-2020,11092461.389636628
08-06-2020,12145515.198073082
09-06-2020,12304307.376106033
10-06-2020,12240498.561509509
11-06-2020,12790229.493892834
12-06-2020,12713988.980126083
13-06-2020,12756882.028853431
14-06-2020,11645628.687884027
15-06-2020,12316025.875993475
16-06-2020,12919177.883642321
17-06-2020,12727116.882308736
18-06-2020,12744455.99510666
19-06-2020,12717431.011413615
20-06-2020,12723674.851021204
21-06-2020,11429350.176600914
22-06-2020,12801313.436236257
23-06-2020,13072355.114188246
24-06-2020,12905280.802131929
25-06-2020,13002998.662996558
26-06-2020,12210660.438649502
27-06-2020,12725005.611577647
28-06-2020,11603999.088821264
29-06-2020,12764529.60533278
30-06-2020,12821387.04646238
01-07-2020,12383276.72187753
02-07-2020,12566286.40986001
03-07-2020,12573939.651762811
04-07-2020,12650876.368541984
05-07-2020,11556894.829478646
06-07-2020,12250184.43240463
07-07-2020,12657827.742008908
08-07-2020,12446389.333461626
09-07-2020,12334072.52265073
10-07-2020,12112240.709348993
11-07-2020,10384516.856719416
12-07-2020,10356857.315482354
13-07-2020,11956963.538918886
14-07-2020,12085917.59409183
15-07-2020,12023512.516367063
16-07-2020,12040851.629164984
17-07-2020,11991641.764514733
18-07-2020,10315227.716419589
19-07-2020,10415820.361919591
20-07-2020,11511199.972431235
21-07-2020,11739977.49377644
22-07-2020,11600630.033849046
23-07-2020,11893856.592758244
24-07-2020,11929236.686789965
25-07-2020,10358188.076038796
26-07-2020,10550322.0536877
27-07-2020,12122634.114103448
28-07-2020,12176757.057804849
29-07-2020,11746928.867243364
30-07-2020,12097709.070294587
31-07-2020,12475519.922462307
01-08-2020,10501673.770266147
02-08-2020,10932271.140155373
03-08-2020,11101305.104888694
04-08-2020,11653208.953471515
05-08-2020,11297015.73560885
06-08-2020,11260304.881020684
07-08-2020,11580612.403667882
08-08-2020,9941616.744020233
09-08-2020,10271688.77930132
10-08-2020,11696371.245766308
11-08-2020,11809395.59043654
12-08-2020,11179156.95362624
13-08-2020,11513367.22320728
14-08-2020,11776121.10171245
15-08-2020,10316687.4333363
16-08-2020,10058846.633882279
17-08-2020,
18-08-2020,
19-08-2020,
20-08-2020,
21-08-2020,
22-08-2020,
23-08-2020,
24-08-2020,
25-08-2020,
26-08-2020,
27-08-2020,
28-08-2020,
29-08-2020,
30-08-2020,
31-08-2020,
01-09-2020,
02-09-2020,
03-09-2020,
04-09-2020,
05-09-2020,
06-09-2020,
07-09-2020,
08-09-2020,
09-09-2020,
10-09-2020,
11-09-2020,
12-09-2020,
13-09-2020,
14-09-2020,12446456.64435349
15-09-2020,
16-09-2020,
17-09-2020,
18-09-2020,
19-09-2020,
20-09-2020,
21-09-2020,13152874.149462128
22-09-2020,
23-09-2020,
24-09-2020,
25-09-2020,
26-09-2020,
27-09-2020,
28-09-2020,12594799.437587032
29-09-2020,12447804.401180292
30-09-2020,
01-10-2020,
02-10-2020,
03-10-2020,
04-10-2020,
05-10-2020,11671311.580173723
06-10-2020,
07-10-2020,11957654.07650786
08-10-2020,12112942.577784874
09-10-2020,12282122.495148826
10-10-2020,12152399.260648143
11-10-2020,12289708.426159764
12-10-2020,12397881.337247252
13-10-2020,12295952.265767355
14-10-2020,12969797.150587786
15-10-2020,12897004.333532019
16-10-2020,
17-10-2020,13103596.973920012
18-10-2020,
19-10-2020,13200612.966348762
20-10-2020,12850528.966309963
21-10-2020,13281687.917427892
22-10-2020,13219277.174279671
23-10-2020,13045953.357192311
24-10-2020,12843431.640212411
25-10-2020,12547470.583875017
26-10-2020,12562002.222929426
27-10-2020,12264002.872176256
28-10-2020,12876846.416143674
29-10-2020,12598157.161712341
30-10-2020,12012984.489828886
31-10-2020,12761093.239468703
01-11-2020,
02-11-2020,12539261.426166967
03-11-2020,12447091.201897508
04-11-2020,12742350.389799023
05-11-2020,12253620.79826871
06-11-2020,12372888.98254653
07-11-2020,12538559.55773109
08-11-2020,12642526.923626758
09-11-2020,12253620.79826871
