Date,Mobility
15-02-2020,39844932.170516044
16-02-2020,39992326.27149106
17-02-2020,40273165.88428317
18-02-2020,40075853.57289377
19-02-2020,40238376.47478496
20-02-2020,40435688.786174364
21-02-2020,36950932.19698137
22-02-2020,39750713.03592453
23-02-2020,40412676.795187995
24-02-2020,40534887.73453058
25-02-2020,40750680.33599212
26-02-2020,39876912.93689563
27-02-2020,40195255.869117714
28-02-2020,39767022.155350596
29-02-2020,38926863.847242415
01-03-2020,39528217.56290269
02-03-2020,40381876.347318314
03-03-2020,40463680.590925425
04-03-2020,40140263.11175177
05-03-2020,40340384.06625982
06-03-2020,39192385.192744635
07-03-2020,41255643.74641481
08-03-2020,42615351.526576154
09-03-2020,39982530.66400318
10-03-2020,30538118.430414915
11-03-2020,36419062.56713066
12-03-2020,39051245.95723107
13-03-2020,39009753.67617256
14-03-2020,37763736.17281106
15-03-2020,38512035.87659588
16-03-2020,38887542.73682999
17-03-2020,38170680.95338741
18-03-2020,38377504.77945575
19-03-2020,37874169.6936418
20-03-2020,37555732.02823284
21-03-2020,36505941.25093771
22-03-2020,25320507.624343026
23-03-2020,34154502.74044256
24-03-2020,30053358.26110835
25-03-2020,25157347.249979272
26-03-2020,25266057.713014413
27-03-2020,25259260.10826726
28-03-2020,25452678.191215
29-03-2020,26543513.13671817
30-03-2020,25700994.298341826
31-03-2020,25241960.13670501
01-04-2020,25215053.91727699
02-04-2020,25088948.749492742
03-04-2020,25601795.34998561
04-04-2020,25546897.32580652
05-04-2020,26892751.249996815
06-04-2020,26162837.10309727
07-04-2020,27244608.64677199
08-04-2020,27129100.578989696
09-04-2020,27213713.46571544
10-04-2020,27220416.337275732
11-04-2020,27043307.37375406
12-04-2020,28260247.487041477
13-04-2020,27604349.126865726
14-04-2020,27360021.98136742
15-04-2020,28079692.407928616
16-04-2020,26651586.127280746
17-04-2020,27073022.23630072
18-04-2020,26634191.42253164
19-04-2020,27779924.392213892
20-04-2020,26818003.257613603
21-04-2020,27137526.508345585
22-04-2020,27066319.364740428
23-04-2020,27195233.175643303
24-04-2020,27150932.25146617
25-04-2020,26920010.84908845
26-04-2020,26801246.025337063
27-04-2020,26369566.195978742
28-04-2020,26746796.11400844
29-04-2020,26485074.26376103
30-04-2020,26664991.87040133
01-05-2020,26562984.27892648
02-05-2020,27000729.507372532
03-05-2020,27378596.897874795
04-05-2020,27579165.965233296
05-05-2020,27572463.093673006
06-05-2020,27861091.163348448
07-05-2020,27732177.35244557
08-05-2020,28271930.172366466
09-05-2020,27992813.617369946
10-05-2020,29083648.562873114
11-05-2020,28343137.315971624
12-05-2020,28343137.315971624
13-05-2020,28261333.072364513
14-05-2020,28672172.08138253
15-05-2020,29158112.46244737
16-05-2020,29340838.7122063
17-05-2020,30224849.831641145
18-05-2020,30003888.056792807
19-05-2020,30201200.368182212
20-05-2020,30150196.572444785
21-05-2020,31706131.078672495
22-05-2020,31277897.364905372
23-05-2020,32086169.63982083
24-05-2020,32317728.514671117
25-05-2020,31785126.679160982
26-05-2020,31291397.841212817
27-05-2020,32358583.323257055
28-05-2020,33377573.652682498
29-05-2020,31606932.13031628
30-05-2020,32448908.229406916
31-05-2020,32846884.234590057
01-06-2020,33313164.11382449
02-06-2020,31454015.476290867
03-06-2020,32776219.937022224
04-06-2020,34172440.184477374
05-06-2020,32683723.860226296
06-06-2020,34232955.494893715
07-06-2020,33496527.836055983
08-06-2020,35066410.931441605
09-06-2020,32677020.988666005
10-06-2020,33615292.65980737
11-06-2020,35341633.257996455
12-06-2020,33826010.71431736
13-06-2020,35121308.95562069
14-06-2020,34720618.93375416
15-06-2020,35318621.267010085
16-06-2020,33306461.2422642
17-06-2020,33894409.21480389
18-06-2020,35372433.70586614
19-06-2020,33595089.311939634
20-06-2020,35368539.47742449
21-06-2020,33051985.00286278
22-06-2020,36290502.02913978
23-06-2020,33554777.34939103
24-06-2020,34652763.27930495
25-06-2020,36073081.1030695
26-06-2020,34193729.11766813
27-06-2020,35260914.59971238
28-06-2020,34704404.54751494
29-06-2020,35020481.68265574
30-06-2020,33249934.89347637
01-07-2020,33667476.77405468
02-07-2020,35512039.34995784
03-07-2020,33608589.78824708
04-07-2020,36007491.245701596
05-07-2020,34911228.37358327
06-07-2020,35953678.80684554
07-07-2020,33907909.69111133
08-07-2020,33601886.91668679
09-07-2020,35691956.95659813
10-07-2020,34726779.06602874
11-07-2020,27139249.566141184
12-07-2020,28291685.407383732
13-07-2020,35929581.23053615
14-07-2020,34036823.502014205
15-07-2020,35637058.93241904
16-07-2020,35524359.507755384
17-07-2020,35976690.79783191
18-07-2020,28300654.182776947
19-07-2020,28784423.393195726
20-07-2020,37347090.41118206
21-07-2020,35517656.63619509
22-07-2020,35796773.191191606
23-07-2020,35160630.066033125
24-07-2020,36258615.995947056
25-07-2020,27916721.39318695
26-07-2020,28893133.856230866
27-07-2020,35956487.44996417
28-07-2020,35728374.69070508
29-07-2020,35541754.21250449
30-07-2020,35925687.002094485
31-07-2020,37269180.396016605
01-08-2020,28492349.20792909
02-08-2020,31137395.601864368
03-08-2020,31770730.190655842
04-08-2020,35160087.32674742
05-08-2020,34223538.71340165
06-08-2020,33953933.67308406
07-08-2020,34970115.35939087
08-08-2020,27974522.793671526
09-08-2020,29018248.171878934
10-08-2020,35555254.68881193
11-08-2020,35630356.06085876
12-08-2020,32590685.044144668
13-08-2020,34137745.508166015
14-08-2020,34974009.58783254
15-08-2020,28325932.077596236
16-08-2020,29936316.495152563
17-08-2020,35701563.204463914
18-08-2020,34633292.13709664
19-08-2020,34936506.26840255
20-08-2020,33878832.30103724
21-08-2020,35225134.33807799
22-08-2020,28793392.16858894
23-08-2020,29759207.531630892
24-08-2020,
25-08-2020,
26-08-2020,34923005.79209511
27-08-2020,34946017.78308147
28-08-2020,35588863.77980025
29-08-2020,29146524.51030924
30-08-2020,30020929.38187831
31-08-2020,
01-09-2020,36041195.069876775
02-09-2020,35153927.19447283
03-09-2020,34599588.312921464
04-09-2020,34568693.13186491
05-09-2020,35197047.800140075
06-09-2020,29940210.723594226
07-09-2020,36027694.59356934
08-09-2020,35939187.47840193
09-09-2020,35231837.20963828
10-09-2020,34623685.88923086
11-09-2020,34807497.72431282
12-09-2020,35093317.15086963
13-09-2020,35045759.4707234
14-09-2020,35830382.28217993
15-09-2020,34811391.95275449
16-09-2020,35650464.67553963
17-09-2020,34811391.95275449
18-09-2020,35894791.82103793
19-09-2020,36865586.99784459
20-09-2020,37284851.9362185
21-09-2020,36551138.29406416
22-09-2020,35175121.39447674
23-09-2020,36513540.241447315
24-09-2020,35812892.844243966
25-09-2020,36074614.69449138
26-09-2020,37331229.29785484
27-09-2020,38355836.91351754
28-09-2020,37165897.75284501
29-09-2020,35423342.76841671
30-09-2020,36599333.44668295
01-10-2020,36039472.012081176
02-10-2020,35176749.825837106
03-10-2020,37167172.80454176
04-10-2020,37501824.85618993
05-10-2020,36467705.7258483
06-10-2020,34956072.143797725
07-10-2020,36698627.12822602
08-10-2020,36850458.196928404
09-10-2020,36908164.864226125
10-10-2020,38597992.995121405
11-10-2020,40206654.354882136
12-10-2020,38540286.32782368
13-10-2020,37150863.68511569
14-10-2020,39019523.83732823
15-10-2020,39257148.11126625
16-10-2020,39230241.89183822
17-10-2020,39303077.36005213
18-10-2020,39331706.63727574
19-10-2020,38325579.31168518
20-10-2020,36867758.16849065
21-10-2020,37564511.33725234
22-10-2020,37227688.11495811
23-10-2020,36663837.71872782
24-10-2020,37106562.760938555
25-10-2020,37688445.33439051
26-10-2020,37827413.50600964
27-10-2020,36709224.22822798
28-10-2020,37986042.17945917
29-10-2020,37815636.0874978
30-10-2020,37389573.54437674
31-10-2020,39160757.806028664
01-11-2020,39808135.50366166
02-11-2020,38567192.54725171
03-11-2020,38737598.639213085
04-11-2020,38214060.2055314
05-11-2020,37003469.58414067
06-11-2020,36806157.27275127
07-11-2020,38959551.26619759
08-11-2020,39508815.600797415
09-11-2020,38159162.18135232
10-11-2020,38227560.68183885
11-11-2020,39573862.7188796
12-11-2020,40056994.45682582
13-11-2020,41765302.87779324
14-11-2020,38181984.81271659
15-11-2020,36527488.83060523
16-11-2020,34322005.562850066
17-11-2020,37644144.516965
18-11-2020,39306523.582394935
19-11-2020,38850298.063876756
20-11-2020,39169726.58142188
21-11-2020,40218431.77339398
22-11-2020,41189226.95020063
23-11-2020,38511751.78378692
24-11-2020,38796485.6250207
25-11-2020,38923771.11131483
26-11-2020,36753525.15240511
27-11-2020,39081219.46625447
28-11-2020,40086709.319372475
29-11-2020,41699264.90757487
30-11-2020,38915250.44877208
01-12-2020,38429947.540179804
02-12-2020,40607439.10993552
03-12-2020,40188716.91084732
04-12-2020,40477344.98052276
05-12-2020,41336621.05117564
06-12-2020,42093889.53035367
07-12-2020,40690423.672052525
08-12-2020,37454077.816421606
09-12-2020,40393912.4123069
10-12-2020,40274510.11608295
