Date,Mobility
15-02-2020,54926975.89070917
16-02-2020,54721228.92653776
17-02-2020,55366268.79190965
18-02-2020,55518250.1134209
19-02-2020,54550030.0684872
20-02-2020,55280669.36288437
21-02-2020,48062442.32114399
22-02-2020,54392767.95401428
23-02-2020,54335701.66799742
24-02-2020,55512969.32045927
25-02-2020,55374850.22822802
26-02-2020,54029684.36107233
27-02-2020,54801473.048303775
28-02-2020,54099366.89691503
29-02-2020,52293710.44241465
01-03-2020,54496264.42582706
02-03-2020,55743214.61413162
03-03-2020,55268053.11305851
04-03-2020,53651492.55939619
05-03-2020,54702011.389998466
06-03-2020,51036198.6681868
07-03-2020,55873998.249498665
08-03-2020,57210582.680335976
09-03-2020,50959841.51337858
10-03-2020,36180106.51505067
11-03-2020,52012265.97928814
12-03-2020,55164556.64124573
13-03-2020,54307168.524988994
14-03-2020,51798671.74894912
15-03-2020,54314503.9818532
16-03-2020,54666217.30442347
17-03-2020,53670710.09593549
18-03-2020,52702490.05100178
19-03-2020,53017088.79424524
20-03-2020,51473511.419782355
21-03-2020,49393671.44472203
22-03-2020,32191773.269530285
23-03-2020,36340157.4635769
24-03-2020,32861385.978700746
25-03-2020,31603874.204472903
26-03-2020,31964903.133512296
27-03-2020,31311281.83182205
28-03-2020,31595292.768154524
29-03-2020,33081729.342302922
30-03-2020,31943705.447368074
31-03-2020,31477125.382613335
01-04-2020,31025216.231587008
02-04-2020,31554143.37532025
03-04-2020,32304734.37640747
04-04-2020,32706912.69828114
05-04-2020,34366528.28008503
06-04-2020,33210607.34236268
07-04-2020,34659269.68133115
08-04-2020,35425777.57560095
09-04-2020,33248530.606137868
10-04-2020,33847140.28571382
11-04-2020,34138486.6789105
12-04-2020,36117981.79691951
13-04-2020,35217538.65252121
14-04-2020,34034181.52264933
15-04-2020,34748903.92386392
16-04-2020,33403738.056708228
17-04-2020,33418408.970436636
18-04-2020,33431025.22026249
19-04-2020,34597582.258205764
20-04-2020,33521905.44224942
21-04-2020,32485248.84092717
22-04-2020,32283536.69026324
23-04-2020,32778649.89802641
24-04-2020,33098529.43423152
25-04-2020,32827134.747724887
26-04-2020,34424403.25055027
27-04-2020,33634792.03482897
28-04-2020,32882146.36983919
29-04-2020,33132343.3702016
30-04-2020,33312857.834721293
01-05-2020,33452222.90640671
02-05-2020,33715036.15659497
03-05-2020,34701078.73001855
04-05-2020,34404526.058157854
05-05-2020,33437551.9926783
06-05-2020,33904132.05743304
07-05-2020,33369924.120738152
08-05-2020,33952616.90713152
09-05-2020,33570390.2919479
10-05-2020,35020958.26622366
11-05-2020,34481544.05086477
12-05-2020,33805916.378581904
13-05-2020,33589533.314189576
14-05-2020,30968958.630018536
15-05-2020,34772890.44406145
16-05-2020,34966021.158407
17-05-2020,36904366.88358172
18-05-2020,32067962.3103193
19-05-2020,35460325.68172178
20-05-2020,35746391.281956814
21-05-2020,32060626.85345509
22-05-2020,36915077.49810029
23-05-2020,36259401.53250748
24-05-2020,38955673.71563362
25-05-2020,32432291.882715415
26-05-2020,37003903.056184664
27-05-2020,37254100.05654707
28-05-2020,32873564.933520816
29-05-2020,38040559.65750692
30-05-2020,38455354.22920644
31-05-2020,40740866.65414054
01-06-2020,34388609.16497528
02-06-2020,38949658.752521224
03-06-2020,38524228.08060077
04-06-2020,34213375.49341722
05-06-2020,39589417.82493145
06-06-2020,39754015.39626857
07-06-2020,40927907.89107605
08-06-2020,39491202.146080315
09-06-2020,40026656.06222937
10-06-2020,40026656.06222937
11-06-2020,40973678.42101886
12-06-2020,41531138.707760535
13-06-2020,41497324.77179046
14-06-2020,42551803.90160257
15-06-2020,41252408.5643897
16-06-2020,42213293.15245921
17-06-2020,41663168.322581746
18-06-2020,41774000.25125873
19-06-2020,41990383.31565107
20-06-2020,42426375.573494814
21-06-2020,41640650.14268572
22-06-2020,42129748.387336485
23-06-2020,42874249.91101367
24-06-2020,42824519.08186101
25-06-2020,42928015.553673804
26-06-2020,42656620.86716717
27-06-2020,42204711.71614084
28-06-2020,43135742.667450115
29-06-2020,42197376.259276636
30-06-2020,43449607.24054283
01-07-2020,42690434.803137235
02-07-2020,43219361.946870476
03-07-2020,43435745.01126282
04-07-2020,44018437.797656186
05-07-2020,43525304.739497945
06-07-2020,42738919.652835734
07-07-2020,43462223.490368694
08-07-2020,43301660.73253904
09-07-2020,43691222.804586865
10-07-2020,45118687.45741112
11-07-2020,32532487.711171474
12-07-2020,34901544.9012283
13-07-2020,43879072.72597077
14-07-2020,44060833.16994463
15-07-2020,44638245.16337636
16-07-2020,45799595.92265562
17-07-2020,46037176.67319219
18-07-2020,34011663.3427533
19-07-2020,35242622.12357764
20-07-2020,48765357.1569811
21-07-2020,45229519.3860881
22-07-2020,45270668.77892239
23-07-2020,45869278.45849834
24-07-2020,46808965.360423625
25-07-2020,34352740.56510264
26-07-2020,35944728.274966374
27-07-2020,48563645.00631718
28-07-2020,46099523.75217069
29-07-2020,46070990.609162256
30-07-2020,46844833.96029626
31-07-2020,49261716.34419844
01-08-2020,34495406.28014478
02-08-2020,38284592.66616165
03-08-2020,42844248.42770373
