Date,Mobility
15-02-2020,66780930.496246584
16-02-2020,65649511.377986796
17-02-2020,68259923.17024855
18-02-2020,68847499.67979656
19-02-2020,68127788.00506583
20-02-2020,68332047.12132639
21-02-2020,56532879.634183444
22-02-2020,67356224.72417141
23-02-2020,66964450.53625597
24-02-2020,68575578.37544067
25-02-2020,68695431.25900021
26-02-2020,66844767.19734671
27-02-2020,67180525.20280272
28-02-2020,65921432.68234269
29-02-2020,62227458.34633933
01-03-2020,66568850.86134533
02-03-2020,67812302.34452398
03-03-2020,69143518.81606182
04-03-2020,67164714.62087107
05-03-2020,67292854.75440831
06-03-2020,61926977.44709155
07-03-2020,68951541.98142445
08-03-2020,70158613.35107054
09-03-2020,64623626.39166494
10-03-2020,49490976.6818713
11-03-2020,65908216.93804543
12-03-2020,68151885.83697519
13-03-2020,66728739.800782375
14-03-2020,64449157.51965707
15-03-2020,65809400.31742384
16-03-2020,67919703.40181004
17-03-2020,68163701.38726136
18-03-2020,67100411.188433915
19-03-2020,65745096.8849867
20-03-2020,65293014.2962796
21-03-2020,64665232.186203815
22-03-2020,41312762.12271737
23-03-2020,59722580.686015494
24-03-2020,53645618.04324625
25-03-2020,41099749.025142044
26-03-2020,42462883.84722995
27-03-2020,41419229.71732937
28-03-2020,41915046.20687268
29-03-2020,43619334.260073185
30-03-2020,43278181.0289606
31-03-2020,45425330.9582164
01-04-2020,42574746.66749853
02-04-2020,42870765.80376379
03-04-2020,43698345.267117634
04-04-2020,43530466.26438963
05-04-2020,45022674.68268886
06-04-2020,44221618.3442285
07-04-2020,49650229.345321044
08-04-2020,46212068.54505516
09-04-2020,46555647.069151856
10-04-2020,46091748.93015859
11-04-2020,46007809.42879459
12-04-2020,47376339.476539075
13-04-2020,47538823.25361051
14-04-2020,49658049.86396173
15-04-2020,48182882.67695498
16-04-2020,45940613.9720363
17-04-2020,46084395.14285494
18-04-2020,45109039.47703698
19-04-2020,46769126.89806421
20-04-2020,47387688.295488216
21-04-2020,49490637.59257075
22-04-2020,46160514.125578254
23-04-2020,46252274.145582944
24-04-2020,46388234.79776089
25-04-2020,45620497.00386167
26-04-2020,46313049.27771164
27-04-2020,46855491.69241233
28-04-2020,49054662.77248207
29-04-2020,46995914.10757279
30-04-2020,46408337.59802478
01-05-2020,46872235.737018034
02-05-2020,46588498.88237598
03-05-2020,47337067.33868537
04-05-2020,48015470.405564
05-05-2020,50498378.3402758
06-05-2020,48751289.848913155
07-05-2020,47220276.02409724
08-05-2020,48731653.77998631
09-05-2020,47712097.48199508
10-05-2020,49340266.55247226
11-05-2020,50378525.45671627
12-05-2020,52069597.765619494
13-05-2020,50558686.74106748
14-05-2020,50274949.88642542
15-05-2020,51522226.856599264
16-05-2020,51542329.65686315
17-05-2020,52290898.11317254
18-05-2020,53077338.513324544
19-05-2020,55408008.48258973
20-05-2020,52801422.17732318
21-05-2020,53717402.90502354
22-05-2020,53065522.96303838
23-05-2020,53641283.92230023
24-05-2020,56456888.29349663
25-05-2020,49126786.7235599
26-05-2020,58118637.08948417
27-05-2020,55944030.572660826
28-05-2020,57279708.80718119
29-05-2020,57047993.10335308
30-05-2020,57991430.41862099
31-05-2020,58091944.41994043
01-06-2020,58642843.6292691
02-06-2020,59078818.449357785
03-06-2020,59462602.57398226
04-06-2020,59003166.19797151
05-06-2020,58759168.2125202
06-06-2020,59778724.510511406
07-06-2020,60367234.48273349
08-06-2020,59706600.55943357
09-06-2020,60674135.70661085
10-06-2020,60946057.01096674
11-06-2020,61229793.865608804
12-06-2020,59750801.191606835
13-06-2020,60762070.239620335
14-06-2020,46469112.73015347
15-06-2020,61537628.552160226
16-06-2020,63456421.5332461
17-06-2020,61817370.37515681
18-06-2020,60726156.857424796
19-06-2020,59390945.35424146
20-06-2020,62301371.314413965
21-06-2020,46817153.01723268
22-06-2020,63228700.86106346
23-06-2020,62900763.37424814
24-06-2020,62281268.51415007
25-06-2020,61777631.505966075
26-06-2020,59247164.18342283
27-06-2020,61841468.20706617
