Date,Mobility
15-02-2020,48502034.643128306
16-02-2020,48625093.59571307
17-02-2020,49001432.325359374
18-02-2020,49850720.22554562
19-02-2020,49823527.45775345
20-02-2020,48705183.38688745
21-02-2020,46293646.68774812
22-02-2020,47162620.25256
23-02-2020,49240787.38346341
24-02-2020,49496938.66776701
25-02-2020,48226578.78784163
26-02-2020,49432900.8466911
27-02-2020,50607013.44818136
28-02-2020,50577693.42924821
29-02-2020,50557644.60216404
01-03-2020,51586885.335302934
02-03-2020,50646366.8462486
03-03-2020,50756902.00609977
04-03-2020,51928887.35644904
05-03-2020,51310685.223915175
06-03-2020,51441269.2108505
07-03-2020,51491019.150510356
08-03-2020,51606934.162387095
09-03-2020,47650220.46697453
10-03-2020,42142311.184324324
11-03-2020,48758549.08989045
12-03-2020,52612234.72861841
13-03-2020,53592106.615739994
14-03-2020,52939567.774705924
15-03-2020,
16-03-2020,49266854.801511966
17-03-2020,48713071.583696544
18-03-2020,49980923.11883841
19-03-2020,48791397.28618849
20-03-2020,49973779.17813038
21-03-2020,41412742.04985997
22-03-2020,
23-03-2020,
24-03-2020,
25-03-2020,
26-03-2020,
27-03-2020,
28-03-2020,
29-03-2020,
30-03-2020,
31-03-2020,33831558.87752714
01-04-2020,35149160.35232885
02-04-2020,35124094.835677646
03-04-2020,36368387.29755446
04-04-2020,36542960.27848153
05-04-2020,38756728.0858873
06-04-2020,35409947.23255695
07-04-2020,37528212.01762868
08-04-2020,36638826.46327411
09-04-2020,36946110.68227746
10-04-2020,36810891.09941764
11-04-2020,36426664.17296224
12-04-2020,38437921.9755477
13-04-2020,37724216.8206798
14-04-2020,37252011.90624092
15-04-2020,38788175.355961435
16-04-2020,35482893.08302331
17-04-2020,36354738.15507724
18-04-2020,36317893.10179352
19-04-2020,37578237.53376882
20-04-2020,36293208.67878487
21-04-2020,37061662.531695664
22-04-2020,37199390.459339
23-04-2020,36472417.255636424
24-04-2020,37502039.08241786
25-04-2020,36835212.35996777
26-04-2020,38203583.6070107
27-04-2020,36831959.75908317
28-04-2020,37088111.043386765
29-04-2020,37538884.13570158
30-04-2020,37060918.27559458
01-05-2020,37509183.02312588
02-05-2020,37255540.0836058
03-05-2020,38927304.209828675
04-05-2020,37117812.15596246
05-05-2020,36531819.48078783
06-05-2020,37373963.44026606
07-05-2020,36369407.13013582
08-05-2020,39108001.298882395
09-05-2020,
10-05-2020,40860599.47238073
11-05-2020,39693993.97405703
12-05-2020,40243141.59594795
13-05-2020,41016612.13842579
14-05-2020,40430619.46325115
15-05-2020,41947859.43563113
16-05-2020,42260904.60030261
17-05-2020,43134513.76103899
18-05-2020,41482798.46190027
19-05-2020,42004753.31599901
20-05-2020,43062950.90561253
21-05-2020,42247999.713926464
22-05-2020,43055806.96490451
23-05-2020,42588237.646390125
24-05-2020,44828453.965487
25-05-2020,40278603.65419178
26-05-2020,42398632.52794595
27-05-2020,43321610.53469964
28-05-2020,43494419.42694426
29-05-2020,44176659.38055402
30-05-2020,44560886.30700942
31-05-2020,46572144.10959488
01-06-2020,44460003.432649806
02-06-2020,44952257.17417284
03-06-2020,45930746.06625452
04-06-2020,45608048.6160915
05-06-2020,45256031.14699531
06-06-2020,45340117.79515538
07-06-2020,46787559.00079133
08-06-2020,44717280.066697024
09-06-2020,44532310.54417734
10-06-2020,45027072.6304839
11-06-2020,44958018.11984096
12-06-2020,45236726.57601224
13-06-2020,44377786.39033444
14-06-2020,46430524.84212813
15-06-2020,43430123.96057209
16-06-2020,44444332.556193866
17-06-2020,45057517.99916068
18-06-2020,44633937.67463804
19-06-2020,46576885.222681634
20-06-2020,46247043.8318106
21-06-2020,48038614.30973363
22-06-2020,44737328.893781185
23-06-2020,44067249.57044649
24-06-2020,46020593.660082705
25-06-2020,45441744.92561607
26-06-2020,46919631.49992882
27-06-2020,45444997.52650068
28-06-2020,47865166.6785502
29-06-2020,45966952.38059941
30-06-2020,44574916.54312918
01-07-2020,45820592.0000459
02-07-2020,45404155.61623128
03-07-2020,45697151.9538186
04-07-2020,46458461.86602137
05-07-2020,44709391.869887926
06-07-2020,44847864.05363235
07-07-2020,44734076.292896576
08-07-2020,46255951.861201055
09-07-2020,45374454.503655575
10-07-2020,45340117.79515538
11-07-2020,43783905.518350706
12-07-2020,45915713.9287374
13-07-2020,44079410.20072155
14-07-2020,44780573.631671846
15-07-2020,44329800.53935702
16-07-2020,45755428.82922638
17-07-2020,46741061.66201608
18-07-2020,46640178.78765645
19-07-2020,46659483.35863954
20-07-2020,42663797.358802274
21-07-2020,46184770.099417135
22-07-2020,46494562.66320402
23-07-2020,45862072.64925412
24-07-2020,47078046.99359513
25-07-2020,45354405.676571414
26-07-2020,47959544.35114061
27-07-2020,45379471.19322263
28-07-2020,46438413.03893722
29-07-2020,46640178.78765645
30-07-2020,47999260.91166639
31-07-2020,48446142.66415779
01-08-2020,45520814.8842091
02-08-2020,49160210.98148422
03-08-2020,40195366.77929506
04-08-2020,43487017.84093997
05-08-2020,44775938.03574735
06-08-2020,44689343.042803764
07-08-2020,46273873.43714424
08-08-2020,44438952.70416828
09-08-2020,43503069.81103846
10-08-2020,45566949.06052582
11-08-2020,46214471.21199284
12-08-2020,42839753.33476922
13-08-2020,42759939.12007513
14-08-2020,45206662.300978005
15-08-2020,43887296.73749385
16-08-2020,41340071.7758739
17-08-2020,
18-08-2020,
19-08-2020,
20-08-2020,
21-08-2020,
22-08-2020,
23-08-2020,
24-08-2020,
25-08-2020,
26-08-2020,
27-08-2020,
28-08-2020,
29-08-2020,
30-08-2020,
31-08-2020,
01-09-2020,
02-09-2020,
03-09-2020,
04-09-2020,
05-09-2020,
06-09-2020,
07-09-2020,
08-09-2020,
09-09-2020,
10-09-2020,
11-09-2020,44119126.76124732
12-09-2020,42910296.35761432
13-09-2020,
14-09-2020,44119126.76124732
15-09-2020,43934157.238727644
16-09-2020,45352641.58788898
17-09-2020,44337307.64252357
18-09-2020,44652861.15197858
19-09-2020,43234376.80281724
20-09-2020,
21-09-2020,45089346.36287736
22-09-2020,44325528.10589106
23-09-2020,44129036.69203514
24-09-2020,44907887.08653855
25-09-2020,45806924.926384665
26-09-2020,40784887.631834574
27-09-2020,
28-09-2020,40578486.28719084
29-09-2020,43247281.68919338
30-09-2020,43715595.26380884
01-10-2020,41487920.66862957
02-10-2020,41041144.433300436
03-10-2020,41787422.207986094
04-10-2020,
05-10-2020,41725892.731693715
06-10-2020,40829363.23663112
07-10-2020,42978712.129318446
08-10-2020,43785394.030552864
09-10-2020,44263359.89065987
10-10-2020,41988062.606961705
11-10-2020,38702829.16110775
12-10-2020,43940662.44049685
13-10-2020,44051197.600348
14-10-2020,45275060.14149812
15-10-2020,45828843.35931353
16-10-2020,47018369.19196346
17-10-2020,44398198.379877135
18-10-2020,42614791.67524349
19-10-2020,46462077.62936451
20-10-2020,45858544.471889235
21-10-2020,47225895.88635081
22-10-2020,44899846.76159544
23-10-2020,45562782.14422212
24-10-2020,
25-10-2020,42853889.08805125
26-10-2020,43649535.70875423
27-10-2020,44343555.19899651
28-10-2020,44822904.0541434
29-10-2020,44251199.260384806
30-10-2020,44034764.53660698
31-10-2020,
01-11-2020,
02-11-2020,
03-11-2020,45601010.19254574
04-11-2020,45891498.18534954
05-11-2020,
06-11-2020,46039622.654585496
07-11-2020,
08-11-2020,
09-11-2020,
10-11-2020,44665127.2994159
11-11-2020,45019653.11329559
12-11-2020,45007492.48302054
13-11-2020,45335569.78520914
14-11-2020,44939182.22847867
15-11-2020,37140961.45579721
16-11-2020,39684933.81653257
17-11-2020,43326457.164948665
18-11-2020,42242830.896225415
19-11-2020,44304201.80092926
20-11-2020,45803520.19736606
21-11-2020,45126296.93332334
22-11-2020,44650839.41799987
23-11-2020,43075322.5702121
24-11-2020,43674220.131762885
25-11-2020,42639962.70905695
26-11-2020,43075322.5702121
27-11-2020,44212971.21206119
28-11-2020,43119311.56420384
29-11-2020,45042210.28516329
30-11-2020,39913892.33304398
01-12-2020,43727861.411246166
02-12-2020,45522684.4900538
03-12-2020,45561656.79447849
04-12-2020,45867558.01844196
05-12-2020,44988569.005679995
06-12-2020,46951565.38080775
07-12-2020,44587545.85302505
08-12-2020,42004220.09422245
09-12-2020,45244720.2899836
10-12-2020,45384575.46876792
11-12-2020,42888102.34820518
12-12-2020,45287583.93423172
13-12-2020,46948570.42521943
14-12-2020,
15-12-2020,46571487.43947205
16-12-2020,47615397.147669524
17-12-2020,47208613.04934645
18-12-2020,48378090.0549122
19-12-2020,48141987.59769276
20-12-2020,46945317.82433482
21-12-2020,46965366.65141899
22-12-2020,46233757.8517919
23-12-2020,48437492.2800636
24-12-2020,47666530.08236928
25-12-2020,45941124.67666312
26-12-2020,46243773.29974199
27-12-2020,47881200.71746466
28-12-2020,46356816.80437667
29-12-2020,45659544.71324979
30-12-2020,45861310.46196903
31-12-2020,45913187.65276987
15-02-2020,52737438.863528155
16-02-2020,52627647.95977808
17-02-2020,51752931.380482085
18-02-2020,52565374.22738461
19-02-2020,52030514.48690973
20-02-2020,51238120.46709136
21-02-2020,46620235.47773456
22-02-2020,52094552.30798564
23-02-2020,52377896.36008143
24-02-2020,51939283.89804166
25-02-2020,52811873.22619667
26-02-2020,51861702.4516508
27-02-2020,52451586.466648854
28-02-2020,52717390.03644399
29-02-2020,53047231.427315034
01-03-2020,52498828.061525196
02-03-2020,52989698.80800834
03-03-2020,51257425.03807445
04-03-2020,52239424.176336996
05-03-2020,52377152.10398034
06-03-2020,52690197.26865181
07-03-2020,54027847.570537694
08-03-2020,55067484.8452692
09-03-2020,51802663.38895794
10-03-2020,37571943.36632414
11-03-2020,49031859.762852155
12-03-2020,53301618.62293619
13-03-2020,51653431.50116236
14-03-2020,50057865.82629044
15-03-2020,52337798.7059131
16-03-2020,51586885.335302934
17-03-2020,51175465.64105535
18-03-2020,51374723.04499108
19-03-2020,51381866.9856991
20-03-2020,51246647.40283928
21-03-2020,50406630.69450202
22-03-2020,36343339.71208727
23-03-2020,47781443.19284866
24-03-2020,47306729.93362627
25-03-2020,35363086.73132315
26-03-2020,36134048.92901747
27-03-2020,36406996.43952063
28-03-2020,38054439.30519338
29-03-2020,38128510.50540336
30-03-2020,37298890.33865872
31-03-2020,38326003.820656635
01-04-2020,38074488.13227755
02-04-2020,38020102.59669318
03-04-2020,38884803.7280391
04-04-2020,39827830.56187695
05-04-2020,40236378.74888247
06-04-2020,38461223.40351646
07-04-2020,38380389.356240995
08-04-2020,38451571.11802492
09-04-2020,38101680.90006971
10-04-2020,38589299.04566826
11-04-2020,39557010.30251477
12-04-2020,39832847.251444
13-04-2020,38680529.63453634
14-04-2020,38966382.031415634
15-04-2020,39623556.46837419
16-04-2020,36377676.420587465
17-04-2020,36919680.10177037
18-04-2020,37283858.2011416
19-04-2020,38049440.546810344
20-04-2020,36855642.28069447
21-04-2020,37757188.465324104
22-04-2020,37963589.809967846
23-04-2020,38071616.62503548
24-04-2020,38522389.7173503
25-04-2020,38458351.8962744
26-04-2020,38118495.05745329
27-04-2020,36590219.80454187
28-04-2020,38158211.617979065
29-04-2020,38138162.790894896
30-04-2020,39044344.57144904
01-05-2020,39431079.84268796
02-05-2020,40623114.020121396
03-05-2020,40738665.869539596
04-05-2020,39700136.0133677
05-05-2020,38567504.06108567
06-05-2020,39656528.113018505
07-05-2020,40658576.07836522
08-05-2020,42965701.72578005
09-05-2020,42842261.67955275
10-05-2020,42960321.87375447
11-05-2020,41097569.634047516
12-05-2020,43291651.77682767
13-05-2020,42670197.04340921
14-05-2020,43507705.406962946
15-05-2020,45347261.7358634
16-05-2020,46034137.28539766
17-05-2020,46176881.902608044
18-05-2020,45785874.19790316
19-05-2020,46928158.43567674
20-05-2020,46669498.80658961
21-05-2020,46450192.575569734
22-05-2020,46856976.67389281
23-05-2020,47186818.06476385
24-05-2020,47918063.70193239
25-05-2020,43661209.728224486
26-05-2020,46465605.80672939
27-05-2020,46465605.80672939
28-05-2020,47202231.295923516
29-05-2020,48884010.87009647
30-05-2020,47475178.806426674
31-05-2020,48364201.198322706
01-06-2020,48404662.01494957
02-06-2020,49145923.10006819
03-06-2020,49537293.96723161
04-06-2020,49426014.551279366
05-06-2020,47088443.53518775
06-06-2020,49988067.059546426
07-06-2020,51174721.38495428
08-06-2020,51372214.70020756
09-06-2020,51059169.53553608
10-06-2020,51029468.42296038
11-06-2020,51322464.7605477
12-06-2020,53303001.61797609
13-06-2020,48557422.08011003
14-06-2020,52766014.62636024
15-06-2020,51581868.64573589
16-06-2020,52810747.87645306
17-06-2020,51340005.24284834
18-06-2020,50453128.03327728
19-06-2020,52532039.420281775
20-06-2020,48219692.4924299
21-06-2020,51553187.36574156
22-06-2020,50655638.0380976
23-06-2020,52416868.66450611
24-06-2020,50904645.381693184
25-06-2020,51005528.2560528
26-06-2020,51995796.684767
27-06-2020,43985032.52813112
28-06-2020,50976208.237119645
29-06-2020,49321240.337096326
30-06-2020,55601963.492101535
01-07-2020,54237120.42242349
02-07-2020,53889738.5492518
03-07-2020,55648460.8308768
04-07-2020,46218468.06897852
05-07-2020,55734311.56771931
06-07-2020,49187403.74927641
07-07-2020,55015226.560825825
08-07-2020,53276553.106285
09-07-2020,51709944.2878877
10-07-2020,56318540.1542115
11-07-2020,40545532.573730536
12-07-2020,41690706.24993018
13-07-2020,54104409.18434719
14-07-2020,55367625.12356455
15-07-2020,53687228.54443149
16-07-2020,53845005.29915899
17-07-2020,55576534.81299181
18-07-2020,41897851.850674994
19-07-2020,42306400.037680514
20-07-2020,53266156.56469236
21-07-2020,54293270.04669029
22-07-2020,49839942.59031046
23-07-2020,50162640.04047348
24-07-2020,52527403.82435727
25-07-2020,41538309.34722826
26-07-2020,43000419.527922794
27-07-2020,52682672.23430124
28-07-2020,52214358.659685805
29-07-2020,50339340.27254152
30-07-2020,53182069.91653231
31-07-2020,55448459.17084
01-08-2020,42562914.48444265
02-08-2020,46853466.42771194
03-08-2020,50020745.19652644
04-08-2020,55744708.10931192
05-08-2020,54302922.332181826
06-08-2020,55952873.54263809
07-08-2020,58507623.53860861
08-08-2020,45013910.098811485
09-08-2020,46074997.12685106
10-08-2020,58983081.05393209
11-08-2020,56490241.6278965
12-08-2020,50159387.43958889
13-08-2020,55681690.12081738
14-08-2020,59066423.44599107
15-08-2020,45141985.74096329
16-08-2020,45961209.3661153
17-08-2020,
18-08-2020,
19-08-2020,
20-08-2020,
21-08-2020,
22-08-2020,
23-08-2020,46305338.63840237
24-08-2020,
25-08-2020,
26-08-2020,
27-08-2020,
28-08-2020,
29-08-2020,
30-08-2020,
31-08-2020,
01-09-2020,
02-09-2020,
03-09-2020,
04-09-2020,
05-09-2020,
06-09-2020,
07-09-2020,
08-09-2020,
09-09-2020,
10-09-2020,
11-09-2020,58530438.35577257
12-09-2020,58765796.55689093
13-09-2020,58797261.75814907
14-09-2020,59160420.02493895
15-09-2020,58588715.23118034
16-09-2020,59666961.64787803
17-09-2020,57588050.26087353
18-09-2020,60124878.68090086
19-09-2020,62901337.7355125
20-09-2020,61537238.921935536
21-09-2020,60492309.381156705
22-09-2020,58839105.56981583
23-09-2020,55424671.13206644
24-09-2020,53729986.67151734
25-09-2020,57752589.86266651
26-09-2020,58522063.54815867
27-09-2020,60007094.06317942
28-09-2020,58220903.43728197
29-09-2020,57241031.550160386
30-09-2020,56894393.93308979
01-10-2020,53891121.544291705
02-10-2020,52833287.117136724
03-10-2020,56877978.80053277
04-10-2020,55890962.97270318
05-10-2020,55323255.03593026
06-10-2020,50715784.51935008
07-10-2020,56022291.21573958
08-10-2020,56434349.648925975
09-10-2020,57786287.832227886
10-10-2020,56980244.66993229
11-10-2020,58760779.86732388
12-10-2020,58153718.53248373
13-10-2020,57678261.017160244
14-10-2020,56963448.44373274
15-10-2020,57741554.58213507
16-10-2020,59709930.809288405
17-10-2020,57912130.70607645
18-10-2020,59828629.74242894
19-10-2020,56953796.1582412
20-10-2020,56195738.84692301
21-10-2020,57072219.514901444
22-10-2020,56272681.55437506
23-10-2020,57364577.113549955
24-10-2020,55302461.95274502
25-10-2020,57009307.04356916
26-10-2020,55636300.20060174
27-10-2020,57190004.13262289
28-10-2020,56772823.49270719
29-10-2020,56058010.91927967
30-10-2020,54605553.02407667
31-10-2020,57218855.47193525
01-11-2020,58224156.03816656
02-11-2020,56466922.26874372
03-11-2020,57609950.76261839
04-11-2020,57805955.5656695
05-11-2020,55611873.422889344
06-11-2020,56602141.851603545
07-11-2020,58408381.304585174
08-11-2020,59123193.87801268
09-11-2020,56363531.049600594
10-11-2020,59474191.51452749
11-11-2020,61348084.551928155
12-11-2020,65350638.915993154
13-11-2020,66053290.859145604
14-11-2020,63082485.573003024
15-11-2020,48567056.43441756
16-11-2020,58599562.521209754
17-11-2020,62216782.54025974
18-11-2020,60718102.88276178
19-11-2020,61910137.06019521
20-11-2020,62412787.34331087
21-11-2020,62894281.380782746
22-11-2020,64860149.26315256
23-11-2020,62287964.30204367
24-11-2020,63026717.04237876
25-11-2020,64984696.72793947
26-11-2020,62763421.81736715
27-11-2020,64474902.50411579
28-11-2020,66303318.035322554
29-11-2020,69407578.8156425
30-11-2020,62204346.33350441
01-12-2020,64115465.51783132
02-12-2020,63756198.59086487
03-12-2020,65023305.86990564
04-12-2020,66095152.60199636
05-12-2020,68275966.69594185
06-12-2020,69311712.63084993
07-12-2020,64077131.95234543
08-12-2020,64414117.28392449
09-12-2020,64677412.50893612
10-12-2020,64357862.14249544
11-12-2020,64503478.26694788
12-12-2020,64824687.204908736
13-12-2020,66232775.01247746
14-12-2020,63936045.906655245
15-12-2020,64179292.30458269
16-12-2020,62767207.640028305
17-12-2020,62308546.35090439
18-12-2020,63589302.77242237
19-12-2020,64385969.22570671
20-12-2020,64184203.47698747
21-12-2020,62547901.40900843
22-12-2020,62875234.45509594
23-12-2020,63157834.25109064
24-12-2020,63133149.82808198
25-12-2020,60728012.813549586
26-12-2020,63949865.10845049
27-12-2020,64388477.57049025
28-12-2020,62200519.53583674
29-12-2020,61210251.107122555
30-12-2020,61456005.849833526
31-12-2020,63133149.82808198
