Date,Mobility
15-02-2020,97589551.2494213
16-02-2020,97743785.20080142
17-02-2020,96406278.96227367
18-02-2020,96568614.36897203
19-02-2020,95151449.74143837
20-02-2020,95627335.87752867
21-02-2020,87762816.05208822
22-02-2020,95129835.87669626
23-02-2020,97436323.50760336
24-02-2020,95686386.61135468
25-02-2020,95354620.55220188
26-02-2020,93855785.11653793
27-02-2020,95806880.40442574
28-02-2020,97823443.58980732
29-02-2020,94846000.46736467
01-03-2020,98075551.25995423
02-03-2020,95758949.75460455
03-03-2020,96123449.76250423
04-03-2020,95889557.4221182
05-03-2020,97548715.84535614
06-03-2020,98948671.35269113
07-03-2020,97491677.5306545
08-03-2020,97701943.58717409
09-03-2020,85649385.35750204
10-03-2020,59484909.66840761
11-03-2020,63608188.208913974
12-03-2020,83867094.41880113
13-03-2020,87549911.27317674
14-03-2020,86930911.2697111
15-03-2020,91088608.05061485
16-03-2020,88833069.69821554
17-03-2020,88873905.10228068
18-03-2020,87385183.54105935
19-03-2020,85936291.17434098
20-03-2020,85288961.96667185
21-03-2020,78887904.90575656
22-03-2020,60629410.74943525
23-03-2020,60683378.65662957
24-03-2020,59033327.89827206
25-03-2020,55021435.4859563
26-03-2020,56104821.63521279
27-03-2020,56783878.58206661
28-03-2020,57075815.44671647
29-03-2020,62896069.18583938
30-03-2020,57490258.523561746
31-03-2020,57107543.18590117
01-04-2020,56347821.64047925
02-04-2020,56428486.23904735
03-04-2020,57988764.73395634
04-04-2020,58482866.19980752
05-04-2020,63250455.319296464
06-04-2020,57288093.92236042
07-04-2020,58120378.61103218
08-04-2020,58057929.34222496
09-04-2020,57936429.339591734
10-04-2020,58291821.682610996
11-04-2020,58471366.209508054
12-04-2020,64039512.27848406
13-04-2020,59200366.225307465
14-04-2020,57977264.743656866
15-04-2020,59384315.49674791
16-04-2020,56711315.43881676
17-04-2020,57268872.383037366
18-04-2020,56994144.63858619
19-04-2020,61488012.22318615
20-04-2020,57803809.25295369
21-04-2020,58473758.534927085
22-04-2020,57277980.047917806
23-04-2020,58168309.260853395
24-04-2020,58271593.93372576
25-04-2020,56558087.696998835
26-04-2020,60283126.07129642
27-04-2020,56477423.09843074
28-04-2020,57408587.715431474
29-04-2020,57358644.646485895
30-04-2020,57762973.848888546
01-05-2020,57857150.856880486
02-05-2020,58279695.38904402
03-05-2020,62247733.76860807
04-05-2020,59930752.35696371
05-05-2020,58635087.732063286
06-05-2020,59467372.420735046
07-05-2020,58312429.33779089
08-05-2020,61360423.18435903
09-05-2020,59364087.74786268
10-05-2020,63039183.05321469
11-05-2020,60438366.23223873
12-05-2020,61653366.25857107
13-05-2020,61045866.2454049
14-05-2020,62745860.072707996
15-05-2020,63415809.35468139
16-05-2020,63514689.28301035
17-05-2020,67037563.05610661
18-05-2020,64041524.697608426
