Date,Mobility
15-02-2020,48925072.78365626
16-02-2020,48357931.82644128
17-02-2020,48709415.167246304
18-02-2020,47767724.75934134
19-02-2020,47768496.709091075
20-02-2020,47881706.06989243
21-02-2020,44182348.52734117
22-02-2020,47222428.21597034
23-02-2020,47264373.73895435
24-02-2020,47998202.634897195
25-02-2020,47068045.28193471
26-02-2020,47155673.27839742
27-02-2020,47964053.216360986
28-02-2020,48784738.15901678
29-02-2020,48482224.49589386
01-03-2020,48292920.19357229
02-03-2020,49544920.36904799
03-03-2020,48690086.007856
04-03-2020,49492213.740871236
05-03-2020,49734224.671369575
06-03-2020,47594984.0208696
07-03-2020,51224948.573140204
08-03-2020,52453560.43527245
09-03-2020,49134232.598609775
10-03-2020,36695233.49602623
11-03-2020,43526485.42045525
12-03-2020,46805611.03883782
13-03-2020,47985575.426746465
14-03-2020,47398333.360391445
15-03-2020,46495623.47472558
16-03-2020,48674493.79896036
17-03-2020,47403164.46409434
18-03-2020,47982610.42600155
19-03-2020,47753875.855149634
20-03-2020,47840731.9018626
21-03-2020,47113155.2108681
22-03-2020,32731243.914804235
23-03-2020,44696210.311834104
24-03-2020,42486927.51955779
25-03-2020,32297612.832735095
26-03-2020,32459791.871218547
27-03-2020,33583762.42674701
28-03-2020,33946778.822494514
29-03-2020,34744970.19981063
30-03-2020,34714757.136973545
31-03-2020,34068556.237493426
01-04-2020,34122034.81541993
02-04-2020,33617911.84528321
03-04-2020,35045168.01368433
04-04-2020,34776031.81934787
05-04-2020,35115782.70000596
06-04-2020,35131252.11064755
07-04-2020,36697299.00418867
08-04-2020,37182092.81493508
09-04-2020,36590341.84833565
10-04-2020,37343499.90366879
11-04-2020,37411026.790991455
12-04-2020,38095236.85775649
13-04-2020,38118502.37284591
14-04-2020,36549168.27510138
15-04-2020,38165728.745824076
16-04-2020,34715529.08672329
17-04-2020,35927127.638714455
18-04-2020,35880673.21548603
19-04-2020,35614624.82014854
20-04-2020,36372491.180930525
21-04-2020,36142785.25512442
22-04-2020,36540723.01915786
23-04-2020,35639434.23473744
24-04-2020,36858056.94142668
25-04-2020,36311988.44830594
26-04-2020,35717073.075757146
27-04-2020,36668752.63910511
28-04-2020,36097102.78164573
29-04-2020,37033312.9343521
30-04-2020,36339885.66189381
01-05-2020,37551484.21388497
02-05-2020,37774165.98499301
03-05-2020,37750128.52015385
04-05-2020,40722558.5232063
05-05-2020,40413020.7053853
06-05-2020,42176939.95544555
07-05-2020,40552583.38027503
08-05-2020,42789763.386139214
09-05-2020,41596722.043788604
10-05-2020,41743431.67163046
11-05-2020,42446076.14978201
12-05-2020,42539956.351193056
13-05-2020,43214054.46426105
