Date,Mobility
15-02-2020,
16-02-2020,
17-02-2020,16584986.64666563
18-02-2020,17073226.87133286
19-02-2020,17051667.783538666
20-02-2020,16623650.17308977
21-02-2020,14914526.969830269
22-02-2020,16752356.05185313
23-02-2020,
24-02-2020,
25-02-2020,16060526.090707816
26-02-2020,16635618.559541024
27-02-2020,17152493.075912185
28-02-2020,17582449.838092122
29-02-2020,
01-03-2020,
02-03-2020,
03-03-2020,
04-03-2020,17283105.351393964
05-03-2020,16985732.77143947
06-03-2020,17086590.818825617
07-03-2020,
08-03-2020,
09-03-2020,
10-03-2020,13456906.596140902
11-03-2020,
12-03-2020,16972336.068934098
13-03-2020,15276747.380504865
14-03-2020,
15-03-2020,
16-03-2020,
17-03-2020,
18-03-2020,17155041.328358017
19-03-2020,16936934.952982847
20-03-2020,17287592.755570836
21-03-2020,
22-03-2020,
23-03-2020,
24-03-2020,
25-03-2020,13090500.368677437
26-03-2020,12845122.507627217
27-03-2020,12900923.227693925
28-03-2020,
29-03-2020,
30-03-2020,
31-03-2020,
01-04-2020,13558544.311579349
02-04-2020,13433611.6789658
03-04-2020,13786241.388297457
04-04-2020,
05-04-2020,
06-04-2020,
07-04-2020,14006286.915403666
08-04-2020,14127446.301867401
09-04-2020,13611253.18851068
10-04-2020,13597921.99603055
11-04-2020,13745638.710142273
12-04-2020,14450970.431105232
13-04-2020,14104629.4653566
14-04-2020,13850918.651680045
15-04-2020,14229529.342957525
16-04-2020,13239036.298128495
17-04-2020,13615707.83767493
18-04-2020,13562455.370054055
19-04-2020,13370329.976624712
20-04-2020,13618904.738122577
21-04-2020,13779985.399727056
22-04-2020,13952458.102080625
23-04-2020,13334181.94763378
24-04-2020,13152832.701964334
25-04-2020,13596697.002326567
26-04-2020,13875845.207259402
27-04-2020,13883358.944546409
28-04-2020,13899205.634459749
29-04-2020,14033014.810389176
30-04-2020,13502914.158850158
01-05-2020,12476168.027717922
02-05-2020,14206168.91575718
03-05-2020,
04-05-2020,14752797.660223976
05-05-2020,14501058.753291085
06-05-2020,14980494.736942085
07-05-2020,14294344.418665003
08-05-2020,15143514.550277606
09-05-2020,
10-05-2020,15175922.088131346
11-05-2020,
12-05-2020,15021097.415097268
13-05-2020,15236688.293039227
14-05-2020,15255731.883400217
15-05-2020,15596936.796970157
16-05-2020,15839799.16058717
17-05-2020,
18-05-2020,
19-05-2020,
20-05-2020,16102281.460267333
21-05-2020,16032573.202018328
22-05-2020,16319811.489940336
23-05-2020,
24-05-2020,
25-05-2020,14909358.16263896
26-05-2020,16215180.19640438
27-05-2020,15931715.154632187
28-05-2020,15880369.083729729
29-05-2020,16399759.097534096
30-05-2020,
31-05-2020,
01-06-2020,16480283.050830025
02-06-2020,16386395.150041342
03-06-2020,16595048.636398463
04-06-2020,16243133.08509387
05-06-2020,16224089.494732881
06-06-2020,
07-06-2020,
08-06-2020,16853181.34422665
09-06-2020,
10-06-2020,16947645.5907175
11-06-2020,16624226.518791938
12-06-2020,16811320.917354863
13-06-2020,
