Date,Mobility
15-02-2020,73312563.90306832
16-02-2020,73867584.73207705
17-02-2020,72866288.8974337
18-02-2020,72437463.09807019
19-02-2020,71900321.71403547
20-02-2020,73543543.1729
21-02-2020,66266902.77194235
22-02-2020,71479552.80103779
23-02-2020,73443284.4745946
24-02-2020,72262021.55539344
25-02-2020,71380629.5362719
26-02-2020,71447755.49427742
27-02-2020,72279470.76166457
28-02-2020,72881972.43146244
29-02-2020,73121008.58765993
01-03-2020,73510410.43260013
02-03-2020,73460733.68086572
03-03-2020,71189074.2208635
04-03-2020,72262021.55539344
05-03-2020,72534620.69059372
06-03-2020,71312168.14472686
07-03-2020,74434757.75062975
08-03-2020,80084156.74546401
09-03-2020,73943064.09516078
10-03-2020,53877871.04019465
11-03-2020,63080154.5938253
12-03-2020,71005011.83312756
13-03-2020,68194875.55555111
14-03-2020,69377904.14699467
15-03-2020,70885108.01760574
16-03-2020,71009537.3750086
17-03-2020,69794711.47680467
18-03-2020,69506428.80757566
19-03-2020,69935254.60693917
20-03-2020,68450025.48448025
21-03-2020,66544027.44902366
22-03-2020,50598283.29528241
23-03-2020,60174285.159824505
24-03-2020,54663099.66418896
25-03-2020,48943339.88557679
26-03-2020,49595088.068406165
27-03-2020,50155969.872835435
28-03-2020,50667605.16423321
29-03-2020,54649745.76109599
30-03-2020,52252187.79016092
31-03-2020,52020778.28162634
01-04-2020,51129993.94259947
02-04-2020,51278163.720396884
03-04-2020,52399927.32925544
04-04-2020,52423667.74965
05-04-2020,55597833.49952019
06-04-2020,53085668.72979046
07-04-2020,54821952.47800036
08-04-2020,55787919.66139856
09-04-2020,55011742.12116634
10-04-2020,55523377.412564114
11-04-2020,55489814.43356135
12-04-2020,59224861.987860814
13-04-2020,57157206.55152332
14-04-2020,55845223.06079589
15-04-2020,58312533.13938465
16-04-2020,56281675.50782231
17-04-2020,56611578.04241991
18-04-2020,56949537.46338331
19-04-2020,59339468.78665546
20-04-2020,56767804.706583135
21-04-2020,57089650.35481491
22-04-2020,57164833.19918626
23-04-2020,57346565.95598643
24-04-2020,57543982.24681535
25-04-2020,56536825.436751455
26-04-2020,58826067.82301531
27-04-2020,57947301.953541905
28-04-2020,57609342.5325785
29-04-2020,57461172.75478108
