Date,Mobility
15-02-2020,28678175.57146301
16-02-2020,28386798.527898822
17-02-2020,28630405.880901627
18-02-2020,28805368.74511567
19-02-2020,28568885.42397541
20-02-2020,28546433.871303596
21-02-2020,27082319.434775528
22-02-2020,27035152.22841897
23-02-2020,28329038.22025714
24-02-2020,28423000.846935473
25-02-2020,28520222.169347238
26-02-2020,28604194.178945273
27-02-2020,28366028.91651601
28-02-2020,28462461.86170556
29-02-2020,28450000.926114045
01-03-2020,28735935.87910469
02-03-2020,28803686.803826667
03-03-2020,28086324.431321114
04-03-2020,28969552.6150272
05-03-2020,28721396.735517636
06-03-2020,28698945.18284582
07-03-2020,29611251.65372601
08-03-2020,30368968.605068434
09-03-2020,29208692.147696074
10-03-2020,21819229.20155767
11-03-2020,26549016.979497537
12-03-2020,28480655.967732582
13-03-2020,27599109.725315504
14-03-2020,26453974.895735025
15-03-2020,28758387.431776505
16-03-2020,29356469.039714154
17-03-2020,29087543.548821785
18-03-2020,29274178.971405126
19-03-2020,29200197.578887388
20-03-2020,29083783.39953724
21-03-2020,28455729.940358702
22-03-2020,20725935.616165966
23-03-2020,27764474.082964934
24-03-2020,26315501.274228744
25-03-2020,21119870.8858709
26-03-2020,21060428.636940215
27-03-2020,20853023.602974057
28-03-2020,21054198.169144455
29-03-2020,21509864.269464746
30-03-2020,21297805.522147264
31-03-2020,21461989.392058793
01-04-2020,21569201.33155086
02-04-2020,20812272.75743065
03-04-2020,21646942.873353135
04-04-2020,21683933.569612004
05-04-2020,22155820.75480835
06-04-2020,21817357.21106042
07-04-2020,22086282.701952796
08-04-2020,22246706.422579784
09-04-2020,21760385.28064096
10-04-2020,21760385.28064096
11-04-2020,21744164.195764903
12-04-2020,22109627.818691395
13-04-2020,22380130.064028207
14-04-2020,22146513.3281057
15-04-2020,23083846.857013486
16-04-2020,20984474.22327151
17-04-2020,20783299.657101117
18-04-2020,21185648.789441906
19-04-2020,21153311.806534365
20-04-2020,21497007.06716669
21-04-2020,21386034.978390086
22-04-2020,21942577.36356212
