Date,Mobility
15-02-2020,63022864.177039124
16-02-2020,63196581.532728545
17-02-2020,62592470.81181506
18-02-2020,62315613.77079532
19-02-2020,63137424.235174276
20-02-2020,61954412.27902936
21-02-2020,56223664.04551243
22-02-2020,61033194.33380341
23-02-2020,62438934.48761074
24-02-2020,62155775.075170495
25-02-2020,61808452.243469104
26-02-2020,61907859.72431611
27-02-2020,60895994.95692341
28-02-2020,62562255.20442614
29-02-2020,63308481.8767391
01-03-2020,62746007.13601938
02-03-2020,62562255.20442614
03-03-2020,61824789.19079344
04-03-2020,63146184.89385452
05-03-2020,61464861.61625103
06-03-2020,63168824.212599374
07-03-2020,64482643.627016395
08-03-2020,64712948.11332287
09-03-2020,58505253.95986864
10-03-2020,41697452.49176033
11-03-2020,58575630.203362904
12-03-2020,62936061.43903314
13-03-2020,59588567.4611143
14-03-2020,59808837.37151697
15-03-2020,62769920.3719878
16-03-2020,62291790.08201432
17-03-2020,61439764.01024645
18-03-2020,61531684.74963676
19-03-2020,60633106.12315566
20-03-2020,60608008.51715109
21-03-2020,57665720.751264326
22-03-2020,42842560.67219478
23-03-2020,54605319.8171339
24-03-2020,52575399.79060545
25-03-2020,39671443.76408997
26-03-2020,39871532.64300755
27-03-2020,41069607.62925322
28-03-2020,41162712.738679715
29-03-2020,45233592.643301815
30-03-2020,41716426.82071918
31-03-2020,42062475.735197
01-04-2020,42015923.18048376
02-04-2020,41678634.924686186
03-04-2020,42569637.26252322
04-04-2020,42694142.3493748
05-04-2020,46856942.993387215
06-04-2020,42423677.226962976
07-04-2020,42852796.67496347
08-04-2020,43628054.58462917
09-04-2020,43098253.73855811
10-04-2020,44019471.68378407
11-04-2020,43451878.94168
12-04-2020,47714087.06653942
13-04-2020,43897424.88419222
14-04-2020,43474518.260424845
15-04-2020,44360402.59687754
16-04-2020,39768191.53081237
17-04-2020,40028711.62450778
18-04-2020,40168369.28864751
19-04-2020,42862540.27681501
20-04-2020,40099177.41518943
21-04-2020,40237561.16210559
22-04-2020,40329481.90149591
23-04-2020,39191838.13002807
24-04-2020,39852535.98155861
25-04-2020,39906664.82491593
26-04-2020,43154549.89512291
27-04-2020,40460378.9069554
28-04-2020,40290505.635426745
29-04-2020,40913411.5909243
30-04-2020,40598762.653871566
01-05-2020,40952387.85699347
02-05-2020,41238005.55669344
03-05-2020,44523682.522933416
04-05-2020,41975471.57032615
05-05-2020,41937679.67429315
06-05-2020,43245107.17010226
07-05-2020,43043833.921148516
08-05-2020,44765407.382044755
09-05-2020,43797636.88210556
10-05-2020,47806901.20191364
11-05-2020,44352535.3341812
12-05-2020,45434865.89225555
13-05-2020,45365674.018797465
14-05-2020,46203731.88331335
15-05-2020,47401806.86955903
16-05-2020,47733977.12397225
17-05-2020,51818825.23584635
18-05-2020,48516811.322282046
19-05-2020,49169932.885168515
20-05-2020,50184255.939820945
21-05-2020,49677094.412494734
22-05-2020,49453092.297608756
23-05-2020,49699733.731239565
24-05-2020,49259104.36324683
25-05-2020,44779286.04210935
26-05-2020,50006806.379648216
