Date,Mobility
15-02-2020,9069046.238759886
16-02-2020,8933090.546638453
17-02-2020,8879212.45128006
18-02-2020,8853128.397589553
19-02-2020,
20-02-2020,8966499.368524881
21-02-2020,6897086.991741365
22-02-2020,8903219.993200175
23-02-2020,8284197.03114253
24-02-2020,8904726.508978106
25-02-2020,9191368.27082459
26-02-2020,
27-02-2020,9829724.852863569
28-02-2020,9462957.890374623
29-02-2020,9340348.691066546
01-03-2020,9102782.648495577
02-03-2020,9975122.2455572
03-03-2020,
04-03-2020,
05-03-2020,8952300.050969975
06-03-2020,8150401.545835411
07-03-2020,8430243.776378263
08-03-2020,8947210.507643722
09-03-2020,7911320.31049794
10-03-2020,6512692.0587541815
11-03-2020,
12-03-2020,9192795.430052884
13-03-2020,8535724.321619494
14-03-2020,7973464.032332008
15-03-2020,8653977.025187338
16-03-2020,8871604.854335053
17-03-2020,8898338.260567658
18-03-2020,
19-03-2020,9060219.293280322
20-03-2020,8734226.34147961
21-03-2020,8654180.497386789
22-03-2020,6709983.407068311
23-03-2020,7107062.464843898
24-03-2020,6457802.425554965
25-03-2020,6612234.574421898
26-03-2020,6647556.856485155
27-03-2020,6402829.0973118255
28-03-2020,6601410.473721581
29-03-2020,6889359.617640831
30-03-2020,6748884.378185605
31-03-2020,6622122.155336746
01-04-2020,6840403.675520845
02-04-2020,6581838.784091335
03-04-2020,6755763.266038877
04-04-2020,6802925.5251375595
05-04-2020,7055185.8632005425
06-04-2020,6683166.305791784
07-04-2020,6751610.242498094
08-04-2020,6728539.220363449
09-04-2020,6659158.763871669
10-04-2020,6495979.026074809
11-04-2020,6585991.8076321175
12-04-2020,6879962.676168807
13-04-2020,6652567.043261771
14-04-2020,6474489.537773447
15-04-2020,7092867.485783279
16-04-2020,6717065.767121034
17-04-2020,6644755.974117314
18-04-2020,6517993.751268456
19-04-2020,6736071.799253102
20-04-2020,6795035.0994434655
21-04-2020,6674864.5972045055
22-04-2020,6877886.164398415
23-04-2020,6695784.089513407
24-04-2020,6575251.401975721
25-04-2020,6592667.223285939
26-04-2020,6900678.696278257
27-04-2020,6705388.841679167
28-04-2020,6652363.571062321
29-04-2020,6963953.733108677
30-04-2020,6897948.493471485
01-05-2020,6632301.241989252
02-05-2020,6716292.298929122
03-05-2020,6917524.521596014
04-05-2020,7130142.163967114
05-05-2020,7089080.986035507
06-05-2020,7710754.794350287
07-05-2020,7251244.847497258
08-05-2020,7542123.327928448
09-05-2020,7181090.922813568
10-05-2020,7195864.57485522
11-05-2020,7713114.134869766
12-05-2020,7552090.265392934
13-05-2020,
14-05-2020,8135552.875738408
15-05-2020,8013513.672422793
16-05-2020,8029789.50174809
17-05-2020,7901445.745065948
18-05-2020,8331408.387835674
19-05-2020,8070563.512436323
20-05-2020,
21-05-2020,8255802.734527006
22-05-2020,8077363.043739958
23-05-2020,7839955.7142682625
24-05-2020,7801624.739143428
25-05-2020,7429318.014491297
26-05-2020,8059169.415743544
27-05-2020,
28-05-2020,8141574.600355847
29-05-2020,8077442.400289595
30-05-2020,8074146.539984646
31-05-2020,8143734.807170161
01-06-2020,8117567.0584357325
02-06-2020,8210018.537062156
03-06-2020,
04-06-2020,8351550.073458381
05-06-2020,8168595.173831824
06-06-2020,8224995.661303258
07-06-2020,8099377.768933604
08-06-2020,8495728.117617456
09-06-2020,8420484.649607513
10-06-2020,
11-06-2020,8651949.611011408
12-06-2020,8507122.214310234
13-06-2020,8212947.873574095
14-06-2020,8378857.81417773
15-06-2020,8661267.195933795
16-06-2020,
17-06-2020,
18-06-2020,8867867.452181742
19-06-2020,8594409.131555054
20-06-2020,8625944.913870538
21-06-2020,8257675.774097948
22-06-2020,8729631.776090467
23-06-2020,
24-06-2020,
25-06-2020,8916739.699257806
26-06-2020,8646577.238936068
27-06-2020,8571333.770926123
28-06-2020,8526981.071183853
29-06-2020,8820784.549632696
30-06-2020,
01-07-2020,
02-07-2020,9197076.907737765
03-07-2020,8794051.143400092
04-07-2020,8864001.595884332
05-07-2020,
06-07-2020,9051392.347800758
07-07-2020,8414462.924990075
08-07-2020,
09-07-2020,9160248.109896576
10-07-2020,8941034.408421295
11-07-2020,8760231.038620481
12-07-2020,
13-07-2020,9053548.216120787
14-07-2020,
15-07-2020,
16-07-2020,8486119.026957411
17-07-2020,
18-07-2020,8544030.36870106
19-07-2020,
20-07-2020,9171072.210596895
21-07-2020,
22-07-2020,
23-07-2020,9149141.18044717
24-07-2020,9090094.185212886
25-07-2020,8656181.991101827
26-07-2020,8400426.659028731
27-07-2020,8894888.025657719
28-07-2020,
29-07-2020,
30-07-2020,9155732.90105707
31-07-2020,8968054.98189727
01-08-2020,8581791.347833432
02-08-2020,
03-08-2020,7908598.784679737
04-08-2020,
05-08-2020,
06-08-2020,9263448.671167968
07-08-2020,9041588.461929834
08-08-2020,8857489.231824072
09-08-2020,8831409.516627848
10-08-2020,9127368.863396723
11-08-2020,8887805.665604997
12-08-2020,
13-08-2020,8957884.572233336
14-08-2020,8904209.949074393
15-08-2020,8340805.3293077
16-08-2020,8866528.326491656
17-08-2020,
18-08-2020,
19-08-2020,
20-08-2020,
21-08-2020,
22-08-2020,
23-08-2020,
24-08-2020,
25-08-2020,
26-08-2020,
27-08-2020,
28-08-2020,
29-08-2020,
30-08-2020,
31-08-2020,
01-09-2020,
02-09-2020,
03-09-2020,
04-09-2020,
05-09-2020,
06-09-2020,
07-09-2020,
08-09-2020,
09-09-2020,
10-09-2020,
11-09-2020,8445844.33270057
12-09-2020,8496585.280853288
13-09-2020,8540738.846890396
14-09-2020,9121842.116716392
15-09-2020,8992274.673005408
16-09-2020,9388425.887984093
17-09-2020,8890788.438205682
18-09-2020,9131288.155782877
19-09-2020,9168845.6627158
20-09-2020,8886352.585915813
21-09-2020,9143901.601010215
22-09-2020,8889281.922427751
23-09-2020,9335162.547718335
24-09-2020,9035253.64960813
25-09-2020,9142523.539376382
26-09-2020,9127625.771684917
27-09-2020,9030451.27352525
28-09-2020,9191475.143002084
29-09-2020,9010101.77720881
30-09-2020,
01-10-2020,8862132.894807676
02-10-2020,7736022.10541085
03-10-2020,9204605.148133134
04-10-2020,8428503.529445704
05-10-2020,8931716.823498907
06-10-2020,
07-10-2020,
08-10-2020,9271026.0091578
09-10-2020,9121966.232366204
10-10-2020,8801420.670696188
11-10-2020,8773547.272478662
12-10-2020,9173564.343754757
13-10-2020,9316315.22868554
14-10-2020,
15-10-2020,9859003.828342779
16-10-2020,9500335.102241663
17-10-2020,9537892.609174587
18-10-2020,9049448.62866875
19-10-2020,9469810.857767003
20-10-2020,
21-10-2020,
22-10-2020,9812362.467642097
23-10-2020,9588346.390083933
24-10-2020,9360460.117734075
25-10-2020,9143402.284578823
26-10-2020,9340114.95991192
27-10-2020,
28-10-2020,
29-10-2020,9587127.041549377
30-10-2020,8692198.384807358
31-10-2020,9095020.676945578
01-11-2020,9155574.187957795
02-11-2020,9359245.107693803
03-11-2020,
04-11-2020,
05-11-2020,9402095.630152429
06-11-2020,9331005.185683267
07-11-2020,9283144.476448026
08-11-2020,9026086.100796446
09-11-2020,9338816.254827723
10-11-2020,
11-11-2020,
12-11-2020,
13-11-2020,
14-11-2020,9106326.74010015
15-11-2020,8552535.549487788
16-11-2020,8801694.822456703
17-11-2020,
18-11-2020,
19-11-2020,
20-11-2020,9643156.666733513
21-11-2020,9904080.898682501
22-11-2020,
23-11-2020,9458774.607878663
24-11-2020,
25-11-2020,
26-11-2020,9676119.608277293
27-11-2020,9472245.216341835
28-11-2020,9733739.444283282
29-11-2020,9122036.911927272
30-11-2020,8703870.971754938
01-12-2020,
02-12-2020,
03-12-2020,9878571.17947874
04-12-2020,9714821.445689421
05-12-2020,9656423.802997233
06-12-2020,9161878.74132432
07-12-2020,9305566.146040574
08-12-2020,9201799.927271007
09-12-2020,
10-12-2020,9698832.783607498
11-12-2020,9361445.735114006
12-12-2020,8393146.649932986
13-12-2020,9305694.600184672
14-12-2020,9565686.650842473
15-12-2020,9653543.564079754
16-12-2020,
17-12-2020,9844804.510787876
18-12-2020,9654970.72330805
19-12-2020,9661071.804475123
20-12-2020,9206730.757497985
21-12-2020,9546481.48500524
22-12-2020,
23-12-2020,
24-12-2020,10193585.655974144
25-12-2020,9394607.81036295
26-12-2020,10023239.863080638
27-12-2020,
28-12-2020,10075695.137705026
29-12-2020,
30-12-2020,
31-12-2020,10749532.714906536
