Date,Mobility
15-02-2020,29777670.702888966
16-02-2020,30279676.45852877
17-02-2020,30516702.460627068
18-02-2020,30501892.421929244
19-02-2020,30588064.333261076
20-02-2020,30842918.055131998
21-02-2020,27285583.331028894
22-02-2020,30073268.376912184
23-02-2020,28928528.80653669
24-02-2020,30669980.894962076
25-02-2020,30116271.992523175
26-02-2020,29631500.61914974
27-02-2020,29450028.60790156
28-02-2020,29526667.825069066
29-02-2020,27629512.95874012
01-03-2020,30180525.514561396
02-03-2020,30237506.005893994
03-03-2020,30233655.161842976
04-03-2020,30243187.8560073
05-03-2020,30159440.28824401
06-03-2020,26861454.461112622
07-03-2020,29981819.12104685
08-03-2020,32338620.45845437
09-03-2020,28947138.695742015
10-03-2020,20501055.46673877
11-03-2020,27472572.51228054
12-03-2020,28548185.721664123
13-03-2020,28354328.015286654
14-03-2020,28029703.601374045
15-03-2020,30165715.475863572
16-03-2020,30174843.66444809
17-03-2020,29485090.70994055
18-03-2020,29180958.184839066
19-03-2020,29191084.216509648
20-03-2020,28385539.273274623
21-03-2020,27062180.69261591
22-03-2020,17917809.65802686
23-03-2020,20991913.195805315
24-03-2020,17904186.29434154
25-03-2020,17947947.927568633
26-03-2020,17553792.647084303
27-03-2020,17747815.03357161
28-03-2020,17818179.063119553
29-03-2020,18776648.928653296
30-03-2020,18152929.50870274
31-03-2020,17966015.472811222
01-04-2020,17842521.7959817
02-04-2020,17743964.189520586
03-04-2020,18204632.65550184
04-04-2020,18475294.259156648
05-04-2020,19152143.326388784
06-04-2020,18549509.132755615
07-04-2020,19079708.465308588
08-04-2020,19165047.213664193
09-04-2020,18989850.390035573
10-04-2020,18978891.195388768
11-04-2020,19149404.011990145
12-04-2020,19958446.2872399
13-04-2020,19516198.87853753
14-04-2020,19103218.035194512
15-04-2020,19787693.645168558
16-04-2020,18394804.197938126
17-04-2020,18533272.59357531
18-04-2020,18533272.59357531
19-04-2020,19181928.083894268
20-04-2020,18724870.63649407
21-04-2020,18559041.82691994
22-04-2020,18885257.421424866
23-04-2020,18703785.410176683
24-04-2020,19006491.434795685
25-04-2020,18995532.24014888
26-04-2020,18800323.178649064
27-04-2020,19347517.06799844
28-04-2020,19390520.683609433
29-04-2020,19810609.877548233
30-04-2020,19271711.013807155
01-05-2020,19567308.687830374
02-05-2020,19766015.081344917
03-05-2020,20111131.384068657
04-05-2020,19962297.131290924
05-05-2020,20335367.185457867
06-05-2020,21055738.060447123
07-05-2020,20609879.633163694
08-05-2020,21132377.27761463
09-05-2020,20906310.470163133
10-05-2020,20836186.26608516
11-05-2020,21596896.587646905
12-05-2020,21290339.71897688
13-05-2020,21945030.571445443
14-05-2020,21457001.691527236
15-05-2020,21595470.08716442
16-05-2020,21874666.541897498
17-05-2020,22268228.48487557
18-05-2020,22262546.634762265
19-05-2020,22827214.731847968
20-05-2020,23526500.380519837
21-05-2020,23262113.964484595
22-05-2020,23174515.552670285
23-05-2020,23251154.76983779
24-05-2020,23888017.90253372
25-05-2020,21875259.879403755
26-05-2020,23238604.394598667
27-05-2020,23631333.174600516
28-05-2020,23279348.34675096
29-05-2020,23446010.319301315
30-05-2020,24293725.715171114
31-05-2020,24860224.818319105
01-06-2020,24527494.210724648
02-06-2020,24396134.165683247
03-06-2020,24409517.703898598
04-06-2020,24381324.12698542
05-06-2020,24419643.735569175
06-06-2020,24551836.943586797
07-06-2020,25237145.716537066
08-06-2020,24866928.663335085
09-06-2020,24445412.96891381
10-06-2020,24294558.878147334
11-06-2020,24713650.229000073
12-06-2020,24769204.219850194
13-06-2020,24476624.226901773
14-06-2020,25234721.372968532
15-06-2020,24794140.290218603
16-06-2020,24843419.093449153
17-06-2020,24441562.124862786
18-06-2020,24389858.978063688
19-06-2020,24873203.850954648
20-06-2020,25058526.70625385
21-06-2020,24188299.583584186
22-06-2020,25286020.014187817
23-06-2020,25188295.57070293
24-06-2020,24741843.805913243
25-06-2020,24745694.64996426
26-06-2020,24784014.258548018
27-06-2020,24679181.464467343
28-06-2020,25618750.62178228
29-06-2020,25126466.39223325
30-06-2020,24924742.317643903
01-07-2020,24784014.258548018
02-07-2020,24822333.867131766
03-07-2020,25316637.934669532
04-07-2020,25546555.586172048
05-07-2020,25660087.911440827
06-07-2020,25435447.604471806
07-07-2020,24986571.496113587
08-07-2020,24529160.536677092
09-07-2020,25048400.674583264
10-07-2020,25071910.244469196
11-07-2020,25124206.728774544
12-07-2020,25639002.68512344
13-07-2020,25584875.194755796
14-07-2020,25227448.3422629
15-07-2020,24414201.710925836
16-07-2020,24943567.880502585
17-07-2020,26079179.262293562
18-07-2020,20327665.497355826
19-07-2020,20286328.207697276
20-07-2020,26448991.809915744
21-07-2020,24577606.17693143
22-07-2020,26378034.442861542
23-07-2020,25127464.235319313
24-07-2020,25943135.210224915
25-07-2020,20805568.345603444
26-07-2020,20582759.044696715
27-07-2020,26445140.96586472
28-07-2020,25531745.54747422
29-07-2020,25715641.902290944
30-07-2020,25608384.76464173
31-07-2020,25755388.011357173
01-08-2020,23723375.7679721
02-08-2020,25775046.737192083
03-08-2020,22240652.397285268
04-08-2020,24792549.10962628
05-08-2020,23812047.168232605
06-08-2020,24052090.851405695
07-08-2020,25104787.828409605
08-08-2020,24194410.0910939
09-08-2020,25231703.69189373
10-08-2020,25875030.844135676
11-08-2020,24662780.2451772
12-08-2020,23072775.585024532
13-08-2020,24446246.131890025
14-08-2020,25202512.2718945
15-08-2020,20778396.763592947
16-08-2020,25750350.492293645
17-08-2020,25365916.737900086
18-08-2020,25049233.837559484
19-08-2020,23259929.446386024
20-08-2020,24212477.636336494
21-08-2020,25264341.45036418
22-08-2020,25100103.82138236
23-08-2020,25423301.734812494
24-08-2020,25338556.323963143
25-08-2020,25373025.088495873
26-08-2020,24547228.081919685
27-08-2020,24919464.973110404
28-08-2020,25319895.441214293
29-08-2020,25111063.016029168
30-08-2020,25423301.734812494
31-08-2020,25589559.201783042
01-09-2020,25753796.830764856
02-09-2020,24766186.538775396
03-09-2020,24755227.34412859
04-09-2020,25347255.855151244
05-09-2020,24967910.61336474
06-09-2020,25262914.949881695
07-09-2020,25359641.550280526
08-09-2020,25408920.353511084
09-09-2020,24683272.13398833
10-09-2020,24516610.161437973
11-09-2020,25108638.672460627
12-09-2020,24816058.67951221
13-09-2020,25413769.040648166
14-09-2020,25568473.975465655
15-09-2020,25700667.18348328
16-09-2020,25500534.28948625
17-09-2020,25200845.945942048
18-09-2020,26075328.41824254
19-09-2020,26207521.626260165
20-09-2020,26479016.3928912
21-09-2020,26170628.51815889
22-09-2020,26320056.10844288
23-09-2020,25621768.302857075
24-09-2020,25687448.32537777
25-09-2020,26258391.61008304
26-09-2020,26324071.632603742
27-09-2020,26919357.650171157
28-09-2020,26524204.526600767
29-09-2020,26765081.37275008
30-09-2020,25585708.357732024
01-10-2020,25553499.25665799
02-10-2020,24089361.62335987
03-10-2020,25978865.795130286
04-10-2020,26765156.518110212
05-10-2020,26028144.598360848
06-10-2020,26380129.426210403
07-10-2020,25863313.631872777
08-10-2020,26506212.126718305
09-10-2020,27066196.216776766
10-10-2020,27041853.483914617
11-10-2020,27755949.171284314
12-10-2020,27397689.15581519
13-10-2020,27579161.167063374
14-10-2020,27100664.9813095
15-10-2020,27340708.664482597
16-10-2020,28430892.08709403
17-10-2020,27102256.161901817
18-10-2020,27666924.258987527
19-10-2020,27312515.087569427
20-10-2020,27087281.443094153
21-10-2020,27024025.764142
22-10-2020,27004367.03830709
23-10-2020,26904218.251253653
24-10-2020,26556084.267455116
25-10-2020,26394106.301932007
26-10-2020,27167606.824202843
27-10-2020,27543101.221938323
28-10-2020,27618313.938623354
29-10-2020,27298373.531737987
30-10-2020,27245837.22196266
31-10-2020,27425882.732728366
01-11-2020,28658625.220497977
02-11-2020,28322043.768852495
03-11-2020,28524601.006418064
04-11-2020,27084023.93654939
05-11-2020,26806493.807768766
06-11-2020,27339117.483890276
07-11-2020,28195532.41094818
08-11-2020,28431131.912564002
09-11-2020,28141404.92058054
10-11-2020,28284557.323244974
11-11-2020,29026013.42455161
12-11-2020,29470040.845772754
13-11-2020,28562516.109422006
14-11-2020,23570714.822959956
15-11-2020,23782451.24265356
16-11-2020,23372083.574805535
17-11-2020,26233554.836891375
18-11-2020,26742240.285730544
19-11-2020,27438268.42785765
20-11-2020,27476588.0364414
21-11-2020,27758208.83474301
