Date,Mobility
15-02-2020,13804686.23420435
16-02-2020,13636141.78309724
17-02-2020,13969104.066258913
18-02-2020,14060447.30628923
19-02-2020,14457944.37576591
20-02-2020,14190273.61079103
21-02-2020,11775991.088384919
22-02-2020,14100405.974952443
23-02-2020,13167242.948369995
24-02-2020,13921846.113944361
25-02-2020,13877760.8262286
26-02-2020,14338838.727566533
27-02-2020,13664139.27340012
28-02-2020,13960564.26054967
29-02-2020,13702622.33787161
01-03-2020,13834159.328698957
02-03-2020,14069941.066452228
03-03-2020,14208542.258797092
04-03-2020,14466719.263608975
05-03-2020,13854373.745164383
06-03-2020,12926577.85969239
07-03-2020,13570615.182776622
08-03-2020,14386110.305799568
09-03-2020,14039344.046758858
10-03-2020,10879454.70283678
11-03-2020,14391515.306461873
12-03-2020,14334006.862112531
13-03-2020,13802989.173797283
14-03-2020,12853541.12721999
15-03-2020,13671452.182969937
16-03-2020,13791549.645174922
17-03-2020,13877055.579827141
18-03-2020,13978362.744288096
19-03-2020,13376737.88214593
20-03-2020,12998698.497262884
21-03-2020,12006119.117423585
22-03-2020,8837468.511576924
23-03-2020,9725084.272170363
24-03-2020,9207254.658354877
25-03-2020,9105190.762022136
26-03-2020,8982677.36709015
27-03-2020,9209684.217000358
28-03-2020,8950266.69013057
29-03-2020,9269322.02647255
30-03-2020,9272038.152722182
31-03-2020,9328306.075013615
01-04-2020,9277391.667914158
02-04-2020,9045031.302811975
03-04-2020,9345347.826880254
04-04-2020,9217702.372971632
05-04-2020,9404985.636352444
06-04-2020,9251823.736256756
07-04-2020,9624260.89789553
08-04-2020,9666635.499285746
09-04-2020,9569938.74406346
10-04-2020,9410888.053119348
11-04-2020,9352660.73645007
12-04-2020,9671716.072792048
13-04-2020,9593809.615313796
14-04-2020,9536574.112650126
15-04-2020,10043683.070163185
16-04-2020,9794999.825514305
17-04-2020,9800837.130892394
18-04-2020,9541419.604022607
19-04-2020,9745025.746950118
20-04-2020,9839085.113230066
21-04-2020,9895353.0355215
22-04-2020,10011037.311069788
23-04-2020,9873911.722916646
24-04-2020,9934554.972312927
25-04-2020,9598171.316500159
26-04-2020,9772788.15511918
27-04-2020,9954534.306644535
28-04-2020,9979867.156168114
29-04-2020,10197615.328049142
30-04-2020,9983758.693086842
01-05-2020,9930898.51752802
02-05-2020,9933079.368121201
03-05-2020,10098202.446577223
04-05-2020,10766359.34896409
05-05-2020,10850154.59729077
06-05-2020,11424735.923583807
07-05-2020,10961477.17165269
08-05-2020,11375532.202809893
09-05-2020,10601941.516909525
10-05-2020,11136799.256673167
11-05-2020,11402575.738659017
12-05-2020,11491973.210229967
13-05-2020,11881922.288003013
14-05-2020,11613024.626888707
15-05-2020,11657344.996738287
16-05-2020,10898601.586192895
17-05-2020,11584975.651115492
18-05-2020,11666119.884581352
19-05-2020,11845149.909857068
20-05-2020,12200272.377943534
21-05-2020,12021007.270533998
22-05-2020,11880695.391863586
23-05-2020,11006502.787903726
24-05-2020,11919883.702736532
25-05-2020,11281773.030052576
26-05-2020,12062662.999604277
27-05-2020,12511074.476180423
28-05-2020,12128908.47224483
29-05-2020,12191497.490100471
30-05-2020,11416431.200008381
31-05-2020,12291329.050369697
01-06-2020,11992017.966225507
02-06-2020,12232918.137036934
03-06-2020,12608255.021588827
04-06-2020,12266282.76845027
05-06-2020,12414612.803091954
06-06-2020,11580849.032062946
07-06-2020,12366114.328719495
08-06-2020,12463581.44173205
09-06-2020,12558097.346361155
10-06-2020,13161667.976962684
11-06-2020,12710083.835787749
12-06-2020,12781447.741486456
13-06-2020,11433745.893560689
14-06-2020,12694466.202642506
15-06-2020,12718858.723630812
16-06-2020,12890340.757202895
17-06-2020,13159722.20850332
18-06-2020,12665998.548071988
19-06-2020,12615084.140972527
20-06-2020,11909435.98811978
21-06-2020,12232396.487298965
22-06-2020,12804599.740416853
23-06-2020,12532280.706651457
24-06-2020,13066433.200013643
25-06-2020,12645784.13160656
26-06-2020,12773899.74978282
27-06-2020,11643946.07373808
28-06-2020,12666703.794473445
29-06-2020,12817266.165178645
30-06-2020,12955867.35752351
01-07-2020,13351418.65854083
02-07-2020,12843082.804888343
03-07-2020,12920048.933831323
04-07-2020,11929415.322451385
05-07-2020,12908087.75547099
06-07-2020,12928823.821674382
07-07-2020,12152295.553309048
08-07-2020,13186765.744352445
09-07-2020,12808491.277335582
10-07-2020,12923940.470750049
11-07-2020,11899472.063689139
12-07-2020,12911744.210255897
13-07-2020,13040381.478170125
14-07-2020,13012619.07000106
15-07-2020,13411826.82580329
16-07-2020,12206147.54287348
17-07-2020,12843317.887022162
18-07-2020,9943800.024423627
19-07-2020,10114525.326123921
20-07-2020,13047929.46987376
21-07-2020,12934426.044918656
22-07-2020,13415718.36272202
23-07-2020,12797770.621033156
24-07-2020,12998960.831233663
25-07-2020,10073626.32892543
26-07-2020,10280888.92663785
27-07-2020,12940028.26816293
28-07-2020,12810201.963661125
29-07-2020,13000906.599693026
30-07-2020,12899834.517365895
31-07-2020,13033552.358786426
01-08-2020,11701938.308273539
02-08-2020,13046453.865682034
03-08-2020,11367068.116204353
04-08-2020,12826041.053021707
05-08-2020,12728338.85787533
06-08-2020,12443118.317214325
07-08-2020,12713726.664654179
08-08-2020,11406218.567525445
09-08-2020,12127903.032320743
10-08-2020,12802889.054091308
11-08-2020,12612419.500193227
12-08-2020,12248757.226397514
13-08-2020,12481601.381685816
14-08-2020,12523740.900942214
15-08-2020,11449114.818653634
16-08-2020,12634293.117513863
17-08-2020,12808726.359469399
18-08-2020,12759038.848509366
19-08-2020,12959002.16257045
20-08-2020,12682791.591886325
21-08-2020,12816509.433306856
22-08-2020,11909435.98811978
23-08-2020,12853516.893586617
24-08-2020,12865478.071946952
25-08-2020,12726158.007282149
26-08-2020,12854273.625458408
27-08-2020,12788747.025137791
28-08-2020,12706897.545270478
29-08-2020,12163721.45601293
30-08-2020,12891999.958058108
31-08-2020,12859875.848702678
01-09-2020,13038670.79184458
02-09-2020,13198440.355108628
03-09-2020,12852811.647185162
04-09-2020,12919057.119825713
05-09-2020,12337397.966096677
06-09-2020,12970676.77332663
07-09-2020,12867188.758272497
08-09-2020,12981919.07936703
09-09-2020,13194783.90032372
10-09-2020,12676719.204374414
11-09-2020,12948046.424134204
12-09-2020,12043910.561412096
13-09-2020,13350661.926669043
14-09-2020,13106862.032944495
15-09-2020,13155830.671584591
16-09-2020,13372351.947326193
17-09-2020,12805083.530602973
18-09-2020,13253730.089312935
19-09-2020,12618975.677891254
20-09-2020,13501186.437822387
21-09-2020,13152658.006985802
22-09-2020,13219895.293631963
23-09-2020,13584511.521881428
24-09-2020,13177012.668422256
25-09-2020,13489760.535118505
26-09-2020,12869383.23478416
27-09-2020,13934280.474775922
28-09-2020,13555052.053305302
29-09-2020,13525343.876676874
30-09-2020,13657102.323719563
01-10-2020,13327312.705156676
02-10-2020,13240904.30152103
03-10-2020,13569688.480159827
04-10-2020,13912614.687752143
05-10-2020,13354356.241005803
06-10-2020,13458365.905797906
07-10-2020,13934539.790543113
08-10-2020,13620329.945573619
09-10-2020,13977163.099985627
10-10-2020,13336101.21891822
11-10-2020,14677444.111727925
12-10-2020,14119185.664981585
13-10-2020,14067552.385562187
14-10-2020,14519855.399057059
15-10-2020,14196151.793924563
16-10-2020,14447029.515085107
17-10-2020,13523868.272485148
18-10-2020,14482091.206905507
19-10-2020,14124787.888225855
20-10-2020,14255841.088867087
21-10-2020,14640187.943395862
22-10-2020,14248528.17929727
23-10-2020,14449718.389497781
24-10-2020,13287640.604097612
25-10-2020,14511823.617167305
26-10-2020,14467033.083050089
27-10-2020,14669933.979576139
28-10-2020,14809724.208508583
29-10-2020,14451429.075823326
30-10-2020,14242220.709651541
31-10-2020,13955994.729066448
01-11-2020,15102976.531059342
02-11-2020,14451429.075823326
03-11-2020,14785383.172990609
04-11-2020,14453609.926416507
05-11-2020,14217828.188663235
06-11-2020,14296740.08606558
07-11-2020,13994947.957805574
08-11-2020,14903967.171452014
09-11-2020,14482364.148591178
10-11-2020,14801706.052537307
11-11-2020,15343406.53760313
12-11-2020,15211164.300374327
13-11-2020,15363907.521672709
14-11-2020,13282808.73864361
15-11-2020,13080613.088519013
16-11-2020,14020135.070217522
17-11-2020,15047019.410005432
18-11-2020,15380935.647620864
19-11-2020,14951511.691370718
20-11-2020,15103498.180797312
21-11-2020,14363258.5003918
22-11-2020,15124182.761530375
23-11-2020,14748610.794844665
24-11-2020,14617830.535889106
25-11-2020,14918617.22422502
26-11-2020,14468978.85150945
27-11-2020,14643125.525860835
28-11-2020,14209326.242505843
29-11-2020,15111751.418902405
30-11-2020,14231772.995034786
01-12-2020,14863341.115939198
02-12-2020,15327083.65805643
03-12-2020,14871843.062096586
04-12-2020,14932486.311492868
05-12-2020,14222946.621721392
06-12-2020,14779024.217874546
07-12-2020,14704760.589262722
08-12-2020,14237088.650674906
09-12-2020,15082043.242273979
10-12-2020,14966842.756911812
11-12-2020,15000207.388325144
12-12-2020,13778440.307982454
13-12-2020,15227449.320369173
14-12-2020,15170227.443623982
15-12-2020,15290559.987962784
16-12-2020,15578445.169403095
17-12-2020,14968045.419417864
18-12-2020,15138300.55685052
19-12-2020,14635318.218390007
20-12-2020,15372371.608278247
21-12-2020,15344139.035841547
22-12-2020,15371182.571690673
23-12-2020,15929441.018437013
24-12-2020,15632780.949153643
25-12-2020,16276126.6517549
26-12-2020,15997683.745007262
27-12-2020,16324522.155186696
28-12-2020,15798909.46753375
29-12-2020,15769201.290905328
