Date,Mobility
15-02-2020,57423812.686810054
16-02-2020,56493049.24068007
17-02-2020,56601854.31183004
18-02-2020,56223857.38573987
19-02-2020,57386459.84326523
20-02-2020,59996386.86614535
21-02-2020,54887940.6591227
22-02-2020,56354981.79837832
23-02-2020,56798292.55537128
24-02-2020,56827554.926523045
25-02-2020,56514871.83133567
26-02-2020,57626543.268117696
27-02-2020,60621906.997584134
28-02-2020,57932437.27470581
29-02-2020,58347136.3524439
01-03-2020,57496566.29820901
02-03-2020,56943953.71923323
03-03-2020,55743844.47709898
04-03-2020,56717448.47157925
05-03-2020,61131182.2773768
06-03-2020,58455941.423593886
07-03-2020,58493294.26713871
08-03-2020,59839064.6731349
09-03-2020,50091372.91432646
10-03-2020,55645697.71828897
11-03-2020,57496069.547376156
12-03-2020,60251503.79305418
13-03-2020,57831225.92511604
14-03-2020,57336830.206315696
15-03-2020,56151600.525173776
16-03-2020,57243058.63722209
17-03-2020,56429190.73463512
18-03-2020,57402794.7291154
19-03-2020,59714918.21780047
20-03-2020,57331342.501510255
21-03-2020,55956463.66542634
22-03-2020,44772954.42934759
23-03-2020,53297403.756429546
24-03-2020,43146827.89009557
25-03-2020,42186802.072813794
26-03-2020,43379163.65232378
27-03-2020,42616380.7115442
28-03-2020,43008606.506729774
29-03-2020,44912169.3143791
30-03-2020,42623820.49204035
31-03-2020,42797939.394093126
01-04-2020,43051600.99614409
02-04-2020,44643782.092399865
03-04-2020,43983015.134171
04-04-2020,45160497.152688675
05-04-2020,46649360.882599905
06-04-2020,45489018.38289335
07-04-2020,47278750.23777941
08-04-2020,45816238.22930424
09-04-2020,48644580.02744526
10-04-2020,46871490.940537475
11-04-2020,48172657.59119743
12-04-2020,49181508.412467785
13-04-2020,47453365.89066503
14-04-2020,46762685.8693875
15-04-2020,47619394.32032475
16-04-2020,48652019.807941414
17-04-2020,46747652.36733113
18-04-2020,47736135.92280373
19-04-2020,48730757.87497867
20-04-2020,46536831.31363044
21-04-2020,45503555.13411686
22-04-2020,47677268.370731376
23-04-2020,48949823.34213647
24-04-2020,48048972.95905515
25-04-2020,48354216.27374636
26-04-2020,49224999.65271496
27-04-2020,48020361.27980028
28-04-2020,48485494.62744886
29-04-2020,49204289.57714839
30-04-2020,51283923.3625412
01-05-2020,48056566.68061535
02-05-2020,50193423.82451789
03-05-2020,51566042.702782996
04-05-2020,51255619.56541443
05-05-2020,51873699.91635706
06-05-2020,53050685.18404188
07-05-2020,52541906.65508208
08-05-2020,52091960.75055391
09-05-2020,53283671.638166994
10-05-2020,51216503.514883645
11-05-2020,53749609.61877652
12-05-2020,51677107.73175178
13-05-2020,53428682.110132046
14-05-2020,55551807.13577203
15-05-2020,54847548.93729599
16-05-2020,54090596.51109066
17-05-2020,56067066.87120298
18-05-2020,54571567.99375654
19-05-2020,54353307.15955969
20-05-2020,42172419.262654334
21-05-2020,54176431.54885526
22-05-2020,55603696.73054037
23-05-2020,55341790.715032294
24-05-2020,55630545.20280929
25-05-2020,52739954.16454522
26-05-2020,53713558.1590255
27-05-2020,52606569.794087976
28-05-2020,56227761.537121296
29-05-2020,54948914.22794981
30-05-2020,55392071.04387872
31-05-2020,56146609.57120119
01-06-2020,53582279.805323
02-06-2020,55188997.65280227
03-06-2020,55741113.48094521
04-06-2020,56693391.63560272
05-06-2020,55858009.02448824
06-06-2020,56955948.34300771
07-06-2020,56357430.62490188
08-06-2020,57545570.955759525
09-06-2020,56556282.76732598
10-06-2020,57319219.64916961
11-06-2020,59849603.97205152
12-06-2020,56723458.63971544
13-06-2020,56490814.99535914
14-06-2020,58350235.87086437
15-06-2020,56055097.959926374
16-06-2020,58076668.82620779
17-06-2020,56417564.633127324
18-06-2020,59835375.10295612
19-06-2020,58061635.32415143
20-06-2020,58672121.95353386
21-06-2020,58052432.33666933
22-06-2020,58331631.81205258
23-06-2020,57750407.55382193
24-06-2020,58475837.65105667
25-06-2020,60016933.78550505
26-06-2020,58585293.414103545
27-06-2020,56905017.32226437
28-06-2020,58161391.348883346
29-06-2020,58003915.214808844
30-06-2020,58382066.081963055
01-07-2020,58003418.46397598
02-07-2020,60700327.96735046
03-07-2020,59421634.59924303
04-07-2020,59864791.415171936
05-07-2020,59186730.997067906
06-07-2020,57960423.97456166
07-07-2020,58832816.61945217
08-07-2020,57755090.62566641
09-07-2020,59950969.26270535
10-07-2020,58897976.50929091
11-07-2020,57763027.15699543
12-07-2020,57325050.16374386
13-07-2020,56040218.39893408
14-07-2020,57567393.546415135
15-07-2020,58679064.98319715
16-07-2020,60656682.78603924
17-07-2020,59065152.381680384
18-07-2020,58723052.97427719
19-07-2020,57615910.668275625
20-07-2020,57909339.01275429
21-07-2020,54411027.26890228
22-07-2020,58970079.42879295
23-07-2020,46273623.91432855
24-07-2020,59741757.47492656
25-07-2020,46092065.23177962
26-07-2020,59113823.44460491
27-07-2020,52898885.62347757
28-07-2020,53255213.89997618
29-07-2020,45008508.72341961
30-07-2020,60504386.47464208
31-07-2020,58112566.344894774
01-08-2020,57051175.23695918
02-08-2020,58139414.81716368
03-08-2020,58302369.4409008
04-08-2020,53778067.35696734
05-08-2020,43167195.155893326
06-08-2020,59804657.406946495
07-08-2020,57892353.4350072
08-08-2020,45893520.97148362
09-08-2020,59890184.56258299
10-08-2020,58329525.79529782
11-08-2020,55529641.735347606
12-08-2020,57251799.80151205
13-08-2020,59811446.49554575
14-08-2020,57797777.23295263
15-08-2020,55398209.44058106
16-08-2020,58348780.54600653
17-08-2020,57231432.5357143
18-08-2020,55187542.32794441
19-08-2020,58270350.361097366
20-08-2020,46024645.384122066
21-08-2020,44942390.259555876
22-08-2020,57550750.77843687
23-08-2020,58791937.36193544
24-08-2020,58474879.07703167
25-08-2020,56816579.516912155
26-08-2020,56619336.64040997
27-08-2020,47602751.552346475
28-08-2020,59914267.111057416
29-08-2020,58546828.05546966
30-08-2020,61635466.60319687
31-08-2020,45357243.278358005
01-09-2020,55290209.002392046
02-09-2020,59390112.27027245
03-09-2020,
04-09-2020,58227355.871683046
05-09-2020,58830402.72056931
