Date,Mobility
15-02-2020,55908835.06795681
16-02-2020,54990597.54634952
17-02-2020,55025237.782508194
18-02-2020,55090216.634468995
19-02-2020,56197939.45654717
20-02-2020,56190565.484604865
21-02-2020,52661478.31794906
22-02-2020,53993326.67665679
23-02-2020,55860983.0637064
24-02-2020,54848964.25012905
25-02-2020,54290647.765222356
26-02-2020,56135339.50841213
27-02-2020,56956336.845725715
28-02-2020,56320523.18852649
29-02-2020,57409196.44636351
01-03-2020,55875037.559831016
02-03-2020,54891821.18626291
03-03-2020,55104271.13059361
04-03-2020,56261382.1327151
05-03-2020,57528707.82675703
06-03-2020,55661744.88746743
07-03-2020,57034527.46577826
08-03-2020,59924798.270206206
09-03-2020,50407933.54531036
10-03-2020,52871312.097988985
11-03-2020,56411232.12891077
12-03-2020,56198782.18458006
13-03-2020,54536895.21767885
14-03-2020,53043907.81121448
15-03-2020,53171486.61131033
16-03-2020,53400369.95559143
17-03-2020,52686365.678339645
18-03-2020,54226362.361021556
19-03-2020,54213150.59292981
20-03-2020,52870706.63042112
21-03-2020,51756689.82489851
22-03-2020,40832639.545998186
23-03-2020,48127983.570123225
24-03-2020,39183727.08672371
25-03-2020,38873194.23006641
26-03-2020,38618730.07763472
27-03-2020,38491844.725298874
28-03-2020,38736556.00196248
29-03-2020,40592923.33745112
30-03-2020,38640851.99346167
31-03-2020,38668118.257678024
01-04-2020,39812860.219740644
02-04-2020,39918317.104009554
03-04-2020,39820234.19168296
04-04-2020,40828337.92564165
05-04-2020,42366798.43253067
06-04-2020,40740850.61711602
07-04-2020,43099228.47282074
08-04-2020,43324890.18524319
09-04-2020,43897261.16627449
10-04-2020,42830709.82426442
11-04-2020,43584349.405791424
12-04-2020,45122809.91268045
13-04-2020,43693721.369679
14-04-2020,42605048.11184198
15-04-2020,45227186.80845146
16-04-2020,43330727.9813926
17-04-2020,42744302.504236676
18-04-2020,42727175.65652628
19-04-2020,43438801.029952295
20-04-2020,42270014.43553196
21-04-2020,42503892.847929604
22-04-2020,43761465.66620344
23-04-2020,42835011.44462095
24-04-2020,42857133.360447906
25-04-2020,42416642.79986898
26-04-2020,43283113.2376072
27-04-2020,43034943.06861994
28-04-2020,42489838.35180498
29-04-2020,44348584.591119386
30-04-2020,43923684.70245797
01-05-2020,41528743.89406382
02-05-2020,43065668.22515995
03-05-2020,44732550.2601777
04-05-2020,43776213.61008807
05-05-2020,43768839.63814576
06-05-2020,45669600.08556115
