Date,Mobility
15-02-2020,28327404.703915782
16-02-2020,28338392.290260516
17-02-2020,28604036.708202723
18-02-2020,28311507.31739737
19-02-2020,28713873.629114572
20-02-2020,28362526.093049407
21-02-2020,27955249.981158525
22-02-2020,28007851.94088744
23-02-2020,28354289.676778927
24-02-2020,27934719.593186107
25-02-2020,26614872.31910537
26-02-2020,28227387.383351296
27-02-2020,28837886.35310811
28-02-2020,29267137.637688454
29-02-2020,28887023.297380395
01-03-2020,28672397.655090217
02-03-2020,28677169.055904064
03-03-2020,28437103.22546779
04-03-2020,29909569.77984193
05-03-2020,29507203.46812473
06-03-2020,29690034.337378073
07-03-2020,28656500.268571805
08-03-2020,30087490.848921593
09-03-2020,25870286.07487118
10-03-2020,21258929.55679084
11-03-2020,28298936.546975754
12-03-2020,28550128.3631166
13-03-2020,28728187.8315561
14-03-2020,27867803.431015655
15-03-2020,28276385.928263746
16-03-2020,28430748.640577067
17-03-2020,28045724.50009532
18-03-2020,28762733.774667177
19-03-2020,27722845.120970182
20-03-2020,26298070.726151284
21-03-2020,25619210.80950698
22-03-2020,18253274.622819804
23-03-2020,22756676.051368047
24-03-2020,17901650.28803496
25-03-2020,17354464.065632127
26-03-2020,17228868.15756171
27-03-2020,17244765.54408012
28-03-2020,17313126.490967616
29-03-2020,18614164.960512653
30-03-2020,17161951.995391257
31-03-2020,17161951.995391257
01-04-2020,17516626.147553217
02-04-2020,17589758.495254558
03-04-2020,17788486.751026317
04-04-2020,17778943.94939863
05-04-2020,19100651.206275925
06-04-2020,17486276.159233436
07-04-2020,16895001.192091838
08-04-2020,17057163.274012927
09-04-2020,16812187.643402975
10-04-2020,16942554.95228724
11-04-2020,17131740.406431314
12-04-2020,18897151.54969032
13-04-2020,17424269.79723667
14-04-2020,16885319.991104316
15-04-2020,17267017.515489258
16-04-2020,16869561.003945738
17-04-2020,17047620.472385243
18-04-2020,16770988.468098301
19-04-2020,18073333.323000547
20-04-2020,16834439.614812113
21-04-2020,16076092.765575742
22-04-2020,16681958.733878547
23-04-2020,16729512.49407395
24-04-2020,16986920.495745678
25-04-2020,16777204.65362919
26-04-2020,18308627.752622973
27-04-2020,17033167.870583877
28-04-2020,16595680.169733047
29-04-2020,17476871.75696559
30-04-2020,17351275.84889517
01-05-2020,16661151.547186453
02-05-2020,17392751.822919518
03-05-2020,18672983.10577246
04-05-2020,17596251.47950512
05-05-2020,17559685.30565445
06-05-2020,18373960.73071654
07-05-2020,17820419.92342298
08-05-2020,18243455.022472437
09-05-2020,18386393.101778317
10-05-2020,19603173.23791745
11-05-2020,18761736.04127254
12-05-2020,18599573.959351446
13-05-2020,19059175.232251573
14-05-2020,18908000.736675218
15-05-2020,19331035.835724674
16-05-2020,19226247.114346348
17-05-2020,20251821.56560181
18-05-2020,19383499.396093756
19-05-2020,18986042.884550236
20-05-2020,19186215.925039038
21-05-2020,19289698.26106016
22-05-2020,20041828.924765643
23-05-2020,20146756.045503806
24-05-2020,20496797.196211766
25-05-2020,18990814.28536408
26-05-2020,19784420.92309391
27-05-2020,20385515.490582876
28-05-2020,20698713.668720488
29-05-2020,20604912.53368689
30-05-2020,20956260.069752052
31-05-2020,21589149.410277843
01-06-2020,21174212.328139026
02-06-2020,21231447.28932195
03-06-2020,21889776.817993842
04-06-2020,21288682.25050488
05-06-2020,20954815.28503501
06-06-2020,21441301.530798282
07-06-2020,21891360.00207072
08-06-2020,21644801.187383886
09-06-2020,21466741.718944382
10-06-2020,22223782.18282355
11-06-2020,21921433.191670828
12-06-2020,21764180.90992342
13-06-2020,21342590.595591005
14-06-2020,21657510.357165337
15-06-2020,21768952.310737263
16-06-2020,21288682.25050488
17-06-2020,22029825.32786563
18-06-2020,21215549.90280354
19-06-2020,21570224.0549655
20-06-2020,21524115.07948715
21-06-2020,21099198.149057936
22-06-2020,21252116.07665421
23-06-2020,21256887.477468055
24-06-2020,21810428.284761615
25-06-2020,21178983.72895287
26-06-2020,20776755.816595506
27-06-2020,21121748.767769944
28-06-2020,21985161.13710432
29-06-2020,21716488.75036818
30-06-2020,21746838.738687962
01-07-2020,21924898.207127467
02-07-2020,22002801.955642648
03-07-2020,21789621.09806952
04-07-2020,21889776.817993842
05-07-2020,22287371.7288972
06-07-2020,22055265.51601173
07-07-2020,21694375.17831888
08-07-2020,22265119.75748806
09-07-2020,21252116.07665421
10-07-2020,20787743.40294024
11-07-2020,20011478.936445862
12-07-2020,21422077.528183073
13-07-2020,21131291.569397632
14-07-2020,20682816.282202072
15-07-2020,22040812.914210357
16-07-2020,19262674.88883718
17-07-2020,19278572.275355592
18-07-2020,18965374.09721798
19-07-2020,20184905.40343136
20-07-2020,18324248.340421714
21-07-2020,18605790.144882336
22-07-2020,19523547.905965544
23-07-2020,16325125.951617153
24-07-2020,20035474.339874916
25-07-2020,16565330.181413265
26-07-2020,20655494.26267622
27-07-2020,18788621.01413568
28-07-2020,18818971.00245546
29-07-2020,16417620.701293543
30-07-2020,20574424.14600727
31-07-2020,21539735.667285886
01-08-2020,21091260.380090326
02-08-2020,22263237.926108304
03-08-2020,21026364.44865947
04-08-2020,21314122.43865098
05-08-2020,16414869.531219292
06-08-2020,21666045.420738693
07-08-2020,22152531.66650196
08-08-2020,16860018.202318054
09-08-2020,23265254.020597424
10-08-2020,22629336.71127771
11-08-2020,22013789.541987382
12-08-2020,22354149.491707813
13-08-2020,22489288.20140592
14-08-2020,22801179.99418633
15-08-2020,20476288.656822544
16-08-2020,23170008.100846786
17-08-2020,22478300.615061194
18-08-2020,22514866.788911857
19-08-2020,23605774.218260888
20-08-2020,16686730.134692393
21-08-2020,16772294.853455506
22-08-2020,22683245.05636384
23-08-2020,23980818.51045224
24-08-2020,22587999.136613198
25-08-2020,22505185.58792433
26-08-2020,23313244.827455536
27-08-2020,16912343.363327295
28-08-2020,23241418.865111403
29-08-2020,22626010.095180914
30-08-2020,23834553.815049563
31-08-2020,16468639.47694558
01-09-2020,22524409.590539545
02-09-2020,23522960.66957203
03-09-2020,22886744.712949444
04-09-2020,23607080.603618097
05-09-2020,23200081.290446892
06-09-2020,24623112.253245875
07-09-2020,16506512.036153458
08-09-2020,23260642.867726617
09-09-2020,23742357.712676045
10-09-2020,23777479.10180967
11-09-2020,17010915.899174735
12-09-2020,22974329.66245215
13-09-2020,25092256.32777369
14-09-2020,23090244.369535044
15-09-2020,22412690.838247944
16-09-2020,23535393.0406338
17-09-2020,22609835.90994282
18-09-2020,23145459.099978376
19-09-2020,23770687.47025623
20-09-2020,24571955.078234002
21-09-2020,23117129.342398185
22-09-2020,22476141.98496176
23-09-2020,21820702.025723957
24-09-2020,24050070.644617423
25-09-2020,22464440.55323464
26-09-2020,21702767.08790147
27-09-2020,25112211.269723557
28-09-2020,24012059.68604971
29-09-2020,23730517.881589085
30-09-2020,23796127.658402335
01-10-2020,23861599.03585574
02-10-2020,22757982.436725255
03-10-2020,23804364.074672814
04-10-2020,24375108.65384199
05-10-2020,23615178.620528735
06-10-2020,24027087.733873624
07-10-2020,24357766.482606534
08-10-2020,25058739.97130014
09-10-2020,25101522.3306817
10-10-2020,24689613.21733681
11-10-2020,26096746.793617383
12-10-2020,24797866.954171777
13-10-2020,24715053.40548291
14-10-2020,25853652.99438718
15-10-2020,25791508.233030573
16-10-2020,25901206.75458258
17-10-2020,25536989.800792933
18-10-2020,27111056.859808434
19-10-2020,25300112.18709362
20-10-2020,25174516.2790232
21-10-2020,26023913.09321891
22-10-2020,26011342.3227973
23-10-2020,25011208.059687935
24-10-2020,23437279.40003227
25-10-2020,26217000.609482337
26-10-2020,20588029.25769734
27-10-2020,22591486.00065303
28-10-2020,24447094.864129163
29-10-2020,24856983.74673445
30-10-2020,24048924.50720325
31-10-2020,24432205.215665083
01-11-2020,25734411.67120749
02-11-2020,24848885.729823813
03-11-2020,25314564.78889499
04-11-2020,25988791.704085287
05-11-2020,26098490.225637298
06-11-2020,25956996.931048464
07-11-2020,25805960.834831942
08-11-2020,27057148.51472231
09-11-2020,25778937.462608963
10-11-2020,26041116.86509453
11-11-2020,26965090.811708633
12-11-2020,27759865.435435828
13-11-2020,27429325.086062767
14-11-2020,24536717.138323728
15-11-2020,25863195.796014868
16-11-2020,22572123.598677978
17-11-2020,24318033.9406021
18-11-2020,25949335.960800532
19-11-2020,25715347.916535307
20-11-2020,25223951.870598353
21-11-2020,25124072.949393705
22-11-2020,26391158.015802488
23-11-2020,25939654.759813007
24-11-2020,25674010.341870796
25-11-2020,26415153.41923155
26-11-2020,22374403.08096055
27-11-2020,26764917.771219827
28-11-2020,26097045.440920252
29-11-2020,26950776.6092671
30-11-2020,25290868.03276881
01-12-2020,25955552.14633142
02-12-2020,27100367.920766577
03-12-2020,26928524.637857962
04-12-2020,26965090.811708633
05-12-2020,26944422.024376374
06-12-2020,27237089.814541567
07-12-2020,26570960.91626191
08-12-2020,22302577.118616417
09-12-2020,27941389.919331975
10-12-2020,27446667.25729822
11-12-2020,27436986.0563107
12-12-2020,26762897.540480234
13-12-2020,27888489.312300183
14-12-2020,26856698.67551383
15-12-2020,27009179.556447398
16-12-2020,27934598.28777854
17-12-2020,27726188.83101925
18-12-2020,27835887.35257126
19-12-2020,27664182.469022483
20-12-2020,28249379.64999303
21-12-2020,27964809.87673848
22-12-2020,27605364.323762674
23-12-2020,28618368.004596528
24-12-2020,28869421.42137753
25-12-2020,28139564.57766438
26-12-2020,27772297.806497607
27-12-2020,28844119.632591266
28-12-2020,28278008.05487609
29-12-2020,27955128.675750952
30-12-2020,29276559.133908577
31-12-2020,30063672.787387848
