Date,Mobility
15-02-2020,78044386.6362636
16-02-2020,76673874.88111514
17-02-2020,76835393.18172975
18-02-2020,76772314.5314823
19-02-2020,77197233.41891709
20-02-2020,78752866.00681293
21-02-2020,75819836.39209187
22-02-2020,75670076.55946428
23-02-2020,76709908.36339149
24-02-2020,76083236.97891206
25-02-2020,73780321.3845088
26-02-2020,77850277.48921101
27-02-2020,78555986.70607857
28-02-2020,78126194.62233347
29-02-2020,78260667.75497703
01-03-2020,77882868.335649
02-03-2020,77453076.25190392
03-03-2020,74051365.321321
04-03-2020,79256150.24447922
05-03-2020,78886666.65729985
06-03-2020,79468988.72735426
07-03-2020,78752193.5246563
08-03-2020,78259995.2728204
09-03-2020,54432401.961234055
10-03-2020,61407670.030529596
11-03-2020,76219807.78308071
12-03-2020,77374038.41951579
13-03-2020,77015640.8181668
14-03-2020,75366441.77621408
15-03-2020,76154631.46130815
16-03-2020,74988642.35688604
17-03-2020,73429567.13315183
18-03-2020,74677364.22364382
19-03-2020,74449997.1191
20-03-2020,72379321.82555085
21-03-2020,70032729.39887923
22-03-2020,50414267.32863157
23-03-2020,57257250.90407078
24-03-2020,43324686.022986844
25-03-2020,42170455.38655176
26-03-2020,42017252.91808579
27-03-2020,42580845.65231779
28-03-2020,42564886.47017711
29-03-2020,47529029.66417391
30-03-2020,42849119.43544825
31-03-2020,42742363.95293242
01-04-2020,42198173.03667947
02-04-2020,42895566.42139838
03-04-2020,43100761.5542814
04-04-2020,43238004.84060669
05-04-2020,48344264.51723906
06-04-2020,43100761.5542814
07-04-2020,44076842.22580454
08-04-2020,44123289.21175467
09-04-2020,44828998.428622246
10-04-2020,43923639.75733857
11-04-2020,44462957.47728123
12-04-2020,48978579.25171053
13-04-2020,43904910.42151615
14-04-2020,42777724.953052156
15-04-2020,43407166.491213344
16-04-2020,43057084.722013004
17-04-2020,42966960.90379448
18-04-2020,41750324.09926859
19-04-2020,46139788.573203
20-04-2020,41586035.64497223
21-04-2020,40270286.707922526
22-04-2020,41060574.064541705
23-04-2020,41211006.37932593
24-04-2020,41355893.01564325
25-04-2020,41498681.98043544
26-04-2020,45549150.670999914
27-04-2020,40743755.62393599
28-04-2020,40637000.141420156
29-04-2020,40935089.246203445
30-04-2020,41525727.14840652
01-05-2020,40467166.00865688
02-05-2020,42010282.05025039
03-05-2020,46616027.64289821
04-05-2020,42196075.365154356
05-05-2020,42242522.35110449
06-05-2020,42146852.85441905
07-05-2020,43371805.4910936
08-05-2020,43380121.323242255
09-05-2020,43632435.924232036
10-05-2020,48336621.16724703
11-05-2020,44373506.14121934
12-05-2020,44006792.70772169
13-05-2020,44564839.76348679
14-05-2020,45163793.49783852
15-05-2020,45423751.44882032
16-05-2020,45569310.567294255
17-05-2020,51195486.145890236
18-05-2020,46042107.00115111
19-05-2020,45486830.09906776
20-05-2020,37554205.32296808
21-05-2020,35143183.91063234
22-05-2020,38173980.69356394
23-05-2020,41952065.85410639
24-05-2020,49501259.93625245
25-05-2020,44345110.63783158
26-05-2020,47007096.31574042
27-05-2020,48298570.23850079
28-05-2020,46388740.763409644
29-05-2020,50894034.63032383
30-05-2020,51469385.83254285
31-05-2020,56690716.82383971
01-06-2020,53895016.0916026
