Date,Mobility
15-02-2020,71123971.74157986
16-02-2020,70561452.20972739
17-02-2020,69277725.10314511
18-02-2020,69459962.47486897
19-02-2020,71561749.70523748
20-02-2020,71264520.7264556
21-02-2020,68253554.6864389
22-02-2020,68600213.96423459
23-02-2020,70618948.0132564
24-02-2020,69004369.0455593
25-02-2020,66387808.12573049
26-02-2020,70800861.79263072
27-02-2020,70660312.80775498
28-02-2020,70991164.6688698
29-02-2020,71619245.5087665
01-03-2020,71405393.30368088
02-03-2020,70238342.26077822
03-03-2020,67770395.83034037
04-03-2020,72225137.88408872
05-03-2020,71298143.6087885
06-03-2020,72449063.64266074
07-03-2020,71720114.15576527
08-03-2020,72357944.9567988
09-03-2020,44971481.295284465
10-03-2020,53318802.77190883
11-03-2020,68292911.4319663
12-03-2020,69634134.34207761
13-03-2020,69998609.08552533
14-03-2020,68417976.59251072
15-03-2020,69327478.99450846
16-03-2020,67160130.4560957
17-03-2020,65513936.65503684
18-03-2020,65985337.50102738
19-03-2020,64446393.39486089
20-03-2020,61863455.357365005
21-03-2020,58179027.5850107
22-03-2020,40242379.22065841
23-03-2020,46812674.563854426
24-03-2020,34951728.26884121
25-03-2020,34612810.90321118
26-03-2020,34347520.350140594
27-03-2020,34868675.0874945
28-03-2020,34652491.24108815
29-03-2020,39117340.15695345
30-03-2020,35199526.94860932
31-03-2020,35191461.44409409
01-04-2020,34852544.07846406
02-04-2020,35092277.253716946
03-04-2020,35431194.61934698
04-04-2020,35636981.31991738
05-04-2020,39630429.38979213
06-04-2020,35439260.1238622
07-04-2020,35373698.81581797
08-04-2020,35688419.667902336
09-04-2020,35555936.18754183
10-04-2020,34993416.65568935
11-04-2020,35803411.27496037
12-04-2020,39755170.95798698
13-04-2020,35522313.305208914
14-04-2020,34480327.42285067
15-04-2020,35199203.35625975
16-04-2020,34155533.01727991
17-04-2020,34254717.20765707
18-04-2020,34187147.85064166
19-04-2020,37940862.74526354
20-04-2020,33708005.092485465
21-04-2020,33286034.54550872
22-04-2020,33882176.95969411
23-04-2020,33559390.60309452
24-04-2020,34072479.8359332
25-04-2020,33897984.37637499
26-04-2020,38040046.93564069
27-04-2020,33807189.28286262
28-04-2020,33476337.421747804
29-04-2020,34213028.820808925
30-04-2020,34121910.13494699
01-05-2020,33270227.12882784
02-05-2020,35031088.94459516
03-05-2020,38545070.66396416
04-05-2020,34965851.228900485
05-05-2020,35148088.60062435
06-05-2020,34949720.21987005
07-05-2020,34751675.431465305
08-05-2020,35181711.48295727
09-05-2020,35205260.81180381
10-05-2020,39438442.05693145
11-05-2020,36140644.183968805
12-05-2020,35570059.147601105
13-05-2020,36033394.48907643
14-05-2020,36223697.36531552
15-05-2020,36885401.08754515
16-05-2020,37330920.96336844
17-05-2020,40993517.17212837
18-05-2020,37356801.93353569
19-05-2020,36926765.88204373
20-05-2020,30529961.912726652
21-05-2020,30332630.803894814
22-05-2020,34254783.70253084
23-05-2020,36206271.986886814
24-05-2020,42698244.04863871
25-05-2020,35620526.718537375
26-05-2020,38399825.08781641
27-05-2020,39384315.16664563
28-05-2020,37902866.864008166
29-05-2020,41030832.56005406
30-05-2020,42021380.09442733
31-05-2020,45973463.36980352
01-06-2020,43190115.5939516
02-06-2020,42354240.004513316
03-06-2020,44109044.36473659
04-06-2020,43703204.82679027
05-06-2020,44820501.97832957
06-06-2020,45563250.83293475
07-06-2020,47338559.201110914
08-06-2020,45739430.74911457
09-06-2020,45077727.026884936
10-06-2020,46567240.83403762
11-06-2020,45773053.63144749
12-06-2020,44547145.92074377
13-06-2020,46963654.00319667
14-06-2020,48208057.67288211
15-06-2020,46608929.22088575
16-06-2020,45632504.64657175
17-06-2020,46691982.402232476
18-06-2020,46642552.10321868
19-06-2020,47072588.15471064
20-06-2020,47963951.49870678
21-06-2020,48010012.88447737
22-06-2020,47155641.33605736
23-06-2020,46353388.628952004
24-06-2020,48040947.22450943
25-06-2020,47668730.56889605
26-06-2020,48148196.919401795
27-06-2020,47070580.10573948
28-06-2020,48861695.890596524
29-06-2020,48057078.233539864
30-06-2020,47577611.8830341
01-07-2020,48314303.28209523
02-07-2020,47991516.92549563
03-07-2020,48934642.20982629
04-07-2020,49354604.70783187
05-07-2020,50377090.66791648
06-07-2020,46840596.89162342
07-07-2020,46361130.54111766
08-07-2020,49084617.56348927
09-07-2020,46517810.53502382
10-07-2020,45747496.25362978
11-07-2020,45696057.90564483
12-07-2020,48845888.473915644
13-07-2020,45598881.764238834
