Date,Mobility
15-02-2020,63565962.575333625
16-02-2020,63285687.16296356
17-02-2020,63084658.31508572
18-02-2020,62854192.06124853
19-02-2020,63137603.6690554
20-02-2020,61445303.21148849
21-02-2020,58452245.057902925
22-02-2020,59428847.6409676
23-02-2020,62224461.37416785
24-02-2020,60558805.0600481
25-02-2020,57018056.046386264
26-02-2020,61926950.404661015
27-02-2020,61549849.93773735
28-02-2020,63095516.18221776
29-02-2020,63608050.06217128
01-03-2020,63644208.09105993
02-03-2020,63432321.376050055
03-03-2020,63270243.81957306
04-03-2020,64808188.39235823
05-03-2020,64311097.85579521
06-03-2020,63589470.52334398
07-03-2020,64773822.57721582
08-03-2020,65121485.63818018
09-03-2020,60691893.4426215
10-03-2020,50310312.40676392
11-03-2020,62271477.27018856
12-03-2020,62572124.4351322
13-03-2020,61322176.946412355
14-03-2020,53978983.045545906
15-03-2020,63273037.082085244
16-03-2020,62568988.2396954
17-03-2020,61786693.88157925
18-03-2020,62151144.26762461
19-03-2020,61488839.9791478
20-03-2020,61161548.67075702
21-03-2020,60717403.48816368
22-03-2020,48716496.16835783
23-03-2020,56207773.56313243
24-03-2020,45288806.71762045
25-03-2020,44274253.89192084
26-03-2020,44116761.811702296
27-03-2020,44158849.298539944
28-03-2020,44794509.4435696
29-03-2020,48122580.57724119
30-03-2020,44864690.35467605
31-03-2020,44987816.6197522
01-04-2020,45064269.92173225
02-04-2020,45477185.48461998
03-04-2020,45851149.75610685
04-04-2020,46790593.26151694
05-04-2020,50269884.08453348
06-04-2020,47359656.922932684
07-04-2020,48841862.87923598
08-04-2020,49469801.35257039
09-04-2020,49312309.272351846
10-04-2020,48969574.62057057
11-04-2020,49859208.967447765
12-04-2020,53469347.7272357
13-04-2020,50627509.26299508
14-04-2020,48969574.62057057
15-04-2020,47715041.65559227
16-04-2020,49346675.08749425
17-04-2020,49111280.42447401
18-04-2020,49341746.678311184
19-04-2020,51089785.752359964
20-04-2020,48852720.74636803
21-04-2020,48559795.25311964
22-04-2020,49229821.213291705
23-04-2020,49184597.53101726
24-04-2020,49681688.06758028
25-04-2020,49430507.12824492
26-04-2020,51937332.61239951
27-04-2020,50152134.46069615
28-04-2020,47364242.39919114
29-04-2020,49750076.76494046
30-04-2020,48967782.406824306
01-05-2020,46697352.634455875
02-05-2020,49067400.723890096
03-05-2020,51212912.0174361
04-05-2020,49168811.25470215
05-05-2020,48131093.4139168
06-05-2020,50979652.50108674
07-05-2020,48674856.91357592
08-05-2020,50259817.38238179
09-05-2020,51245933.850887984
10-05-2020,53702950.17650968
11-05-2020,52299437.96798843
12-05-2020,51520279.805309065
13-05-2020,52313432.03055727
14-05-2020,52268208.34828284
15-05-2020,52522182.55013036
16-05-2020,53003486.810378276
17-05-2020,55018150.167152904
18-05-2020,52087551.25297854
19-05-2020,51713586.98149167
20-05-2020,49938455.53193999
21-05-2020,45701722.280508175
