Date,Mobility
15-02-2020,114105417.28148195
16-02-2020,112208046.26368828
17-02-2020,112794074.9958725
18-02-2020,112685518.59818661
19-02-2020,114095495.3207341
20-02-2020,113116562.65893793
21-02-2020,109500793.28758301
22-02-2020,110187090.27484553
23-02-2020,113855942.2444148
24-02-2020,111001116.30446093
25-02-2020,110991194.34371307
26-02-2020,113841876.21236317
27-02-2020,114132001.63373326
28-02-2020,114198273.82897595
29-02-2020,115509616.11458538
01-03-2020,114871381.2192101
02-03-2020,114089717.43129006
03-03-2020,114768602.71096827
04-03-2020,115701107.09901743
05-03-2020,117029111.77613032
06-03-2020,116426420.65244265
07-03-2020,116291279.90250546
08-03-2020,118006410.61978622
09-03-2020,99496486.75664207
10-03-2020,100072593.52807847
11-03-2020,115919182.43570076
12-03-2020,115671341.21677387
13-03-2020,114109561.35278577
14-03-2020,111508354.52120282
15-03-2020,113249107.04942334
16-03-2020,112943281.77786137
17-03-2020,112086971.54580273
18-03-2020,114456037.0086507
19-03-2020,113622167.05753955
20-03-2020,112687066.31003861
21-03-2020,109946574.6572147
22-03-2020,87855548.75937994
23-03-2020,101828083.36517935
24-03-2020,83022927.46804981
25-03-2020,79746979.42809246
26-03-2020,79400503.77222751
27-03-2020,80290723.95783348
28-03-2020,80586627.26864763
29-03-2020,83775496.65055504
30-03-2020,80155583.20789629
31-03-2020,82172395.12543526
01-04-2020,81437159.61126219
02-04-2020,82339898.1170678
03-04-2020,83909003.58235197
04-04-2020,85117567.35971957
05-04-2020,87828964.40712866
06-04-2020,85504693.39988744
07-04-2020,91976165.14621955
08-04-2020,90815663.46073921
09-04-2020,90904375.9369294
10-04-2020,90638238.50835882
11-04-2020,90027259.24206357
12-04-2020,95180734.37831886
13-04-2020,91939658.8332204
14-04-2020,91452264.53797422
15-04-2020,93386141.86876705
16-04-2020,90946660.1393726
17-04-2020,91266551.44298624
18-04-2020,90448381.34206703
19-04-2020,89718923.71733803
20-04-2020,87703074.34111059
21-04-2020,90567822.24181232
22-04-2020,91200279.24774355
23-04-2020,90610106.4442555
24-04-2020,91645389.34054653
25-04-2020,89924480.73382172
26-04-2020,91574010.53268848
27-04-2020,90939919.70861702
28-04-2020,90939919.70861702
29-04-2020,93490554.19514915
30-04-2020,92844031.15716627
01-05-2020,88669488.68270712
02-05-2020,94165295.40352356
03-05-2020,95120240.07252021
04-05-2020,93325647.56296839
05-05-2020,95108684.2936321
06-05-2020,97767875.17785016
07-05-2020,91911526.7691171
08-05-2020,94776274.66981882
09-05-2020,96917342.8352356
10-05-2020,96965404.92712285
11-05-2020,95497444.15194026
12-05-2020,96232679.66611332
13-05-2020,97098911.85891977
14-05-2020,97477749.75648007
15-05-2020,99472121.39307152
16-05-2020,100110356.28844681
17-05-2020,101935677.22155373
18-05-2020,99363564.99538563
19-05-2020,101581789.85810448
20-05-2020,88302206.56403494
21-05-2020,89359344.57073295
22-05-2020,104894244.21106096
23-05-2020,104343759.25056435
24-05-2020,106619968.1659183
25-05-2020,91396876.84479089
26-05-2020,97782903.75121333
27-05-2020,99778909.20594506
28-05-2020,103516629.73020881
29-05-2020,103925233.51001267
30-05-2020,103469238.9151503
31-05-2020,109648074.98694877
01-06-2020,105137941.35868406
02-06-2020,105774542.43591908
03-06-2020,107889988.79039608
04-06-2020,104211214.86007895
05-06-2020,108044973.46182898
06-06-2020,109978850.7926218
07-06-2020,112545185.12934583
08-06-2020,110108213.65311493
09-06-2020,109060412.43662427
10-06-2020,111901172.34452651
11-06-2020,112036313.09446369
12-06-2020,110708308.41735081
13-06-2020,110635295.79135253
14-06-2020,115166235.88242447
15-06-2020,109350537.85799436
16-06-2020,112475645.29782262
17-06-2020,107484566.5405845
18-06-2020,111502490.52547053
19-06-2020,112112507.25045425
20-06-2020,113657624.72293894
21-06-2020,114052162.47069111
22-06-2020,111071446.4647192
23-06-2020,110106579.83497468
24-06-2020,113098180.343006
25-06-2020,109663103.56031194
26-06-2020,109729375.75555466
27-06-2020,108387305.04639012
28-06-2020,112871816.86371505
29-06-2020,111595347.07296452
30-06-2020,111750331.74439742
01-07-2020,111496712.63602646
02-07-2020,111601124.96240856
03-07-2020,113253165.0144389
04-07-2020,113456211.77775906
05-07-2020,115146391.96092877
06-07-2020,110398339.07448502
07-07-2020,110309626.59829482
08-07-2020,113103958.23245007
09-07-2020,108466095.56183247
10-07-2020,111050640.00191194
11-07-2020,105225691.29356271
12-07-2020,111741081.06047827
13-07-2020,110787098.93279316
14-07-2020,111667397.15765128
