Date,Mobility
15-02-2020,83125250.3874239
16-02-2020,81064301.76540524
17-02-2020,82207038.94071196
18-02-2020,82175780.99320494
19-02-2020,82539588.70478687
20-02-2020,81260412.91213082
21-02-2020,79731156.85703361
22-02-2020,81132521.07407993
23-02-2020,81900043.71048337
24-02-2020,81305921.05259696
25-02-2020,80029588.62557869
26-02-2020,83486214.73336801
27-02-2020,82974561.5771154
28-02-2020,84094587.58421357
29-02-2020,83952445.55320357
01-03-2020,83162211.74859156
02-03-2020,82687434.14945757
03-03-2020,80245567.574875
04-03-2020,83651067.9325866
05-03-2020,82860834.12797458
06-03-2020,84967290.89045939
07-03-2020,83480597.12375642
08-03-2020,85385170.20419095
09-03-2020,71996429.57172099
10-03-2020,79273575.30293065
11-03-2020,83551590.67640488
12-03-2020,82198492.16141349
13-03-2020,83364026.3089778
14-03-2020,80990379.0430699
15-03-2020,81630009.84142247
16-03-2020,80620867.91782731
17-03-2020,79199550.09416121
18-03-2020,80202988.60409571
19-03-2020,78653778.94237873
20-03-2020,79452645.33033825
21-03-2020,75981683.22554073
22-03-2020,58584653.62935513
23-03-2020,69986659.13905905
24-03-2020,57069647.76721707
25-03-2020,55537445.860047966
26-03-2020,54568108.663258284
27-03-2020,56071895.98855818
28-03-2020,55654016.6748266
29-03-2020,57746137.4403032
30-03-2020,55668266.86778573
31-03-2020,56071895.98855818
01-04-2020,56304968.49645142
02-04-2020,56304968.49645142
03-04-2020,58019117.16143602
04-04-2020,59156150.92308207
05-04-2020,60932729.67903163
06-04-2020,58823601.15900715
07-04-2020,60594578.98773014
08-04-2020,60731017.6050795
09-04-2020,60392764.42734391
10-04-2020,61032395.225696474
11-04-2020,61200091.79055283
12-04-2020,64051188.413134426
13-04-2020,61416156.5438982
14-04-2020,61376351.817092724
15-04-2020,61242670.761332124
16-04-2020,57086655.52176495
17-04-2020,57314110.42004659
18-04-2020,57683621.54528918
19-04-2020,58911585.78381845
20-04-2020,56674479.62169402
21-04-2020,56012137.65513292
22-04-2020,57712036.12715838
23-04-2020,56148576.27248227
24-04-2020,57277149.05887892
25-04-2020,58277744.20317561
26-04-2020,60821845.595528625
27-04-2020,58570575.044494115
28-04-2020,57803052.40809066
29-04-2020,59073681.42144827
30-04-2020,58516520.12472951
01-05-2020,57524471.759731285
02-05-2020,60591633.135658234
03-05-2020,62481939.34074861
04-05-2020,60605883.328617364
05-05-2020,60281794.539791845
06-05-2020,61762784.89283415
07-05-2020,59477310.54222073
08-05-2020,62265977.07383735
09-05-2020,63155688.13463103
10-05-2020,64670779.80081816
11-05-2020,63573567.44836262
12-05-2020,61671854.415950924
13-05-2020,63673044.704544306
14-05-2020,62777630.23008996
15-05-2020,64628217.51242392
16-05-2020,65284856.06532435
17-05-2020,66993215.51259924
18-05-2020,64281417.55538986
19-05-2020,62717957.700713746
20-05-2020,53345659.547906525
21-05-2020,49803324.91737038
22-05-2020,56628575.82575269
23-05-2020,60295718.1989398
24-05-2020,64903697.38299832
25-05-2020,59951933.21564165
26-05-2020,63155619.01296701
27-05-2020,63007773.56829634
28-05-2020,60798910.379943
29-05-2020,63763906.05976352
30-05-2020,63613286.371119045
31-05-2020,68283712.32852757
01-06-2020,65293333.72295881
02-06-2020,65435475.75396884
03-06-2020,67186499.97607204
04-06-2020,65082972.383274116
05-06-2020,67277516.25700432
06-06-2020,68730092.02817743
07-06-2020,70495349.7608547
08-06-2020,68246853.453794
09-06-2020,68397542.2641025
10-06-2020,69668171.2774601
11-06-2020,68082000.25457545
12-06-2020,70216871.59892945
13-06-2020,70384568.1637858
14-06-2020,72343093.67755085
15-06-2020,70350466.85064098
16-06-2020,68434503.62527016
17-06-2020,68610746.96942501
18-06-2020,69816016.72213076
19-06-2020,70697266.80767503
20-06-2020,71564266.70026018
21-06-2020,71660883.90841901
22-06-2020,70666008.86016804
23-06-2020,69830266.91508989
24-06-2020,71794495.8425156
25-06-2020,70515320.04985954
26-06-2020,71808746.03547476
27-06-2020,70270840.714645
28-06-2020,70674453.1530324
29-06-2020,71874121.97851162
30-06-2020,72189663.98803867
01-07-2020,72280594.46492189
02-07-2020,71942341.2871863
03-07-2020,73227220.49350303
04-07-2020,73795771.93515806
05-07-2020,75407497.49188906
06-07-2020,72581972.08553886
07-07-2020,72994147.98560978
08-07-2020,72425579.8615697
09-07-2020,71845707.39664242
10-07-2020,73312533.36077465
11-07-2020,68408932.40903877
12-07-2020,73912256.94588763
13-07-2020,71117989.48704442
14-07-2020,71777488.08796774
15-07-2020,73087921.82813081
16-07-2020,72613230.03304586
17-07-2020,73215899.47023077
18-07-2020,73488776.70492947
19-07-2020,74102750.48300159
20-07-2020,68912124.59004197
21-07-2020,68039421.28379616
22-07-2020,70992941.01463136
23-07-2020,54630624.5582723
24-07-2020,74478067.50833896
25-07-2020,56512469.788113266
26-07-2020,75808352.36868772
27-07-2020,71240263.71548373
28-07-2020,70088979.76087855
29-07-2020,56088903.74310607
30-07-2020,73912359.43232174
31-07-2020,74515028.86950663
01-08-2020,71058316.95766823
02-08-2020,74935649.06244192
03-08-2020,72792333.42522356
04-08-2020,69554529.63236834
05-08-2020,54570866.22484704
06-08-2020,74168143.10842352
07-08-2020,76564501.54253994
08-08-2020,57134921.223819844
09-08-2020,76095393.9922965
10-08-2020,72704160.50992909
11-08-2020,72019107.37515946
12-08-2020,73906570.214612
13-08-2020,63692912.507115036
14-08-2020,65580461.15061665
15-08-2020,71217466.74322614
16-08-2020,76996511.8804115
17-08-2020,72456837.80907671
18-08-2020,72974194.37899
19-08-2020,74176604.08367291
20-08-2020,55375350.22241816
21-08-2020,56503923.008814804
22-08-2020,73227203.81111798
23-08-2020,76729321.37698841
24-08-2020,73434721.78516488
25-08-2020,73682044.48601724
26-08-2020,74119774.91993453
27-08-2020,56449868.089050196
28-08-2020,75944807.66842213
29-08-2020,74827625.02696176
30-08-2020,79364455.73265874
31-08-2020,56725605.37177177
01-09-2020,71675150.7837632
02-09-2020,75862338.16678831
03-09-2020,75236957.56139489
04-09-2020,75666227.02006274
05-09-2020,76638407.58249024
