Date,Mobility
15-02-2020,45392457.93366919
16-02-2020,44611896.34604082
17-02-2020,45319527.80518237
18-02-2020,45286548.8310768
19-02-2020,47286471.308756754
20-02-2020,49170358.11131601
21-02-2020,44571873.28035626
22-02-2020,44828750.87075099
23-02-2020,45156586.77323061
24-02-2020,45982135.83476561
25-02-2020,44232082.81155306
26-02-2020,46970697.83955571
27-02-2020,49182402.56676876
28-02-2020,46328988.372973636
29-02-2020,46309971.73724523
01-03-2020,45444453.54350316
02-03-2020,45987190.132116854
03-03-2020,45279576.65080114
04-03-2020,46774777.83349837
05-03-2020,49720102.83585704
06-03-2020,46807720.851952285
07-03-2020,45609312.45837934
08-03-2020,46878697.141863
09-03-2020,43546460.57996007
10-03-2020,40223275.88168973
11-03-2020,47081625.28384767
12-03-2020,49470251.359215476
13-03-2020,46597820.52969194
14-03-2020,44861729.84485656
15-03-2020,44849685.38940382
16-03-2020,46243977.83338243
17-03-2020,45411420.635920085
18-03-2020,47647214.27403861
19-03-2020,48901454.04329437
20-03-2020,46179919.790269874
21-03-2020,45394321.8831161
22-03-2020,35473537.09458306
23-03-2020,41998117.16722979
24-03-2020,35117704.60404578
25-03-2020,34586976.51523316
26-03-2020,35414479.415344246
27-03-2020,34548925.265950516
28-03-2020,34614901.191987485
29-03-2020,36392932.82543186
30-03-2020,34548925.265950516
31-03-2020,34417045.3251799
01-04-2020,35143729.37570152
02-04-2020,36659829.12139992
03-04-2020,35551431.63129194
04-04-2020,36162080.006692864
05-04-2020,37454406.98088294
06-04-2020,36082123.7644529
07-04-2020,36978685.07155029
08-04-2020,37077621.993867
09-04-2020,38749708.56906734
10-04-2020,36664811.50744783
11-04-2020,37492314.407558925
12-04-2020,38659733.62125404
13-04-2020,37235472.77281585
14-04-2020,36473945.79874174
15-04-2020,38669788.282479025
16-04-2020,40702635.80078706
17-04-2020,39056538.041590795
18-04-2020,39254393.90839838
19-04-2020,39858106.05917531
20-04-2020,38964591.27737559
21-04-2020,38518837.77250251
22-04-2020,39960125.46244135
23-04-2020,40787610.384726614
24-04-2020,39240431.57002123
25-04-2020,39136458.32817909
26-04-2020,39773149.4530616
27-04-2020,38860600.05770762
28-04-2020,38787687.90704665
29-04-2020,40707708.07596414
30-04-2020,41830049.92662344
01-05-2020,38898651.30699027
02-05-2020,40073006.74530939
03-05-2020,41004536.82074011
04-05-2020,41271379.18323066
05-05-2020,40752713.52769661
06-05-2020,43302362.75209176
07-05-2020,44391707.65081967
08-05-2020,42542699.72746457
09-05-2020,42353787.85733457
10-05-2020,41877045.17258368
11-05-2020,43236404.803880624
12-05-2020,41743157.459759474
13-05-2020,44507761.303766206
14-05-2020,47302135.796148345
15-05-2020,45295241.13819272
16-05-2020,45047343.50012725
17-05-2020,45264251.9583149
18-05-2020,45884901.06146332
19-05-2020,45078368.63565673
20-05-2020,40525714.45263229
21-05-2020,47479039.16647727
22-05-2020,46087829.20344799
23-05-2020,45387187.902407944
24-05-2020,45224300.803933665
25-05-2020,43727091.849182844
26-05-2020,44618634.81458066
27-05-2020,45090449.04676113
28-05-2020,45962993.35425637
29-05-2020,45182395.810976356
30-05-2020,45538120.43455863
31-05-2020,44870512.04110165
01-06-2020,44828553.11466683
02-06-2020,45378297.83920785
03-06-2020,47842972.47966345
04-06-2020,48651458.74404614
05-06-2020,46991398.646472715
06-06-2020,46776462.00468697
07-06-2020,46115825.79150564
08-06-2020,47437134.17351995
09-06-2020,46276777.02922966
10-06-2020,48498608.32897102
11-06-2020,50132661.63271455
12-06-2020,47496119.94145543
13-06-2020,45950876.987500295
14-06-2020,47144302.99502532
15-06-2020,46545609.18594797
16-06-2020,47291273.916546345
17-06-2020,48484645.990593866
18-06-2020,49731913.57957396
19-06-2020,47364222.02285897
20-06-2020,47116324.38479349
21-06-2020,45794980.04712753
22-06-2020,47979870.76213364
23-06-2020,47041422.439904764
24-06-2020,49152326.29535417
25-06-2020,49986801.37574094
26-06-2020,48234794.51395229
27-06-2020,46951447.49209148
28-06-2020,46637645.83929235
29-06-2020,48142847.74973707
30-06-2020,47277329.55599501
01-07-2020,48305806.759514675
02-07-2020,50241707.14973375
03-07-2020,48024930.14734363
04-07-2020,47960908.05988274
05-07-2020,46644618.01956801
06-07-2020,46925422.72043573
07-07-2020,47376248.500485875
08-07-2020,47979942.673436984
09-07-2020,49882846.111724645
10-07-2020,47960908.05988274
11-07-2020,46696559.6959245
12-07-2020,46231843.4888005
13-07-2020,45385270.01948351
14-07-2020,45810106.98352959
15-07-2020,47836018.27721362
16-07-2020,49562018.34517236
17-07-2020,47201298.96873304
18-07-2020,46868426.74672802
19-07-2020,45453235.73974825
20-07-2020,46873463.06625342
21-07-2020,44016966.39150898
22-07-2020,47581130.48104664
23-07-2020,39325406.15396077
24-07-2020,46651554.24419201
25-07-2020,38113035.42201067
26-07-2020,45997908.189112194
27-07-2020,46047878.04906675
28-07-2020,40667720.96593124
29-07-2020,38399002.28718463
30-07-2020,44745532.36930336
31-07-2020,47411163.335341714
01-08-2020,45203312.35180335
02-08-2020,46063848.15949751
03-08-2020,46571615.97977787
04-08-2020,45274324.59736572
05-08-2020,35844388.654567406
06-08-2020,47597082.61365156
07-08-2020,46132960.4999613
08-08-2020,36631940.40029726
09-08-2020,46011960.416618526
10-08-2020,45595242.25304719
11-08-2020,43845171.2520088
12-08-2020,46316872.00621757
13-08-2020,48580554.365438744
14-08-2020,45852065.90996442
15-08-2020,44056989.457193546
16-08-2020,44419776.15018067
17-08-2020,
18-08-2020,41484487.83122114
19-08-2020,
20-08-2020,37570370.744700305
21-08-2020,36513950.88660047
22-08-2020,
23-08-2020,46412708.46975912
24-08-2020,
25-08-2020,
26-08-2020,
27-08-2020,39143520.39758393
28-08-2020,
29-08-2020,
30-08-2020,
31-08-2020,37207602.02953902
01-09-2020,
02-09-2020,
03-09-2020,
04-09-2020,
05-09-2020,
06-09-2020,
07-09-2020,36238074.63830317
08-09-2020,
09-09-2020,
10-09-2020,
11-09-2020,36290088.225962974
12-09-2020,46606584.7481112
13-09-2020,47224259.23726529
14-09-2020,47281219.25532135
15-09-2020,47248258.259041615
16-09-2020,49293168.21062821
17-09-2020,47080244.95191277
18-09-2020,46325690.15811432
19-09-2020,48469501.07636597
20-09-2020,48936243.03336937
21-09-2020,47191172.39620472
22-09-2020,48363538.040296085
23-09-2020,50264505.6178335
24-09-2020,52876976.37601297
25-09-2020,49113020.55891746
26-09-2020,49846640.83406308
27-09-2020,50247424.84285535
28-09-2020,49806653.72403019
29-09-2020,48311524.45263628
30-09-2020,47517072.43793409
01-10-2020,46915439.97051408
02-10-2020,42807732.07398571
03-10-2020,43649233.26812563
04-10-2020,43878168.2039402
05-10-2020,44001122.12585906
06-10-2020,44328940.05051285
07-10-2020,46439807.950310595
08-10-2020,50783297.11814837
09-10-2020,47674977.15036044
10-10-2020,47203216.85165746
11-10-2020,48049754.3653228
12-10-2020,47418135.51561737
13-10-2020,47569050.06994223
14-10-2020,49286160.07470088
15-10-2020,52672202.26240721
16-10-2020,49615877.904453255
17-10-2020,49033172.1836325
18-10-2020,50226526.279854186
19-10-2020,48807337.706593074
20-10-2020,47849890.72646162
21-10-2020,48418688.04238272
22-10-2020,49737003.83257686
23-10-2020,45150581.43489568
24-10-2020,42836857.3044166
25-10-2020,46087183.78550346
26-10-2020,41169789.07091584
27-10-2020,42228162.76759175
28-10-2020,44242047.583648875
