Date,Mobility
15-02-2020,63691028.88484489
16-02-2020,64550146.47459695
17-02-2020,65886233.00225462
18-02-2020,65350430.53084875
19-02-2020,64751332.89611645
20-02-2020,65259849.78304675
21-02-2020,60637350.626098156
22-02-2020,61263312.48845999
23-02-2020,64463406.734498
24-02-2020,66414675.18246189
25-02-2020,66012823.32890748
26-02-2020,65445373.2758384
27-02-2020,65184832.331334054
28-02-2020,65567180.248457566
29-02-2020,65803433.902497284
01-03-2020,65740560.096016906
02-03-2020,66516978.21865014
03-03-2020,65701130.866309024
04-03-2020,65267631.431091405
05-03-2020,65184832.331334054
06-03-2020,65917880.583917834
07-03-2020,65401582.04894287
08-03-2020,65397641.408601284
09-03-2020,65314842.30884394
10-03-2020,64956360.325339004
11-03-2020,64293967.52728027
12-03-2020,64684097.09244843
13-03-2020,64912569.098443486
14-03-2020,61854628.47514763
15-03-2020,64621223.285968035
16-03-2020,66087319.791135594
17-03-2020,65851066.13709587
18-03-2020,65748763.10090761
19-03-2020,65086791.65969492
20-03-2020,65280096.80053124
21-03-2020,67050525.47709864
22-03-2020,46817284.08411264
23-03-2020,59347432.99722388
24-03-2020,50670776.2461765
25-03-2020,43330106.390148275
26-03-2020,45793732.73274551
27-03-2020,46526780.985329285
28-03-2020,46037768.0348299
29-03-2020,49529729.08282795
30-03-2020,47807775.35455125
31-03-2020,48123408.45749129
01-04-2020,47118096.97201694
02-04-2020,46491192.76332449
03-04-2020,47851145.22460072
04-04-2020,47531671.1139576
05-04-2020,51031413.81000031
06-04-2020,48521319.6707041
07-04-2020,50307832.632845394
08-04-2020,50449564.89874152
09-04-2020,49676566.426965296
10-04-2020,48675616.93867859
11-04-2020,48454505.22388213
12-04-2020,52387747.35514246
13-04-2020,50748592.726623096
14-04-2020,49515330.22463826
15-04-2020,50938056.85975634
16-04-2020,49562119.74554474
17-04-2020,49522690.515836865
18-04-2020,48994248.335629605
19-04-2020,51571478.645955294
20-04-2020,50015123.11719328
21-04-2020,49731658.58540102
22-04-2020,49447673.0641242
23-04-2020,49455454.71216884
24-04-2020,49798373.399584465
25-04-2020,48753632.684402235
26-04-2020,51764362.42994556
27-04-2020,50022904.765237935
28-04-2020,49956189.9510545
29-04-2020,49790591.751539804
30-04-2020,50389689.38627212
01-05-2020,49865609.20325249
02-05-2020,50153014.375386335
03-05-2020,52946994.40332085
04-05-2020,52337017.19389439
05-05-2020,52061334.310146786
06-05-2020,52577632.845121756
07-05-2020,53259529.579611406
08-05-2020,52873340.65478484
09-05-2020,51450093.03018219
10-05-2020,55028272.82879459
11-05-2020,53960930.25053196
12-05-2020,53677465.7187397
13-05-2020,53602448.26702701
14-05-2020,54292126.64956133
15-05-2020,54552246.2372196
16-05-2020,53933223.30921034
17-05-2020,56427654.51977869
18-05-2020,55352530.293471396
19-05-2020,55242445.60923848
20-05-2020,55798173.37392133
21-05-2020,56231672.809138946
22-05-2020,57339287.330801554
23-05-2020,56815207.14778194
24-05-2020,59534169.724003755
25-05-2020,54040731.05627833
26-05-2020,57671004.71931549
27-05-2020,58384549.03546836
28-05-2020,59157026.51776001
29-05-2020,59334347.00566094
