Date,Mobility
15-02-2020,78542435.5162669
16-02-2020,78148926.7237146
17-02-2020,79971903.56937067
18-02-2020,78956819.22048748
19-02-2020,79628707.9302377
20-02-2020,79878854.70322299
21-02-2020,69061065.23053448
22-02-2020,75494986.17111324
23-02-2020,78419945.75258127
24-02-2020,80938871.06333862
25-02-2020,79255082.84838802
26-02-2020,78904526.32092382
27-02-2020,78495307.20653036
28-02-2020,78567483.81679669
29-02-2020,79502042.12190363
01-03-2020,79915437.28094551
02-03-2020,81265367.83545174
03-03-2020,80087035.10051198
04-03-2020,80858345.01956238
05-03-2020,80321471.55165616
06-03-2020,80385298.72841254
07-03-2020,80087035.10051198
08-03-2020,79632883.97488609
09-03-2020,80826927.03166701
10-03-2020,78511017.52837151
11-03-2020,79501053.57672492
12-03-2020,79036356.71908501
13-03-2020,78603077.84934048
14-03-2020,74997880.12461233
15-03-2020,77425733.65957944
16-03-2020,79363842.03637683
17-03-2020,77787824.46423635
18-03-2020,79255082.84838802
19-03-2020,77384977.69299541
20-03-2020,75173653.98882724
21-03-2020,74051787.54231267
22-03-2020,49122120.27585744
23-03-2020,62969898.857008435
24-03-2020,50986077.60781802
25-03-2020,47036476.49063152
26-03-2020,48819685.91488229
27-03-2020,49225720.18559295
28-03-2020,48330929.301891305
29-03-2020,53501815.41910567
30-03-2020,49969785.50560947
31-03-2020,49284382.7725222
01-04-2020,49439281.72506884
02-04-2020,48529771.72049168
03-04-2020,49329314.78375465
04-04-2020,49603518.65630411
05-04-2020,54762870.49632576
06-04-2020,50614429.616325796
07-04-2020,49610879.54463533
08-04-2020,49765778.49718197
09-04-2020,49770943.087009095
10-04-2020,48283800.99215478
11-04-2020,48458583.65540407
12-04-2020,47708143.33644815
13-04-2020,50503474.12983288
14-04-2020,47372311.241433285
15-04-2020,49647462.12235784
16-04-2020,48080782.528906
17-04-2020,48252380.34847249
18-04-2020,48272264.05917515
19-04-2020,52174734.21083822
20-04-2020,48642704.297342
21-04-2020,47475905.83959498
22-04-2020,47794053.17819819
23-04-2020,47954116.72057195
24-04-2020,48360150.9912826
25-04-2020,47556431.88337122
26-04-2020,51920414.0489914
27-04-2020,48858245.58296223
28-04-2020,47755274.30197158
29-04-2020,47404717.77450738
30-04-2020,48017943.89732832
01-05-2020,47998060.186625674
02-05-2020,48797603.249888636
03-05-2020,53261006.624809
04-05-2020,50436459.4536068
05-05-2020,49178589.22006951
06-05-2020,50148741.55772026
07-05-2020,50805911.146594934
08-05-2020,51076930.17546162
09-05-2020,49783465.90938053
10-05-2020,55560217.26108463
11-05-2020,51721574.28617794
12-05-2020,50825794.85729759
13-05-2020,51135592.762390874
14-05-2020,51386728.08055489
15-05-2020,52119259.123378664
16-05-2020,51975894.44802476
17-05-2020,56602546.20900168
18-05-2020,53117644.60524201
19-05-2020,51950846.14749499
20-05-2020,53119840.90374609
21-05-2020,53542574.0414766
22-05-2020,54410120.32614437
23-05-2020,54194579.04052415
24-05-2020,59943097.24801567
25-05-2020,52507605.98189077
26-05-2020,55164731.37817489
27-05-2020,56289782.66837229
28-05-2020,56386019.03398967
29-05-2020,56557616.85355616
30-05-2020,57492175.15866311
31-05-2020,62704808.443427116
01-06-2020,58534504.10658017
02-06-2020,59185520.56044901
03-06-2020,60354515.316700116
04-06-2020,60967741.439521074
05-06-2020,61437602.8869881
06-06-2020,61656329.01629112
07-06-2020,64108239.65082239
08-06-2020,63529621.67115344
09-06-2020,60859970.79671097
10-06-2020,62453894.98919667
11-06-2020,63246079.81991533
12-06-2020,63218835.22088146
13-06-2020,61960964.98734419
