Date,Mobility
15-02-2020,63324202.88750106
16-02-2020,64199356.6040848
17-02-2020,63843316.048839375
18-02-2020,63976943.02174482
19-02-2020,65135868.14380029
20-02-2020,63887145.33774938
21-02-2020,57122962.663960606
22-02-2020,61014108.48705866
23-02-2020,62363979.4091449
24-02-2020,64386141.14881838
25-02-2020,64202951.192456156
26-02-2020,65546077.345434725
27-02-2020,63988293.45378471
28-02-2020,64417608.93112761
29-02-2020,65201953.889155045
01-03-2020,64886148.03444826
02-03-2020,64815456.62616127
03-03-2020,65233421.67146427
04-03-2020,66576547.82444283
05-03-2020,64507406.61512304
06-03-2020,65479547.192444935
07-03-2020,65100805.77311971
08-03-2020,65374804.488038234
09-03-2020,64956839.442735255
10-03-2020,63812859.34109103
11-03-2020,65381993.66478095
12-03-2020,63371182.357147366
13-03-2020,63308246.792528935
14-03-2020,61803059.108018324
15-03-2020,64043028.767099574
16-03-2020,64851085.66376768
17-03-2020,64175644.66544413
18-03-2020,66421231.06201847
19-03-2020,63564150.30629988
20-03-2020,62342289.61962597
21-03-2020,63162708.02289486
22-03-2020,43786460.6545008
23-03-2020,55942020.30180487
24-03-2020,46062386.80176978
25-03-2020,40423194.91097049
26-03-2020,42234860.167269714
27-03-2020,42714749.702630274
28-03-2020,42968631.06727949
29-03-2020,46379320.688091144
30-03-2020,43237457.452339955
31-03-2020,43550113.126310416
01-04-2020,43550113.126310416
02-04-2020,41800939.0269946
03-04-2020,42612590.512034066
04-04-2020,43412891.56503364
05-04-2020,47066112.1184546
06-04-2020,41878375.20438926
07-04-2020,42589889.64795426
08-04-2020,43710602.218592845
09-04-2020,43089896.53358415
10-04-2020,42699804.682219006
11-04-2020,43597659.26288257
12-04-2020,46637363.30803755
13-04-2020,44030569.32859681
14-04-2020,43410308.05122315
15-04-2020,44979442.37491307
16-04-2020,41346900.53645016
17-04-2020,41397474.59446783
18-04-2020,41077063.07682882
19-04-2020,43941333.00929012
20-04-2020,40706077.50117214
21-04-2020,40639991.75581738
22-04-2020,41151349.07348717
23-04-2020,40440845.704483025
24-04-2020,41116286.702806585
25-04-2020,40745301.12714991
26-04-2020,43867047.01263178
27-04-2020,40928491.083512135
28-04-2020,40780363.49783049
29-04-2020,41326783.186180845
30-04-2020,41537846.33648094
01-05-2020,41026489.01881115
