Date,Mobility
15-02-2020,42951804.282059625
16-02-2020,40709392.8618094
17-02-2020,42544936.15877495
18-02-2020,42502009.848712444
19-02-2020,42868249.035246775
20-02-2020,42667070.35135641
21-02-2020,37140165.69212945
22-02-2020,40756918.50952691
23-02-2020,40605483.44657653
24-02-2020,42960914.375218585
25-02-2020,42563076.94500317
26-02-2020,42610518.60160031
27-02-2020,42341544.09269279
28-02-2020,41961763.45758524
29-02-2020,43688798.00166291
01-03-2020,41306195.59372339
02-03-2020,43055881.67953322
03-03-2020,41900696.36129451
04-03-2020,43024199.44473178
05-03-2020,42786907.17062571
06-03-2020,43010737.396248244
07-03-2020,43962367.25719475
08-03-2020,41355934.62363268
09-03-2020,42637685.48986712
10-03-2020,42013799.8608067
11-03-2020,41950435.39120381
12-03-2020,41681460.882296294
13-03-2020,41464443.376520544
14-03-2020,40076560.53080008
15-03-2020,40578316.55830972
16-03-2020,42163021.541565284
17-03-2020,41150245.18423836
18-03-2020,41679247.500104494
19-03-2020,40135330.25377866
20-03-2020,38261375.99328524
21-03-2020,41683837.65569815
22-03-2020,28792378.604360636
23-03-2020,34262797.14082916
24-03-2020,30051468.74680155
25-03-2020,27497240.498701673
26-03-2020,28288404.60362853
27-03-2020,28589061.3473375
28-03-2020,29050183.84706611
29-03-2020,31339957.523823775
30-03-2020,29086381.428402185
31-03-2020,29258091.259682894
01-04-2020,29649199.961171877
02-04-2020,28672700.585270718
03-04-2020,29866217.466947623
04-04-2020,30517190.58418516
05-04-2020,32831833.775897484
06-04-2020,30275382.963544454
07-04-2020,30799785.94175559
08-04-2020,31057516.375402045
09-04-2020,30998746.652423482
10-04-2020,30322904.020231284
11-04-2020,31059813.74871421
12-04-2020,33455798.805047594
13-04-2020,30926435.48087169
14-04-2020,30313793.92707233
15-04-2020,31927804.371727496
16-04-2020,29610705.00652364
17-04-2020,29748598.620900795
18-04-2020,30376999.59649585
19-04-2020,32205650.77352491
20-04-2020,29970131.47321117
21-04-2020,30065014.786405448
22-04-2020,30600829.822118383
23-04-2020,30139707.322389774
24-04-2020,30440364.06609874
25-04-2020,30191664.325521544
26-04-2020,31755856.34017772
27-04-2020,29197108.15451253
28-04-2020,29622033.07290506
