Date,Mobility
15-02-2020,68636264.79638511
16-02-2020,66689238.414830714
17-02-2020,68288172.0013792
18-02-2020,68668915.3088469
19-02-2020,68146776.11633804
20-02-2020,68581892.11009543
21-02-2020,64811757.34362875
22-02-2020,65913276.56185604
23-02-2020,66726811.96520689
24-02-2020,68263447.17719156
25-02-2020,68636264.79638511
26-02-2020,66670384.3879227
27-02-2020,67515891.5512498
28-02-2020,68328748.20211513
29-02-2020,70101728.18616658
01-03-2020,68589817.79836956
02-03-2020,68665912.65848717
03-03-2020,68777660.6814263
04-03-2020,68723287.99513659
05-03-2020,68763864.19587252
06-03-2020,69174255.36544223
07-03-2020,69946535.81557165
08-03-2020,68140905.31905842
09-03-2020,69239556.39036582
10-03-2020,68380387.2449248
11-03-2020,67083778.20785217
12-03-2020,67012606.385648966
13-03-2020,66805909.47568423
14-03-2020,65818193.17139057
15-03-2020,66552765.56770393
16-03-2020,67942134.09736782
17-03-2020,67651416.63901134
18-03-2020,65211898.92705011
19-03-2020,63408323.321531385
20-03-2020,62891241.67037678
21-03-2020,58079427.65893254
22-03-2020,38015339.68374112
23-03-2020,46538555.62003155
24-03-2020,40345433.27063744
25-03-2020,36803448.58108368
26-03-2020,37850595.113021284
27-03-2020,38522055.878845446
28-03-2020,38804847.64892778
29-03-2020,42035071.45878269
30-03-2020,38843368.95866919
31-03-2020,39222057.37514238
01-04-2020,38781070.584105365
02-04-2020,38568502.876861
03-04-2020,39158811.241213314
04-04-2020,39629445.89435238
05-04-2020,43169241.18947177
06-04-2020,39300207.126254484
07-04-2020,39229983.06341652
08-04-2020,39063862.354187705
09-04-2020,38843368.95866919
10-04-2020,38348009.481342494
11-04-2020,39316058.50280275
12-04-2020,42641231.19968328
13-04-2020,39267556.613792695
14-04-2020,38607024.18660241
15-04-2020,40002263.51354592
16-04-2020,38128329.34174937
17-04-2020,38538720.5113191
18-04-2020,39096378.36320963
19-04-2020,41926191.58276345
20-04-2020,38867959.279416986
21-04-2020,38441716.73329898
22-04-2020,38718637.70610168
23-04-2020,38813586.593127295
24-04-2020,38900609.791878775
25-04-2020,38780936.080665514
26-04-2020,42027011.26706869
27-04-2020,38606889.683162555
28-04-2020,38939131.10162019
29-04-2020,39167550.18541283
30-04-2020,39436545.4699414
01-05-2020,38650468.534258224
02-05-2020,40081226.5205834
03-05-2020,42918965.42841136
04-05-2020,41218398.901632234
05-05-2020,41558566.008364
06-05-2020,42135077.88716255
07-05-2020,40832732.556250155
08-05-2020,41037374.57522039
09-05-2020,42189450.57345224
10-05-2020,45758893.730673686
11-05-2020,43182224.41910016
12-05-2020,43206949.24328781
