Date,Mobility
15-02-2020,35997450.31297946
16-02-2020,35509951.78608863
17-02-2020,35957769.48245761
18-02-2020,36028443.170374736
19-02-2020,36333607.45354631
20-02-2020,36332954.43486473
21-02-2020,33378276.45348765
22-02-2020,33556005.48340417
23-02-2020,36245722.46661041
24-02-2020,36642723.931839034
25-02-2020,36467737.54085152
26-02-2020,36286056.31581384
27-02-2020,36144708.93997959
28-02-2020,36503988.6307311
29-02-2020,36663200.324265696
01-03-2020,36426750.67296651
02-03-2020,36262933.76562919
03-03-2020,36623684.140978225
04-03-2020,37218107.44566576
05-03-2020,36737826.20730397
06-03-2020,37050207.77900458
07-03-2020,37114317.19707425
08-03-2020,36871956.294609174
09-03-2020,36556798.00094786
10-03-2020,36002708.54546376
11-03-2020,36043695.41334877
12-03-2020,36026484.11433
13-03-2020,36174395.76001171
14-03-2020,34900145.67422437
15-03-2020,36134061.91080829
16-03-2020,36124067.90031855
17-03-2020,35501263.812962055
18-03-2020,34803703.278364584
19-03-2020,34172898.319594786
20-03-2020,33511588.8748769
21-03-2020,34362319.28764038
22-03-2020,23356479.668291666
23-03-2020,29392686.03168268
24-03-2020,25311113.07268939
25-03-2020,23154844.505306214
26-03-2020,23947507.31536862
27-03-2020,24329909.556304775
28-03-2020,24277100.186088
29-03-2020,26294633.452363238
30-03-2020,24652938.1571767
31-03-2020,25348017.18125055
01-04-2020,24804279.54350068
02-04-2020,24394018.974374436
03-04-2020,25180117.514589377
04-04-2020,25144519.44339137
05-04-2020,27010711.323342633
06-04-2020,25304253.59140485
07-04-2020,26186272.073000688
08-04-2020,25267349.482843693
09-04-2020,25384268.271130133
10-04-2020,25168164.448054913
11-04-2020,25232926.884806152
12-04-2020,27398371.7967631
13-04-2020,25750112.231729098
14-04-2020,25699426.564791437
15-04-2020,26324189.70819267
16-04-2020,25213887.09394534
17-04-2020,25502493.096779723
18-04-2020,25496581.845613837
19-04-2020,27339651.17538044
20-04-2020,25761412.279581986
21-04-2020,26479613.853840493
22-04-2020,25818957.427804183
23-04-2020,25777970.559919175
24-04-2020,25989338.604988977
25-04-2020,25402785.607512053
26-04-2020,27426883.14363476
27-04-2020,25221757.40115596
28-04-2020,26674423.618573092
29-04-2020,26130685.980823223
30-04-2020,25906189.396058504
01-05-2020,25636623.18408493
02-05-2020,26245776.27726762
03-05-2020,27819932.41374223
04-05-2020,27536454.079189464
05-05-2020,29575673.29408351
06-05-2020,29548467.984575003
07-05-2020,29108520.595416646
08-05-2020,29608494.64332082
09-05-2020,28903716.820194315
10-05-2020,31351856.48381976
11-05-2020,29250520.98993247
12-05-2020,30732874.027381722
13-05-2020,29707026.659428023
14-05-2020,29759836.0296448
15-05-2020,30142238.270580962
16-05-2020,30012843.961281177
17-05-2020,32190764.39425147
18-05-2020,30388028.9136883
19-05-2020,31213155.26574351
20-05-2020,30382117.662522413
21-05-2020,30247334.556535624
22-05-2020,30489042.440319117
23-05-2020,30429015.781573307
24-05-2020,32952434.3469186
25-05-2020,29517475.12717973
26-05-2020,31841348.149787005
27-05-2020,31267923.692005016
28-05-2020,31079678.19711988
29-05-2020,31086242.466967344
30-05-2020,31812314.348436464
31-05-2020,34190955.79730525
01-06-2020,31120665.06500488
02-06-2020,31898893.29800921
03-06-2020,32492010.565333586
04-06-2020,31904804.54917509
05-06-2020,32826861.668537274
06-06-2020,32398867.34591338
07-06-2020,34817189.62530401
08-06-2020,32679603.041537143
09-06-2020,32971638.7850138
10-06-2020,32954427.485995024
11-06-2020,32420683.858734883
12-06-2020,32896882.337772816
13-06-2020,32332145.85311741
14-06-2020,34951319.712609224
15-06-2020,32250302.681550093
16-06-2020,33762342.53903147
17-06-2020,33025101.17391215
18-06-2020,32397561.308550224
19-06-2020,32381003.028213035
20-06-2020,31725082.380182147
21-06-2020,31719006.481781878
22-06-2020,32474799.266314812
23-06-2020,32408861.356403112
24-06-2020,32744365.478288382
25-06-2020,32186846.282162007
26-06-2020,32257519.970079135
27-06-2020,32170288.00182482
28-06-2020,33751008.40814689
29-06-2020,31982695.525621258
30-06-2020,32157812.480811466
01-07-2020,31437129.396029342
02-07-2020,31472727.46722735
03-07-2020,31368937.218635842
04-07-2020,31842654.187150165
05-07-2020,33476183.963689014
06-07-2020,31402706.797991805
07-07-2020,31958919.95675502
08-07-2020,31637197.393246256
09-07-2020,31760027.432698574
10-07-2020,32347233.448857065
11-07-2020,30364253.344822064
12-07-2020,32503145.965952087
13-07-2020,30734833.083426453
14-07-2020,30985881.9590181
15-07-2020,32071755.985717606
16-07-2020,27498732.304712344
17-07-2020,28115625.14090295
18-07-2020,28179734.558972616
19-07-2020,29424297.82472784
20-07-2020,28068727.021852065
21-07-2020,29051106.011397142
22-07-2020,28946662.74412405
23-07-2020,28348809.69879425
24-07-2020,28660538.25181329
25-07-2020,28342245.42894679
26-07-2020,30972588.77208879
27-07-2020,28912240.146086507
28-07-2020,29737366.49814172
29-07-2020,29948081.524529938
30-07-2020,30305402.159236707
31-07-2020,28924062.648418278
01-08-2020,28323728.09256486
02-08-2020,31277100.03657879
03-08-2020,28915016.8680472
04-08-2020,29736713.479460143
05-08-2020,28430130.415882684
06-08-2020,28922234.156576242
07-08-2020,28618375.910767823
08-08-2020,28375361.989621177
09-08-2020,31393496.37038634
10-08-2020,29285596.606651593
11-08-2020,29518128.145861313
12-08-2020,30224212.00635097
13-08-2020,29830509.717561923
14-08-2020,29777700.347345147
15-08-2020,28428824.378519524
16-08-2020,31892817.399608936
17-08-2020,30083517.649198305
18-08-2020,30868963.170731664
19-08-2020,30137633.05677823
20-08-2020,30552498.839707203
21-08-2020,31983217.980100136
22-08-2020,26770048.348516908
23-08-2020,32074498.624646615
24-08-2020,29990374.429778095
25-08-2020,30423104.530407418
26-08-2020,30295538.71294967
27-08-2020,30600049.977439664
28-08-2020,30271763.144083437
29-08-2020,30312750.01196844
30-08-2020,32474112.16460155
31-08-2020,30172055.654815774
01-09-2020,31355808.678940915
02-09-2020,31378931.229125567
03-09-2020,30992446.22886556
04-09-2020,31210378.543782815
05-09-2020,31614074.843061596
06-09-2020,33146591.092969626
07-09-2020,31291046.242189676
08-09-2020,31747551.91168523
09-09-2020,31677531.24244968
10-09-2020,31331380.0913931
11-09-2020,31277917.702494744
12-09-2020,30361118.81561687
13-09-2020,32147949.03452443
14-09-2020,31355155.660259333
15-09-2020,31818225.599602345
16-09-2020,31989259.795468718
17-09-2020,30899303.009445358
18-09-2020,31351725.919617068
19-09-2020,31497156.054775156
20-09-2020,33663123.421211
21-09-2020,31777891.750398926
22-09-2020,31824789.869449817
23-09-2020,32148993.943482198
24-09-2020,31762508.943222187
25-09-2020,31886645.020037666
26-09-2020,32037986.406361643
27-09-2020,33681510.19339023
28-09-2020,31364201.440630414
29-09-2020,31532101.107291583
30-09-2020,30053177.810484603
01-10-2020,30468991.823532235
02-10-2020,28349269.55746571
03-10-2020,30439305.003500115
04-10-2020,30522584.776633278
05-10-2020,30056902.762563955
06-10-2020,29728615.92920772
07-10-2020,31237879.0647284
08-10-2020,31328245.56218791
09-10-2020,31816919.5622392
10-10-2020,30262586.799509667
11-10-2020,33084605.378179085
12-10-2020,29526651.4717535
13-10-2020,30127281.239044
14-10-2020,32105525.565073576
15-10-2020,32111436.81623946
16-10-2020,31983870.99878172
17-10-2020,33114161.634008504
18-10-2020,34404970.000133045
19-10-2020,32010423.289608642
20-10-2020,32718630.853377417
21-10-2020,32822421.10196893
22-10-2020,32691067.736624412
23-10-2020,33082810.96936873
24-10-2020,33472595.146068316
25-10-2020,31471194.186822385
26-10-2020,30553611.71706024
