Date,Mobility
15-02-2020,972637.7185032986
16-02-2020,1004996.2925918867
17-02-2020,963832.0035527623
18-02-2020,994533.7671159339
19-02-2020,976283.0999564853
20-02-2020,1375017.2084400547
21-02-2020,1037465.2789303204
22-02-2020,976259.4802389378
23-02-2020,964628.8924960789
24-02-2020,946181.1607304541
25-02-2020,914698.3014276534
26-02-2020,1077579.8846422124
27-02-2020,920110.9056561021
28-02-2020,1119083.900773518
29-02-2020,934227.3029278861
01-03-2020,970436.2897656646
02-03-2020,936617.9697578362
03-03-2020,938953.4304628638
04-03-2020,921460.2393254967
05-03-2020,975636.0361842496
06-03-2020,979320.8305586715
07-03-2020,1003323.6888627827
08-03-2020,952690.8278971985
09-03-2020,983700.068316392
10-03-2020,1151110.7144597522
11-03-2020,944192.5898026839
12-03-2020,1005714.355692733
13-03-2020,980741.1635566764
14-03-2020,1051904.9462618139
15-03-2020,1029874.8656817852
16-03-2020,981538.0524999931
17-03-2020,1026324.1032747567
18-03-2020,1042704.4382701406
19-03-2020,1125009.3966308418
20-03-2020,1080886.202832002
21-03-2020,1007970.99055529
22-03-2020,958395.9197827333
23-03-2020,1111871.8235336477
24-03-2020,1050839.609906861
25-03-2020,1080231.4527218735
26-03-2020,1092524.8974406556
27-03-2020,1087325.1510220706
28-03-2020,1031910.9563965858
29-03-2020,914880.3768348938
30-03-2020,1091728.0084973387
31-03-2020,1096091.4530513717
01-04-2020,1078519.4360715342
02-04-2020,1121064.6451874282
03-04-2020,1097456.5799244537
04-04-2020,1019231.2089793113
05-04-2020,878024.3262248795
06-04-2020,1104021.4532161208
07-04-2020,1142944.900596376
08-04-2020,1124497.1688307512
09-04-2020,1179454.0614291332
10-04-2020,1159230.616545602
11-04-2020,1082820.3716396012
12-04-2020,968961.5546474886
13-04-2020,1146377.4242396988
14-04-2020,1185395.490666112
15-04-2020,1084934.4841921204
16-04-2020,982224.8095453993
17-04-2020,981254.4757134538
18-04-2020,922897.1695319411
19-04-2020,835376.6715489674
20-04-2020,1000988.5085096903
21-04-2020,993760.7782420999
22-04-2020,965883.8874712505
23-04-2020,1023839.0977505833
24-04-2020,1006172.4617245877
25-04-2020,923638.852350335
26-04-2020,824219.7026897159
27-04-2020,967288.4272655678
28-04-2020,976094.1422161043
29-04-2020,950592.1250715175
30-04-2020,993216.1600298822
01-05-2020,974010.9522421758
02-05-2020,904685.9152937278
03-05-2020,864058.2777769933
04-05-2020,959326.8406934434
05-05-2020,957164.8248770445
06-05-2020,946236.5070313445
07-05-2020,1091222.8032063562
08-05-2020,911755.330047593
09-05-2020,940105.8397020495
10-05-2020,840931.1342586695
11-05-2020,922723.0608145281
12-05-2020,957867.0947742033
13-05-2020,905947.9327780074
14-05-2020,954379.3650059574
15-05-2020,888281.2967520118
16-05-2020,887216.3438739083
17-05-2020,831328.5303648162
18-05-2020,877274.1530638412
19-05-2020,916158.1875228611
20-05-2020,865604.1523997474
21-05-2020,935908.0135227852
22-05-2020,904275.3290489034
23-05-2020,924538.1868536699
24-05-2020,825402.894331525
25-05-2020,1038877.9255904328
26-05-2020,920308.7742670302
27-05-2020,873534.1525644965
28-05-2020,941170.7925801529
29-05-2020,868334.4061459115
30-05-2020,857138.0243654248
31-05-2020,799806.2581407801
01-06-2020,858826.4212982164
02-06-2020,898412.725654395
03-06-2020,864633.818567802
04-06-2020,932191.6327409879
05-06-2020,890214.6615548591
06-06-2020,875941.1362509511
07-06-2020,822996.4342978871
08-06-2020,886648.1059441429
09-06-2020,893212.97923581
10-06-2020,890388.1064434877
11-06-2020,902286.7581211332
12-06-2020,898491.5514968655
13-06-2020,905490.6307509046
14-06-2020,842241.0550068286
15-06-2020,878678.6928581586
16-06-2020,885243.5661498256
17-06-2020,891887.2652839631
18-06-2020,927165.3312110315
19-06-2020,926273.8232215568
20-06-2020,903368.0278557407
21-06-2020,876019.9620934215
22-06-2020,902152.7261537397
23-06-2020,905853.3137318493
24-06-2020,901529.2820990515
25-06-2020,956541.3808223563
26-06-2020,916687.0125313912
27-06-2020,964187.5238486312
28-06-2020,887863.407646144
29-06-2020,924908.6963484746
30-06-2020,908796.4252878773
01-07-2020,908835.8382091126
02-07-2020,974933.9064630583
03-07-2020,957267.2704370627
04-07-2020,998068.8764952422
05-07-2020,970917.8753390994
06-07-2020,949195.4117910601
07-07-2020,1048086.4002719336
08-07-2020,1013778.6681768105
09-07-2020,1014575.5571201273
10-07-2020,996206.651196973
11-07-2020,981799.0939256715
12-07-2020,889118.2624453481
13-07-2020,1027728.923421009
14-07-2020,1023988.9229216643
15-07-2020,1038617.8283454737
16-07-2020,1071560.4335675146
17-07-2020,1048867.4960115629
18-07-2020,991796.4908606616
19-07-2020,891943.1352376704
20-07-2020,1043707.162514213
21-07-2020,1068017.4976743462
22-07-2020,1056892.11522247
23-07-2020,1051826.4007712784
24-07-2020,1042223.7968774252
25-07-2020,994873.6343840829
26-07-2020,909554.5651387433
27-07-2020,1065563.7982056132
28-07-2020,1059290.6085662802
29-07-2020,1037118.6695049984
30-07-2020,1053191.5276443604
31-07-2020,1045127.495512218
01-08-2020,984608.1735143062
02-08-2020,883957.9289479984
03-08-2020,950670.950913988
04-08-2020,966120.3649986619
05-08-2020,900898.0115305033
06-08-2020,942780.3636704742
07-08-2020,908946.2504589583
08-08-2020,890269.8676797821
09-08-2020,784412.0501810291
10-08-2020,917010.2825911007
11-08-2020,915511.1237506253
12-08-2020,869493.9780701731
13-08-2020,903272.885156766
14-08-2020,871561.3748404138
15-08-2020,878749.6921867691
16-08-2020,745172.635602108
17-08-2020,
