Date,Mobility
15-02-2020,33145915.354828108
16-02-2020,31642984.78227929
17-02-2020,31952873.396617554
18-02-2020,33380624.009107117
19-02-2020,32612449.602542125
20-02-2020,32964489.940653935
21-02-2020,31674681.53101139
22-02-2020,31859515.439783353
23-02-2020,31369062.157195445
24-02-2020,31284403.194453258
25-02-2020,30348551.61691933
26-02-2020,31526984.5860001
27-02-2020,32013008.115018312
28-02-2020,32022097.113405786
29-02-2020,32050695.59612181
01-03-2020,30781257.41673236
02-03-2020,31644671.785028
03-03-2020,32497310.152187463
04-03-2020,32398466.6937113
05-03-2020,33465753.713478383
06-03-2020,33064194.145054627
07-03-2020,33975050.736618035
08-03-2020,36231465.98926845
09-03-2020,26471758.881453313
10-03-2020,25530582.315324802
11-03-2020,30023743.78486957
12-03-2020,33445188.481077567
13-03-2020,33016751.921786852
14-03-2020,27544370.889814988
15-03-2020,32408416.43802331
16-03-2020,32693310.066391066
17-03-2020,33163232.60567851
18-03-2020,32945841.202249914
19-03-2020,33148853.107796818
20-03-2020,32952187.44981641
21-03-2020,32168772.79944517
22-03-2020,25606657.510408964
23-03-2020,28182165.60221909
24-03-2020,26245668.483932704
25-03-2020,25405917.61405396
26-03-2020,25160593.47168614
27-03-2020,25384331.122681238
28-03-2020,25241453.93553509
29-03-2020,26129702.77675387
30-03-2020,24939598.57151203
31-03-2020,25605326.02285535
01-04-2020,25377984.875114743
02-04-2020,25350247.138323255
03-04-2020,25789494.187850505
04-04-2020,25973467.35069793
05-04-2020,27437494.18102362
06-04-2020,26053662.070770074
07-04-2020,27154172.3289706
08-04-2020,26883658.19848454
09-04-2020,27331994.246399265
10-04-2020,27568424.39252734
11-04-2020,27329251.495578285
12-04-2020,28217500.336797066
13-04-2020,27217049.798192333
14-04-2020,27306804.258281022
15-04-2020,27235893.53874408
16-04-2020,27360592.729115285
17-04-2020,27326508.744757306
18-04-2020,27115268.58674747
19-04-2020,27321688.986892156
20-04-2020,26342629.93751242
21-04-2020,27624565.609887123
22-04-2020,27951610.96202843
23-04-2020,27532068.398977462
24-04-2020,28378360.518570427
25-04-2020,27647873.593108926
26-04-2020,27845399.997013874
27-04-2020,27357849.97829431
28-04-2020,27821426.27001527
