Date,Mobility
15-02-2020,41378897.896138355
16-02-2020,41715876.82467154
17-02-2020,42395936.370345004
18-02-2020,42670082.92900907
19-02-2020,41160869.58689534
20-02-2020,41513513.094782054
21-02-2020,40646012.3558041
22-02-2020,42392952.88404318
23-02-2020,41680204.59997725
24-02-2020,41680204.59997725
25-02-2020,36880659.45850526
26-02-2020,39916105.19669578
27-02-2020,41157138.95274909
28-02-2020,42220732.78563034
29-02-2020,41553354.33300859
01-03-2020,41311149.36489257
02-03-2020,41171618.00487221
03-03-2020,41273544.46512344
04-03-2020,40910152.53925984
05-03-2020,41423520.57973811
06-03-2020,42169395.98158251
07-03-2020,42155664.07730383
08-03-2020,43864561.32638777
09-03-2020,44364944.61043178
10-03-2020,31873396.04638113
11-03-2020,38923248.48643803
12-03-2020,42722166.88090132
13-03-2020,40865973.34012196
14-03-2020,42132234.56627525
15-03-2020,41635581.916377485
16-03-2020,42306691.003145486
17-03-2020,41756465.2107425
18-03-2020,41769893.45163864
19-03-2020,41564546.23544733
20-03-2020,43237467.59645444
21-03-2020,41731984.88848695
22-03-2020,30723675.04860563
23-03-2020,36580847.05035522
24-03-2020,33701513.346762136
25-03-2020,31132133.142530844
26-03-2020,31248234.991522636
27-03-2020,31918596.9304462
28-03-2020,31617290.22660731
29-03-2020,32529413.649185028
30-03-2020,31562222.788413238
31-03-2020,32216173.000138845
01-04-2020,31244504.357376385
02-04-2020,31025425.236906394
03-04-2020,32817735.596589655
04-04-2020,33111277.368753504
05-04-2020,33469444.36478199
06-04-2020,32129911.11924115
07-04-2020,33776723.14630041
08-04-2020,33714637.92427571
09-04-2020,33461684.538182832
10-04-2020,34002212.723835915
11-04-2020,33728066.165171854
12-04-2020,33764480.43263469
13-04-2020,33543164.973707296
14-04-2020,33396919.49323886
15-04-2020,33666284.606529705
16-04-2020,31846066.953827195
17-04-2020,32407041.164207038
18-04-2020,31815176.17450612
19-04-2020,31263456.08641429
20-04-2020,31859798.858105883
21-04-2020,32212442.365992602
22-04-2020,32595229.505355965
23-04-2020,32523446.676581386
24-04-2020,33748068.70543673
25-04-2020,33015621.544488467
26-04-2020,32966521.078898035
27-04-2020,32512698.258604515
28-04-2020,32505984.138156448
29-04-2020,31914119.14845553
30-04-2020,31968439.438805174
01-05-2020,31692056.54168372
02-05-2020,33203506.22225484
03-05-2020,33085910.077574197
04-05-2020,32960554.106294394
05-05-2020,32088575.585325766
06-05-2020,33754035.67804037
07-05-2020,33141724.6636127
08-05-2020,35416512.28445316
09-05-2020,34865235.6808232
10-05-2020,35209670.772573
11-05-2020,35296376.13793257
12-05-2020,35519185.892548814
13-05-2020,35340998.82153233
14-05-2020,35091028.92174127
15-05-2020,36989743.52366643
16-05-2020,36253565.72857192
17-05-2020,36680228.403690614
18-05-2020,36914230.060745604
19-05-2020,36364004.26834262
20-05-2020,36295204.92586985
21-05-2020,36887069.91557077
22-05-2020,38142582.723747194
23-05-2020,37396707.32190279
24-05-2020,37361338.76059105
25-05-2020,35752440.40175937
26-05-2020,37691299.90529361
27-05-2020,37202108.52368835
28-05-2020,37544003.613598205
29-05-2020,39076646.46674051
30-05-2020,38104977.82397806
31-05-2020,37529081.077013224
01-06-2020,38303610.91972129
02-06-2020,39042772.20111763
03-06-2020,38864585.13010114
04-06-2020,39275279.56248375
05-06-2020,34711668.7531416
06-06-2020,40749567.82774761
07-06-2020,39914003.57424183
08-06-2020,39911767.235784434
09-06-2020,39621208.94992241
10-06-2020,39337364.78450846
11-06-2020,39549426.12114783
12-06-2020,41106245.63316314
13-06-2020,40322461.66816705
14-06-2020,41005808.36352488
15-06-2020,40460060.35311257
16-06-2020,40473488.594008714
17-06-2020,40028919.8960032
18-06-2020,39203496.73370917
19-06-2020,39645081.94541287
