Date,Mobility
15-02-2020,48473395.94851408
16-02-2020,48332659.99496385
17-02-2020,48332659.99496385
18-02-2020,48587168.04094579
19-02-2020,48904973.94971104
20-02-2020,48649027.52394332
21-02-2020,46861884.26449806
22-02-2020,47189637.046826676
23-02-2020,47865898.00537933
24-02-2020,48012265.693135574
25-02-2020,45897658.01787025
26-02-2020,48086660.44275949
27-02-2020,48712325.38672664
28-02-2020,48906412.32949682
29-02-2020,48694158.385894254
01-03-2020,48828974.23872991
02-03-2020,48924579.33032922
03-03-2020,48016292.465984374
04-03-2020,49091990.778489426
05-03-2020,49207201.25070691
06-03-2020,48381984.21133501
07-03-2020,49014552.68772251
08-03-2020,51068450.893267535
09-03-2020,48682484.76603654
10-03-2020,38793927.475531556
11-03-2020,44582453.53413552
12-03-2020,48033021.087030984
13-03-2020,48544913.938566424
14-03-2020,43039464.74842014
15-03-2020,49938418.15983674
16-03-2020,49371735.93929556
17-03-2020,48497194.683552496
18-03-2020,49186157.49030295
19-03-2020,48689843.246536896
20-03-2020,49041394.76390393
21-03-2020,48793956.831913784
22-03-2020,37006089.150889054
23-03-2020,43718192.315098695
24-03-2020,40542026.5553119
25-03-2020,37249211.94352184
26-03-2020,36911800.654138416
27-03-2020,37174817.19389793
28-03-2020,36989238.74490533
29-03-2020,38048041.854792334
30-03-2020,37704877.046265766
31-03-2020,38257419.038823344
01-04-2020,37319579.92029697
02-04-2020,37353325.52889874
03-04-2020,38829732.993570544
04-04-2020,38776382.004350595
05-04-2020,40020763.5632302
06-04-2020,39358354.46615259
07-04-2020,40987744.78449246
08-04-2020,40553290.02372394
09-04-2020,40242554.22895048
10-04-2020,40435202.79193488
11-04-2020,40567430.25170753
12-04-2020,41818881.92457894
13-04-2020,41434901.393458806
14-04-2020,40835911.94410163
15-04-2020,39576240.14396119
16-04-2020,41048165.887704216
17-04-2020,41373041.91046126
18-04-2020,41063744.49547359
19-04-2020,41617724.86781696
20-04-2020,41242252.8304744
21-04-2020,40678447.36950479
22-04-2020,41572594.00586604
23-04-2020,41606339.614467815
24-04-2020,42351530.17000979
25-04-2020,42125302.57999506
26-04-2020,42722975.434503555
27-04-2020,42180091.94900079
28-04-2020,41285945.31263954
29-04-2020,42526011.732161805
30-04-2020,42153416.45439081
01-05-2020,40657403.609100826
02-05-2020,41501076.015813686
03-05-2020,41965083.03076376
04-05-2020,41443409.88723639
05-05-2020,40755885.46027171
06-05-2020,42111162.35201145
07-05-2020,40499939.03450398
08-05-2020,43518640.21969393
09-05-2020,43057509.96431542
