Date,Mobility
15-02-2020,25498971.274062544
16-02-2020,25016159.297292586
17-02-2020,25090467.186596345
18-02-2020,25357764.8670161
19-02-2020,25445593.50294701
20-02-2020,25479042.761818353
21-02-2020,25101984.721335422
22-02-2020,24989117.804038286
23-02-2020,25198224.33477145
24-02-2020,25599319.050676566
25-02-2020,24278977.60562807
26-02-2020,25091468.792540383
27-02-2020,25599319.050676566
28-02-2020,25740525.457723007
29-02-2020,25425961.38125379
01-03-2020,25312092.858012624
02-03-2020,25693851.842775494
03-03-2020,25380289.372250315
04-03-2020,25680034.70559737
05-03-2020,25746933.223340053
06-03-2020,24660736.590390943
07-03-2020,25586094.694600392
08-03-2020,26402397.65413972
09-03-2020,25470519.350022122
10-03-2020,21086059.749997176
11-03-2020,23829798.84398932
12-03-2020,24790016.63785623
13-03-2020,25084652.202081256
14-03-2020,24378620.166849032
15-03-2020,25432072.75631986
16-03-2020,26040567.181621037
17-03-2020,25665215.96247521
18-03-2020,25678736.70910236
19-03-2020,25525011.161372803
20-03-2020,25109097.702345528
21-03-2020,25135137.589655787
22-03-2020,19878697.656536933
23-03-2020,23498525.246800974
24-03-2020,20769604.895930994
25-03-2020,19522273.343691252
26-03-2020,19340208.30621239
27-03-2020,19361138.424400616
28-03-2020,19212522.645793095
29-03-2020,20019311.28248142
30-03-2020,19608803.983127154
31-03-2020,19736489.643546447
01-04-2020,19388476.30820589
02-04-2020,19701742.388180092
03-04-2020,19904737.54384719
04-04-2020,20433221.529620625
05-04-2020,20871066.712780166
06-04-2020,20660253.360709906
07-04-2020,21470444.94518317
08-04-2020,21243709.50464486
09-04-2020,20800458.161812317
10-04-2020,20993744.34347928
11-04-2020,21213775.627849564
12-04-2020,21552571.030890096
13-04-2020,21663434.736299157
14-04-2020,20799160.1653173
15-04-2020,20182254.762511004
16-04-2020,21376208.543635212
17-04-2020,21570496.331246212
18-04-2020,21529637.700813793
19-04-2020,22107391.294524767
20-04-2020,22065827.448699284
21-04-2020,20684995.251525152
22-04-2020,21524824.322242737
23-04-2020,21704293.366731577
24-04-2020,21925919.03814785
25-04-2020,21549269.82250701
26-04-2020,22000635.752293702
27-04-2020,22065531.05814831
28-04-2020,20797565.778271314
29-04-2020,21825274.870982856
30-04-2020,21644507.829999004
01-05-2020,21181624.365473237
02-05-2020,21435104.908714864
03-05-2020,22343539.31851223
04-05-2020,22221556.20831691
05-05-2020,21625877.31424982
06-05-2020,22222854.204811927
07-05-2020,21525825.928186774
08-05-2020,21269453.001404148
09-05-2020,21441512.674331907
10-05-2020,22181402.793277554
11-05-2020,21897283.15784757
12-05-2020,21837794.011665963
13-05-2020,21697885.601114534
14-05-2020,22139838.947452072
15-05-2020,22636468.061400156
16-05-2020,22783785.84351267
17-05-2020,23516266.590897236
18-05-2020,23520671.144626204
19-05-2020,23246965.698589407
20-05-2020,23313864.21633209
21-05-2020,22038193.174343035
22-05-2020,24118946.031683315
23-05-2020,24171025.80630384
24-05-2020,25063343.47648403
25-05-2020,21667216.29149308
26-05-2020,22893433.769284736
27-05-2020,24179733.174359933
28-05-2020,24373019.3560269
29-05-2020,24822382.073925514
30-05-2020,24559897.772076823
31-05-2020,24997742.955236364
01-06-2020,25579195.88728324
02-06-2020,25338939.70011779
03-06-2020,25352756.837295912
04-06-2020,25258520.43574796
05-06-2020,24667654.92025192
06-06-2020,25860310.704881117
07-06-2020,26163357.24661126
08-06-2020,26096049.90402649
09-06-2020,25313196.2033585
10-06-2020,25714587.309814595
11-06-2020,25761557.315313082
12-06-2020,25782487.43350131
13-06-2020,25418357.35854358
14-06-2020,25426175.554946747
15-06-2020,26638647.417529024
16-06-2020,25224069.57093258
17-06-2020,25962252.868541125
18-06-2020,25231182.551942684
19-06-2020,25036894.764331684
20-06-2020,26216029.802333727
21-06-2020,25352164.056193963
22-06-2020,26309264.597937647
23-06-2020,25834863.59867281
24-06-2020,25427361.11715065
