Date,Mobility
15-02-2020,31370691.789189503
16-02-2020,30961492.320520878
17-02-2020,31544557.326041784
18-02-2020,31465213.94127858
19-02-2020,31547760.647953693
20-02-2020,31184012.96468959
21-02-2020,30103379.432515483
22-02-2020,31199776.02452981
23-02-2020,31367488.467277594
24-02-2020,31477189.386692554
25-02-2020,29617540.125054326
26-02-2020,30939407.133429956
27-02-2020,31025157.162016973
28-02-2020,30988562.01668762
29-02-2020,31697175.518036805
01-03-2020,31428618.79594923
02-03-2020,31513700.015448797
03-03-2020,31498605.764696024
04-03-2020,32494657.853311807
05-03-2020,31379463.912691563
06-03-2020,31092609.617939316
07-03-2020,32234873.254726294
08-03-2020,32127622.33156269
09-03-2020,30928515.756471567
10-03-2020,25261029.8804261
11-03-2020,29905224.93854283
12-03-2020,31092440.584793102
13-03-2020,31132239.05203436
14-03-2020,29166761.001980543
15-03-2020,32064126.52321281
16-03-2020,32357218.428642664
17-03-2020,31590677.920533754
18-03-2020,32250720.831139613
19-03-2020,31783594.35571127
20-03-2020,31105253.87244073
21-03-2020,31793035.288300782
22-03-2020,25234298.25055179
23-03-2020,29186227.159673907
24-03-2020,26532214.36809948
25-03-2020,25613724.477083
26-03-2020,24929730.67564921
27-03-2020,25012361.898897424
28-03-2020,24978970.07547998
29-03-2020,26092995.431071535
30-03-2020,25742391.778250083
31-03-2020,25714653.2729959
01-04-2020,25454868.67441038
02-04-2020,25045753.722314868
03-04-2020,25647200.817073554
04-04-2020,26047543.64566701
05-04-2020,26858951.6466661
06-04-2020,26686085.661696285
07-04-2020,28194546.97799872
08-04-2020,28313688.830003187
09-04-2020,27993442.71183349
10-04-2020,27996561.51717229
11-04-2020,28830638.997776642
12-04-2020,29107468.067425042
13-04-2020,29355776.996537823
14-04-2020,27895717.237832498
15-04-2020,27922871.45057235
16-04-2020,28426508.554756936
17-04-2020,28616306.184595652
18-04-2020,28378022.480586722
19-04-2020,28823148.285497252
20-04-2020,29058812.960108615
21-04-2020,27504231.049314212
22-04-2020,29418773.028946467
23-04-2020,29193049.06286585
24-04-2020,29675354.30562007
25-04-2020,29575178.83536773
26-04-2020,29715237.289434444
27-04-2020,29535464.88469958
28-04-2020,28521784.03250657
29-04-2020,29996269.232877217
30-04-2020,29522820.630198166
01-05-2020,28310570.024664383
02-05-2020,29785724.03412248
03-05-2020,30087172.803686257
04-05-2020,29849388.875618562
05-05-2020,28899372.864921656
06-05-2020,30933056.69655837
07-05-2020,28899372.864921656
08-05-2020,30996721.538054463
09-05-2020,30957676.39647375
10-05-2020,31561742.520630006
11-05-2020,31965703.9305035
12-05-2020,31531969.2784926
13-05-2020,32103143.355172645
14-05-2020,31825145.700495556
15-05-2020,31934846.619910512
16-05-2020,32414617.34984028
17-05-2020,32594389.754575137
18-05-2020,32906279.008610908
19-05-2020,32374818.88259902
20-05-2020,33282002.137288973
21-05-2020,32796578.089195948
22-05-2020,32884778.114034317
23-05-2020,33068253.616622325
24-05-2020,33476868.792776603
25-05-2020,32191843.155952245
26-05-2020,33193048.786790047
27-05-2020,33461605.50887762
28-05-2020,32961087.210031822
29-05-2020,33562449.7882174
30-05-2020,34317099.367485456
31-05-2020,34175956.84496317
01-06-2020,34252765.71690191
02-06-2020,34347287.868990995
03-06-2020,34398977.26507312
04-06-2020,33772994.98697215
05-06-2020,32389913.133351784
06-06-2020,34734986.443083026
07-06-2020,34606488.17506216
08-06-2020,34673771.59783829
09-06-2020,34182109.93906767
10-06-2020,34450582.14458213
11-06-2020,34518034.60050447
12-06-2020,34120895.09382293
13-06-2020,34313811.52900044
14-06-2020,34667618.5037338
15-06-2020,34875460.15651787
16-06-2020,35031197.15385168
17-06-2020,34835746.205849715
18-06-2020,32945239.633618496
19-06-2020,34356059.992493056
20-06-2020,34340965.74174029
21-06-2020,34121064.12696914
22-06-2020,34973185.63051885
23-06-2020,34270309.96390604
24-06-2020,34761971.622676656
25-06-2020,32670360.784280226
26-06-2020,32810919.014288165
27-06-2020,34142311.471826404
28-06-2020,32950977.468354866
29-06-2020,34170049.97708059
30-06-2020,34187678.740657814
01-07-2020,33696017.081887186
02-07-2020,32996929.029700622
03-07-2020,33790539.23397627
04-07-2020,33448961.254376203
05-07-2020,33992396.82580206
06-07-2020,33677719.509222515
07-07-2020,33806386.81038959
08-07-2020,33955801.6804727
09-07-2020,32355852.500846893
10-07-2020,31054733.06138729
11-07-2020,30939378.82380908
12-07-2020,31857953.231398664
13-07-2020,32353317.98802243
14-07-2020,31839571.142160874
15-07-2020,32175580.320170794
16-07-2020,31299338.892646927
17-07-2020,31497908.6459877
18-07-2020,31562242.296571244
19-07-2020,30496372.27235488
20-07-2020,29987497.109375153
21-07-2020,31840239.951248325
22-07-2020,31987120.308506977
23-07-2020,31195960.100482684
24-07-2020,31003043.665305167
25-07-2020,31583574.158001613
26-07-2020,32383091.230159834
27-07-2020,32246151.581431933
28-07-2020,31406505.299237423
29-07-2020,31736192.349996634
30-07-2020,31183315.845981263
31-07-2020,31375563.472071335
01-08-2020,32157867.040020455
